train/n_updates,train/explained_variance,train/value_loss,train/policy_loss,train/std,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/learning_rate,time/total_timesteps
1874,5.960464477539063e-08,2035010304.0,-271680.125,0.9960222244262695,-8.489520072937012,-189050.59232194,43.96,47,3178,0.0001,150000
1999,-2.384185791015625e-07,1059756032.0,-245272.84375,0.9956727027893066,-8.487608909606934,-205484.43517935,42.93,51,3082,0.0001,160000
2124,0.0,1400352000.0,-258997.578125,0.9951620697975159,-8.484607696533203,-162448.02720019,36.41,55,3078,0.0001,170000
2249,1.1920928955078125e-07,2246340608.0,-322345.53125,0.9940750002861023,-8.478139877319336,-159241.09761663998,38.19,58,3082,0.0001,180000
2374,0.0,894088896.0,-65700.6484375,0.9942970871925354,-8.479839324951172,-126096.07777938001,30.42,61,3085,0.0001,190000
2499,0.0,1144071168.0,-191670.953125,0.993650496006012,-8.4752779006958,-173438.57812371,41.51,64,3088,0.0001,200000
2624,0.0,1684818688.0,-169510.21875,0.9933412075042725,-8.473406791687012,-161416.76218954998,41.34,67,3091,0.0001,210000
2749,0.0,1668508672.0,-105783.328125,0.9935960173606873,-8.47544002532959,-144757.01090346,36.92,71,3094,0.0001,220000
2874,0.0,1974293888.0,-25498.30859375,0.9926850199699402,-8.470425605773926,-124162.11798214001,33.11,74,3090,0.0001,230000
2999,-1.1920928955078125e-07,1024022528.0,-173436.65625,0.9923924803733826,-8.467894554138184,-155955.97294348,35.96,77,3090,0.0001,240000
3124,-1.1920928955078125e-07,1881798656.0,-238741.203125,0.991746187210083,-8.463849067687988,-164345.93319584997,35.73,80,3089,0.0001,250000
3249,-1.1920928955078125e-07,830303104.0,-182044.0,0.9916561245918274,-8.463274002075195,-137171.87094466,32.71,84,3088,0.0001,260000
3374,0.0,1625207424.0,-244588.0,0.9908206462860107,-8.458189964294434,-155156.31935985,39.7,87,3088,0.0001,270000
3499,0.0,1256142464.0,-104626.921875,0.9905736446380615,-8.45695686340332,-145596.41593437997,35.42,90,3087,0.0001,280000
3624,0.0,2389658368.0,-333843.34375,0.9907730221748352,-8.45798397064209,-116518.28293511999,31.26,94,3081,0.0001,290000
3749,0.0,1912260864.0,-175223.5625,0.9900999665260315,-8.453655242919922,-132989.18544590002,32.99,97,3069,0.0001,300000
3874,0.0,963635392.0,-154076.71875,0.9903913140296936,-8.455395698547363,-136208.62682496,34.1,101,3068,0.0001,310000
3999,-1.1920928955078125e-07,2544677376.0,-320226.53125,0.9900699257850647,-8.453429222106934,-132981.92491474,34.49,104,3069,0.0001,320000
4124,1.1920928955078125e-07,1256789248.0,-224032.21875,0.9895132184028625,-8.450281143188477,-137622.90486118,32.86,107,3071,0.0001,330000
4249,0.0,908722368.0,-210367.703125,0.9890434741973877,-8.44740104675293,-123121.42877626,30.67,110,3072,0.0001,340000
4374,0.0,1414321152.0,-198159.453125,0.9885088801383972,-8.443948745727539,-119404.62772171998,30.0,113,3074,0.0001,350000
4499,0.0,1013237568.0,41768.9453125,0.987346351146698,-8.437493324279785,-133341.75265173,32.35,117,3075,0.0001,360000
4624,0.0,704715776.0,-98899.671875,0.987034797668457,-8.434882164001465,-142787.80310886,36.5,120,3076,0.0001,370000
4749,0.0,1041234624.0,-192125.15625,0.9862959384918213,-8.430706024169922,-118183.29292355997,32.16,123,3077,0.0001,380000
4874,0.0,1506965888.0,-255008.546875,0.986060619354248,-8.42921257019043,-122254.49656221,33.23,126,3072,0.0001,390000
4999,0.0,1080846976.0,-32047.69921875,0.9856073260307312,-8.426819801330566,-144427.04262235,35.12,130,3073,0.0001,400000
5124,0.0,1159691008.0,-213089.28125,0.9856113791465759,-8.4267578125,-109452.13895287999,33.36,133,3074,0.0001,410000
5249,0.0,1743435776.0,-132165.046875,0.9842763543128967,-8.41805648803711,-120382.75408225,35.8,136,3075,0.0001,420000
5374,0.0,2500870144.0,-325350.25,0.983825147151947,-8.415694236755371,-120130.07568033,36.2,139,3075,0.0001,430000
5499,0.0,739523840.0,-150080.484375,0.9826543927192688,-8.408745765686035,-128365.31808236001,35.36,143,3076,0.0001,440000
5624,0.0,1084578048.0,-5308.2236328125,0.9824779033660889,-8.406536102294922,-122112.58976353,35.74,146,3076,0.0001,450000
5749,0.0,1618289408.0,-252415.921875,0.9810841679573059,-8.398761749267578,-130514.38236668,37.58,149,3077,0.0001,460000
5874,0.0,1009721024.0,-187390.328125,0.9809799790382385,-8.397958755493164,-133672.93796673,38.23,152,3078,0.0001,470000
5999,0.0,2068426752.0,-51120.26171875,0.9803242683410645,-8.394170761108398,-102794.84415064001,30.87,155,3079,0.0001,480000
6124,0.0,1595311232.0,-52996.64453125,0.9792236685752869,-8.38717269897461,-103278.30966431001,28.4,159,3079,0.0001,490000
6249,0.0,1723409664.0,-117551.1640625,0.978903591632843,-8.38540267944336,-111380.46652573999,35.07,162,3079,0.0001,500000
6374,-1.1920928955078125e-07,2293596416.0,-276144.09375,0.9796077609062195,-8.389737129211426,-119231.04336528,32.39,165,3080,0.0001,510000
6499,0.0,2322705920.0,-348377.15625,0.978398859500885,-8.382384300231934,-97449.69926522,29.86,168,3080,0.0001,520000
6624,0.0,1646391552.0,-80486.5546875,0.9783398509025574,-8.38211441040039,-124799.50361754002,38.35,172,3080,0.0001,530000
6749,0.0,1441719808.0,-231328.046875,0.9779110550880432,-8.379444122314453,-106013.43123524002,33.27,175,3080,0.0001,540000
6874,5.960464477539063e-08,262853808.0,-110171.328125,0.976926863193512,-8.373244285583496,-107993.38912597999,33.77,178,3081,0.0001,550000
6999,-2.384185791015625e-07,2781530624.0,-334702.4375,0.9760034680366516,-8.367316246032715,-101777.50466956,32.36,181,3081,0.0001,560000
7124,0.0,1292952448.0,-94131.2421875,0.9758978486061096,-8.366397857666016,-124289.93459142999,35.57,184,3081,0.0001,570000
7249,1.7881393432617188e-07,764539264.0,8993.3642578125,0.9755947589874268,-8.365192413330078,-97915.28328012001,31.18,188,3081,0.0001,580000
7374,0.0,305642432.0,-124572.578125,0.9752066135406494,-8.362868309020996,-126804.32194311,35.5,191,3082,0.0001,590000
7499,5.960464477539063e-08,821618176.0,-77431.234375,0.9745489954948425,-8.358391761779785,-106313.74316328,34.18,194,3082,0.0001,600000
7624,0.0,2077949952.0,-141089.796875,0.9740143418312073,-8.355452537536621,-88773.27837099001,31.69,197,3083,0.0001,610000
7749,0.0,1886198016.0,-214857.703125,0.9733152985572815,-8.350896835327148,-108803.93451664,36.41,201,3083,0.0001,620000
7874,0.0,1503161984.0,-19879.5703125,0.9728649258613586,-8.347990989685059,-80221.63906182,31.17,204,3083,0.0001,630000
7999,0.0,1645324032.0,-124737.609375,0.9727919697761536,-8.34761905670166,-98717.36309209002,34.95,207,3077,0.0001,640000
8124,0.0,438161056.0,-138533.3125,0.9711658358573914,-8.337596893310547,-101601.70010064999,35.31,211,3078,0.0001,650000
8249,0.0,1104322688.0,-82396.453125,0.9703231453895569,-8.332305908203125,-100310.24518239999,34.86,214,3078,0.0001,660000
8374,1.7881393432617188e-07,1024757248.0,-108366.4609375,0.969369649887085,-8.326330184936523,-96576.3049505,38.07,217,3079,0.0001,670000
8499,-1.1920928955078125e-07,896295424.0,53832.8984375,0.9680845737457275,-8.318500518798828,-56853.66735367999,27.03,220,3079,0.0001,680000
8624,1.1920928955078125e-07,613085568.0,-177766.921875,0.9675408005714417,-8.315056800842285,-104671.04679001,40.07,223,3080,0.0001,690000
8749,0.0,1494023552.0,-112486.5859375,0.967122495174408,-8.312691688537598,-100251.72418756,38.48,227,3080,0.0001,700000
8874,1.1920928955078125e-07,2089744640.0,-232880.875,0.9662725329399109,-8.307541847229004,-97760.30541147,36.82,230,3081,0.0001,710000
8999,-1.1920928955078125e-07,1069796032.0,-16388.73828125,0.964881420135498,-8.298565864562988,-92556.58220951,36.97,233,3082,0.0001,720000
9124,0.0,1654950784.0,-102680.1484375,0.9639136791229248,-8.292139053344727,-78182.49947332,35.02,236,3082,0.0001,730000
9249,0.0,706515584.0,8362.3642578125,0.963016927242279,-8.286993026733398,-87780.53561634998,38.84,240,3083,0.0001,740000
9374,0.0,688726144.0,-129936.484375,0.9622794985771179,-8.282299995422363,-86710.50692726999,36.08,243,3083,0.0001,750000
9499,0.0,1607375104.0,-271843.40625,0.961197555065155,-8.275763511657715,-82489.77939489999,37.71,246,3083,0.0001,760000
9624,0.0,2145416576.0,-192470.796875,0.9608075022697449,-8.273377418518066,-96194.37044146,37.63,399,1926,0.0001,770000
9749,0.0,794161856.0,-30198.603515625,0.9604300856590271,-8.270986557006836,-107971.87709026998,41.97,607,1283,0.0001,780000
9874,0.0,768918784.0,-21264.658203125,0.9600436091423035,-8.267894744873047,-82658.99279166,35.63,815,968,0.0001,790000
9999,0.0,1973492352.0,-145042.828125,0.9599670767784119,-8.267951011657715,-81281.31224117,34.8,1023,781,0.0001,800000
10124,1.1920928955078125e-07,398734848.0,-131794.34375,0.9594085812568665,-8.264571189880371,-63624.052820979996,31.83,1231,657,0.0001,810000
10249,-1.1920928955078125e-07,656980160.0,-106753.453125,0.9582508206367493,-8.25695514678955,-40089.76565816,37.29,1417,578,0.0001,820000
10374,0.0,784830528.0,-38915.97265625,0.9575939178466797,-8.253022193908691,-98701.44736389,40.14,1420,584,0.0001,830000
10499,0.0,784429760.0,-58384.5078125,0.9564631581306458,-8.245777130126953,-99935.24143383,44.73,1424,589,0.0001,840000
10624,0.0,457835360.0,-65309.5859375,0.9561967253684998,-8.244414329528809,-73184.61370798999,44.16,1427,595,0.0001,850000
10749,-2.384185791015625e-07,1600396672.0,-152328.15625,0.955730140209198,-8.241192817687988,-63833.88475023,36.37,1430,601,0.0001,860000
10874,0.0,1114958080.0,-123556.5859375,0.9546697735786438,-8.234380722045898,-73637.45339,40.6,1433,607,0.0001,870000
10999,-1.1920928955078125e-07,1428935424.0,-159637.15625,0.953946590423584,-8.230060577392578,-84365.60808143,47.26,1436,612,0.0001,880000
11124,0.0,337162720.0,-105639.25,0.9528381824493408,-8.223190307617188,-77844.97360033999,41.62,1439,618,0.0001,890000
11249,0.0,947651264.0,-59975.01953125,0.9518373608589172,-8.21663761138916,-103880.20612139002,48.33,1442,623,0.0001,900000
11374,0.0,922297536.0,-127895.203125,0.9516205787658691,-8.214908599853516,-103323.01387878999,52.89,1445,629,0.0001,910000
11499,0.0,1117951232.0,-31637.38671875,0.950869083404541,-8.209593772888184,-113732.27365206002,46.57,1448,635,0.0001,920000
11624,0.0,218743040.0,-104055.1953125,0.9497122168540955,-8.203332901000977,-55174.904905879994,43.57,1451,640,0.0001,930000
11749,0.0,2294263296.0,-206730.53125,0.9489277005195618,-8.198358535766602,-62111.758831449995,41.15,1454,646,0.0001,940000
11874,0.0,593663040.0,9315.8251953125,0.9483738541603088,-8.194921493530273,-99922.33783616999,52.39,1458,651,0.0001,950000
11999,0.0,1214336768.0,-103174.5625,0.9473409056663513,-8.187872886657715,-71793.2746398,40.21,1461,657,0.0001,960000
12124,-1.1920928955078125e-07,1017791296.0,-66705.53125,0.9466361403465271,-8.183621406555176,-85561.57355727,56.44,1464,662,0.0001,970000
12249,0.0,700604736.0,-34851.94921875,0.9464001655578613,-8.181918144226074,-105278.30206689,58.06,1467,667,0.0001,980000
12374,0.0,925051072.0,-166680.6875,0.945629894733429,-8.177179336547852,-86743.04015961001,54.68,1470,673,0.0001,990000
12499,0.0,937053312.0,-173035.453125,0.9448988437652588,-8.172335624694824,-83864.53312458,51.14,1473,678,0.0001,1000000
