time/total_timesteps,time/fps,train/kl_divergence_loss,train/std,train/policy_objective,train/is_line_search_success,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/learning_rate,train/n_updates
580000,1352,0.008467514999210835,0.6542584896087646,0.03268815949559212,1.0,4988702558.4,130009.68751757,428,17.36,-1.1920928955078125e-07,0.001,70
590000,1348,0.009402647614479065,0.651508629322052,0.03647027909755707,1.0,5992009068.8,129718.65817762,437,14.56,-1.1920928955078125e-07,0.001,72
600000,1348,0.0065738665871322155,0.6481467485427856,0.035885751247406006,1.0,6304851121.6,131349.44323477,444,13.9,0.0,0.001,73
610000,1348,0.008460123091936111,0.6431835293769836,0.03704466670751572,1.0,6447921297.6,131370.28242512,452,13.33,-2.384185791015625e-07,0.001,74
620000,1348,0.006982610560953617,0.6415368914604187,0.03306718170642853,1.0,6587189576.8,132188.31169345998,459,13.02,-1.1920928955078125e-07,0.001,75
630000,1349,0.008378126658499241,0.639106035232544,0.036081235855817795,1.0,6659156146.4,131270.80900334998,466,13.28,1.7881393432617188e-07,0.001,76
640000,1344,0.00809833500534296,0.6334373950958252,0.029563769698143005,1.0,6631449249.6,132263.91307191,475,13.45,0.0,0.001,78
650000,1344,0.007458134554326534,0.6322372555732727,0.03748612478375435,1.0,6431619015.2,131156.09115706,483,13.63,1.1920928955078125e-07,0.001,79
660000,1344,0.008237186819314957,0.6300342082977295,0.03868551552295685,1.0,6548541571.2,132576.44126675,490,13.39,5.960464477539063e-08,0.001,80
670000,1345,0.009148704819381237,0.626747190952301,0.0343036875128746,1.0,5036237431.2,131951.44585786,497,13.9,-1.1920928955078125e-07,0.001,81
680000,1342,0.006549265701323748,0.6276928186416626,0.026847142726182938,1.0,5598645425.6,132069.79984522,506,13.38,0.0,0.001,83
690000,1342,0.009473757818341255,0.6259194016456604,0.04101996123790741,1.0,6561115891.2,131476.93966123,513,13.11,0.0,0.001,84
700000,1341,0.006668584421277046,0.6255733370780945,0.03262842446565628,1.0,5844066015.2,131276.58025764002,521,13.02,0.0,0.001,85
710000,1342,0.00968832615762949,0.6250695586204529,0.028596578165888786,1.0,5047921651.2,128293.81405475,528,23.19,0.0,0.001,86
720000,1342,0.007394694723188877,0.6248112916946411,0.024963898584246635,1.0,5021662431.2,132284.22619185,536,12.98,-1.1920928955078125e-07,0.001,87
730000,1339,0.006615484599024057,0.6243370175361633,0.03157397359609604,1.0,6383280660.0,131763.19495155,545,13.48,1.1920928955078125e-07,0.001,89
740000,1340,0.006517054978758097,0.624620795249939,0.032468751072883606,1.0,5726312584.0,131865.30708671,552,13.58,0.0,0.001,90
750000,1340,0.0065620094537734985,0.6239349246025085,0.03145008906722069,1.0,6471107669.6,130459.21589878,559,13.22,0.0,0.001,91
760000,1341,0.00869804434478283,0.623892605304718,0.02996990457177162,1.0,6683707572.8,132072.08150978002,566,13.27,0.0,0.001,92
770000,1342,0.00766693614423275,0.6180611848831177,0.03581223264336586,1.0,6570707328.8,131674.89984425,573,13.15,0.0,0.001,93
780000,1339,0.006272232625633478,0.6162324547767639,0.02160516008734703,1.0,5695481492.8,132792.53801534,582,12.92,0.0,0.001,95
790000,1339,0.0074378689751029015,0.6151529550552368,0.02649504318833351,1.0,5710183089.6,132286.92087979,589,13.16,1.1920928955078125e-07,0.001,96
800000,1340,0.0076173339039087296,0.6128453612327576,0.032931964844465256,1.0,6580398711.2,132057.89647019,596,13.41,0.0,0.001,97
810000,1340,0.009186646901071072,0.613114058971405,0.04078741371631622,1.0,5848203316.0,132170.70500071,604,13.28,1.1920928955078125e-07,0.001,98
820000,1337,0.006847515236586332,0.6116355657577515,0.03745674341917038,1.0,5758922864.8,129532.19464649,612,22.93,1.7881393432617188e-07,0.001,100
830000,1337,0.008779751136898994,0.610438346862793,0.02783231995999813,1.0,6678162706.4,132885.21171338,620,12.98,-1.1920928955078125e-07,0.001,101
840000,1337,0.00783147569745779,0.6086024045944214,0.02828914113342762,1.0,6678621029.6,132391.59680623,627,12.83,0.0,0.001,102
850000,1338,0.006259252782911062,0.6070629954338074,0.017011506482958794,1.0,5840412075.2,132360.97193410003,635,13.69,-1.1920928955078125e-07,0.001,103
860000,1338,0.00851686205714941,0.6059086322784424,0.030554529279470444,1.0,6467063120.8,132086.59967818,642,12.79,-2.384185791015625e-07,0.001,104
