train/entropy_loss,time/fps,train/learning_rate,train/approx_kl,rollout/ep_rew_mean,train/loss,train/std,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/n_updates,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean
-17.027775017917158,260,0.0003,0.00012072427,-1137129.27339764,20995272704.0,1.0000876188278198,0.2,-0.0004819626603875804,0.0,-2.5033950805664062e-06,42000070777.6,10,10000,38,79.79
-17.028363010287286,52,0.0003,0.0001218545,-1121256.8250647702,21966960640.0,1.0000921487808228,0.2,-0.0005155255717909313,0.0,0.0,43936821097.6,20,20000,383,78.08
-17.028302831947805,76,0.0003,0.00016617725,-1223361.6768943102,20146802688.0,1.0000803470611572,0.2,-0.0006347204585836153,0.0,0.0,41257581424.0,30,30000,392,85.67
-17.028289878368376,92,0.0003,9.674713e-05,-1040929.99961991,21801385984.0,1.0000861883163452,0.2,-0.00042138046628679147,0.0,0.0,43646934179.2,40,40000,430,71.38
-17.027792832255365,109,0.0003,0.00025857444,-1057373.09201651,20559446016.0,0.9999849200248718,0.2,-0.0009786626120330765,0.0,0.0,41237193481.6,60,50000,457,73.45
-17.026572421193123,128,0.0003,7.9766745e-05,-1202725.34424101,19853215744.0,0.9999017715454102,0.2,-0.00041445965925959174,0.0,0.0,42807576841.6,70,60000,466,84.01
-17.02614908069372,147,0.0003,4.138024e-05,-1244948.7142220999,22010515456.0,0.9999189376831055,0.2,-0.0002864592644982622,0.0,-1.1920928955078125e-07,43911582195.2,80,70000,475,88.01
-17.026255445182322,165,0.0003,7.103689e-05,-1219801.11829599,21450244096.0,0.9999158382415771,0.2,-0.00031008634587124104,0.0,0.0,42247724048.0,90,80000,483,85.92
-17.02671081572771,182,0.0003,0.00012943764,-954143.1406256199,19982938112.0,0.9999915957450867,0.2,-0.0005466452135806321,0.0,0.0,43115492496.0,100,90000,492,66.73
-17.027927808463573,198,0.0003,3.560115e-05,-1182636.0845883903,19920726016.0,1.0000869035720825,0.2,-0.000209190072837373,0.0,0.0,42219880355.2,120,100000,505,82.85
-17.028456865251066,214,0.0003,5.0965144e-05,-1133687.81510662,20126273536.0,1.0001139640808105,0.2,-0.0002416258324046794,0.0,0.0,41072972432.0,130,110000,513,80.45
