train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/std,train/n_updates,train/explained_variance,time/total_timesteps,train/value_loss,train/policy_loss,train/learning_rate,time/fps
-21.292747497558594,-334819.69545594,59.19,6,1.0006320476531982,124,1.1861324310302734e-05,10000,839839168.0,-448138.25,0.0001,1615
-21.292531967163086,-311554.29594034,53.57,12,1.0005767345428467,249,1.3768672943115234e-05,20000,1899928192.0,-826547.9375,0.0001,1628
-21.291038513183594,-315649.85346583,54.88,18,1.0004225969314575,374,-4.887580871582031e-06,30000,1559032192.0,-629656.5,0.0001,1631
-21.291454315185547,-328876.50010188,59.5,24,1.000475287437439,499,-5.7220458984375e-06,40000,1621115648.0,-738036.1875,0.0001,1631
-21.29336166381836,-319189.63325788005,58.68,30,1.0006219148635864,624,5.066394805908203e-06,50000,1393675904.0,-554978.8125,0.0001,1633
-21.288890838623047,-314417.2591069601,55.0,36,1.0003443956375122,749,6.556510925292969e-07,60000,1495565312.0,-573648.125,0.0001,1631
-21.29104995727539,-290193.04054541,52.98,42,1.000502109527588,874,6.556510925292969e-07,70000,1454253696.0,-608208.9375,0.0001,1632
-21.291696548461914,-281309.11502489005,53.14,49,1.0005306005477905,999,-2.9802322387695312e-06,80000,1284470784.0,-556620.6875,0.0001,1632
-21.294532775878906,-338888.02160716004,64.72,55,1.0007141828536987,1124,-8.344650268554688e-07,90000,1882325248.0,-618376.75,0.0001,1632
-21.296031951904297,-286343.71469815995,53.06,61,1.0007590055465698,1249,1.1920928955078125e-07,100000,1998993152.0,-708143.9375,0.0001,1633
-21.286972045898438,-263785.46814583,47.55,67,1.0002483129501343,1374,0.0,110000,579026496.0,-421811.3125,0.0001,1633
-21.283449172973633,-259156.23227920002,49.01,73,0.9999678134918213,1499,0.0,120000,1074020480.0,-544308.75,0.0001,1634
-21.279895782470703,-282804.36920282006,54.22,79,0.9997449517250061,1624,-1.1920928955078125e-07,130000,1278889856.0,-549498.4375,0.0001,1634
-21.26968002319336,-240734.35353333,44.93,85,0.9990724325180054,1749,-1.1920928955078125e-07,140000,2061354368.0,-690508.0625,0.0001,1635
-21.274856567382812,-239455.20924218,44.53,91,0.9993925094604492,1874,0.0,150000,1046245056.0,-498524.40625,0.0001,1636
