train/kl_divergence_loss,train/learning_rate,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/explained_variance,train/std,train/is_line_search_success,rollout/ep_len_mean,train/policy_objective,train/n_updates
0.0051820226944983006,0.0013,10000,1429,6,-333069.07681483997,7415357455.2,-1.1920928955078125e-07,1.0017589330673218,1.0,58.95,0.07479199767112732,1
0.004282432608306408,0.0013,20000,1452,13,-240660.96585924,6482498551.2,0.0,0.9985973834991455,1.0,45.64,0.06311633437871933,2
0.0044433376751840115,0.0013,30000,1450,20,-211383.57430874,6186853077.6,0.0,1.0000523328781128,1.0,44.35,0.06240319833159447,3
0.004722680430859327,0.0013,40000,1457,27,-198190.50632922002,5162139549.2,-1.1920928955078125e-07,0.998874306678772,1.0,40.24,0.0655311793088913,4
0.004074887838214636,0.0013,50000,1406,35,-190122.99602206002,4651058668.4,-2.384185791015625e-07,0.9906604886054993,1.0,40.6,0.058274783194065094,6
0.004379440564662218,0.0013,60000,1418,42,-203656.21606616996,4562555180.8,0.0,0.991949200630188,1.0,49.05,0.06255941092967987,7
0.004954030271619558,0.0013,70000,1422,49,-173758.16624685,4111807806.4,1.1920928955078125e-07,0.9930801391601562,1.0,42.0,0.07117567211389542,8
0.004889283794909716,0.0013,80000,1425,56,-149434.12514386003,4022744793.2,0.0,0.9888827800750732,1.0,36.02,0.06785523146390915,9
0.004173238296061754,0.0013,90000,1431,62,-151021.71678636,4033003609.6,0.0,0.9788156747817993,1.0,35.68,0.06732430309057236,10
0.004810848738998175,0.0013,100000,1414,70,-166552.12121588,3832049004.4,0.0,0.9754034280776978,1.0,45.25,0.0712895616889,12
0.004930159542709589,0.0013,110000,1421,77,-150114.73353561002,3208527235.6,0.0,0.9770442843437195,1.0,43.44,0.07097402960062027,13
0.005247688386589289,0.0013,120000,1420,84,-147972.25416435002,3323604270.8,-1.1920928955078125e-07,0.9750033020973206,1.0,43.04,0.06502032279968262,14
0.005281493533402681,0.0013,130000,1418,91,-145393.79342625,3231404532.0,1.1920928955078125e-07,0.9678231477737427,1.0,41.42,0.06734021753072739,15
0.005346732214093208,0.0013,140000,1403,99,-142201.62901733,3267700730.4,0.0,0.9536442160606384,1.0,40.31,0.07130105048418045,17
0.0052330889739096165,0.0013,150000,1407,106,-155578.96422431,3173175526.0,-1.1920928955078125e-07,0.9452857971191406,1.0,46.44,0.07151644676923752,18
0.005981318186968565,0.0013,160000,1411,113,-128298.31449045002,3268299042.4,0.0,0.9385040998458862,1.0,39.05,0.0746852308511734,19
0.006323160603642464,0.0013,170000,1411,120,-136404.88335512002,3158012178.0,0.0,0.9388729333877563,1.0,42.05,0.07591119408607483,20
0.005660912953317165,0.0013,180000,1411,127,-140216.71999632,3158489489.2,0.0,0.9353916049003601,1.0,44.28,0.07145541161298752,21
0.005802773404866457,0.0013,190000,1401,135,-141634.12139145,2870136927.0,-1.1920928955078125e-07,0.9267218112945557,1.0,43.86,0.06503847241401672,23
0.005858853459358215,0.0013,200000,1405,142,-128061.42901833,2822503862.4,0.0,0.9215194582939148,1.0,40.4,0.06664735823869705,24
0.006585168652236462,0.0013,210000,1408,149,-129878.29162797998,3071303060.0,0.0,0.9194801449775696,1.0,43.4,0.07218437641859055,25
0.006632192060351372,0.0013,220000,1412,155,-137035.80668972002,2765711671.6,-1.1920928955078125e-07,0.9134809374809265,1.0,46.0,0.07598637044429779,26
0.006283952854573727,0.0013,230000,1401,164,-130668.67026955,2559133904.2,0.0,0.9195404052734375,1.0,43.68,0.07728976756334305,28
0.006761111319065094,0.0013,240000,1404,170,-125377.32470054,2801968018.0,-2.384185791015625e-07,0.9201024770736694,1.0,39.83,0.0758524164557457,29
0.007048030849546194,0.0013,250000,1406,177,-123231.23876019,2717809107.6,1.1920928955078125e-07,0.9222651124000549,1.0,42.47,0.08215560019016266,30
0.006732659880071878,0.0013,260000,1409,184,-126724.12106812,2572155724.2,-1.1920928955078125e-07,0.9214041829109192,1.0,44.59,0.06983616948127747,31
0.00645440025255084,0.0013,270000,1408,191,-140643.40344261,2684525922.6,-1.1920928955078125e-07,0.9212357401847839,1.0,50.69,0.07152226567268372,32
0.0069641475565731525,0.0013,280000,1400,199,-161735.42375597998,2591146020.0,0.0,0.9230794310569763,1.0,62.27,0.07377296686172485,34
0.006808270234614611,0.0013,290000,1402,206,-147728.47388380996,2404370983.8,5.960464477539063e-08,0.9202998280525208,1.0,54.54,0.07573960721492767,35
0.007459025364369154,0.0013,300000,1402,213,-127338.79692472,2599764187.6,0.0,0.9176443815231323,1.0,50.83,0.07055487483739853,36
0.006852268241345882,0.0013,310000,1404,220,-124201.69764181,2382988959.4,0.0,0.9133565425872803,1.0,50.79,0.07227218896150589,37
0.007947860285639763,0.0013,320000,1397,228,-124158.29036640999,2249766591.6,0.0,0.9059287309646606,1.0,49.03,0.07562562823295593,39
0.007536187767982483,0.0013,330000,1399,235,-152063.21680703002,2108462107.4,-1.1920928955078125e-07,0.9069624543190002,1.0,66.27,0.07544746994972229,40
0.007264670915901661,0.0013,340000,1400,242,-137125.61063576,2267140226.8,1.1920928955078125e-07,0.9045430421829224,1.0,56.48,0.09509501606225967,41
0.007567799184471369,0.0013,350000,1401,249,-119713.29196645,2088421312.0,0.0,0.9005990624427795,1.0,50.76,0.06873968988656998,42
