train/value_loss,time/total_timesteps,train/explained_variance,rollout/ep_rew_mean,time/fps,train/learning_rate,train/is_line_search_success,rollout/ep_len_mean,time/time_elapsed,train/policy_objective,train/std,train/kl_divergence_loss,train/n_updates
11203992984.0,350000,2.384185791015625e-07,-132520.46866321002,1156,0.001,1.0,4.72,302,0.04433898255228996,0.8251510262489319,0.0072609055787324905,42
10807190939.2,360000,1.1920928955078125e-07,-131913.71900992,1156,0.001,1.0,4.67,311,0.054008178412914276,0.8214401602745056,0.009832385927438736,43
10846391065.6,370000,1.7881393432617188e-07,-128741.90110341001,1150,0.001,1.0,4.31,321,0.05137816444039345,0.811461329460144,0.006444482132792473,45
10770694488.0,380000,-2.384185791015625e-07,-131163.80034341002,1150,0.001,1.0,4.57,330,0.007712813559919596,0.8096218109130859,0.0031734597869217396,46
10956165430.4,390000,5.960464477539063e-08,-129565.95440426002,1150,0.001,1.0,4.43,339,0.0545564629137516,0.8072640895843506,0.008387444540858269,47
10751839276.8,400000,0.0,-128277.95761914998,1149,0.001,1.0,4.27,347,0.026127442717552185,0.8034813404083252,0.008920002728700638,48
10580827259.2,410000,5.960464477539063e-08,-128084.31579839,1144,0.001,1.0,4.25,358,0.056161943823099136,0.7971985936164856,0.009582730010151863,50
10485645019.2,420000,0.0,-126886.74728783,1143,0.001,1.0,4.11,367,0.03571326658129692,0.7944839596748352,0.0077289859764277935,51
10561555060.8,430000,0.0,-126930.49924774001,1143,0.001,1.0,4.11,376,0.044845663011074066,0.7911505103111267,0.009204172529280186,52
10451023568.0,440000,0.0,-126816.77367013998,1143,0.001,1.0,4.12,384,0.03695954382419586,0.7895647883415222,0.007584342733025551,53
10504245384.0,450000,0.0,-127967.19485551001,1143,0.001,1.0,4.22,393,0.01825527474284172,0.7880715131759644,0.005085329990833998,54
10513602499.2,460000,0.0,-127316.07852858998,1138,0.001,1.0,4.15,404,0.03914031758904457,0.7824588418006897,0.007748382166028023,56
10490343928.0,470000,1.7881393432617188e-07,-126922.72044959001,1138,0.001,1.0,4.12,412,0.03048061765730381,0.7812735438346863,0.007300013210624456,57
10424528657.6,480000,0.0,-126659.12025427999,1138,0.001,1.0,4.07,421,0.04791642352938652,0.778907060623169,0.009243897162377834,58
10377227566.4,490000,5.960464477539063e-08,-126264.95395195998,1138,0.001,1.0,4.03,430,0.06935885548591614,0.7783787250518799,0.006804634351283312,59
10377399764.8,500000,0.0,-126813.65485074998,1134,0.001,1.0,4.1,440,0.035050299018621445,0.7749620676040649,0.009952474385499954,61
10375341401.6,510000,0.0,-125972.77780192999,1134,0.001,1.0,4.02,449,0.03257325291633606,0.7734804749488831,0.008641411550343037,62
10330543464.0,520000,-1.1920928955078125e-07,-125837.06505713002,1134,0.001,1.0,4.0,458,0.026930000633001328,0.7716845273971558,0.0073913466185331345,63
10313568937.6,530000,0.0,-125992.45420961002,1135,0.001,1.0,4.03,466,0.020802846178412437,0.7678056359291077,0.008586470037698746,64
10303574193.6,540000,0.0,-126048.37301499998,1135,0.001,1.0,4.04,475,0.01859603077173233,0.7656713724136353,0.0058127762749791145,65
10297002784.0,550000,5.960464477539063e-08,-125722.20507781999,1132,0.001,1.0,4.01,485,0.038341179490089417,0.7588453888893127,0.008598175831139088,67
10341635654.4,560000,-1.1920928955078125e-07,-126009.41050420002,1132,0.001,1.0,4.04,494,0.018381010740995407,0.7590102553367615,0.0031598014757037163,68
10269126849.6,570000,0.0,-125699.75633603001,1132,0.001,1.0,4.02,503,0.025798527523875237,0.757264256477356,0.008104328066110611,69
10237308734.4,580000,0.0,-126084.63448744999,1132,0.001,1.0,4.06,512,0.022297833114862442,0.7573044896125793,0.006512089166790247,70
10229367633.6,590000,1.1920928955078125e-07,-126866.89422578001,1129,0.001,1.0,4.12,522,0.034494251012802124,0.7524822354316711,0.009163751266896725,72
10228751464.0,600000,0.0,-125824.32187217,1129,0.001,1.0,4.03,531,0.018001846969127655,0.7525095343589783,0.00588526064530015,73
10247122256.0,610000,1.1920928955078125e-07,-126120.68339333002,1129,0.001,1.0,4.06,539,0.03970127925276756,0.7517130374908447,0.007896586321294308,74
10248125385.6,620000,0.0,-125632.07189136998,1130,0.001,1.0,4.02,548,0.02360828034579754,0.7517610192298889,0.00618713116273284,75
11016969840.0,630000,0.0,-125690.81812332997,1130,0.001,1.0,4.02,557,0.07995854318141937,0.7514896988868713,0.006843746639788151,76
10187895326.4,640000,0.0,-125918.12440580002,1128,0.001,1.0,4.06,567,0.018554026260972023,0.748919665813446,0.009950858540832996,78
10157410784.0,650000,0.0,-125743.58658568999,1128,0.001,1.0,4.03,575,0.03444025665521622,0.7465060353279114,0.007219221908599138,79
10148490124.8,660000,-1.1920928955078125e-07,-125473.58179010998,1129,0.001,1.0,4.01,584,0.02467864751815796,0.7426002025604248,0.007141558453440666,80
10278569385.6,670000,0.0,-125521.97145492,1129,0.001,1.0,4.01,593,0.03874418884515762,0.7444741129875183,0.00861311238259077,81
10112640542.4,680000,0.0,-125660.38260711003,1126,0.001,1.0,4.03,603,0.03942316398024559,0.7434784173965454,0.009958128444850445,83
10158172699.2,690000,0.0,-125953.89837299999,1127,0.001,1.0,4.06,612,0.024923745542764664,0.7435488104820251,0.006119013763964176,84
10105973481.6,700000,0.0,-125856.53971416,1127,0.001,1.0,4.06,620,0.041094277054071426,0.7432510852813721,0.007156012579798698,85
10080717908.8,710000,-1.1920928955078125e-07,-125677.51015389999,1128,0.001,1.0,4.03,629,0.030017126351594925,0.7421913146972656,0.006970967166125774,86
10088792964.8,720000,0.0,-125766.84971861001,1128,0.001,1.0,4.03,638,0.04033709317445755,0.7431588768959045,0.007475678808987141,87
10055935304.0,730000,-1.1920928955078125e-07,-125817.29176117,1125,0.001,1.0,4.06,648,0.02748524211347103,0.7403643131256104,0.00815899670124054,89
10080406945.6,740000,-1.1920928955078125e-07,-125451.98950745001,1126,0.001,1.0,4.02,656,0.03423960506916046,0.7388824820518494,0.00500175217166543,90
10028293140.8,750000,0.0,-125795.12533017002,1127,0.001,1.0,4.06,665,0.021664997562766075,0.7377267479896545,0.008221054449677467,91
10136189187.2,760000,1.1920928955078125e-07,-131302.73091487,1127,0.001,1.0,4.43,673,0.04478195682168007,0.7381631135940552,0.0069169700145721436,92
10173568476.8,770000,0.0,-125826.18426687,1127,0.001,1.0,4.06,682,0.04258979484438896,0.73752760887146,0.00822632946074009,93
10185998163.2,780000,0.0,-125731.63777680001,1125,0.001,1.0,4.05,693,0.0408659353852272,0.7365230917930603,0.0065389471128582954,95
9991905046.4,790000,0.0,-125527.80436984001,1125,0.001,1.0,4.03,702,0.023429300636053085,0.7362684011459351,0.008621295914053917,96
9972354988.8,800000,0.0,-125307.23912079001,1125,0.001,1.0,4.01,711,0.023109816014766693,0.7346155047416687,0.005671034101396799,97
10061306129.6,810000,-2.384185791015625e-07,-125333.94109301001,1125,0.001,1.0,4.02,719,0.049241967499256134,0.7327629327774048,0.009656530804932117,98
11847250617.6,820000,0.0,-125456.11570434998,1123,0.001,1.0,4.04,730,0.08871062844991684,0.7315070629119873,0.005094911437481642,100
9993713945.6,830000,1.1920928955078125e-07,-125604.13474428,1123,0.001,1.0,4.06,738,0.03288945183157921,0.7311265468597412,0.0026839107740670443,101
10352007894.4,840000,1.1920928955078125e-07,-125531.54179008,1123,0.001,1.0,4.05,747,0.030912134796380997,0.7306877970695496,0.004748218227177858,102
10815789075.2,850000,-1.1920928955078125e-07,-133216.70974229,1123,0.001,1.0,4.71,756,0.06729263067245483,0.7304728031158447,0.007084183860570192,103
10770023462.4,860000,1.7881393432617188e-07,-125356.60891931999,1123,0.001,1.0,4.03,765,0.060925573110580444,0.7314910292625427,0.0067147803492844105,104
10564545491.2,870000,0.0,-126786.55273,1121,0.001,1.0,4.17,775,0.06888711452484131,0.7315925359725952,0.004770028870552778,106
9923919800.0,880000,-1.1920928955078125e-07,-125081.89466137,1121,0.001,1.0,4.0,784,0.03916274756193161,0.730456531047821,0.008284765295684338,107
9875983315.2,890000,0.0,-125310.48209317999,1121,0.001,1.0,4.03,793,0.02963465452194214,0.7304506897926331,0.007030503824353218,108
9870496689.6,900000,5.960464477539063e-08,-125608.33676891001,1121,0.001,1.0,4.06,802,0.02154001221060753,0.7282689213752747,0.009394749067723751,109
9843049651.2,910000,1.1920928955078125e-07,-125146.48062564999,1120,0.001,1.0,4.02,812,0.03771412372589111,0.7292177081108093,0.00868129264563322,111
9903043449.6,920000,-1.1920928955078125e-07,-125176.90718977002,1120,0.001,1.0,4.03,820,0.03187479451298714,0.7289100289344788,0.0067018428817391396,112
9856297904.0,930000,0.0,-125155.66557923,1120,0.001,1.0,4.03,829,0.02485288307070732,0.7291994094848633,0.006449798122048378,113
10137778918.4,940000,0.0,-127106.10433206001,1121,0.001,1.0,4.22,838,0.01894390769302845,0.7283815741539001,0.004689766094088554,114
10225091089.6,950000,0.0,-126721.52920891001,1121,0.001,1.0,4.18,846,0.04468688368797302,0.728430449962616,0.005978292319923639,115
9816990216.0,960000,-1.1920928955078125e-07,-125939.23867376,1120,0.001,1.0,4.11,857,0.016723109409213066,0.7271101474761963,0.006072869058698416,117
10305467204.8,970000,5.960464477539063e-08,-125538.34232104002,1120,0.001,1.0,4.07,865,0.053122378885746,0.727088212966919,0.007838599383831024,118
10363602040.0,980000,0.0,-125881.89377034002,1121,0.001,1.0,4.11,874,0.06649521738290787,0.726913332939148,0.005212836433202028,119
9788445251.2,990000,0.0,-125124.81249103001,1121,0.001,1.0,4.0,882,0.025498028844594955,0.7270243763923645,0.006261223461478949,120
9784055868.8,1000000,5.960464477539063e-08,-125303.24144593999,1120,0.001,1.0,4.04,892,0.029182376340031624,0.7259226441383362,0.006278475280851126,122
