train/value_loss,time/total_timesteps,train/explained_variance,rollout/ep_rew_mean,time/fps,train/learning_rate,train/is_line_search_success,rollout/ep_len_mean,time/time_elapsed,train/policy_objective,train/std,train/kl_divergence_loss,train/n_updates
41094607987.2,10000,3.5762786865234375e-07,-619628.64619011,1168,0.001,1.0,38.07,8,0.07824861258268356,0.9985615611076355,0.005378321744501591,1
36900934553.6,20000,0.0,-452722.95667072997,1204,0.001,1.0,27.6,16,0.07174647599458694,1.0029851198196411,0.00509897293522954,2
34283358339.2,30000,1.1920928955078125e-07,-455734.17128993996,1223,0.001,1.0,28.51,24,0.0716257244348526,0.9995650053024292,0.004976140800863504,3
32959829241.6,40000,0.0,-371037.30441476003,1226,0.001,1.0,22.83,32,0.061174944043159485,0.9956520199775696,0.004075034521520138,4
26431525792.0,50000,-1.1920928955078125e-07,-402911.53349316004,1184,0.001,1.0,25.78,42,0.06410839408636093,0.9955867528915405,0.004372557159513235,6
25733284646.4,60000,-1.1920928955078125e-07,-309050.46211793006,1190,0.001,1.0,18.93,50,0.0680004358291626,1.000161051750183,0.0040774219669401646,7
25471011868.8,70000,0.0,-267636.58178521995,1197,0.001,1.0,15.61,58,0.06678129732608795,0.9952380061149597,0.004530008416622877,8
24338126252.8,80000,0.0,-302259.8833511401,1201,0.001,1.0,18.4,66,0.05886758491396904,0.9886633157730103,0.004860995803028345,9
22211180288.0,90000,0.0,-269890.16228501,1204,0.001,1.0,16.28,74,0.07284295558929443,0.9814146757125854,0.005858569871634245,10
19244828955.2,100000,1.7881393432617188e-07,-216188.91725858997,1187,0.001,1.0,11.94,84,0.07952077686786652,0.9767094254493713,0.0049921246245503426,12
18972081654.4,110000,5.960464477539063e-08,-189144.55066371002,1189,0.001,1.0,9.61,92,0.07653721421957016,0.9678582549095154,0.005432321690022945,13
17005420126.4,120000,3.5762786865234375e-07,-195756.72511009005,1192,0.001,1.0,10.31,100,0.07192082703113556,0.9625013470649719,0.004643148742616177,14
17137801912.0,130000,0.0,-208368.83307238,1194,0.001,1.0,11.53,108,0.0732453316450119,0.9511669874191284,0.005379687529057264,15
15033008011.2,140000,2.384185791015625e-07,-191371.42905297998,1183,0.001,1.0,9.98,118,0.06814610213041306,0.9372183084487915,0.005504878703504801,17
14990848110.4,150000,0.0,-180823.94900241002,1185,0.001,1.0,9.15,126,0.07147758454084396,0.930543839931488,0.005503309890627861,18
14956938676.8,160000,0.0,-184577.73851430003,1187,0.001,1.0,9.56,134,0.06947115808725357,0.9201476573944092,0.005265193525701761,19
14315348416.0,170000,-1.1920928955078125e-07,-160312.46855313002,1187,0.001,1.0,7.33,143,0.07437718659639359,0.9174291491508484,0.005242630839347839,20
13384394756.8,180000,-2.384185791015625e-07,-171275.59525612005,1187,0.001,1.0,8.21,151,0.06888783723115921,0.9136597514152527,0.006096281576901674,21
13667416398.4,190000,0.0,-160724.97898559002,1179,0.001,1.0,7.31,161,0.09714669734239578,0.9085182547569275,0.005971130914986134,23
12741694147.2,200000,-2.384185791015625e-07,-152122.12060673,1180,0.001,1.0,6.6,169,0.06085779517889023,0.9041646718978882,0.006358489394187927,24
12397450572.8,210000,0.0,-156911.7687863,1180,0.001,1.0,6.96,177,0.064754918217659,0.9038810729980469,0.0054580229334533215,25
12321398963.2,220000,-1.1920928955078125e-07,-149615.32448323,1181,0.001,1.0,6.34,186,0.05026289075613022,0.8932486176490784,0.005514942575246096,26
11822478459.2,230000,-1.1920928955078125e-07,-142799.88805261,1173,0.001,1.0,5.71,196,0.05805044248700142,0.8882789611816406,0.006459941156208515,28
12111329409.6,240000,-1.1920928955078125e-07,-145594.45607478,1173,0.001,1.0,5.96,204,0.0454016737639904,0.8815343976020813,0.007703781593590975,29
12033492361.6,250000,0.0,-142615.57598941,1173,0.001,1.0,5.68,213,0.06585468351840973,0.8786599636077881,0.006026968825608492,30
11635790630.4,260000,0.0,-145389.07771279,1173,0.001,1.0,5.99,221,0.05143905058503151,0.8760964274406433,0.006462964694947004,31
11682796934.4,270000,1.7881393432617188e-07,-141698.67050391997,1173,0.001,1.0,5.63,230,0.05113305523991585,0.8716596364974976,0.006208285689353943,32
11587543164.8,280000,1.7881393432617188e-07,-141812.48016029,1165,0.001,1.0,5.63,240,0.06283890455961227,0.8598104119300842,0.007078886032104492,34
11274959961.6,290000,0.0,-139629.49369981998,1164,0.001,1.0,5.37,248,0.08077379316091537,0.8535116314888,0.006891834083944559,35
11095275601.6,300000,5.960464477539063e-08,-136273.70689875,1164,0.001,1.0,5.12,257,0.06268053501844406,0.8502404689788818,0.006336010526865721,36
11140220161.6,310000,-1.1920928955078125e-07,-137814.94646141,1163,0.001,1.0,5.22,266,0.05313253775238991,0.8448852300643921,0.005267850123345852,37
10960623793.6,320000,0.0,-134978.62742279,1157,0.001,1.0,5.0,276,0.043095026165246964,0.8367080688476562,0.0068283528089523315,39
10962678558.4,330000,0.0,-132977.99503175,1156,0.001,1.0,4.81,285,0.050701841711997986,0.8348026871681213,0.007169407792389393,40
10813884504.0,340000,-1.1920928955078125e-07,-131562.85350735998,1156,0.001,1.0,4.62,294,0.050811342895030975,0.8279308080673218,0.008305239491164684,41
