time/total_timesteps,train/n_updates,train/learning_rate,rollout/ep_rew_mean,time/fps,train/entropy_loss,time/time_elapsed,train/policy_loss,train/explained_variance,train/std,train/value_loss,rollout/ep_len_mean
240000,2999,0.0001,-187074.95733516003,3557,-8.471454620361328,67,-42110.73046875,0.0,0.9930155873298645,60350764.0,118.57
250000,3124,0.0001,-174948.19282995,3556,-8.470636367797852,70,-115704.078125,0.0,0.9928968548774719,671026816.0,103.63
260000,3249,0.0001,-175681.65226213995,3555,-8.466144561767578,73,-152531.890625,0.0,0.9921756386756897,1065222528.0,105.14
270000,3374,0.0001,-179814.18042248997,3554,-8.466852188110352,75,-85823.1328125,1.1920928955078125e-07,0.9922764897346497,232486880.0,116.97
280000,3499,0.0001,-182498.48055668,3552,-8.466955184936523,78,-17625.490234375,0.0,0.9923250079154968,32564524.0,121.12
290000,3624,0.0001,-175338.73012624003,3551,-8.46528434753418,81,-126820.328125,-1.1920928955078125e-07,0.9920325875282288,723699904.0,117.16
300000,3749,0.0001,-192419.66880526004,3551,-8.460140228271484,84,-102316.7578125,-1.1920928955078125e-07,0.9911923408508301,581482048.0,134.26
310000,3874,0.0001,-184956.49344182,3550,-8.457064628601074,87,-111596.390625,-1.1920928955078125e-07,0.9907646179199219,871561408.0,121.24
320000,3999,0.0001,-183760.30516908,3549,-8.45683479309082,90,-125271.8515625,0.0,0.9906796813011169,812139456.0,121.35
330000,4124,0.0001,-177273.95540749,3548,-8.457205772399902,92,-136013.8125,0.0,0.9906787872314453,815945984.0,119.14
340000,4249,0.0001,-181802.02674044002,3548,-8.455093383789062,95,-29727.796875,0.0,0.9903707504272461,25136326.0,129.96
350000,4374,0.0001,-175532.67701934,3540,-8.452905654907227,98,-39769.3671875,0.0,0.9900413155555725,55799432.0,123.44
360000,4499,0.0001,-164635.38880647,3539,-8.449201583862305,101,361.5361328125,0.0,0.9896683692932129,7468761.5,113.4
370000,4624,0.0001,-157466.66962005,3539,-8.449474334716797,104,-57181.3203125,-1.1920928955078125e-07,0.989389181137085,317025152.0,99.59
380000,4749,0.0001,-156260.11221922,3537,-8.443553924560547,107,-49044.1796875,0.0,0.9884490370750427,81065968.0,98.13
390000,4874,0.0001,-157236.83656976,3536,-8.445128440856934,110,-101514.984375,0.0,0.9887144565582275,585877632.0,106.53
400000,4999,0.0001,-169842.34055084002,3536,-8.440550804138184,113,-46170.84765625,0.0,0.9879856109619141,54759444.0,124.36
410000,5124,0.0001,-151690.21056878997,3535,-8.437816619873047,115,-106850.125,0.0,0.9875120520591736,774923264.0,103.0
420000,5249,0.0001,-158339.60398874,3535,-8.433940887451172,118,-50897.7109375,-1.1920928955078125e-07,0.986940324306488,83682160.0,105.97
430000,5374,0.0001,-150414.06947734,3534,-8.434212684631348,121,-86020.09375,0.0,0.9870092868804932,563378432.0,105.41
440000,5499,0.0001,-163817.63889651996,3533,-8.430713653564453,124,-31049.76953125,0.0,0.9864128232002258,250816048.0,120.13
450000,5624,0.0001,-161883.95682992003,3533,-8.424942016601562,127,-97220.453125,-1.1920928955078125e-07,0.985439121723175,559117760.0,126.35
460000,5749,0.0001,-153606.26775601,3532,-8.421703338623047,130,-68729.546875,0.0,0.9848852753639221,187281120.0,115.52
470000,5874,0.0001,-170374.45252536001,3531,-8.417613983154297,133,-87412.8125,0.0,0.9842992424964905,528277152.0,140.12
480000,5999,0.0001,-168431.71277896,3531,-8.416589736938477,135,-23027.515625,0.0,0.9841659069061279,43306720.0,135.37
490000,6124,0.0001,-176106.09666502,3530,-8.414093017578125,138,-42424.2890625,0.0,0.9836735725402832,90321944.0,147.34
500000,6249,0.0001,-148530.91995067,3529,-8.413366317749023,141,-95704.671875,0.0,0.983548641204834,606875008.0,108.24
510000,6374,0.0001,-162943.0501711,3528,-8.412652969360352,144,-83460.3984375,0.0,0.9834163784980774,525938496.0,122.46
520000,6499,0.0001,-157630.63617311002,3527,-8.411465644836426,147,-90506.6796875,0.0,0.9833190441131592,573636544.0,124.68
530000,6624,0.0001,-148856.00625439,3527,-8.409473419189453,150,-62212.78125,0.0,0.9829716086387634,521489088.0,122.08
540000,6749,0.0001,-142417.81741498,3526,-8.406682968139648,153,-119099.125,0.0,0.982517659664154,639286912.0,105.82
550000,6874,0.0001,-140449.25859682,3525,-8.40031623840332,155,-6678.22412109375,-1.1920928955078125e-07,0.9814786314964294,4766976.5,103.51
560000,6999,0.0001,-140513.03504839996,3524,-8.389728546142578,158,-37635.12109375,0.0,0.9797717928886414,74149584.0,105.39
570000,7124,0.0001,-143187.92476166002,3524,-8.386574745178223,161,-16409.44140625,-1.1920928955078125e-07,0.9792564511299133,15022230.0,110.7
580000,7249,0.0001,-140094.38368208997,3523,-8.386115074157715,164,-73674.015625,0.0,0.9792184233665466,517323424.0,114.3
590000,7374,0.0001,-136033.29538680002,3522,-8.385116577148438,167,-15516.2578125,0.0,0.9789299368858337,13309003.0,107.47
600000,7499,0.0001,-143414.13896634,3520,-8.386488914489746,170,-22642.9140625,0.0,0.9793166518211365,42672752.0,114.14
610000,7624,0.0001,-135846.91956034,3519,-8.383217811584473,173,-40665.2421875,0.0,0.978771984577179,89475560.0,107.0
620000,7749,0.0001,-128454.42669433999,3518,-8.379349708557129,176,-57632.6953125,0.0,0.9781263470649719,445444768.0,110.12
630000,7874,0.0001,-135157.18636800998,3517,-8.375000953674316,179,-183290.40625,1.1920928955078125e-07,0.9774147868156433,1642650624.0,128.58
640000,7999,0.0001,-126980.91872209997,3516,-8.37697696685791,181,-154880.34375,0.0,0.9777347445487976,1085329664.0,94.07
650000,8124,0.0001,-132729.12799603,3516,-8.369050025939941,184,-79982.3671875,0.0,0.9765360951423645,554975360.0,106.98
660000,8249,0.0001,-138684.17240312,3515,-8.366705894470215,187,-26839.962890625,0.0,0.9760956168174744,59302004.0,119.69
670000,8374,0.0001,-130156.53504245999,3514,-8.364307403564453,190,-84833.3359375,0.0,0.9757309556007385,560110912.0,107.38
680000,8499,0.0001,-137343.28814069,3513,-8.360614776611328,193,-86855.9609375,0.0,0.975101888179779,576752960.0,121.87
690000,8624,0.0001,-120646.15924085998,3512,-8.35739803314209,196,-7690.4736328125,0.0,0.9746317863464355,22513042.0,91.85
700000,8749,0.0001,-119778.03377357998,3512,-8.357519149780273,199,-5962.0283203125,0.0,0.9746319651603699,11275453.0,97.34
710000,8874,0.0001,-131559.1864727,3511,-8.35023307800293,202,-43099.8046875,0.0,0.9734048247337341,397670176.0,129.86
720000,8999,0.0001,-128901.99827678001,3511,-8.350104331970215,205,-12145.85546875,0.0,0.9734292030334473,19862754.0,123.14
730000,9124,0.0001,-134518.32232017998,3510,-8.349084854125977,207,-11545.5751953125,-1.1920928955078125e-07,0.9733269810676575,16115472.0,132.1
740000,9249,0.0001,-134552.79408598001,3510,-8.344438552856445,210,-6056.55224609375,0.0,0.97249835729599,21337878.0,136.05
750000,9374,0.0001,-139157.87255018,3510,-8.339812278747559,213,-41896.97265625,-1.1920928955078125e-07,0.9718297123908997,507707552.0,149.91
760000,9499,0.0001,-126863.17672780999,3509,-8.333858489990234,216,-91533.0703125,5.960464477539063e-08,0.970849335193634,539587200.0,126.3
770000,9624,0.0001,-127005.77884911999,3509,-8.32814884185791,219,-65278.2109375,-1.1920928955078125e-07,0.969857394695282,474221376.0,137.45
780000,9749,0.0001,-128132.82042486,3508,-8.327753067016602,222,-17241.92578125,5.960464477539063e-08,0.9698610901832581,16879502.0,142.88
790000,9874,0.0001,-125924.59189179,3508,-8.331192016601562,225,-9993.43359375,0.0,0.9704607129096985,8138334.5,138.69
800000,9999,0.0001,-133124.07983239,3507,-8.333792686462402,228,-77615.0625,0.0,0.9708173274993896,511869280.0,173.54
810000,10124,0.0001,-138025.86790242002,3508,-8.32975959777832,230,3653.25244140625,0.0,0.9703020453453064,3578444.0,198.98
820000,10249,0.0001,-133004.38405668997,3508,-8.322341918945312,233,-8002.82177734375,0.0,0.9690267443656921,6646161.5,192.18
830000,10374,0.0001,-130183.26400294,3508,-8.32182502746582,236,-70782.8984375,5.960464477539063e-08,0.968970000743866,547329728.0,206.57
840000,10499,0.0001,-136421.50484813002,3507,-8.320135116577148,239,-31322.556640625,0.0,0.968657910823822,301473888.0,230.09
850000,10624,0.0001,-141427.60069043,3507,-8.321245193481445,242,-76100.8984375,1.1920928955078125e-07,0.9688500761985779,520339200.0,266.55
860000,10749,0.0001,-142196.25082942998,3508,-8.318187713623047,245,-11253.4912109375,0.0,0.9683473706245422,11787491.0,289.15
870000,10874,0.0001,-138041.40397025,3508,-8.314682006835938,247,401.4477844238281,0.0,0.9678575396537781,156190.25,304.72
880000,10999,0.0001,-133510.77113103,3509,-8.310500144958496,250,-84939.234375,-1.1920928955078125e-07,0.9671192765235901,524956928.0,301.81
890000,11124,0.0001,-133182.87179291,3509,-8.30904483795166,253,3092.72314453125,0.0,0.9669747352600098,1151386.375,335.78
900000,11249,0.0001,-133426.18896425999,3509,-8.306572914123535,256,-5324.36962890625,0.0,0.9666150212287903,5429820.5,361.85
