train/entropy_loss,train/explained_variance,train/n_updates,time/time_elapsed,train/value_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/approx_kl,train/std,train/loss,time/fps,train/clip_range,train/policy_gradient_loss,rollout/ep_len_mean
-8.478701486438514,0.0,130,66,735294802.075,110000,-663491.0958649099,0.0003,0.0035400390625,0.0034936566,0.9935304522514343,301414848.0,1644,0.2,-0.002681025990023045,436.98
-8.47231541648507,1.1920928955078125e-07,140,72,839767547.05,120000,-654214.325377,0.0003,0.00330810546875,0.0030812328,0.9927456378936768,539497984.0,1656,0.2,-0.002941207269395818,448.03
-8.465888509899377,1.1920928955078125e-07,150,77,912126178.85,130000,-649373.0418767099,0.0003,0.00313720703125,0.0033452983,0.9913566708564758,448885632.0,1667,0.2,-0.0024427276060123406,452.3
-8.448309491574765,-1.1920928955078125e-07,170,86,668434348.425,140000,-620683.37001968,0.0003,0.0048828125,0.003420658,0.9882534146308899,364986112.0,1619,0.2,-0.0027252145220700184,439.42
-8.441187144070863,0.0,180,91,785988087.55,150000,-563672.23466818,0.0003,0.00013427734375,0.0018049227,0.9877572655677795,396309536.0,1630,0.2,-0.0014363022990437457,407.73
-8.441424217820167,0.0,190,97,839852103.625,160000,-536846.15613661,0.0003,0.0019775390625,0.0027150377,0.9882753491401672,455380160.0,1640,0.2,-0.0019093500121016404,393.03
-8.43802388086915,0.0,200,103,719903405.825,170000,-499891.08580110007,0.0003,0.0017333984375,0.0026658673,0.986644446849823,334101376.0,1649,0.2,-0.001876704304049781,376.82
-8.432369935512543,0.0,210,108,727284593.875,180000,-444457.53652554005,0.0003,0.01434326171875,0.004732782,0.9864284992218018,482751264.0,1656,0.2,-0.0035775626134636695,329.33
-8.415954788774252,0.0,230,117,722340427.65,190000,-449180.9376208199,0.0003,9.765625e-05,0.0016350418,0.9827572703361511,581841664.0,1621,0.2,-0.0015044351217511575,339.9
-8.403144328296184,0.0,240,122,666050578.0125,200000,-442014.70464803005,0.0003,0.0093017578125,0.004091401,0.9808111190795898,350787968.0,1629,0.2,-0.003220186497674149,342.54
-8.393753641098737,0.0,250,128,741155784.125,210000,-431402.50227947,0.0003,0.0239990234375,0.0052246433,0.9797247052192688,279735136.0,1637,0.2,-0.004833564603541163,332.49
-8.390783275663853,0.0,260,133,802115955.825,220000,-443027.08211137005,0.0003,0.00533447265625,0.0036126405,0.9797884821891785,390667360.0,1643,0.2,-0.002414645424505579,343.72
-8.384355814754963,1.1920928955078125e-07,280,142,772586908.3,230000,-438997.63445452007,0.0003,0.01761474609375,0.0049864743,0.9785861968994141,410704224.0,1615,0.2,-0.003550592408464581,338.09
-8.382462617009878,1.1920928955078125e-07,290,147,632546572.775,240000,-446630.5242717099,0.0003,0.00872802734375,0.004115595,0.9781196713447571,312400704.0,1623,0.2,-0.0026878408276388654,349.49
-8.37952339798212,0.0,300,153,741186689.675,250000,-410172.62055439,0.0003,0.00128173828125,0.0023437936,0.977809488773346,309770848.0,1629,0.2,-0.0014572009697076283,320.3
-8.374963581562042,-1.1920928955078125e-07,310,158,788803711.975,260000,-390088.2342437199,0.0003,1.220703125e-05,0.0008793643,0.9766461849212646,362251136.0,1635,0.2,-0.0011124565313366474,299.65
-8.370776928961277,-1.1920928955078125e-07,320,164,757672270.0,270000,-375813.41022758005,0.0003,0.0007080078125,0.0020964788,0.9764209389686584,231796000.0,1641,0.2,-0.0017770973510778277,286.2
-8.361605572700501,0.0,340,172,642059208.725,280000,-384825.06986412994,0.0003,0.0092529296875,0.0037363137,0.9744099974632263,436691296.0,1618,0.2,-0.0023595693910465343,302.29
-8.352613902837039,-2.384185791015625e-07,350,178,580986954.5875,290000,-399944.16204297,0.0003,0.01077880859375,0.004369718,0.9726927876472473,444356224.0,1624,0.2,-0.0030133088292132017,326.1
-8.342675221711398,0.0,360,184,658527186.825,300000,-367154.3640481101,0.0003,0.00435791015625,0.0030583292,0.9712543487548828,267549248.0,1629,0.2,-0.0015690767710111685,309.72
-8.340789154917001,0.0,370,189,679631080.05,310000,-369363.78414224996,0.0003,0.00133056640625,0.002411134,0.972148597240448,274042400.0,1635,0.2,-0.001735807327531802,319.53
