rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/step_size,rollout/return_std,train/iterations,train/delta_std,train/learning_rate
1000.0,3481,-19891779.364102498,2,10000,,,,,
1000.0,3668,-19904451.524502248,5,20000,,,,,
1000.0,3730,-19883935.141452856,8,30000,,,,,
1000.0,3763,-19884515.411570556,10,40000,,,,,
1000.0,3789,-19857729.39122425,13,50000,,,,,
1000.0,3806,-19857616.621049356,15,60000,,,,,
1000.0,3818,-19998200.0,18,70000,2.4148056887440816e-09,93175.203125,0,0.05,0.0018
1000.0,3832,-19856353.615666334,20,80000,,,,,
1000.0,3840,-19826049.829407003,23,90000,,,,,
1000.0,3846,-19871609.87205525,25,100000,,,,,
920.0,3853,-18232770.184735503,28,110000,,,,,
931.4285714285714,3855,-18468392.85689343,31,120000,,,,,
1000.0,3858,-19907390.0,33,130000,4.5825662708942616e-11,4909912.5,1,0.05,0.0018
1000.0,3860,-19865807.615542,36,140000,,,,,
1000.0,3864,-19827683.1315705,38,150000,,,,,
1000.0,3867,-19811936.502773628,41,160000,,,,,
1000.0,3868,-19812131.317972638,43,170000,,,,,
1000.0,3870,-19839204.961361464,46,180000,,,,,
,3872,,49,190000,1.9686128283069593e-09,114293.671875,2,0.05,0.0018
503.25,3873,-9913102.0611295,51,200000,,,,,
716.1428571428571,3875,-14223755.463502571,54,210000,,,,,
779.2222222222222,3875,-15472190.498507334,56,220000,,,,,
834.4166666666666,3875,-16578292.815718917,59,230000,,,,,
858.0714285714286,3876,-17045229.5563305,61,240000,,,,,
1000.0,3877,-19856352.732774,64,250000,3.329511319427603e-11,6757748.5,3,0.05,0.0018
1000.0,3878,-19913920.91092467,67,260000,,,,,
1000.0,3879,-18249879.424071502,69,270000,,,,,
1000.0,3880,-18649394.568053626,72,280000,,,,,
917.5,3881,-17346682.429894503,74,290000,,,,,
929.2857142857143,3883,-17006852.797160216,77,300000,,,,,
1000.0,3883,-19088268.274628,79,310000,3.977769502672146e-11,5656436.5,4,0.05,0.0018
1000.0,3884,-19591570.528736,82,320000,,,,,
858.8571428571429,3884,-16927516.907671858,84,330000,,,,,
803.1,3884,-15814151.0657647,87,340000,,,,,
848.5384615384615,3884,-16748046.204434384,90,350000,,,,,
868.7333333333333,3884,-17159710.171632532,92,360000,,,,,
669.0,3884,-13203209.540739998,95,370000,3.349282656772701e-11,6717856.0,5,0.05,0.0018
801.4,3884,-15913133.724443998,97,380000,,,,,
875.875,3885,-17308863.577777497,100,390000,,,,,
900.7,3885,-17842694.862221997,102,400000,,,,,
923.6153846153846,3886,-18312834.111709304,105,410000,,,,,
933.8,3886,-18490176.301453467,108,420000,,,,,
668.6666666666666,3886,-13324317.173197335,110,430000,4.566805267280927e-11,4926858.0,6,0.05,0.0018
801.2,3887,-15933317.0808002,113,440000,,,,,
875.75,3888,-17398081.4015655,115,450000,,,,,
900.6,3887,-17884457.830350798,118,460000,,,,,
923.5384615384615,3887,-18351245.473310385,120,470000,,,,,
933.7333333333333,3888,-18556027.240507532,123,480000,,,,,
1000.0,3889,-19402079.735014,125,490000,4.553650165273204e-11,4941091.0,7,0.05,0.0018
1000.0,3890,-19586649.867507,128,500000,,,,,
875.625,3890,-17178554.09391225,131,510000,,,,,
900.5,3890,-17715240.275129803,133,520000,,,,,
923.4615384615385,3891,-18191647.903946,136,530000,,,,,
933.6666666666666,3891,-18414359.5167532,138,540000,,,,,
1000.0,3891,-19993155.0,141,550000,4.579133947024694e-11,4913592.5,8,0.05,0.0018
801.8,3891,-15955536.826938,143,560000,,,,,
876.125,3890,-17379106.990057,146,570000,,,,,
900.9,3890,-17783100.8334617,149,580000,,,,,
858.6428571428571,3891,-16962269.88104407,151,590000,,,,,
7.0,3890,-100120.0,154,600000,3.3463166265734756e-11,6723810.5,9,0.05,0.0018
751.75,3891,-14939945.836167,156,610000,,,,,
834.5,3891,-14973572.733485833,159,620000,,,,,
801.2,3891,-14960332.6400915,161,630000,,,,,
834.3333333333334,3892,-15772833.690991165,164,640000,,,,,
867.4666666666667,3892,-16588295.618084466,166,650000,,,,,
1000.0,3892,-19947750.0,169,660000,3.238421683593451e-11,6947829.0,10,0.05,0.0018
1000.0,3892,-19887008.55975775,172,670000,,,,,
1000.0,3892,-19797711.661922,174,680000,,,,,
1000.0,3891,-19860056.663503554,177,690000,,,,,
1000.0,3891,-19855820.906502906,179,700000,,,,,
1000.0,3891,-19844901.288041644,182,710000,,,,,
,3891,,185,720000,1.3661025644040592e-09,164702.125,11,0.05,0.0018
751.25,3891,-14588185.923477251,187,730000,,,,,
834.1666666666666,3891,-16313152.137424001,190,740000,,,,,
889.4444444444445,3891,-17468505.956136115,192,750000,,,,,
909.5454545454545,3891,-17895889.63416818,195,760000,,,,,
867.2666666666667,3891,-17119873.065056667,197,770000,,,,,
1000.0,3892,-19937660.0,200,780000,3.348514521217538e-11,6719397.0,12,0.05,0.0018
802.0,3892,-15901053.2845848,202,790000,,,,,
858.5714285714286,3892,-17051486.631846286,205,800000,,,,,
819.5454545454545,3891,-16264606.045547724,208,810000,,,,,
847.3076923076923,3891,-16826551.296338074,210,820000,,,,,
1000.0,3892,-19614960.0,213,830000,2.8250431508003437e-11,7964480.0,13,0.05,0.0018
1000.0,3891,-19833456.666666668,215,840000,,,,,
1000.0,3891,-19873801.666666668,218,850000,,,,,
1000.0,3891,-19891027.5,220,860000,,,,,
917.8333333333334,3891,-18237087.682423502,223,870000,,,,,
868.0666666666667,3891,-17245850.417422004,226,880000,,,,,
670.0,3891,-13325166.666666666,228,890000,3.3319531161923877e-11,6752795.5,14,0.05,0.0018
802.0,3891,-15901447.25737,231,900000,,,,,
876.25,3891,-17431423.28585625,233,910000,,,,,
901.0,3891,-17927625.628685,236,920000,,,,,
923.8461538461538,3890,-18354972.11528569,239,930000,,,,,
934.0,3890,-18535653.712695733,241,940000,,,,,
668.6666666666666,3890,-13210153.222445667,244,950000,4.554260787936748e-11,4940428.5,15,0.05,0.0018
801.2,3890,-15759895.9334674,246,960000,,,,,
875.75,3890,-17265325.7048445,249,970000,,,,,
819.3636363636364,3890,-16162430.139701726,251,980000,,,,,
858.0714285714286,3890,-16962001.226576142,254,990000,,,,,
,3889,,257,1000000,3.344573923369509e-11,6727314.5,16,0.05,0.0018
1000.0,3889,-19828993.754322,259,1010000,,,,,
1000.0,3888,-19827945.0900762,262,1020000,,,,,
889.4444444444445,3888,-17667951.913279112,264,1030000,,,,,
834.5833333333334,3887,-16570483.934959335,267,1040000,,,,,
867.6666666666666,3887,-17213553.168543268,270,1050000,,,,,
