train/value_loss,train/n_updates,train/policy_objective,train/explained_variance,time/total_timesteps,time/fps,train/is_line_search_success,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/kl_divergence_loss,train/std,rollout/ep_rew_mean
329771591.14375,90,0.06521745026111603,0.0,740000,1536,1.0,481,279.59,0.001,0.008438357152044773,0.7915870547294617,-9966.06221434
409540576.95,91,0.053474538028240204,0.0,750000,1537,1.0,487,273.96,0.001,0.009713987819850445,0.7902098298072815,-22609.638226430005
302756560.675,92,0.05979655683040619,-2.384185791015625e-07,760000,1534,1.0,495,296.03,0.001,0.008814338594675064,0.7863481044769287,-11135.65416011
292525035.25625,93,0.06168347969651222,0.0,770000,1530,1.0,503,311.0,0.001,0.008594757877290249,0.7887452244758606,-21158.13634836
331093721.7625,95,0.06248287856578827,0.0,780000,1522,1.0,512,326.21,0.001,0.0088050477206707,0.786229133605957,-12603.5741785
316465674.2,96,0.06865805387496948,0.0,790000,1518,1.0,520,303.84,0.001,0.00912036094814539,0.7868094444274902,-22046.916787759998
294321446.7,97,0.05675402283668518,0.0,800000,1515,1.0,528,312.87,0.001,0.00867509189993143,0.7872855067253113,-9290.860105220001
293077413.88125,98,0.06550873070955276,0.0,810000,1511,1.0,535,324.76,0.001,0.009109648875892162,0.7881593704223633,-18582.21171294
282983812.0875,100,0.06807506084442139,0.0,820000,1503,1.0,545,343.92,0.001,0.008771548978984356,0.7845602631568909,-19387.9356726
268401381.775,101,0.06608234345912933,5.960464477539063e-08,830000,1500,1.0,553,358.2,0.001,0.008836737833917141,0.7842753529548645,-9349.779155709999
291759637.04375,102,0.05912255868315697,0.0,840000,1497,1.0,560,363.13,0.001,0.007763560861349106,0.7827462553977966,-10680.761733400002
259261623.734375,103,0.06409640610218048,0.0,850000,1495,1.0,568,349.27,0.001,0.00983512308448553,0.7817347645759583,8291.44414071
286821731.3625,104,0.07270722091197968,1.1920928955078125e-07,860000,1493,1.0,575,382.69,0.001,0.008974418975412846,0.7802481055259705,13198.875910690003
267472399.33125,106,0.0540638267993927,1.1920928955078125e-07,870000,1486,1.0,585,372.81,0.001,0.00875891838222742,0.7795343399047852,20744.60273093
311033233.125,107,0.06285475939512253,0.0,880000,1484,1.0,592,357.61,0.001,0.008551585488021374,0.7835232615470886,26724.596705400003
442023877.45,108,0.06012938916683197,0.0,890000,1481,1.0,600,312.21,0.001,0.009034247137606144,0.7830350995063782,39284.068789829995
352445105.5,109,0.06320719420909882,0.0,900000,1479,1.0,608,270.62,0.001,0.008797754533588886,0.7821502685546875,37886.69883245
443141750.6875,111,0.05883282423019409,0.0,910000,1473,1.0,617,238.47,0.001,0.00863881129771471,0.7786217331886292,57266.62143346001
467221561.525,112,0.05158710479736328,-1.1920928955078125e-07,920000,1471,1.0,625,222.0,0.001,0.00912254024296999,0.7785287499427795,57508.481667479995
433790984.65,113,0.05580572783946991,0.0,930000,1469,1.0,633,223.07,0.001,0.009276053868234158,0.7777925133705139,49285.014246650004
395664621.0875,114,0.051309872418642044,-1.1920928955078125e-07,940000,1466,1.0,640,223.46,0.001,0.008935928344726562,0.7763419151306152,53724.299689080006
512752079.45,115,0.05801190808415413,0.0,950000,1464,1.0,648,194.51,0.001,0.009127391502261162,0.7770673632621765,64744.69298624001
492531428.2,117,0.04141651839017868,0.0,960000,1459,1.0,657,186.11,0.001,0.006335071753710508,0.7762527465820312,57752.97930799
602167733.65,118,0.061102889478206635,0.0,970000,1456,1.0,665,179.93,0.001,0.00828233640640974,0.7755496501922607,48516.8678338
527075425.975,119,0.05631857365369797,0.0,980000,1454,1.0,673,175.69,0.001,0.008969658054411411,0.7725244164466858,62634.78340846
566575040.425,120,0.05840391665697098,0.0,990000,1452,1.0,681,163.01,0.001,0.009142366237938404,0.7716758251190186,78073.658473
543013546.475,122,0.06317619979381561,0.0,1000000,1448,1.0,690,169.17,0.001,0.009073011577129364,0.7676481604576111,68791.88836571
