train/value_loss,train/n_updates,train/policy_objective,train/explained_variance,time/total_timesteps,time/fps,train/is_line_search_success,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/kl_divergence_loss,train/std,rollout/ep_rew_mean
4667862926.0,1,0.0658889189362526,3.993511199951172e-06,10000,1634,1.0,6,94.45,0.001,0.00502777611836791,1.000712275505066,-394779.3031572399
4756242532.8,2,0.04954727366566658,0.0,20000,1619,1.0,12,78.05,0.001,0.004126745741814375,0.9977477192878723,-310103.44393847
3717443415.6,3,0.0525960773229599,-1.1920928955078125e-07,30000,1623,1.0,18,65.43,0.001,0.0044497475028038025,0.991098940372467,-234310.24130184
3314380072.8,4,0.050696104764938354,5.960464477539063e-08,40000,1625,1.0,24,73.67,0.001,0.004469957668334246,0.982012927532196,-247802.48770088
2961060603.2,6,0.05756175145506859,0.0,50000,1566,1.0,31,69.94,0.001,0.00447360472753644,0.9525448679924011,-233740.31079541
2764280690.8,7,0.06107187643647194,0.0,60000,1573,1.0,38,81.87,0.001,0.004500819835811853,0.958202064037323,-240109.51223127
2711972291.6,8,0.051090240478515625,0.0,70000,1576,1.0,44,62.6,0.001,0.004087746609002352,0.9520663619041443,-182900.19796144005
2363680273.6,9,0.059636566787958145,0.0,80000,1580,1.0,50,76.91,0.001,0.00502549996599555,0.9534173011779785,-204309.97544008004
2379951560.4,10,0.05766281858086586,1.1920928955078125e-07,90000,1583,1.0,56,72.35,0.001,0.0049863518215715885,0.9551420211791992,-193161.01707487003
2266199363.6,12,0.061378248035907745,0.0,100000,1557,1.0,64,61.55,0.001,0.004976240918040276,0.9564594626426697,-163696.27570225002
2197650173.2,13,0.06513078510761261,0.0,110000,1560,1.0,70,75.86,0.001,0.005503123626112938,0.9454081654548645,-188900.13134837997
1974258853.2,14,0.06093322113156319,1.1920928955078125e-07,120000,1563,1.0,76,72.66,0.001,0.005400920752435923,0.9376351237297058,-178805.23423595
2097874835.4,15,0.06630352139472961,-1.1920928955078125e-07,130000,1567,1.0,82,58.61,0.001,0.00529762776568532,0.9365057349205017,-140842.16531156
2028535869.2,17,0.06243664398789406,1.1920928955078125e-07,140000,1550,1.0,90,74.87,0.001,0.0052660186775028706,0.9333071708679199,-180845.58008870002
2204456735.8,18,0.05643816292285919,0.0,150000,1554,1.0,96,67.04,0.001,0.005372711922973394,0.9320483207702637,-164443.47001641
2108584495.2,19,0.06092213839292526,0.0,160000,1557,1.0,102,72.61,0.001,0.0058972095139324665,0.9288024306297302,-177119.27641966997
2056740928.6,20,0.06250163167715073,0.0,170000,1559,1.0,109,69.99,0.001,0.005586676299571991,0.9238038659095764,-165152.84787696003
2074687460.6,21,0.0703992173075676,0.0,180000,1561,1.0,115,64.01,0.001,0.006314578931778669,0.915635347366333,-155467.37734815
1921075101.0,23,0.06015428900718689,1.7881393432617188e-07,190000,1548,1.0,122,65.98,0.001,0.0057947575114667416,0.9099869728088379,-143719.23360690998
1922658503.2,24,0.05870255082845688,0.0,200000,1551,1.0,128,74.58,0.001,0.005292524117976427,0.9093024134635925,-162113.76597933003
1924151556.2,25,0.06736963987350464,0.0,210000,1553,1.0,135,57.23,0.001,0.006266437470912933,0.907226026058197,-133330.48538112003
2012898585.4,26,0.0629202276468277,1.1920928955078125e-07,220000,1555,1.0,141,69.26,0.001,0.006546942982822657,0.9043347239494324,-142389.39200567
1759941587.0,28,0.06513536721467972,0.0,230000,1543,1.0,148,62.42,0.001,0.006616228725761175,0.9027292132377625,-138071.17994548997
1717362952.4,29,0.052455924451351166,-1.1920928955078125e-07,240000,1546,1.0,155,63.14,0.001,0.006679600570350885,0.9002267718315125,-132946.76289090997
1969246602.0,30,0.059645213186740875,1.1920928955078125e-07,250000,1548,1.0,161,73.31,0.001,0.006094520911574364,0.895412266254425,-161857.93974732998
1801847329.8,31,0.07472249865531921,0.0,260000,1550,1.0,167,77.03,0.001,0.007009867578744888,0.8967193961143494,-162815.5823484
1741541062.0,32,0.06343849748373032,0.0,270000,1551,1.0,174,68.92,0.001,0.006579304113984108,0.8916053771972656,-146007.3643713
1456067455.9,34,0.07009804993867874,0.0,280000,1541,1.0,181,90.65,0.001,0.006831409875303507,0.8915442824363708,-166631.58722154002
1684985895.8,35,0.061660852283239365,-1.1920928955078125e-07,290000,1543,1.0,187,77.64,0.001,0.007066883146762848,0.8848612308502197,-151004.07904441003
1613544952.8,36,0.06640245765447617,1.1920928955078125e-07,300000,1544,1.0,194,90.25,0.001,0.006800181698054075,0.882828950881958,-152112.2292807
1396214186.5,37,0.06055161729454994,0.0,310000,1546,1.0,200,80.48,0.001,0.0076319873332977295,0.8843544125556946,-146238.68555344
1409416653.8,39,0.05549746751785278,0.0,320000,1538,1.0,208,83.79,0.001,0.00706487288698554,0.8758882880210876,-148078.05916928
1542064805.9,40,0.0711619183421135,0.0,330000,1538,1.0,214,81.63,0.001,0.00690339645370841,0.8786365985870361,-138875.67215007
1331201084.3,41,0.06286243349313736,0.0,340000,1539,1.0,220,94.68,0.001,0.007267785724252462,0.875598669052124,-148583.81694164
1212119682.6,42,0.056530531495809555,1.1920928955078125e-07,350000,1540,1.0,227,88.66,0.001,0.006997877731919289,0.868744432926178,-133208.20905303
1291379974.8,43,0.06945151090621948,0.0,360000,1541,1.0,233,102.96,0.001,0.007187036331743002,0.8634805083274841,-154577.59035297
1260156469.9,45,0.0665876492857933,0.0,370000,1535,1.0,241,86.15,0.001,0.007857234217226505,0.8568873405456543,-132130.65967182003
1149266528.2,46,0.06666500866413116,0.0,380000,1536,1.0,247,110.97,0.001,0.007679091300815344,0.8529439568519592,-153690.55992684004
909299122.75,47,0.055401720106601715,5.960464477539063e-08,390000,1537,1.0,253,132.62,0.001,0.007861323654651642,0.8527900576591492,-164802.11074389
1070859976.7,48,0.06207119673490524,0.0,400000,1539,1.0,259,126.74,0.001,0.00790990050882101,0.8486614227294922,-167144.87678484002
1242113477.5,50,0.06442621350288391,0.0,410000,1533,1.0,267,92.29,0.001,0.007520154118537903,0.8444097638130188,-132133.82419978
986426241.85,51,0.05855639651417732,0.0,420000,1534,1.0,273,116.17,0.001,0.007997534237802029,0.8399415612220764,-143782.83784214
984401078.9,52,0.0642658919095993,0.0,430000,1536,1.0,279,115.09,0.001,0.008103027008473873,0.8379432559013367,-153086.75922824
1058116709.0,53,0.06519539654254913,0.0,440000,1537,1.0,286,123.01,0.001,0.009500577114522457,0.8350090980529785,-161976.50606034
868149433.65,54,0.060620326548814774,1.1920928955078125e-07,450000,1537,1.0,292,124.4,0.001,0.0077721052803099155,0.8324673771858215,-144129.30513339
842601537.7,56,0.06266491115093231,0.0,460000,1532,1.0,300,142.44,0.001,0.007577236741781235,0.8260653614997864,-155607.32814206
853565489.3,57,0.06320063024759293,0.0,470000,1534,1.0,306,130.64,0.001,0.008298774249851704,0.8273108005523682,-140240.03718747
915541720.5,58,0.06272083520889282,0.0,480000,1535,1.0,312,118.74,0.001,0.008219018578529358,0.8259337544441223,-133630.49343253003
733661983.2,59,0.07138291001319885,0.0,490000,1537,1.0,318,152.67,0.001,0.008723043836653233,0.824958324432373,-150604.73371304
671205694.35,61,0.06950680166482925,0.0,500000,1532,1.0,326,162.09,0.001,0.008073214441537857,0.8206929564476013,-149546.17846799
619850386.0,62,0.06348969042301178,0.0,510000,1534,1.0,332,171.91,0.001,0.007989509962499142,0.81768798828125,-152496.80468867
614552449.1,63,0.055349573493003845,0.0,520000,1535,1.0,338,170.91,0.001,0.008230944164097309,0.8180594444274902,-152509.08823424001
593013429.575,64,0.06535409390926361,0.0,530000,1536,1.0,344,196.92,0.001,0.008217520080506802,0.820134699344635,-161728.72936312002
545483635.975,65,0.067535400390625,5.960464477539063e-08,540000,1537,1.0,351,219.45,0.001,0.008101515471935272,0.8195769190788269,-168305.87517974002
549870086.85,67,0.06706839054822922,-1.1920928955078125e-07,550000,1534,1.0,358,222.42,0.001,0.008201670832931995,0.8164491653442383,-159430.19542293
530469635.25,68,0.07087073475122452,5.960464477539063e-08,560000,1535,1.0,364,213.69,0.001,0.008253977634012699,0.8189262747764587,-145723.9543663
557030892.85,69,0.058186016976833344,0.0,570000,1536,1.0,370,208.74,0.001,0.00816672295331955,0.8203317523002625,-139298.80170456995
513770781.7,70,0.06466932594776154,0.0,580000,1537,1.0,377,207.18,0.001,0.008365963585674763,0.8200180530548096,-129911.45145343003
420096394.225,72,0.06435257196426392,0.0,590000,1533,1.0,384,215.83,0.001,0.008456870913505554,0.812465488910675,-133678.26017668
408967173.35,73,0.0683087557554245,0.0,600000,1535,1.0,390,237.91,0.001,0.008866396732628345,0.8088715076446533,-138403.37268119003
329179318.8875,74,0.06329260766506195,-1.1920928955078125e-07,610000,1536,1.0,396,282.26,0.001,0.008465808816254139,0.8079392313957214,-148619.19730935
360316537.525,75,0.05785643309354782,0.0,620000,1537,1.0,403,300.8,0.001,0.008311097510159016,0.8039645552635193,-138100.73469299
338641696.25,76,0.06970970332622528,0.0,630000,1539,1.0,409,307.1,0.001,0.008200027048587799,0.8028473258018494,-120450.12689721998
296454059.425,78,0.05906468257308006,0.0,640000,1535,1.0,416,305.56,0.001,0.007072251755744219,0.8007779121398926,-99845.05891663999
241604492.44375,79,0.07178274542093277,-1.1920928955078125e-07,650000,1536,1.0,422,336.98,0.001,0.008883039467036724,0.7973005175590515,-86792.10202841999
273067387.9875,80,0.071103535592556,0.0,660000,1538,1.0,429,340.77,0.001,0.008687292225658894,0.7967892289161682,-68728.39978366
330319325.1,81,0.06437569856643677,0.0,670000,1539,1.0,435,337.91,0.001,0.008873450569808483,0.7963517308235168,-49229.96777450999
276209377.0,83,0.06623982638120651,0.0,680000,1536,1.0,442,329.78,0.001,0.008650258183479309,0.7942710518836975,-50429.87504602999
354070446.51875,84,0.06721453368663788,0.0,690000,1537,1.0,448,305.87,0.001,0.00844342540949583,0.795550525188446,-49259.73591294
353326514.8,85,0.06782560795545578,0.0,700000,1538,1.0,454,312.78,0.001,0.008636394515633583,0.7968475222587585,-42261.708547409995
353695681.3125,86,0.06165843456983566,0.0,710000,1539,1.0,461,290.99,0.001,0.008632957935333252,0.7934873104095459,-15058.94347445
332779523.425,87,0.07322832196950912,1.1920928955078125e-07,720000,1539,1.0,467,291.72,0.001,0.008689473383128643,0.7949795126914978,-5168.773886530002
356959662.6375,89,0.06475162506103516,0.0,730000,1536,1.0,475,286.4,0.001,0.00827923882752657,0.793443500995636,-11273.88971168
