time/episodes,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/ent_coef,train/n_updates,rollout/ep_rew_mean,time/fps,train/learning_rate,train/ent_coef_loss,train/actor_loss,time/time_elapsed
1024,715.35,11521400.0,620000,11.67957878112793,154974,-742796.4123548301,357,0.0055,-1.6817585229873657,-1319.113525390625,1735
1039,671.72,196400288.0,630000,854.1682739257812,157474,-911396.34195547,356,0.0055,-95.09119415283203,253606.71875,1765
1194,42.78,141448672.0,640000,423.65936279296875,159974,-125572.83805577003,356,0.0055,44.97948455810547,205616.40625,1795
1225,121.81,58929708.0,650000,59.263641357421875,162474,-404032.02287447004,356,0.0055,18.088592529296875,72472.59375,1824
1242,198.09,57852056.0,660000,20.972097396850586,164974,-477855.1138050599,355,0.0055,3.347003936767578,21880.6875,1854
1254,310.26,155421456.0,670000,606.0010986328125,167474,-565142.93647647,355,0.0055,-123.3056640625,654822.0,1884
1316,346.91,853300096.0,680000,3827.096435546875,169974,-1283302.24895382,355,0.0055,73.10404968261719,428366.875,1914
1439,84.8,209273456.0,690000,106.16715240478516,172474,-198464.53068111007,354,0.0055,28.161705017089844,205480.59375,1944
1476,119.0,303498880.0,700000,11.956683158874512,174974,-122745.67426006997,354,0.0055,-10.456298828125,77237.8359375,1974
1492,208.74,26128140.0,710000,77.77035522460938,177474,-296239.58607681,354,0.0055,6.775808334350586,59453.9921875,2004
1510,292.48,41052360.0,720000,73.72451782226562,179974,-574038.43548506,353,0.0055,18.33159828186035,33418.453125,2034
1548,389.51,30590290.0,730000,31.944599151611328,182474,-799463.9274413302,353,0.0055,-21.74954605102539,30259.076171875,2063
1601,228.02,49494704.0,740000,398.9441833496094,184974,-1039034.1944734,353,0.0055,39.5482292175293,71882.6953125,2093
1617,256.35,9933723.0,750000,24.686967849731445,187474,-773159.22130524,353,0.0055,9.08681583404541,28680.30078125,2123
1666,296.35,58642296.0,760000,20.09329605102539,189974,-588121.6797852198,353,0.0055,-12.522845268249512,27472.84375,2152
1730,130.32,194159456.0,770000,1397.25146484375,192474,-823123.12170973,352,0.0055,56.47156524658203,94884.546875,2182
1773,180.1,15415038.0,780000,194.04197692871094,194974,-1079794.3414149105,352,0.0055,29.40961456298828,44607.921875,2212
1781,246.07,9695162.0,790000,16.3222599029541,197474,-1039132.4884594901,352,0.0055,7.006014347076416,25643.599609375,2242
1793,349.59,6687660.5,800000,5.996843338012695,199974,-998189.11325127,352,0.0055,0.23534291982650757,20669.21484375,2271
1833,395.48,488984032.0,810000,1714.9263916015625,202474,-674829.7480907799,351,0.0055,-170.5282745361328,183164.1875,2302
2112,18.35,815573568.0,820000,5313.17919921875,204974,-175354.83292614002,351,0.0055,72.31011962890625,383791.75,2332
2622,8.86,524858336.0,830000,781.5374145507812,207474,-104812.35934459999,351,0.0055,5.472599029541016,270264.75,2363
3085,27.77,53629060.0,840000,68.1748046875,209974,-369666.20272907004,350,0.0055,21.001102447509766,168995.921875,2394
3527,8.24,343028480.0,850000,1246.4105224609375,212474,-104635.05697002001,350,0.0055,43.42748260498047,235963.734375,2424
3764,19.21,112196280.0,860000,374.7586975097656,214974,-190482.46662926,350,0.0055,32.690738677978516,209453.5,2455
4161,42.14,55972256.0,870000,89.74476623535156,217474,-106106.73377997,349,0.0055,11.108020782470703,105896.2109375,2485
4199,133.02,62777064.0,880000,173.68804931640625,219974,-181981.2187167,349,0.0055,-101.4218521118164,124222.90625,2515
4226,228.76,158517510144.0,890000,47737.7421875,222474,-983214.8977370401,349,0.0055,-72.4656982421875,1523058.125,2545
4333,82.29,3120947456.0,900000,4862.80810546875,224974,-538093.84329327,349,0.0055,73.24807739257812,756088.625,2576
4457,51.04,996063168.0,910000,159.5458526611328,227474,-282978.4875421101,349,0.0055,32.868465423583984,488830.34375,2607
4711,36.28,518056032.0,920000,24.971710205078125,229974,-279100.62474076,348,0.0055,-11.945308685302734,264046.3125,2637
5130,10.31,121093464.0,930000,258.6007995605469,232474,-97637.12218286,348,0.0055,-6.526545524597168,191737.71875,2668
5420,40.95,701627367424.0,940000,72669.3515625,234974,-568543.52235752,348,0.0055,-227.93960571289062,2432354.0,2698
5480,138.8,32453877760.0,950000,33275.5625,237474,-1652668.3662182898,348,0.0055,96.38031768798828,1656409.0,2728
5559,126.52,35907837952.0,960000,2008.0797119140625,239974,-948549.5715559002,347,0.0055,40.24353790283203,1661451.75,2758
5626,142.25,8893278208.0,970000,210.72579956054688,242474,-1938520.51302949,347,0.0055,22.200592041015625,1279484.125,2788
5710,121.22,1641327104.0,980000,167.74917602539062,244974,-2287197.95581594,347,0.0055,16.129940032958984,904653.625,2818
5755,102.64,25220096000.0,990000,13845.99609375,247474,-1631854.0880537303,347,0.0055,-65.95314025878906,1353043.125,2849
5899,53.02,19535568896.0,1000000,17240.693359375,249974,-218607.66273004,347,0.0055,42.23373031616211,1516795.25,2879
