train/std,train/learning_rate,train/kl_divergence_loss,train/value_loss,rollout/ep_len_mean,time/fps,time/total_timesteps,train/explained_variance,time/time_elapsed,train/policy_objective,train/is_line_search_success,rollout/ep_rew_mean,train/n_updates
1.0034044981002808,0.0013,0.005171208642423153,40115093849.6,43.48,1494,10000,-2.384185791015625e-07,6,0.05814933031797409,1.0,-647435.77175732,1
1.011661171913147,0.0013,0.004680216312408447,38047436550.4,37.95,1504,20000,0.0,13,0.05531385540962219,1.0,-555563.28092534,2
1.0173072814941406,0.0013,0.004374704789370298,31078473174.4,29.49,1504,30000,0.0,19,0.048333145678043365,1.0,-431438.37336096005,3
1.0148147344589233,0.0013,0.004526690114289522,30520652070.4,28.84,1501,40000,0.0,26,0.051284309476614,1.0,-424491.60502662003,4
1.007444143295288,0.0013,0.006017778068780899,25193556832.0,19.72,1447,50000,-1.1920928955078125e-07,34,0.06340740621089935,1.0,-306323.98233127,6
0.9997889995574951,0.0013,0.0046376511454582214,23442012982.4,15.88,1455,60000,0.0,41,0.053470320999622345,1.0,-257608.16227536,7
0.9935288429260254,0.0013,0.005798818077892065,22371727948.8,15.83,1460,70000,1.7881393432617188e-07,47,0.06627434492111206,1.0,-257081.73979549002,8
0.9865546822547913,0.0013,0.005506733898073435,21400869868.8,14.05,1463,80000,1.1920928955078125e-07,54,0.05694514513015747,1.0,-236374.17416227,9
0.9865036606788635,0.0013,0.005623385310173035,19317943963.2,11.72,1466,90000,0.0,61,0.061719708144664764,1.0,-210892.56743470996,10
0.9629866480827332,0.0013,0.005862721707671881,16574723547.2,8.66,1440,100000,0.0,69,0.06464572250843048,1.0,-175302.83629501003,12
0.9568638801574707,0.0013,0.005811505019664764,14742064792.0,8.0,1444,110000,0.0,76,0.044318102300167084,1.0,-168594.62699781,13
0.9426827430725098,0.0013,0.0073312316089868546,14728703902.4,7.81,1446,120000,0.0,82,0.05274541303515434,1.0,-166236.38567001,14
0.9379177689552307,0.0013,0.006544511765241623,14045828265.6,7.19,1448,130000,2.980232238769531e-07,89,0.060537196695804596,1.0,-160343.64478755998,15
0.9198861718177795,0.0013,0.004949184134602547,12897675420.8,6.67,1430,140000,2.384185791015625e-07,97,0.04565872997045517,1.0,-154272.94478052,17
0.9107060432434082,0.0013,0.006817446555942297,12745649294.4,6.37,1432,150000,2.384185791015625e-07,104,0.05420287698507309,1.0,-151963.19232457998,18
0.9024526476860046,0.0013,0.007044156547635794,12379270816.0,5.83,1434,160000,0.0,111,0.04450128600001335,1.0,-146344.75731024,19
0.8961708545684814,0.0013,0.008134650066494942,12471931502.4,5.97,1435,170000,0.0,118,0.06109858676791191,1.0,-147981.23627226,20
0.8916646838188171,0.0013,0.005778121296316385,12025148982.4,5.95,1436,180000,0.0,125,0.04737246409058571,1.0,-147955.45112699998,21
0.8699604868888855,0.0013,0.007820399478077888,12046079435.2,5.78,1422,190000,-1.1920928955078125e-07,133,0.0456915907561779,1.0,-145735.38293084002,23
0.8594658374786377,0.0013,0.006896417587995529,11917934112.0,5.45,1423,200000,0.0,140,0.06343857944011688,1.0,-142799.58066588998,24
0.8531451225280762,0.0013,0.006695195566862822,11635484064.0,5.21,1424,210000,-1.1920928955078125e-07,147,0.038665272295475006,1.0,-140320.41197721,25
0.8463602066040039,0.0013,0.008153717033565044,11496177358.4,5.22,1424,220000,0.0,154,0.04448208957910538,1.0,-140110.93007427,26
0.8314689993858337,0.0013,0.006724119186401367,11570918883.2,5.34,1413,230000,0.0,162,0.03423065319657326,1.0,-141436.81869241002,28
0.8331429362297058,0.0013,0.008681566454470158,11671412388.8,5.19,1414,240000,-1.1920928955078125e-07,169,0.05638523027300835,1.0,-139762.09267587,29
0.829552948474884,0.0013,0.008115473203361034,11559126816.0,5.52,1415,250000,0.0,176,0.02264321781694889,1.0,-142893.41564176002,30
