train/policy_loss,train/entropy_loss,train/n_updates,time/fps,train/explained_variance,train/value_loss,time/time_elapsed,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/std
-986845.0,-21.292530059814453,124,1283,-2.1457672119140625e-06,3232714752.0,7,10000,0.0001,33.58,-237965.12969274004,1.0005929470062256
-700390.875,-21.295080184936523,249,1306,-4.0531158447265625e-06,1809930496.0,15,20000,0.0001,29.92,-207778.65442928002,1.000732660293579
-553722.875,-21.291221618652344,374,1317,-3.337860107421875e-06,1614208256.0,22,30000,0.0001,26.93,-187432.25851663,1.0004485845565796
-1000267.8125,-21.29128646850586,499,1321,0.0,3355002112.0,30,40000,0.0001,29.09,-206401.19591531,1.0004891157150269
-869681.0,-21.288963317871094,624,1321,-8.344650268554688e-07,2394118656.0,37,50000,0.0001,27.22,-196150.55096570004,1.0003019571304321
-700111.4375,-21.282676696777344,749,1318,0.0,2074444160.0,45,60000,0.0001,24.73,-178947.60960694004,0.9998994469642639
-897248.0,-21.28734016418457,874,1316,1.1920928955078125e-07,2429468672.0,53,70000,0.0001,24.52,-173188.70926978003,1.0002039670944214
-745436.5,-21.28585433959961,999,1315,0.0,1931024000.0,60,80000,0.0001,26.66,-178935.23859483,1.000099539756775
-946751.3125,-21.288450241088867,1124,1313,0.0,2754090240.0,68,90000,0.0001,27.28,-196579.63350591005,1.0002964735031128
-619090.125,-21.285362243652344,1249,1311,0.0,1317379968.0,76,100000,0.0001,31.1,-213730.46272402993,1.0000749826431274
-919513.375,-21.28341293334961,1374,1310,0.0,2867867136.0,83,110000,0.0001,33.13,-228876.05227889997,0.9999677538871765
-970002.375,-21.278099060058594,1499,1309,0.0,3159701504.0,91,120000,0.0001,26.04,-183020.16365144998,0.9995865225791931
-802344.125,-21.278308868408203,1624,1309,0.0,2879068672.0,99,130000,0.0001,24.69,-175327.10776207995,0.9996322393417358
-979364.3125,-21.269216537475586,1749,1307,0.0,3540692992.0,107,140000,0.0001,24.57,-170501.88775204003,0.99903804063797
-990518.0,-21.268787384033203,1874,1307,0.0,3232675840.0,114,150000,0.0001,27.35,-182182.10217799994,0.9989656209945679
-679872.1875,-21.264917373657227,1999,1307,1.1920928955078125e-07,1679505920.0,122,160000,0.0001,29.21,-188389.53569738998,0.9987234473228455
-767223.5,-21.264413833618164,2124,1308,0.0,2651705856.0,129,170000,0.0001,30.94,-203163.99694973,0.9987118244171143
-941657.625,-21.258655548095703,2249,1308,0.0,3089612288.0,137,180000,0.0001,26.62,-175323.20060323,0.9983029961585999
-743654.0,-21.255783081054688,2374,1310,1.1920928955078125e-07,2197732096.0,145,190000,0.0001,24.67,-166122.18669852,0.9981213212013245
-700102.1875,-21.253469467163086,2499,1311,0.0,1997249920.0,152,200000,0.0001,29.2,-182198.30054362,0.997954249382019
-899820.0,-21.25619888305664,2624,1312,5.960464477539063e-08,2324255744.0,159,210000,0.0001,25.49,-173888.15415008002,0.9981517791748047
-731746.6875,-21.252941131591797,2749,1314,0.0,2130072320.0,167,220000,0.0001,26.49,-167279.99148206,0.997967541217804
-698280.3125,-21.253089904785156,2874,1317,0.0,2187516672.0,174,230000,0.0001,28.24,-184348.13813406,0.9979798793792725
-711398.5625,-21.26229476928711,2999,1320,1.1920928955078125e-07,1995909888.0,181,240000,0.0001,29.64,-190626.22840477002,0.9985401630401611
-574851.3125,-21.256786346435547,3124,1324,1.1920928955078125e-07,1190049408.0,188,250000,0.0001,25.96,-176036.28222724,0.9982066750526428
-906270.375,-21.258140563964844,3249,1327,-1.1920928955078125e-07,2620308224.0,195,260000,0.0001,28.55,-179257.87890857,0.9982677698135376
-707067.375,-21.257274627685547,3374,1330,-1.1920928955078125e-07,2149671424.0,202,270000,0.0001,27.01,-170663.81780313,0.9982278347015381
-616615.625,-21.252220153808594,3499,1328,0.0,1368488704.0,210,280000,0.0001,25.79,-167667.85597756002,0.9978529810905457
-775807.625,-21.24510383605957,3624,1330,0.0,2128888832.0,217,290000,0.0001,26.31,-165036.47533921,0.9973905682563782
-586528.625,-21.246835708618164,3749,1331,0.0,1921249920.0,225,300000,0.0001,25.84,-167094.5645586,0.9975779056549072
-845039.6875,-21.247020721435547,3874,1331,0.0,2251704320.0,232,310000,0.0001,27.06,-169126.94914014998,0.9975133538246155
-793964.875,-21.245983123779297,3999,1332,0.0,2262817024.0,240,320000,0.0001,22.58,-153250.0342637,0.9974753856658936
-628896.375,-21.243526458740234,4124,1333,0.0,1403174912.0,247,330000,0.0001,26.75,-171083.58751842004,0.9973278045654297
-671688.875,-21.238710403442383,4249,1334,1.7881393432617188e-07,1807139456.0,254,340000,0.0001,27.82,-172602.47442748002,0.9970104098320007
-798478.6875,-21.23585319519043,4374,1336,5.960464477539063e-08,2259851264.0,261,350000,0.0001,29.92,-183813.29966655,0.996810257434845
-690264.9375,-21.232664108276367,4499,1338,-1.1920928955078125e-07,2056407680.0,268,360000,0.0001,24.0,-152685.64420856,0.9965636730194092
-706550.75,-21.230392456054688,4624,1339,-1.1920928955078125e-07,1970961024.0,276,370000,0.0001,24.96,-163962.92758059,0.9964980483055115
-654884.8125,-21.227102279663086,4749,1341,0.0,1911582336.0,283,380000,0.0001,27.08,-165592.04620621,0.9962351322174072
-984940.1875,-21.22028923034668,4874,1341,0.0,3442843648.0,290,390000,0.0001,26.1,-165853.21908965998,0.9958046674728394
-695900.875,-21.211868286132812,4999,1341,0.0,1926826752.0,298,400000,0.0001,23.46,-143460.58943810998,0.9952182173728943
-906790.5,-21.216833114624023,5124,1342,0.0,2821547776.0,305,410000,0.0001,26.88,-165825.46294538002,0.9955635070800781
-599831.5625,-21.223325729370117,5249,1342,1.1920928955078125e-07,1980464896.0,312,420000,0.0001,25.42,-157802.99869273,0.9960038661956787
-657979.1875,-21.225122451782227,5374,1343,0.0,1988067072.0,320,430000,0.0001,25.84,-152050.80184747002,0.9960829019546509
-404325.9375,-21.222457885742188,5499,1343,0.0,608786944.0,327,440000,0.0001,23.32,-150133.62243081,0.9959689974784851
-794280.1875,-21.21754264831543,5624,1344,0.0,2534853888.0,334,450000,0.0001,23.02,-144341.60783777002,0.9955564737319946
