train/kl_divergence_loss,train/value_loss,train/n_updates,rollout/ep_rew_mean,train/std,train/policy_objective,rollout/ep_len_mean,train/is_line_search_success,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance
0.0052100676111876965,42862929913.6,1,-909248.3154964,1.0107218027114868,0.06355281919240952,62.94,1.0,1619,6,10000,0.0013,-1.1920928955078125e-06
0.004998730029910803,36248979308.8,2,-603060.55220314,1.0161722898483276,0.04674685001373291,42.39,1.0,1613,12,20000,0.0013,-1.1920928955078125e-07
0.004337409511208534,33390233766.4,3,-454906.81894944014,1.0207196474075317,0.04091561213135719,31.61,1.0,1605,18,30000,0.0013,0.0
0.00533731235191226,31864556505.6,4,-483271.30883825995,1.0152976512908936,0.05635037273168564,33.99,1.0,1601,24,40000,0.0013,0.0
0.005992608610540628,27794280956.8,6,-445182.77701784996,1.0099071264266968,0.05468427762389183,31.16,1.0,1534,32,50000,0.0013,0.0
0.005522793624550104,26237211132.8,7,-405837.07393308,1.0049190521240234,0.055371422320604324,28.43,1.0,1541,38,60000,0.0013,0.0
0.005707296077162027,25021148774.4,8,-324073.25647116004,0.995640218257904,0.058257222175598145,21.98,1.0,1547,45,70000,0.0013,1.1920928955078125e-07
0.005706150084733963,23938900892.8,9,-323185.78423551,0.9968844056129456,0.05663006380200386,22.22,1.0,1552,51,80000,0.0013,1.7881393432617188e-07
0.005314225796610117,22433317625.6,10,-322088.62618362,0.996760904788971,0.06019251048564911,21.75,1.0,1554,57,90000,0.0013,2.384185791015625e-07
0.005037366412580013,18959241692.8,12,-236407.80274331,0.9879422783851624,0.056466244161129,14.62,1.0,1522,65,100000,0.0013,-1.1920928955078125e-07
0.00566896190866828,18586557755.2,13,-234394.43805901002,0.9909563064575195,0.055494241416454315,14.43,1.0,1522,72,110000,0.0013,0.0
0.0057260519824922085,17949941934.4,14,-228834.31454588997,0.9824709296226501,0.055158406496047974,13.83,1.0,1523,78,120000,0.0013,0.0
0.005694849882274866,17183626321.6,15,-214249.16127547997,0.9734971523284912,0.05649712309241295,12.61,1.0,1524,85,130000,0.0013,-3.5762786865234375e-07
0.006348876282572746,14741268542.4,17,-206064.43444985,0.9529380798339844,0.051032133400440216,11.7,1.0,1504,93,140000,0.0013,-2.384185791015625e-07
0.006562178488820791,14877251347.2,18,-190775.74745149995,0.9503099322319031,0.05865439400076866,10.41,1.0,1507,99,150000,0.0013,0.0
0.005941276904195547,13947997980.8,19,-187202.90465459,0.9437009692192078,0.04806051030755043,10.2,1.0,1509,106,160000,0.0013,2.384185791015625e-07
0.008804168552160263,13868976465.6,20,-185986.67018241005,0.9304850697517395,0.048358701169490814,10.14,1.0,1509,112,170000,0.0013,0.0
0.007420141715556383,13975765710.4,21,-182582.87517463,0.9256818890571594,0.05192787945270538,9.79,1.0,1507,119,180000,0.0013,-3.5762786865234375e-07
0.00721301743760705,13517541964.8,23,-175025.20091009996,0.9099941253662109,0.04285918176174164,9.14,1.0,1493,127,190000,0.0013,2.980232238769531e-07
0.006856596563011408,13000542832.0,24,-179933.10069870003,0.8977782130241394,0.042813315987586975,9.59,1.0,1495,133,200000,0.0013,1.1920928955078125e-07
0.007911103777587414,12814124921.6,25,-170516.47195916,0.8922308087348938,0.06081165745854378,8.72,1.0,1493,140,210000,0.0013,2.384185791015625e-07
0.009027838706970215,12648928283.2,26,-168358.10967911,0.8889996409416199,0.05808331444859505,8.59,1.0,1491,147,220000,0.0013,0.0
0.007302526850253344,12365313684.8,28,-169183.28322228,0.8734590411186218,0.03757111728191376,8.72,1.0,1478,155,230000,0.0013,5.960464477539063e-08
0.007378596346825361,12540832630.4,29,-166558.63976512,0.8695924878120422,0.04998856410384178,8.42,1.0,1477,162,240000,0.0013,1.7881393432617188e-07
0.007289341185241938,12539708025.6,30,-163609.18697325,0.8657863140106201,0.05671766400337219,8.15,1.0,1476,169,250000,0.0013,0.0
0.005988964345306158,12122701692.8,31,-163462.27606297,0.8645034432411194,0.03611233830451965,8.18,1.0,1476,176,260000,0.0013,0.0
0.007816593162715435,12208575662.4,32,-166337.72900022,0.8552024960517883,0.03935965895652771,8.44,1.0,1474,183,270000,0.0013,1.7881393432617188e-07
0.0074324714951217175,11883430617.6,34,-160785.33184286,0.8448056578636169,0.04575825482606888,7.96,1.0,1463,191,280000,0.0013,-1.1920928955078125e-07
0.007678379770368338,11719410601.6,35,-162942.1870197,0.8408765196800232,0.042952053248882294,8.17,1.0,1462,198,290000,0.0013,0.0
0.00816495344042778,11720886588.8,36,-159802.52534207999,0.8370230197906494,0.04346945509314537,7.87,1.0,1462,205,300000,0.0013,0.0
0.008408661000430584,11636308726.4,37,-162813.39860675,0.838169515132904,0.02686174213886261,8.07,1.0,1461,212,310000,0.0013,1.1920928955078125e-07
0.008578170090913773,11757793857.6,39,-159133.54071377998,0.8323047161102295,0.03971954435110092,7.81,1.0,1452,220,320000,0.0013,2.384185791015625e-07
0.00784591306000948,12595994620.8,40,-164103.32544353002,0.8310421109199524,0.04602425917983055,8.26,1.0,1452,227,330000,0.0013,-1.1920928955078125e-07
0.006923192646354437,11814664489.6,41,-159412.84086126002,0.8271560668945312,0.04796456918120384,7.81,1.0,1451,234,340000,0.0013,0.0
0.007371097803115845,12156978856.0,42,-165210.07875183,0.8264608979225159,0.04466136172413826,8.32,1.0,1450,241,350000,0.0013,0.0
0.007884032092988491,11940861227.2,43,-159500.11502394,0.8274703025817871,0.05299065262079239,7.88,1.0,1449,248,360000,0.0013,0.0
0.007291645277291536,11643255644.8,45,-161210.76599354995,0.8258673548698425,0.03903642296791077,8.02,1.0,1441,256,370000,0.0013,0.0
0.00621509226039052,12086566830.4,46,-158503.16026694002,0.8258647322654724,0.043374620378017426,7.78,1.0,1440,263,380000,0.0013,0.0
0.007662314455956221,11683708395.2,47,-161054.59447455,0.8243998885154724,0.05393686518073082,7.99,1.0,1439,270,390000,0.0013,0.0
0.009466487914323807,11750861705.6,48,-157682.13804124002,0.8261830806732178,0.060823697596788406,7.6,1.0,1438,277,400000,0.0013,0.0
0.006517570000141859,11792774619.2,50,-159026.11387101997,0.8218865990638733,0.04460278898477554,7.8,1.0,1432,286,410000,0.0013,5.960464477539063e-08
0.009010590612888336,11646820728.0,51,-162255.77382081002,0.8182909488677979,0.03520901873707771,8.18,1.0,1432,293,420000,0.0013,2.384185791015625e-07
0.009719901718199253,12181732902.4,52,-157950.24935873,0.8160279393196106,0.053868841379880905,7.7,1.0,1432,300,430000,0.0013,-1.1920928955078125e-07
0.008385437540709972,11788658073.6,53,-155706.38356005,0.8151099681854248,0.04233789071440697,7.47,1.0,1432,307,440000,0.0013,-2.384185791015625e-07
0.008097436279058456,11767693947.2,54,-157917.98290284,0.8164269924163818,0.05328633263707161,7.73,1.0,1432,314,450000,0.0013,0.0
0.008009976707398891,11397375524.8,56,-156157.24227838998,0.8064963221549988,0.04016915336251259,7.54,1.0,1427,322,460000,0.0013,1.7881393432617188e-07
0.0071546644903719425,11329109340.8,57,-155091.50686557,0.8058311343193054,0.038360923528671265,7.46,1.0,1426,329,470000,0.0013,0.0
0.007075123023241758,11432577011.2,58,-155489.87092875,0.8039922714233398,0.03147190064191818,7.51,1.0,1426,336,480000,0.0013,-2.384185791015625e-07
0.009688098914921284,11172591971.2,59,-164657.06354625,0.7991437911987305,0.03238179162144661,8.39,1.0,1426,343,490000,0.0013,0.0
0.009115981869399548,11162467753.6,61,-155401.26332477003,0.7959616184234619,0.04454284906387329,7.51,1.0,1421,351,500000,0.0013,0.0
0.006178788375109434,10972919408.0,62,-153634.16401639002,0.793886661529541,0.03322684019804001,7.33,1.0,1421,358,510000,0.0013,0.0
0.007973019964993,11028624049.6,63,-154338.21404566,0.7887904047966003,0.03420288488268852,7.46,1.0,1421,365,520000,0.0013,0.0
0.007398432586342096,10982439094.4,64,-154592.04643549,0.7857451438903809,0.03166578337550163,7.52,1.0,1421,372,530000,0.0013,0.0
0.007666038349270821,10896450067.2,65,-154687.18745487003,0.7835269570350647,0.02825535461306572,7.51,1.0,1422,379,540000,0.0013,0.0
0.00949100125581026,10829976990.4,67,-157507.46234098,0.7829949855804443,0.04514087736606598,7.76,1.0,1417,388,550000,0.0013,0.0
0.00824469979852438,10884617736.0,68,-156623.53536582,0.781461775302887,0.029362350702285767,7.79,1.0,1417,395,560000,0.0013,0.0
0.006693209987133741,10813516918.4,69,-155518.27813532998,0.7791812419891357,0.02539992332458496,7.69,1.0,1417,402,570000,0.0013,-1.1920928955078125e-07
0.008455964736640453,10914298588.8,70,-156219.03711011997,0.7787607312202454,0.04681558907032013,7.79,1.0,1418,408,580000,0.0013,0.0
0.009418572299182415,10751122185.6,72,-158529.69189838,0.7779521346092224,0.02122706174850464,8.04,1.0,1413,417,590000,0.0013,-1.1920928955078125e-07
0.009792008437216282,10738418902.4,73,-156418.24660947,0.7792496681213379,0.030893677845597267,7.88,1.0,1414,424,600000,0.0013,0.0
0.009229612536728382,10698539318.4,74,-156639.17612946,0.7784692645072937,0.038147397339344025,7.9,1.0,1414,431,610000,0.0013,0.0
0.0067060296423733234,10721623614.4,75,-155415.40325152,0.7773516178131104,0.02898235060274601,7.72,1.0,1415,438,620000,0.0013,0.0
0.009674951434135437,10646575892.8,76,-155586.29125497,0.7786062359809875,0.03794478252530098,7.76,1.0,1415,445,630000,0.0013,0.0
0.006869185250252485,10660853230.4,78,-156459.72990138002,0.7771933674812317,0.03898409754037857,7.81,1.0,1411,453,640000,0.0013,0.0
0.008637459017336369,10806636817.6,79,-156136.55651544,0.7747492790222168,0.04360087215900421,7.78,1.0,1412,460,650000,0.0013,0.0
0.0067191957496106625,10630976336.0,80,-155456.00693325,0.7720000743865967,0.036883991211652756,7.7,1.0,1412,467,660000,0.0013,0.0
0.007962177507579327,10611947408.0,81,-154231.90029802,0.7704020142555237,0.019447186961770058,7.57,1.0,1412,474,670000,0.0013,0.0
0.007293994072824717,10611376068.8,83,-154480.99364943002,0.771428108215332,0.02384139969944954,7.53,1.0,1409,482,680000,0.0013,1.1920928955078125e-07
