time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,time/fps,train/policy_objective,rollout/ep_len_mean,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,time/time_elapsed,train/value_loss,train/std,train/n_updates
10000,-977800.8689009799,-2.5033950805664062e-06,1640,0.054938845336437225,68.03,0.001,0.004557359963655472,1.0,6,41996761811.2,1.0115641355514526,1
20000,-873262.85839656,-1.1920928955078125e-07,1652,0.05677489936351776,63.53,0.001,0.004545226227492094,1.0,12,39024972416.0,1.0053199529647827,2
30000,-634474.2646212699,0.0,1649,0.060657061636447906,46.12,0.001,0.005551796406507492,1.0,18,33441080214.4,1.0025326013565063,3
40000,-574426.5314054199,-1.1920928955078125e-07,1641,0.050992317497730255,42.14,0.001,0.004704698920249939,1.0,24,31119431539.2,1.0028454065322876,4
50000,-482672.80110364995,2.384185791015625e-07,1579,0.0563335046172142,34.78,0.001,0.004690096247941256,1.0,31,27627906678.4,1.0093971490859985,6
60000,-466186.47545878997,1.1920928955078125e-07,1586,0.05579230189323425,33.83,0.001,0.004798600450158119,1.0,37,26234341299.2,1.007168173789978,7
70000,-451677.05562849,0.0,1590,0.052341002970933914,32.96,0.001,0.005132453981786966,1.0,44,26131130451.2,1.0026005506515503,8
80000,-446874.68262073,0.0,1588,0.061525847762823105,32.55,0.001,0.005044023040682077,1.0,50,23922046512.0,1.0138826370239258,9
90000,-308140.34487681004,0.0,1590,0.06368055939674377,20.5,0.001,0.00508143613114953,1.0,56,25237354604.8,1.0071511268615723,10
100000,-313264.3591196,-1.1920928955078125e-07,1562,0.06190813332796097,20.99,0.001,0.0052444227039813995,1.0,63,22027209504.0,1.0023125410079956,12
110000,-282662.96201277,0.0,1566,0.06150044500827789,18.21,0.001,0.005661890376359224,1.0,70,22157410828.8,0.997026264667511,13
120000,-259834.39450502,0.0,1567,0.05944054573774338,16.38,0.001,0.005123985931277275,1.0,76,22136393782.4,0.9865493774414062,14
130000,-250079.89979519998,-2.384185791015625e-07,1568,0.058197930455207825,15.72,0.001,0.005211088806390762,1.0,82,21079622089.6,0.9732714295387268,15
140000,-263555.84439844004,2.384185791015625e-07,1550,0.05625093728303909,16.85,0.001,0.007833465933799744,1.0,90,17906369854.4,0.9510833621025085,17
150000,-203028.34238595006,1.1920928955078125e-07,1553,0.07861781120300293,11.41,0.001,0.008554169908165932,1.0,96,17948175604.8,0.9420835375785828,18
160000,-174889.20298403,1.7881393432617188e-07,1552,0.05557363107800484,8.79,0.001,0.005282436963170767,1.0,103,17106715707.2,0.9388869404792786,19
170000,-176472.78136732,2.384185791015625e-07,1553,0.05514175817370415,9.01,0.001,0.005980461370199919,1.0,109,15654295404.8,0.9361011385917664,20
180000,-160842.6095707,2.384185791015625e-07,1554,0.0635015070438385,7.5,0.001,0.008278327994048595,1.0,115,15460492632.0,0.9243535399436951,21
190000,-168586.61601613,-2.384185791015625e-07,1540,0.051742278039455414,8.11,0.001,0.00787946954369545,1.0,123,13793816800.0,0.904920756816864,23
200000,-152136.88084099,0.0,1539,0.06258025020360947,6.58,0.001,0.00799812376499176,1.0,129,14737219123.2,0.8967461585998535,24
210000,-143684.84533624,-2.384185791015625e-07,1540,0.05644208937883377,5.78,0.001,0.00687865586951375,1.0,136,13045591566.4,0.8884286284446716,25
220000,-143869.12498522998,-2.384185791015625e-07,1541,0.06320970505475998,5.82,0.001,0.007468645926564932,1.0,142,12353417846.4,0.8800556063652039,26
230000,-140630.16783502998,-2.384185791015625e-07,1529,0.060425929725170135,5.41,0.001,0.006444178055971861,1.0,150,11759766742.4,0.8673563599586487,28
240000,-139587.77580897,3.5762786865234375e-07,1528,0.06037212908267975,5.37,0.001,0.006555687636137009,1.0,156,11826560657.6,0.8609676957130432,29
250000,-140105.86812616,0.0,1529,0.05759391933679581,5.39,0.001,0.007430268917232752,1.0,163,11371075857.6,0.8581125140190125,30
260000,-138267.59112162,-2.384185791015625e-07,1530,0.03651754930615425,5.23,0.001,0.0049835555255413055,1.0,169,11553772673.6,0.8519296050071716,31
270000,-142668.7395188,0.0,1530,0.047586243599653244,5.67,0.001,0.007130130659788847,1.0,176,11359562395.2,0.8476584553718567,32
280000,-147837.89803299,2.384185791015625e-07,1519,0.046852968633174896,6.12,0.001,0.0075457594357430935,1.0,184,11416575291.2,0.8400612473487854,34
290000,-132519.93271272,0.0,1519,0.04605364054441452,4.67,0.001,0.007560622412711382,1.0,190,11543633284.8,0.8379737734794617,35
300000,-133133.62682833997,2.384185791015625e-07,1520,0.035602595657110214,4.71,0.001,0.005588870495557785,1.0,197,11461316648.0,0.8355245590209961,36
310000,-133496.95855487,0.0,1520,0.06610102206468582,4.77,0.001,0.008438167162239552,1.0,203,11529675222.4,0.8359012007713318,37
320000,-137841.75165832,5.960464477539063e-08,1511,0.06240222603082657,5.18,0.001,0.0065201339311897755,1.0,211,11836586825.6,0.8309468626976013,39
330000,-132090.61304832,-1.1920928955078125e-07,1512,0.04376113414764404,4.61,0.001,0.006401756312698126,1.0,218,11748073160.0,0.829094409942627,40
340000,-136042.05965511,1.1920928955078125e-07,1513,0.05687788873910904,4.97,0.001,0.006158011499792337,1.0,224,11308413081.6,0.8252277970314026,41
350000,-131886.72519440998,-1.1920928955078125e-07,1513,0.0433797724545002,4.56,0.001,0.006581976544111967,1.0,231,12087546934.4,0.8175820708274841,42
360000,-134715.28502023,0.0,1513,0.05688905715942383,4.82,0.001,0.007920373231172562,1.0,237,11237129152.0,0.8180431723594666,43
370000,-129872.28650300998,0.0,1506,0.03559064865112305,4.37,0.001,0.008303599432110786,1.0,245,10797374113.6,0.80946284532547,45
380000,-131275.61624677,-2.384185791015625e-07,1507,0.0685940608382225,4.48,0.001,0.008845147676765919,1.0,252,10951462748.8,0.8070243000984192,46
390000,-143000.04409728,0.0,1507,0.03958534076809883,5.55,0.001,0.009335416369140148,1.0,258,11551561272.0,0.8000271320343018,47
400000,-130636.60232244,-1.1920928955078125e-07,1508,0.035150196403265,4.47,0.001,0.0075878663919866085,1.0,265,13863952798.4,0.7979215979576111,48
410000,-132089.72255274,-1.1920928955078125e-07,1500,0.06420540809631348,4.6,0.001,0.005825103726238012,1.0,273,11392625265.6,0.7957039475440979,50
420000,-130738.31394167,0.0,1501,0.05955711007118225,4.48,0.001,0.007005600258708,1.0,279,11934450081.6,0.796464741230011,51
430000,-131366.61039986,0.0,1501,0.014124991372227669,4.56,0.001,0.0063158744014799595,1.0,286,11477461158.4,0.7961339354515076,52
440000,-128561.99618490001,0.0,1502,0.03178653120994568,4.25,0.001,0.006878530606627464,1.0,292,12525307872.0,0.7965831756591797,53
450000,-130944.60549509,0.0,1502,0.01682884246110916,4.5,0.001,0.007629569619894028,1.0,299,11199752776.0,0.7938180565834045,54
460000,-130031.04787718001,2.384185791015625e-07,1495,0.05954404175281525,4.43,0.001,0.007439271081238985,1.0,307,11081968648.0,0.7911667227745056,56
470000,-146864.82001088004,-2.384185791015625e-07,1496,0.022448156028985977,5.76,0.001,0.005995206069201231,1.0,314,10776948174.4,0.7913110256195068,57
480000,-130031.08383518999,0.0,1496,0.07253360003232956,4.41,0.001,0.008005276322364807,1.0,320,11516796601.6,0.7927596569061279,58
490000,-136320.05583285997,-1.1920928955078125e-07,1497,0.056619346141815186,4.95,0.001,0.007129068020731211,1.0,327,11342019897.6,0.7904999852180481,59
500000,-132460.45274991,-1.1920928955078125e-07,1492,0.03451380878686905,4.67,0.001,0.006734839174896479,1.0,335,10714131902.4,0.7893102169036865,61
510000,-130558.53631180001,1.7881393432617188e-07,1492,0.042118970304727554,4.46,0.001,0.008767102845013142,1.0,341,11215876851.2,0.7852163910865784,62
520000,-128458.02111970999,0.0,1493,0.04064156115055084,4.23,0.001,0.008067797869443893,1.0,348,10605609481.6,0.7836852073669434,63
530000,-129380.92272396001,-1.1920928955078125e-07,1493,0.01537056639790535,4.31,0.001,0.008988146670162678,1.0,354,10525305457.6,0.7794880867004395,64
540000,-128525.96808106998,0.0,1493,0.03756225109100342,4.25,0.001,0.005513494368642569,1.0,361,10491094620.8,0.775340735912323,65
550000,-128150.56459199998,0.0,1488,0.05664965882897377,4.22,0.001,0.006884830072522163,1.0,369,10464314707.2,0.7680678367614746,67
560000,-128018.94452819001,-1.1920928955078125e-07,1489,0.037897903472185135,4.22,0.001,0.005555585026741028,1.0,376,10567016609.6,0.7659094333648682,68
570000,-129199.54214779999,-1.1920928955078125e-07,1489,0.019868232309818268,4.35,0.001,0.005516521167010069,1.0,382,10613588262.4,0.7661594748497009,69
580000,-130263.49261106,-1.1920928955078125e-07,1490,0.04499032348394394,4.44,0.001,0.006337154656648636,1.0,389,10696697596.8,0.7639984488487244,70
590000,-128687.80772225,0.0,1486,0.04115457832813263,4.27,0.001,0.009309454821050167,1.0,396,10518258248.0,0.7608780860900879,72
600000,-127149.03553462999,5.960464477539063e-08,1486,0.030524056404829025,4.12,0.001,0.007656969130039215,1.0,403,10360627716.8,0.7536724209785461,73
610000,-127139.29455857,5.960464477539063e-08,1487,0.03191419318318367,4.13,0.001,0.007478086277842522,1.0,410,10359330430.4,0.7527897357940674,74
620000,-126930.63046154998,0.0,1487,0.033279404044151306,4.1,0.001,0.006190387532114983,1.0,416,10318773107.2,0.7514548301696777,75
630000,-126770.64893542003,0.0,1487,0.02161198854446411,4.09,0.001,0.007795389275997877,1.0,423,10267874398.4,0.7490183711051941,76
640000,-126848.80563187,0.0,1483,0.03887422755360603,4.1,0.001,0.009483386762440205,1.0,431,10257697617.6,0.7462634444236755,78
650000,-126419.28601927002,0.0,1484,0.030581826344132423,4.06,0.001,0.008220049552619457,1.0,438,10222778587.2,0.7427036166191101,79
660000,-125950.98023802,0.0,1484,0.021925410255789757,4.02,0.001,0.007851515896618366,1.0,444,10208511481.6,0.7403501868247986,80
670000,-127401.80887344,-1.1920928955078125e-07,1484,0.017856400460004807,4.17,0.001,0.0089127691462636,1.0,451,10438139513.6,0.7405307292938232,81
680000,-131188.92631881003,0.0,1480,0.050091974437236786,4.45,0.001,0.00803093146532774,1.0,459,12282555353.6,0.7400684356689453,83
690000,-127541.44269304998,0.0,1481,0.03250395506620407,4.17,0.001,0.006442936137318611,1.0,465,10467342249.6,0.7398300766944885,84
700000,-126842.14086203997,0.0,1481,0.03434905409812927,4.1,0.001,0.009054278023540974,1.0,472,10281761476.8,0.7392100691795349,85
710000,-127032.38309837999,1.1920928955078125e-07,1481,0.018408246338367462,4.12,0.001,0.005940090864896774,1.0,479,10200980289.6,0.7370765805244446,86
720000,-127390.48274155002,5.960464477539063e-08,1481,0.049715008586645126,4.15,0.001,0.007982885465025902,1.0,485,10406177284.8,0.7353160381317139,87
730000,-128034.25194090999,-1.1920928955078125e-07,1478,0.06940608471632004,4.19,0.001,0.009524044580757618,1.0,493,12133666934.4,0.7365147471427917,89
740000,-127085.59980994002,5.960464477539063e-08,1478,0.04313803091645241,4.12,0.001,0.009687448851764202,1.0,500,10587426836.8,0.7359932065010071,90
750000,-127150.40191405997,0.0,1478,0.025843605399131775,4.12,0.001,0.007037532981485128,1.0,507,10185081888.0,0.7361056804656982,91
760000,-126594.08465328997,0.0,1478,0.03870853781700134,4.08,0.001,0.00771491602063179,1.0,514,10154610504.0,0.7344967722892761,92
770000,-126421.20241206001,0.0,1478,0.03113856352865696,4.06,0.001,0.008099882863461971,1.0,520,10119996100.8,0.732481062412262,93
780000,-126006.21693833999,-1.1920928955078125e-07,1474,0.03520127013325691,4.02,0.001,0.006567167583853006,1.0,528,10224308622.4,0.7294333577156067,95
790000,-126183.33292321002,1.1920928955078125e-07,1474,0.024769112467765808,4.03,0.001,0.00955216959118843,1.0,535,10096825766.4,0.7278326153755188,96
800000,-126167.09557129002,-1.1920928955078125e-07,1475,0.032547518610954285,4.03,0.001,0.00847027450799942,1.0,542,10355940854.4,0.7252590656280518,97
810000,-153433.63945212,-1.1920928955078125e-07,1475,0.08217716217041016,5.98,0.001,0.006123984698206186,1.0,549,12359123081.6,0.7256110310554504,98
820000,-126245.01822467998,0.0,1472,0.030815130099654198,4.02,0.001,0.008085680194199085,1.0,557,10256526859.2,0.7251521944999695,100
830000,-126090.32608541,0.0,1471,0.024416014552116394,4.02,0.001,0.00792649481445551,1.0,563,10044445257.6,0.72575443983078,101
840000,-126065.01375247,-1.1920928955078125e-07,1472,0.05692075937986374,4.01,0.001,0.0037025045603513718,1.0,570,10362364264.0,0.7246727347373962,102
850000,-125902.81743075,-1.1920928955078125e-07,1472,0.0325736328959465,4.0,0.001,0.009922013618052006,1.0,577,10096127144.0,0.7246062755584717,103
860000,-125906.32102588001,0.0,1472,0.03311317414045334,4.0,0.001,0.006951905321329832,1.0,583,10048369414.4,0.7207064628601074,104
