train/value_loss,train/explained_variance,time/total_timesteps,train/is_line_search_success,time/time_elapsed,train/policy_objective,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/learning_rate,time/fps,train/kl_divergence_loss,train/n_updates
2308113255.0,5.364418029785156e-07,10000,1.0,3,0.04256714880466461,-427868.7857658365,159.8,1.0032085180282593,0.001,2788,0.006090758368372917,1
1898821414.4,0.0,20000,1.0,7,0.03307240083813667,-310030.74220429995,133.06,1.0044721364974976,0.001,2823,0.006114491727203131,2
1488490314.4,0.0,30000,1.0,10,0.03357239067554474,-267729.27337053005,142.21,1.0076191425323486,0.001,2854,0.005961549002677202,3
1129160740.5,5.960464477539063e-08,40000,1.0,14,0.03441006317734718,-236768.22832055998,138.2,1.0049806833267212,0.001,2851,0.004957248922437429,4
1194379095.1,-1.1920928955078125e-07,50000,1.0,18,0.028665538877248764,-216326.17257185,129.67,0.9942849278450012,0.001,2706,0.0046310764737427235,6
974505409.2,0.0,60000,1.0,21,0.03297723829746246,-242451.55875189006,161.13,0.9912368655204773,0.001,2730,0.005399445537477732,7
987924168.6,-1.1920928955078125e-07,70000,1.0,25,0.02971445396542549,-208749.93068901997,152.45,0.9784929156303406,0.001,2747,0.004514331463724375,8
1119272208.8,1.1920928955078125e-07,80000,1.0,28,0.03353016451001167,-187261.87475479997,125.05,0.9698977470397949,0.001,2761,0.00575176952406764,9
1048875482.7,0.0,90000,1.0,32,0.03616167604923248,-196014.73221609,146.45,0.96131831407547,0.001,2769,0.005833099130541086,10
756585622.35,0.0,100000,1.0,36,0.03569212928414345,-193628.14117146,177.21,0.9679649472236633,0.001,2708,0.005080821458250284,12
679536427.1,0.0,110000,1.0,40,0.03013511374592781,-182951.9126467,198.76,0.9627718925476074,0.001,2720,0.00518583320081234,13
678691662.15,5.960464477539063e-08,120000,1.0,43,0.033801328390836716,-177098.36286839005,192.53,0.96897292137146,0.001,2729,0.0074391053058207035,14
659020940.2,0.0,130000,1.0,47,0.03466902673244476,-199572.66390354,205.26,0.960085391998291,0.001,2738,0.0054239449091255665,15
