train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,time/fps,train/explained_variance,train/n_updates,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/loss,train/std,time/total_timesteps,time/time_elapsed,train/approx_kl
0.2,-231680.02666483005,33.96,-0.009753177472885,1069,1.1563301086425781e-05,10,0.0017,6324100560.4,0.066455078125,-21.333333295583724,2803957760.0,1.0062686204910278,10000,9,0.0072493413
0.2,-203811.39341685,29.82,-0.006099144397921918,1067,0.0,20,0.0017,6171980782.4,0.03294677734375,-21.4247598066926,3268771072.0,1.012326955795288,20000,18,0.0056171417
0.2,-188066.12965076993,27.37,-0.006307378071869607,1067,0.0,30,0.0017,6104676617.6,0.03365478515625,-21.514915290474892,2725170944.0,1.0183374881744385,30000,28,0.005505105
0.2,-177484.86652881,24.22,-0.005264671244367492,1067,0.0,40,0.0017,5975969223.4,0.032470703125,-21.598034691810607,3011598336.0,1.0237066745758057,40000,37,0.005727084
0.2,-192688.30900468997,27.42,-0.004065403333879658,982,0.0,60,0.0017,5774932387.2,0.01568603515625,-21.787648087739946,2648408320.0,1.0374544858932495,50000,50,0.004704769
0.2,-184181.55867680997,26.31,-0.004705106108667678,994,0.0,70,0.0017,5834047040.0,0.022705078125,-21.888897909224035,3084980992.0,1.0445159673690796,60000,60,0.0046421
0.2,-188199.42584725004,27.44,-0.0035386958668823356,1004,0.0,80,0.0017,5478748196.4,0.014501953125,-21.998517183959486,2561709568.0,1.0526963472366333,70000,69,0.004337401
0.2,-157145.87471914,22.18,-0.003154249051476654,1011,1.1920928955078125e-07,90,0.0017,5724940405.6,0.0111328125,-22.103240509331226,2409048064.0,1.0593732595443726,80000,79,0.0040348764
0.2,-176860.36593363996,25.32,-0.004491909359421698,1015,0.0,100,0.0017,5460067242.4,0.01610107421875,-22.20876737385988,2781654784.0,1.0674902200698853,90000,88,0.004562514
0.2,-155594.32100854997,22.19,-0.003921078399798716,979,0.0,120,0.0017,5254779799.4,0.015771484375,-22.416902787983418,2799335424.0,1.0821372270584106,100000,102,0.0044729216
0.2,-171442.51582640997,24.96,-0.003410484699634253,985,0.0,130,0.0017,5178160079.6,0.016943359375,-22.518293486535548,2595842304.0,1.0891190767288208,110000,111,0.0043173684
0.2,-170755.86696245,25.77,-0.0038287293684334143,990,0.0,140,0.0017,5223049368.0,0.01507568359375,-22.621693587303163,2585644800.0,1.0971983671188354,120000,121,0.0044978783
0.2,-169035.70241941002,25.21,-0.003529037158295978,995,0.0,150,0.0017,5308579903.2,0.0133056640625,-22.72837622910738,2482893056.0,1.1047403812408447,130000,130,0.0042211083
0.2,-169329.96555748998,25.8,-0.0038654660684187547,972,0.0,170,0.0017,5096287582.8,0.01590576171875,-22.93950564712286,2322515200.0,1.1204198598861694,140000,144,0.004478252
0.2,-154894.48779398997,22.77,-0.003996265698151547,977,0.0,180,0.0017,5087604751.2,0.0169189453125,-23.05359830111265,2792754688.0,1.1297118663787842,150000,153,0.004831909
0.2,-174396.02544416994,27.08,-0.004907809013457154,981,0.0,190,0.0017,5068819238.8,0.02044677734375,-23.172714301943778,2752777216.0,1.1382533311843872,160000,163,0.0050424775
0.2,-169784.03335321002,24.89,-0.004477057436088216,985,1.1920928955078125e-07,200,0.0017,5000736189.4,0.0206787109375,-23.279264479875565,2284069120.0,1.1460740566253662,170000,172,0.00525064
