train/actor_loss,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/ent_coef,time/fps,time/time_elapsed
155880.421875,0.001,60220768.0,-158905.93734329,1.3180688619613647,84974,4.0,56251,340000,72.0443115234375,332,1023
155266.1875,0.001,57338800.0,-159533.01081039998,3.6390604972839355,87474,4.0,58746,350000,66.12897491455078,331,1054
166139.453125,0.001,45911988.0,-158779.38391287,-6.230932712554932,89974,4.0,61237,360000,66.06049346923828,331,1084
150865.359375,0.001,56250472.0,-159134.71201964,7.611621379852295,92474,4.0,63712,370000,62.14950180053711,331,1115
157630.828125,0.001,158024576.0,-158566.9872967,-4.804081439971924,94974,4.0,66212,380000,61.425968170166016,331,1145
151163.65625,0.001,33271226.0,-158373.56023269,3.561677932739258,97474,4.0,68712,390000,58.07920455932617,331,1176
163104.21875,0.001,66708844.0,-158557.91724813,-1.5213415622711182,99974,4.0,71212,400000,61.58028793334961,331,1206
176904.3125,0.001,269662592.0,-158695.98088848,-10.29649543762207,102474,4.0,73709,410000,125.83781433105469,330,1240
161671.09375,0.001,70284912.0,-159050.43266972003,-3.1853201389312744,104974,4.0,76206,420000,116.20183563232422,329,1273
151273.4375,0.001,145028192.0,-168147.53344062,-1.289186716079712,107474,4.46,78691,430000,124.75807189941406,329,1306
157232.53125,0.001,315425824.0,-158799.74357256002,-10.936830520629883,109974,4.0,81189,440000,91.2962875366211,328,1340
163615.46875,0.001,144580704.0,-158718.04846085998,-0.18867456912994385,112474,4.0,83689,450000,87.60360717773438,327,1373
201033.53125,0.001,628049344.0,-159176.53716094003,-4.053865909576416,114974,4.0,86046,460000,127.3097915649414,326,1406
206137.90625,0.001,709423488.0,-159513.29393908,-1.5314912796020508,117474,4.0,88521,470000,127.24836730957031,326,1440
199198.390625,0.001,874575232.0,-167031.87416121,-7.547607898712158,119974,4.36,91011,480000,117.56531524658203,325,1473
178711.40625,0.001,455683456.0,-159092.86783817998,13.799431800842285,122474,4.0,93343,490000,112.29228210449219,325,1506
171276.09375,0.001,84291824.0,-159092.35846682003,-1.7326838970184326,124974,4.0,95843,500000,72.3244857788086,324,1539
233512.375,0.001,1324005120.0,-171386.32113110003,-18.84204864501953,127474,4.61,98078,510000,127.40064239501953,324,1572
181290.78125,0.001,1245719680.0,-159241.80957436003,9.414849281311035,129974,4.02,100553,520000,137.92039489746094,323,1605
167562.421875,0.001,169157520.0,-158725.66498519,5.169439315795898,132474,4.0,102583,530000,124.96693420410156,323,1638
169747.6875,0.001,421457440.0,-158527.95191126,-5.911984920501709,134974,4.0,105083,540000,97.3385009765625,323,1671
172788.21875,0.001,492449920.0,-158571.22407623,0.07005178928375244,137474,4.0,107583,550000,108.91336059570312,322,1704
195712.375,0.001,521326784.0,-158803.80605594002,2.7966456413269043,139974,4.0,110083,560000,96.16819763183594,322,1737
168438.4375,0.001,506933472.0,-158596.6405107,-11.49069595336914,142474,4.0,112583,570000,133.98501586914062,321,1771
171772.75,0.001,1214712704.0,-158735.28500867,-5.566984176635742,144974,4.0,115083,580000,111.4195327758789,321,1804
172312.21875,0.001,143912768.0,-159293.8029172,6.093873023986816,147474,4.0,117583,590000,108.91304779052734,321,1837
163162.90625,0.001,611584640.0,-158887.30009469,3.23960018157959,149974,4.0,120083,600000,102.30824279785156,320,1870
154412.21875,0.001,98465792.0,-159211.92840317,-0.26039373874664307,152474,4.0,122583,610000,84.74419403076172,320,1903
163748.21875,0.001,129734928.0,-158647.61967272998,0.8370301723480225,154974,4.0,125067,620000,90.78437805175781,320,1937
167579.25,0.001,1018044288.0,-159493.44843607998,11.164631843566895,157474,4.0,127567,630000,94.13592529296875,319,1970
153563.6875,0.001,1650195200.0,-158940.3854487,4.8915534019470215,159974,4.0,130067,640000,78.8885269165039,319,2003
146833.15625,0.001,86241728.0,-158536.56242550001,0.8875226974487305,162474,4.0,132567,650000,78.05966186523438,319,2037
178971.921875,0.001,73519008.0,-158616.30908079,-1.9402165412902832,164974,4.0,135067,660000,68.66515350341797,318,2070
183057.9375,0.001,518841600.0,-158771.87563521002,5.3250274658203125,167474,4.0,137567,670000,86.6629638671875,318,2103
153976.859375,0.001,103015096.0,-158578.91012905,3.0537374019622803,169974,4.0,140067,680000,51.93354034423828,318,2136
163577.046875,0.001,99495264.0,-158589.82873758,-4.722618579864502,172474,4.0,142567,690000,52.27900695800781,317,2169
157214.203125,0.001,160356656.0,-159245.02196977998,0.2559351921081543,174974,4.0,145067,700000,62.66679000854492,317,2203
167841.25,0.001,148807696.0,-158500.48379211,-4.303645133972168,177474,4.0,147567,710000,55.8447151184082,317,2236
146600.09375,0.001,49513668.0,-158955.12570027,9.199840545654297,179974,4.0,150067,720000,41.89277648925781,317,2269
144404.828125,0.001,209290208.0,-158662.78314706,1.0686808824539185,182474,4.0,152567,730000,44.439674377441406,317,2302
175867.78125,0.001,123832320.0,-158692.6212271,-11.006743431091309,184974,4.0,155067,740000,52.54017639160156,316,2335
144960.59375,0.001,136592848.0,-158888.68966373,1.0683103799819946,187474,4.0,157567,750000,46.04890823364258,316,2368
139654.90625,0.001,28883958.0,-158542.85400449,-3.1183090209960938,189974,4.0,160067,760000,45.28097152709961,316,2402
142675.234375,0.001,86678936.0,-158555.13937213,-6.148704528808594,192474,4.0,162567,770000,42.7554931640625,316,2435
146300.34375,0.001,85120656.0,-158761.71804680998,-2.6879892349243164,194974,4.0,165067,780000,37.99876403808594,315,2468
143460.8125,0.001,19953234.0,-158501.29947735998,3.1772711277008057,197474,4.0,167567,790000,34.64314270019531,315,2501
140765.765625,0.001,48217732.0,-158423.76999249,-2.744274854660034,199974,4.0,170067,800000,41.950252532958984,315,2534
147872.28125,0.001,27392972.0,-158508.67969559002,-2.405724048614502,202474,4.0,172567,810000,46.857967376708984,315,2568
141264.28125,0.001,72937360.0,-158456.58021242,-1.5427031517028809,204974,4.0,175067,820000,36.931983947753906,315,2601
144595.9375,0.001,33903328.0,-158628.13973792002,5.592550277709961,207474,4.0,177567,830000,40.895042419433594,315,2634
140455.796875,0.001,22858004.0,-158527.55795674,8.605737686157227,209974,4.0,180067,840000,36.72871398925781,314,2667
140972.34375,0.001,62010592.0,-158470.08011933998,-2.109431743621826,212474,4.0,182567,850000,32.66006851196289,314,2700
143805.96875,0.001,34691544.0,-158460.21818748998,-0.12793183326721191,214974,4.0,185067,860000,33.66922378540039,314,2733
135201.578125,0.001,17997572.0,-158427.11729808,1.8649433851242065,217474,4.0,187567,870000,35.22348403930664,314,2767
145124.390625,0.001,17686276.0,-158521.71111597997,5.56547737121582,219974,4.0,190067,880000,51.00120544433594,314,2800
144714.3125,0.001,40657764.0,-158430.71155744,3.600389242172241,222474,4.0,192567,890000,34.235347747802734,314,2833
146554.09375,0.001,63348028.0,-158406.35628693,-1.9689157009124756,224974,4.0,195067,900000,31.80626106262207,313,2866
135363.34375,0.001,160734432.0,-158317.19994247,5.120698928833008,227474,4.0,197567,910000,33.912872314453125,313,2899
138777.234375,0.001,44167768.0,-158292.55293032,-1.8213242292404175,229974,4.0,200067,920000,34.894195556640625,313,2933
140046.21875,0.001,31815796.0,-158502.41868324002,-1.3959696292877197,232474,4.0,202567,930000,30.525915145874023,313,2966
135103.46875,0.001,10544606.0,-158485.69382823,3.438188076019287,234974,4.0,205067,940000,28.338075637817383,313,2999
131515.84375,0.001,28558476.0,-158379.75598679998,3.854668617248535,237474,4.0,207567,950000,26.718137741088867,313,3032
136810.875,0.001,17620050.0,-158331.14835248,-0.12119293212890625,239974,4.0,210067,960000,30.135391235351562,313,3065
142364.59375,0.001,11397372.0,-158361.89374392,-6.503012657165527,242474,4.0,212567,970000,26.76584243774414,312,3099
133776.78125,0.001,11565973.0,-158424.84820186996,3.63324236869812,244974,4.0,215067,980000,29.73880386352539,312,3132
137480.984375,0.001,17530848.0,-158349.64824890002,2.6968979835510254,247474,4.0,217567,990000,27.650596618652344,312,3165
137440.1875,0.001,13837828.0,-158343.9268387,0.35018110275268555,249974,4.0,220067,1000000,26.325647354125977,312,3198
