train/actor_loss,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/ent_coef,time/fps,time/time_elapsed
-10240.1015625,0.001,439835712.0,-5778524.558577074,-111.34939575195312,2474,121.4320987654321,81,10000,2.5804195404052734,337,29
1839.908203125,0.001,62595820.0,-1103778.0619936998,-193.19192504882812,4974,36.98,294,20000,6.691927433013916,337,59
-17707.96484375,0.001,143120096.0,-1701591.0604368702,-196.3825225830078,7474,61.6,453,30000,15.849970817565918,337,88
28301.64453125,0.001,189807296.0,-1337478.39974394,-165.86474609375,9974,45.22,614,40000,30.270896911621094,336,118
68019.5,0.001,130824688.0,-1628051.6544802499,-131.84384155273438,12474,43.64,861,50000,53.113162994384766,335,148
100512.2421875,0.001,99732336.0,-3684812.1067123697,-132.79013061523438,14974,91.65,1003,60000,89.07039642333984,335,178
101769.7265625,0.001,416844608.0,-2254440.89336568,-105.767333984375,17474,55.49,1154,70000,146.3653564453125,334,209
159853.390625,0.001,240424384.0,-5042083.270939,-103.19644165039062,19974,115.91,1191,80000,255.12953186035156,334,239
206755.46875,0.001,180138080.0,-6104546.50935968,-134.80392456054688,22474,142.19,1273,90000,534.4827880859375,334,269
241526.5625,0.001,974120064.0,-7382166.470834771,-34.54768753051758,24974,170.65,1354,100000,777.801025390625,334,299
236931.1875,0.001,927979904.0,-231078.47445840001,48.31487274169922,27474,7.32,2107,110000,598.1783447265625,334,329
235116.171875,0.001,343007616.0,-179469.73097776,44.10094451904297,29974,5.0,3827,120000,387.19097900390625,333,359
227951.125,0.001,468551328.0,-175596.50274515,17.542442321777344,32474,4.76,5812,130000,242.78379821777344,333,389
248731.15625,0.001,196980240.0,-177681.12749692,1.5254862308502197,34974,4.89,7781,140000,208.6909942626953,333,419
242225.1875,0.001,445589760.0,-180167.65425327004,0.9953622817993164,37474,4.99,9794,150000,199.44393920898438,333,449
221729.828125,0.001,923438464.0,-177720.29647112,1.3232316970825195,39974,4.9,11692,160000,172.23321533203125,333,480
235642.96875,0.001,158237312.0,-161022.49047027,0.15241080522537231,42474,4.08,14026,170000,147.0105438232422,333,510
227483.296875,0.001,283108288.0,-161467.73796976003,1.6354057788848877,44974,4.12,16482,180000,144.03648376464844,333,540
220089.5625,0.001,313051904.0,-159762.37275333,0.6028423309326172,47474,4.03,18956,190000,131.3241729736328,332,570
219023.34375,0.001,237907040.0,-161270.00135205,-1.3378801345825195,49974,4.12,21441,200000,127.06816101074219,332,600
206311.90625,0.001,398354816.0,-159465.0286761,1.6946176290512085,52474,4.02,23921,210000,132.57440185546875,332,631
205044.390625,0.001,98391872.0,-158973.43566373998,-0.79261314868927,54974,4.0,26417,220000,114.62303161621094,332,661
184004.3125,0.001,159219248.0,-159492.30518436,0.8178642988204956,57474,4.0,28865,230000,108.45658111572266,332,691
193909.375,0.001,117918128.0,-158953.77060418,-6.694660186767578,59974,4.0,31359,240000,103.64436340332031,332,721
189001.65625,0.001,69295624.0,-159187.35206769,1.6537922620773315,62474,4.0,33859,250000,101.35096740722656,332,751
197043.90625,0.001,119686136.0,-161208.30897265,-7.003615379333496,64974,4.1,36351,260000,94.70288848876953,332,782
185161.625,0.001,101043616.0,-158939.13841169,4.882542610168457,67474,4.0,38792,270000,87.07154083251953,332,812
178886.9375,0.001,98436928.0,-159399.29776351,-1.2539753913879395,69974,4.0,41290,280000,82.64546203613281,332,842
166427.375,0.001,96990360.0,-159116.76544755,-1.1431922912597656,72474,4.0,43753,290000,81.60015869140625,332,872
175558.59375,0.001,114472584.0,-159022.23840379,-0.8626875877380371,74974,4.0,46252,300000,76.61970520019531,332,902
170538.0625,0.001,72357088.0,-159059.25704544,-2.2364044189453125,77474,4.0,48752,310000,73.65294647216797,332,933
164931.1875,0.001,73736896.0,-159006.85015802,1.3773632049560547,79974,4.0,51252,320000,66.06480407714844,332,963
175430.96875,0.001,162089968.0,-158522.73142215,-2.180962085723877,82474,4.0,53752,330000,69.50077056884766,332,993
