rollout/ep_len_mean,train/approx_kl,train/clip_range,train/value_loss,time/time_elapsed,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,rollout/ep_rew_mean,train/std,train/policy_gradient_loss,time/fps,time/total_timesteps,train/loss
50.07,0.0006509172,0.2,3639511529.4,148,280,0.0,-12.732543589919805,0.0,0.0003,-209353.07583028,0.9957246780395508,-0.0012775078639606363,1549,230000,1733851392.0
57.24,0.0005930943,0.2,3702600370.4,154,290,0.0,-12.732500848919154,0.0,0.0003,-220913.04801849995,0.9958802461624146,-0.0012043621192788124,1555,240000,1775682176.0
50.07,0.00031063653,0.2,3398396916.8,160,300,0.0,-12.73382048085332,0.0,0.0003,-208999.27913684002,0.996023416519165,-0.000766707197908545,1560,250000,1635061888.0
59.44,0.0006386738,0.2,3638109497.4,166,310,0.0,-12.733169501274824,1.1920928955078125e-07,0.0003,-231188.3058798,0.9957449436187744,-0.0012695815465121995,1565,260000,1806910208.0
62.05,0.0003752198,0.2,3383350877.2,171,320,0.0,-12.731762081384659,1.1920928955078125e-07,0.0003,-232979.02165219001,0.9957241415977478,-0.0009100760875298874,1570,270000,1689576576.0
59.25,0.0009374645,0.2,3709653935.6,180,340,0.0,-12.723908247798681,0.0,0.0003,-236266.38678600997,0.9945944547653198,-0.0016651219561026665,1550,280000,1540439296.0
49.02,0.000639136,0.2,3640031824.2,186,350,0.0,-12.719373593479395,-1.1920928955078125e-07,0.0003,-205721.0640221,0.9941151738166809,-0.0013219209147791843,1555,290000,1897717760.0
56.62,0.00046509178,0.2,3720670737.8,192,360,0.0,-12.718093162029982,1.1920928955078125e-07,0.0003,-213621.48669296,0.994318962097168,-0.0011115378267277265,1559,300000,1695595520.0
55.5,0.00024364825,0.2,3378721508.4,198,370,0.0,-12.71954529210925,0.0,0.0003,-213728.58711728,0.9944443106651306,-0.000819286653859308,1563,310000,1437018240.0
51.6,0.0003211297,0.2,3351215376.0,206,390,0.0,-12.717512745410204,-1.1920928955078125e-07,0.0003,-198272.49783429,0.9938921332359314,-0.0007636339463715558,1546,320000,1701620992.0
51.25,0.0006262085,0.2,3631056949.0,212,400,0.0,-12.714659906923771,-2.384185791015625e-07,0.0003,-205826.16432822,0.9937865734100342,-0.0012805486459910754,1550,330000,1758185088.0
55.68,0.00025022222,0.2,3302083002.0,218,410,0.0,-12.71412965208292,0.0,0.0003,-208798.99948228998,0.993775486946106,-0.0007800081852110452,1554,340000,1930830592.0
