train/explained_variance,train/std,time/time_elapsed,train/is_line_search_success,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/kl_divergence_loss,train/learning_rate,train/policy_objective,time/fps,train/value_loss,time/total_timesteps
-1.1920928955078125e-07,0.7114579677581787,310,1.0,3.01,56,-118242.81913654001,0.008709056302905083,0.001,0.018887681886553764,1479,10188241912.0,460000
-1.1920928955078125e-07,0.7135255336761475,317,1.0,3.0,57,-118159.42015321001,0.006344065070152283,0.001,0.012264231219887733,1479,10177008625.6,470000
0.0,0.7131777405738831,324,1.0,3.01,58,-118225.19260963,0.006348602008074522,0.001,0.023346900939941406,1479,10172712281.6,480000
0.0,0.7120065093040466,331,1.0,3.0,59,-118098.83481092002,0.008661829866468906,0.001,0.031528085470199585,1478,10161870956.8,490000
5.960464477539063e-08,0.7120017409324646,339,1.0,3.0,61,-118110.83671576995,0.008637838996946812,0.001,0.014095756225287914,1472,10139073339.2,500000
-1.1920928955078125e-07,0.7103378772735596,346,1.0,3.0,62,-118108.85203971001,0.007764507085084915,0.001,0.023165613412857056,1473,10134081024.0,510000
0.0,0.7024410367012024,353,1.0,3.0,63,-118100.88898135003,0.009595830924808979,0.001,0.022465964779257774,1472,10127093036.8,520000
0.0,0.6979848742485046,359,1.0,3.0,64,-118077.16394074,0.009000323712825775,0.001,0.02472008392214775,1472,10114599516.8,530000
-1.1920928955078125e-07,0.6981318593025208,366,1.0,3.01,65,-118300.24494983001,0.008905279450118542,0.001,0.01835290901362896,1473,10107345888.0,540000
0.0,0.6964030265808105,374,1.0,3.0,67,-118113.55938372998,0.009511400945484638,0.001,0.026630282402038574,1468,10095148985.6,550000
0.0,0.6862439513206482,381,1.0,3.0,68,-118113.99133851001,0.009019888006150723,0.001,0.022970469668507576,1468,10084128336.0,560000
0.0,0.6862502694129944,388,1.0,3.0,69,-118080.65425869002,0.008165187202394009,0.001,0.015758898109197617,1468,10077560913.6,570000
-1.1920928955078125e-07,0.6864483952522278,394,1.0,3.0,70,-118068.64765380001,0.005719618406146765,0.001,0.02206556685268879,1469,10066403556.8,580000
0.0,0.6811203956604004,402,1.0,3.01,72,-118257.40784501,0.00767762353643775,0.001,0.018946876749396324,1464,10051950252.8,590000
0.0,0.6803825497627258,409,1.0,3.0,73,-118089.07644748002,0.007056791335344315,0.001,0.02391189895570278,1464,10044292632.0,600000
0.0,0.6774709224700928,416,1.0,3.0,74,-118048.54618850996,0.006515819113701582,0.001,0.020711902529001236,1464,10033930409.6,610000
-2.384185791015625e-07,0.6776964068412781,423,1.0,3.0,75,-118065.39681751,0.00977538526058197,0.001,0.027292525395751,1465,10025390819.2,620000
-1.1920928955078125e-07,0.6785511374473572,429,1.0,3.0,76,-118032.42870595999,0.006360228639096022,0.001,0.015658320859074593,1465,10014507499.2,630000
0.0,0.6676780581474304,437,1.0,3.0,78,-118024.93195465,0.00645151874050498,0.001,0.028219103813171387,1461,9999447112.0,640000
-1.1920928955078125e-07,0.6681215167045593,444,1.0,3.0,79,-118027.95145204003,0.006195530295372009,0.001,0.014660128392279148,1461,9990672361.6,650000
0.0,0.6685126423835754,451,1.0,3.0,80,-118035.55113916998,0.00746633717790246,0.001,0.024039695039391518,1461,9976443465.6,660000
-1.1920928955078125e-07,0.6716786026954651,458,1.0,3.0,81,-118020.45947760997,0.0053033786825835705,0.001,0.022487135604023933,1461,9973743484.8,670000
1.1920928955078125e-07,0.6701364517211914,466,1.0,3.0,83,-118016.77113674,0.0068776109255850315,0.001,0.022415325045585632,1457,9954450014.4,680000
5.960464477539063e-08,0.6741611957550049,473,1.0,3.0,84,-118005.16082653002,0.007799339015036821,0.001,0.02400313690304756,1457,9943643811.2,690000
0.0,0.6741726994514465,480,1.0,3.0,85,-118016.53970728001,0.0077980454079806805,0.001,0.012695124372839928,1457,9942890065.6,700000
0.0,0.6744334101676941,486,1.0,3.0,86,-118018.75055463002,0.009349226020276546,0.001,0.035626448690891266,1458,9931974764.8,710000
0.0,0.6741973757743835,493,1.0,3.0,87,-118016.75263877,0.0076711964793503284,0.001,0.02038859948515892,1458,9945703012.8,720000
0.0,0.669762909412384,501,1.0,3.0,89,-118004.56914678002,0.008761276490986347,0.001,0.020330144092440605,1454,9911015955.2,730000
0.0,0.6688085198402405,508,1.0,3.0,90,-117990.30799406001,0.007977352477610111,0.001,0.016113946214318275,1454,9911310720.0,740000
0.0,0.6683745384216309,515,1.0,3.01,91,-118195.92355772003,0.006133771035820246,0.001,0.019255680963397026,1454,9901619291.2,750000
0.0,0.6673285365104675,522,1.0,3.01,92,-118182.03551613002,0.00958047155290842,0.001,0.02311096526682377,1454,9900273846.4,760000
0.0,0.6667622923851013,529,1.0,3.0,93,-117989.82360869,0.008967297151684761,0.001,0.01712064817547798,1455,9884265436.8,770000
-1.1920928955078125e-07,0.6670113205909729,537,1.0,3.02,95,-118366.87802523002,0.009067481383681297,0.001,0.04032214730978012,1451,10794257884.8,780000
5.960464477539063e-08,0.6665455102920532,544,1.0,3.54,96,-125637.86043488001,0.00621757423505187,0.001,0.04838581010699272,1452,24168833072.0,790000
5.960464477539063e-08,0.6658602356910706,550,1.0,4.06,97,-134019.776537,0.008418292738497257,0.001,0.0786137729883194,1452,13016416460.8,800000
0.0,0.6648690104484558,557,1.0,3.01,98,-118187.54263449,0.006467332597821951,0.001,0.025362692773342133,1453,52492485478.4,810000
-1.1920928955078125e-07,0.6637863516807556,565,1.0,3.01,100,-118169.75387856,0.006848422344774008,0.001,0.05155010521411896,1450,14111778203.2,820000
0.0,0.6617381572723389,572,1.0,3.01,101,-118187.60620147001,0.0041014268063008785,0.001,0.018549829721450806,1450,10506664582.4,830000
5.960464477539063e-08,0.6605480909347534,578,1.0,3.03,102,-118449.02985212002,0.008203853853046894,0.001,0.05630176514387131,1450,19293773745.6,840000
1.1920928955078125e-07,0.6596481204032898,585,1.0,3.0,103,-117995.39277873,0.006380729842931032,0.001,0.06495669484138489,1451,11396468315.2,850000
0.0,0.657188355922699,592,1.0,3.06,104,-118843.33406814,0.0084491902962327,0.001,0.00387190212495625,1451,9807380406.4,860000
0.0,0.6521487832069397,600,1.0,3.04,106,-118585.10829238001,0.007222503423690796,0.001,0.05530611798167229,1448,11071310668.8,870000
0.0,0.6508585810661316,607,1.0,3.08,107,-119435.77195854999,0.006859075743705034,0.001,0.0411977544426918,1449,35651322940.8,880000
1.7881393432617188e-07,0.6502806544303894,613,1.0,3.03,108,-118475.68395147001,0.008012198843061924,0.001,0.023692594841122627,1449,11163528534.4,890000
0.0,0.6499142646789551,620,1.0,3.02,109,-118386.69736343,0.008063063956797123,0.001,0.055514104664325714,1450,11436310204.8,900000
1.1920928955078125e-07,0.651049792766571,628,1.0,3.0,111,-118018.68736286002,0.00721277529373765,0.001,0.0602731928229332,1447,12960655326.4,910000
0.0,0.6515602469444275,635,1.0,3.01,112,-118204.85681292,0.007829894311726093,0.001,0.06662704050540924,1447,11902000968.0,920000
2.384185791015625e-07,0.6511073112487793,642,1.0,3.02,113,-118382.01326842,0.0021736265625804663,0.001,0.0011942866258323193,1447,11839761864.0,930000
1.1920928955078125e-07,0.6460140347480774,649,1.0,3.56,114,-126704.78187827,0.009022686630487442,0.001,0.030749768018722534,1448,9733974420.8,940000
0.0,0.6463550925254822,655,1.0,3.0,115,-118008.333268,0.006837727036327124,0.001,0.0020279623568058014,1448,10064932064.0,950000
0.0,0.6462495923042297,663,1.0,3.0,117,-118030.72116895996,0.006588127929717302,0.001,0.0576704666018486,1446,24255304611.2,960000
0.0,0.6488494277000427,670,1.0,3.0,118,-118033.20116865999,0.009391390718519688,0.001,0.03177684545516968,1446,91216678003.2,970000
0.0,0.6467288136482239,677,1.0,3.01,119,-118224.99095373001,0.008566298522055149,0.001,0.028494663536548615,1447,39563158761.6,980000
0.0,0.648444414138794,683,1.0,4.36,120,-151577.31091511998,0.008855064399540424,0.001,0.02871251292526722,1447,9665560272.0,990000
-2.384185791015625e-07,0.6484389305114746,691,1.0,3.0,122,-118011.58815238999,0.009779906831681728,0.001,0.06717183440923691,1445,20604307291.2,1000000
