train/explained_variance,train/std,time/time_elapsed,train/is_line_search_success,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/kl_divergence_loss,train/learning_rate,train/policy_objective,time/fps,train/value_loss,time/total_timesteps
7.152557373046875e-07,1.0010119676589966,6,1.0,25.39,1,-442728.02878846007,0.007460868451744318,0.001,0.06263655424118042,1635,36693892012.8,10000
-1.1920928955078125e-07,0.9958881735801697,12,1.0,22.62,2,-400852.41938438,0.008190114982426167,0.001,0.037981435656547546,1647,38769348790.4,20000
0.0,0.9954543113708496,18,1.0,17.8,3,-316280.54385953,0.004389405716210604,0.001,0.03783266991376877,1649,32338631964.8,30000
1.1920928955078125e-07,0.9887380599975586,24,1.0,16.97,4,-300548.4705304,0.007979056797921658,0.001,0.047737497836351395,1646,28959660953.6,40000
-1.1920928955078125e-07,0.9867692589759827,31,1.0,11.27,6,-221689.10961515998,0.006703502032905817,0.001,0.05149459093809128,1578,23749866992.0,50000
0.0,0.9678287506103516,37,1.0,11.68,7,-223866.20645955004,0.0057975673116743565,0.001,0.03415998816490173,1585,22399846371.2,60000
1.1920928955078125e-07,0.9617114067077637,44,1.0,8.47,8,-182474.00191817005,0.008095172233879566,0.001,0.05815742164850235,1589,20768795251.2,70000
2.384185791015625e-07,0.9551241993904114,50,1.0,9.38,9,-191290.36400054,0.0048868185840547085,0.001,0.04766111820936203,1591,18622783393.6,80000
1.7881393432617188e-07,0.9498772025108337,56,1.0,7.33,10,-167220.62391297,0.004232632461935282,0.001,0.04323337599635124,1593,16591126876.8,90000
0.0,0.9333765506744385,63,1.0,7.95,12,-172433.31806274,0.008202014490962029,0.001,0.026266679167747498,1564,14476407324.8,100000
-2.384185791015625e-07,0.922415554523468,70,1.0,5.63,13,-147078.59243447,0.005988808814436197,0.001,0.067046158015728,1568,15734649155.2,110000
0.0,0.913447916507721,76,1.0,5.84,14,-149099.92781377002,0.006785282865166664,0.001,0.02645375393331051,1570,13416318670.4,120000
2.980232238769531e-07,0.9004902243614197,82,1.0,4.36,15,-132957.17653543,0.009197999723255634,0.001,0.07511744648218155,1571,13570904649.6,130000
-2.384185791015625e-07,0.8819931149482727,90,1.0,4.14,17,-130538.80890516004,0.009827641770243645,0.001,0.04525958001613617,1550,12042687316.8,140000
5.960464477539063e-08,0.8719940781593323,96,1.0,4.03,18,-129897.69870454998,0.0049268766306340694,0.001,0.05212171748280525,1552,11967236980.8,150000
-2.384185791015625e-07,0.866800844669342,102,1.0,3.91,19,-128410.49519116,0.0041451179422438145,0.001,0.017048850655555725,1553,11645557169.6,160000
2.384185791015625e-07,0.8574538230895996,109,1.0,4.08,20,-130611.20895313,0.007654170040041208,0.001,0.0012706411071121693,1553,11515889904.0,170000
0.0,0.8540832996368408,115,1.0,3.63,21,-125228.84090234,0.006529258564114571,0.001,0.06762891262769699,1554,11630003105.6,180000
2.384185791015625e-07,0.8411347270011902,123,1.0,3.67,23,-125642.97320780998,0.0036723657976835966,0.001,0.045758411288261414,1538,11293832284.8,190000
1.1920928955078125e-07,0.8362924456596375,129,1.0,3.47,24,-123652.20488689998,0.005554728209972382,0.001,0.02321314811706543,1539,11008167942.4,200000
-1.1920928955078125e-07,0.8281709551811218,136,1.0,3.37,25,-122636.81804370001,0.006704753264784813,0.001,0.051328785717487335,1539,11021279952.0,210000
0.0,0.8211442828178406,142,1.0,3.56,26,-124642.17030197,0.0064369686879217625,0.001,0.039429280906915665,1540,10903337532.8,220000
0.0,0.8109360337257385,150,1.0,3.24,28,-121264.08369607001,0.0046720849350094795,0.001,0.046519793570041656,1526,10729240337.6,230000
0.0,0.8054862022399902,157,1.0,3.2,29,-120837.95204254001,0.006796654313802719,0.001,0.029990781098604202,1526,10632431614.4,240000
0.0,0.801321804523468,163,1.0,3.08,30,-119519.79646360001,0.005761794745922089,0.001,0.03143787011504173,1526,10564177404.8,250000
0.0,0.7951786518096924,170,1.0,3.11,31,-119904.66600827998,0.0050302413292229176,0.001,0.02159411646425724,1526,10515740112.0,260000
0.0,0.7835453152656555,176,1.0,3.06,32,-119218.52869904,0.006826711818575859,0.001,0.043387383222579956,1526,10510615964.8,270000
5.960464477539063e-08,0.766141951084137,184,1.0,3.03,34,-118703.69157871,0.009855668060481548,0.001,0.04387153685092926,1516,10407126168.0,280000
0.0,0.7650337815284729,191,1.0,3.01,35,-118449.72927114,0.00638101389631629,0.001,0.03392616659402847,1515,10401526776.0,290000
-1.1920928955078125e-07,0.7620998024940491,197,1.0,3.03,36,-118586.49227233,0.006634064484387636,0.001,0.009639739990234375,1515,10374082592.0,300000
0.0,0.7575837969779968,204,1.0,3.0,37,-118260.82471563002,0.006799241062253714,0.001,0.014335324987769127,1515,10374941268.8,310000
0.0,0.7496233582496643,212,1.0,3.0,39,-118203.71280929001,0.006621364504098892,0.001,0.03469909727573395,1505,10354566624.0,320000
0.0,0.7505581974983215,219,1.0,3.0,40,-118179.46208398997,0.006578860338777304,0.001,0.01348292175680399,1504,10323956848.0,330000
0.0,0.7482429146766663,226,1.0,3.01,41,-118273.90253071999,0.0076274387538433075,0.001,0.02753952145576477,1504,10332002102.4,340000
0.0,0.741211473941803,232,1.0,3.0,42,-118200.29138689,0.009349149651825428,0.001,0.0287468321621418,1503,10369018748.8,350000
0.0,0.7410249710083008,239,1.0,3.03,43,-118476.98306885999,0.009408283047378063,0.001,0.009626380167901516,1503,10310365177.6,360000
0.0,0.7316980361938477,247,1.0,3.01,45,-118292.78418388,0.006717813666909933,0.001,0.017506860196590424,1494,10289713619.2,370000
0.0,0.7270652651786804,254,1.0,3.07,46,-118847.46950790999,0.006590047851204872,0.001,0.028136439621448517,1494,10285126099.2,380000
-1.1920928955078125e-07,0.723675012588501,260,1.0,3.03,47,-118455.77304831,0.006999867036938667,0.001,0.03255750238895416,1494,10278593249.6,390000
0.0,0.7238823771476746,267,1.0,3.02,48,-118358.26840779997,0.0042099193669855595,0.001,0.007739570457488298,1493,10259867828.8,400000
-1.1920928955078125e-07,0.717850387096405,275,1.0,3.07,50,-118823.07136297,0.006417361553758383,0.001,0.01120813749730587,1486,10260700592.0,410000
0.0,0.7147746086120605,282,1.0,3.09,51,-118965.26255847001,0.007534299045801163,0.001,0.012916640378534794,1486,10290625841.6,420000
0.0,0.713467538356781,289,1.0,3.05,52,-118641.82557528999,0.006548414472490549,0.001,0.029948938637971878,1486,10261322190.4,430000
0.0,0.7120285034179688,296,1.0,3.01,53,-118227.61918500999,0.0060047246515750885,0.001,0.017322983592748642,1485,10227596374.4,440000
0.0,0.7104644775390625,302,1.0,3.0,54,-118132.62283235003,0.0062515814788639545,0.001,0.03263918682932854,1485,10263584769.6,450000
