train/critic_loss,time/total_timesteps,train/actor_loss,time/episodes,train/ent_coef,time/time_elapsed,time/fps,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss
13504688.0,160000,-7910.04931640625,1392,33.66162109375,730,218,0.001,51962.4152111,262.46,39974,0.4014170467853546
43022584.0,170000,-9710.810546875,1453,35.66767120361328,776,218,0.001,76638.91462231001,210.17,42474,0.7731953263282776
26330430.0,180000,-13011.5869140625,1477,31.11774444580078,822,218,0.001,53086.50003421999,215.94,44974,0.006454862654209137
70536232.0,190000,-14783.103515625,1510,33.47138595581055,867,218,0.001,37276.89843241,266.06,47474,-1.2306644916534424
30313532.0,200000,-17118.8984375,1570,32.862892150878906,913,218,0.001,64461.61970421,236.22,49974,-0.494351327419281
60968608.0,210000,-24553.4921875,1713,38.70136642456055,959,218,0.001,70521.05611202,59.6,52474,-0.3789620101451874
20359970.0,220000,-32728.919921875,1938,38.922088623046875,1005,218,0.001,109700.44623417001,40.63,54974,-2.464124917984009
38206024.0,230000,-41967.52734375,2284,39.87739181518555,1051,218,0.001,120164.79629076,25.7,57474,-0.6716047525405884
28376336.0,240000,-58665.828125,2574,47.933509826660156,1097,218,0.001,126909.20754972,30.73,59974,-0.6303082704544067
35302600.0,250000,-63430.3984375,2960,43.36728286743164,1142,218,0.001,128043.98603496,22.92,62474,-2.0765771865844727
22757434.0,260000,-59322.98828125,3332,42.0164680480957,1188,218,0.001,130780.50306308002,25.15,64974,-0.1291452944278717
32996052.0,270000,-71406.125,3737,40.99911880493164,1234,218,0.001,133080.93509002,26.6,67474,-0.9849039912223816
21380550.0,280000,-74814.078125,4128,41.179962158203125,1280,218,0.001,113153.94127282001,25.83,69974,-2.735788583755493
25479512.0,290000,-75638.3984375,4550,41.13114547729492,1326,218,0.001,133279.7,22.69,72474,1.3521184921264648
30172334.0,300000,-82509.53125,4993,38.43049621582031,1371,218,0.001,133337.07007456,20.89,74974,-0.9621337652206421
30352438.0,310000,-83191.5390625,5435,42.0794677734375,1417,218,0.001,133177.87751332,21.97,77474,1.3476165533065796
14259072.0,320000,-86149.5859375,5840,35.006221771240234,1463,218,0.001,128623.52052178,30.12,79974,1.5491793155670166
10389427.0,330000,-85389.828125,6215,37.99887466430664,1508,218,0.001,132040.39567464,31.14,82474,1.1908881664276123
43584380.0,340000,-87639.6875,6624,37.503929138183594,1553,218,0.001,132851.34883573,24.11,84974,-0.7817463874816895
7445208.5,350000,-86281.203125,6965,39.311275482177734,1599,218,0.001,133201.23360876,25.6,87474,-0.8661495447158813
10990480.0,360000,-87115.390625,7366,32.29998016357422,1645,218,0.001,132131.54352365,25.76,89974,-1.5011725425720215
18150100.0,370000,-87848.8203125,7746,34.632781982421875,1690,218,0.001,126617.34585226001,28.01,92474,0.6218552589416504
19309236.0,380000,-87582.734375,8174,37.347633361816406,1736,218,0.001,132171.1,22.62,94974,-0.7307549715042114
19203052.0,390000,-88924.390625,8547,36.37092971801758,1781,218,0.001,133358.27024820002,20.57,97474,-0.6366391777992249
10909662.0,400000,-90565.21875,8970,35.109310150146484,1827,218,0.001,132147.00773826,31.39,99974,1.7270195484161377
51265856.0,410000,-90538.5703125,9258,33.82396697998047,1877,218,0.001,132530.28918577,29.03,102474,-0.7093464136123657
49591592.0,420000,-88164.0859375,9720,28.47150993347168,1928,217,0.001,133340.11394518,20.94,104974,0.318521112203598
11769576.0,430000,-90758.84375,10191,25.816160202026367,1978,217,0.001,133363.14831314,20.59,107474,-0.5102882981300354
19129108.0,440000,-93216.4375,10680,28.105777740478516,2028,216,0.001,133402.95136518,19.24,109974,0.9802239537239075
32536176.0,450000,-91333.65625,11091,28.50933837890625,2078,216,0.001,130613.8955937,25.98,112474,-1.8071906566619873
49712560.0,460000,-94010.21875,11550,27.435392379760742,2128,216,0.001,133266.13440191,20.52,114974,-0.3436697721481323
6980292.0,470000,-93609.734375,11980,27.30581283569336,2178,215,0.001,133044.3317756,21.34,117474,-0.9549767374992371
22474828.0,480000,-95251.09375,12502,25.347457885742188,2228,215,0.001,132667.43834912,19.28,119974,0.47176843881607056
70815104.0,490000,-94431.828125,13004,26.22930908203125,2278,215,0.001,132477.72078514,20.2,122474,-0.3557204008102417
4880649.5,500000,-95139.5234375,13486,25.612730026245117,2327,214,0.001,133319.36701724,20.58,124974,-1.1076973676681519
6946850.0,510000,-96306.1328125,13863,31.361976623535156,2377,214,0.001,120491.93997036999,39.63,127474,-1.8923403024673462
8146912.5,520000,-101289.65625,14117,28.401941299438477,2427,214,0.001,125672.78971684,49.89,129974,0.3622196912765503
10813822.0,530000,-95840.171875,14634,26.503522872924805,2477,213,0.001,132248.9,17.83,132474,0.011687040328979492
