train/n_updates,time/episodes,train/learning_rate,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/ent_coef
2474,829,0.0003,11736.80078125,62,-190830.64920655,-33.059898376464844,160,220650.96875,7.0,10000,1.9175186157226562
4974,2257,0.0003,17110.796875,126,-190971.02250382997,-68.926513671875,158,283021.875,7.0,20000,4.224172115325928
7474,3136,0.0003,7127.13671875,189,-187944.35080074,-81.38809204101562,158,207213.4375,7.0,30000,8.630833625793457
9974,4543,0.0003,6135.3037109375,253,-179774.85896401,-76.8493423461914,157,208207.5,6.38,40000,17.008590698242188
12474,5711,0.0003,6836.31494140625,316,-157384.41957367002,-81.75260925292969,157,263345.1875,6.94,50000,32.859249114990234
14974,7186,0.0003,7737.8115234375,378,-145588.37002215002,-53.67538833618164,158,270319.6875,6.56,60000,59.77480697631836
17474,8607,0.0003,8152.12890625,440,-129839.73209614,-23.268579483032227,158,293407.28125,5.64,70000,101.8614273071289
19974,9491,0.0003,4956.673828125,502,-1283018.5300034797,-7.279576778411865,159,455616.75,34.79,80000,149.36050415039062
22474,10209,0.0003,7208.302734375,565,-1611732.13772929,1.8568227291107178,159,524477.0,43.84,90000,158.97622680664062
24974,10460,0.0003,11890.35546875,627,-2354630.45154848,-0.022314757108688354,159,641735.9375,65.5,100000,149.08094787597656
27474,10565,0.0003,16423.623046875,689,-2868905.6503266008,0.6405600905418396,159,856555.25,80.14,110000,157.526123046875
29974,10675,0.0003,18450.9375,751,-1960476.1966021303,-0.5007999539375305,159,1099832.125,57.94,120000,169.6808319091797
32474,10925,0.0003,40841.296875,813,-1588584.65919035,-5.304080009460449,159,1475459.75,50.8,130000,181.85226440429688
34974,11151,0.0003,25146.984375,876,-1708970.0531592004,-2.0919463634490967,159,1315801.25,58.29,140000,226.19602966308594
37474,11379,0.0003,52165.85546875,938,-1136976.4863390499,0.005071818828582764,159,1579181.375,36.05,150000,282.5227966308594
39974,11891,0.0003,39042.1640625,1000,-264700.99290447007,-2.868389844894409,159,1860905.0,9.56,160000,309.8202819824219
42474,12683,0.0003,46849.86328125,1062,-202302.13179155,-3.9205360412597656,160,1929228.5,7.25,170000,328.0401916503906
44974,13965,0.0003,61618.19140625,1124,-205059.32488245997,-2.0243747234344482,160,1871351.5,7.81,180000,348.6118469238281
47474,14647,0.0003,80730.953125,1187,-622414.39746933,1.5305980443954468,160,2120475.0,18.55,190000,370.96533203125
49974,15394,0.0003,61094.078125,1250,-535129.23984049,3.768261194229126,159,2416413.25,16.47,200000,393.47894287109375
52474,15621,0.0003,86281.25,1313,-1887611.0036457195,2.0073800086975098,159,2436994.25,52.79,210000,407.47369384765625
54974,15692,0.0003,75146.890625,1375,-3746672.32317497,2.824901580810547,159,2544092.25,105.71,220000,401.18585205078125
57474,15713,0.0003,97722.1953125,1438,-7151149.830973468,4.699926853179932,159,2974782.0,195.71,230000,448.898681640625
59974,15729,0.0003,129972.6171875,1501,-9483701.741831772,-5.429323673248291,159,2542669.5,257.53,240000,482.4438171386719
62474,15741,0.0003,132603.375,1564,-13235145.817537451,-1.8784403800964355,159,2972319.75,353.62,250000,500.4415588378906
64974,15760,0.0003,129479.109375,1627,-15785125.097051203,1.1550729274749756,159,3240201.25,417.66,260000,528.9778442382812
67474,15812,0.0003,136091.671875,1691,-15485412.190534867,2.020998954772949,159,3197567.75,405.47,270000,532.9509887695312
69974,16138,0.0003,140877.5625,1754,-176134.44023982997,-2.2869629859924316,159,3349004.0,6.94,280000,540.2465209960938
72474,17076,0.0003,129017.8671875,1817,-540000.1624868,5.899552822113037,159,3370270.25,15.83,290000,555.5
74974,17151,0.0003,121444.5625,1881,-4802219.48831602,-0.07556533813476562,159,3249058.5,125.22,300000,557.804443359375
77474,17169,0.0003,100644.6640625,1945,-8350297.942423262,5.59145975112915,159,3419171.0,214.78,310000,525.4346923828125
79974,17202,0.0003,111793.8984375,2009,-11153778.316406462,-0.8154953718185425,159,3217940.75,284.32,320000,489.3283386230469
82474,17229,0.0003,126704.890625,2073,-14360804.55585743,1.9353957176208496,159,3439673.75,363.89,330000,443.35968017578125
84974,17265,0.0003,138769.09375,2137,-12434799.43444816,-6.343411922454834,159,3201810.5,314.22,340000,408.4029235839844
87474,17342,0.0003,105412.9609375,2202,-5227405.366221201,4.44756555557251,158,3462229.0,137.63,350000,390.8253479003906
89974,17999,0.0003,117590.125,2266,-155557.67818152998,1.8977210521697998,158,3384359.0,6.13,360000,368.91729736328125
92474,19587,0.0003,125779.453125,2331,-152068.48027138002,-1.6394479274749756,158,3090781.5,5.97,370000,385.998291015625
