train/ent_coef_loss,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/actor_loss,time/episodes,train/ent_coef
-42.06805419921875,2474,45.37,10000,54252736.0,253,-152111.03596336,39,0.0055,20804.53515625,215,46.58369827270508
0.33478569984436035,4974,74.4,20000,33321604.0,254,-102471.70104372001,78,0.0055,8136.240234375,358,62.56694793701172
1.052828311920166,7474,103.75,30000,22084632.0,253,-82423.96289052999,118,0.0055,3302.9541015625,454,61.34716796875
6.80092191696167,9974,143.27,40000,59284128.0,253,-105005.37087320002,157,0.0055,-1723.95263671875,512,47.05409622192383
0.28076767921447754,12474,180.04,50000,31743168.0,253,-255231.32206049,197,0.0055,1076.309814453125,571,56.061119079589844
7.765043258666992,14974,149.55,60000,38736728.0,253,-315191.91586968,236,0.0055,-603.4302978515625,633,41.00168991088867
4.716482162475586,17474,183.57,70000,41833776.0,253,-312010.73920117,276,0.0055,1120.3182373046875,677,37.419525146484375
-12.43027400970459,19974,231.83,80000,22772320.0,253,-290951.95689486,315,0.0055,-4526.68896484375,728,49.83845138549805
-0.9630073308944702,22474,237.88,90000,12008807.0,253,-284418.00597984,355,0.0055,-7111.1318359375,758,35.43708801269531
5.329711437225342,24974,196.64,100000,66529984.0,253,-106536.53142017004,394,0.0055,-7947.6640625,833,46.99170684814453
7.542940616607666,27474,91.54,110000,30025318.0,253,-43089.54539013,434,0.0055,-6823.2490234375,939,36.59098815917969
-22.689010620117188,29974,73.9,120000,46747912.0,253,-2121.2737512999993,474,0.0055,-5181.19189453125,1059,82.21485900878906
5.485136032104492,32474,48.23,130000,23208556.0,253,74669.65108245,513,0.0055,-9932.5888671875,1216,43.09226989746094
20.845396041870117,34974,66.49,140000,52003912.0,252,-124444.87057325,553,0.0055,-2132.7900390625,1379,99.89153289794922
13.975171089172363,37474,91.69,150000,33597388.0,252,-43342.33476744001,593,0.0055,-16014.9189453125,1481,68.90038299560547
-0.12453445792198181,39974,30.99,160000,13233580.0,252,106733.51291308,633,0.0055,-30701.5703125,1698,37.52671813964844
1.2099567651748657,42474,24.12,170000,16836468.0,252,127611.22048620999,672,0.0055,-29142.994140625,1973,49.6655158996582
-42.30533218383789,44974,24.28,180000,111815584.0,252,115863.93766625,712,0.0055,-34916.8984375,2341,53.6430549621582
4.909241676330566,47474,47.81,190000,15409700.0,252,-22883.608811569993,752,0.0055,-35387.2578125,2652,53.014949798583984
-52.36822509765625,49974,20.88,200000,43993432.0,252,87925.60982570001,792,0.0055,-44531.3515625,3052,69.03228759765625
11.979264259338379,52474,35.49,210000,43590736.0,252,57560.51375437,832,0.0055,-35036.875,3272,114.10126495361328
-0.9986841082572937,54974,20.46,220000,14126267.0,252,132749.86819476,872,0.0055,-53377.6875,3621,59.002113342285156
21.313323974609375,57474,41.34,230000,97794600.0,252,-44255.30256564,912,0.0055,-22659.861328125,4024,197.3659210205078
-21.48277473449707,59974,26.99,240000,31472568.0,252,37801.12859657999,951,0.0055,-47718.0546875,4299,111.00187683105469
5.218317985534668,62474,35.16,250000,44846292.0,252,22588.989442519996,991,0.0055,-45132.1875,4665,83.54389190673828
-11.744184494018555,64974,18.99,260000,40057632.0,251,130501.39314529,1031,0.0055,-53962.015625,5176,57.99977493286133
17.599998474121094,67474,53.44,270000,42334524.0,251,-218189.27438696998,1071,0.0055,-31496.40625,5513,119.91861724853516
4.1855854988098145,69974,26.02,280000,113606744.0,251,121987.07340472,1111,0.0055,-50153.7109375,5992,58.1359748840332
4.8308610916137695,72474,18.38,290000,13011526.0,251,129191.63574023999,1152,0.0055,-55968.8046875,6493,59.13618850708008
15.171299934387207,74974,18.6,300000,29711708.0,251,76960.13857800998,1191,0.0055,-30845.48046875,6762,201.7814483642578
-0.0888298749923706,77474,18.2,310000,14859092.0,251,133341.27458255002,1231,0.0055,-61213.55859375,7166,72.71208953857422
12.04397964477539,79974,28.85,320000,22004144.0,251,113870.23449457,1271,0.0055,-49357.89453125,7585,86.92365264892578
-1.2498787641525269,82474,18.89,330000,37032396.0,251,132806.17147929,1311,0.0055,-46696.6171875,7971,96.84654998779297
-2.5336062908172607,84974,17.68,340000,12142352.0,251,106652.77006550001,1351,0.0055,-64079.8046875,8511,49.11043930053711
-0.39099836349487305,87474,18.37,350000,8518785.0,251,133420.36662652998,1392,0.0055,-53138.0703125,9067,39.34220886230469
-145.8096160888672,89974,55.74,360000,156226112.0,251,-210770.85134685,1431,0.0055,-19389.29296875,9334,363.2842102050781
22.206802368164062,92474,43.85,370000,39607584.0,251,100932.32584213,1471,0.0055,-19838.04296875,9537,211.86715698242188
3.3738937377929688,94974,18.01,380000,46557572.0,251,133245.02829560998,1511,0.0055,-45968.4765625,9995,68.56941223144531
3.929288864135742,97474,19.76,390000,22562196.0,251,133378.21871115,1551,0.0055,-52258.265625,10504,56.38685607910156
10.327949523925781,99974,23.75,400000,22755420.0,251,123117.46555521998,1591,0.0055,-56344.10546875,10890,81.89383697509766
-13.574146270751953,102474,18.67,410000,82316952.0,250,119781.98077868,1635,0.0055,-104285.796875,11436,35.25741958618164
47.69654083251953,104974,71.54,420000,260070896.0,250,-733104.45039453,1679,0.0055,31553.5703125,11552,1979.7462158203125
-49.6141242980957,107474,26.18,430000,216576864.0,249,58598.799712119995,1723,0.0055,37048.0625,11775,135.6373291015625
26.17024040222168,109974,57.22,440000,91995792.0,249,-99044.60056104999,1766,0.0055,20261.62890625,11913,144.4400634765625
1.617120623588562,112474,19.55,450000,72121504.0,248,133402.7,1810,0.0055,743.0619506835938,12379,54.968597412109375
3.193549871444702,114974,18.83,460000,26605442.0,248,133420.52894763998,1854,0.0055,-49087.52734375,12832,32.33625793457031
-0.16139070689678192,117474,19.51,470000,9459632.0,247,123681.72680130001,1898,0.0055,-63902.390625,13335,34.961021423339844
7.317859649658203,119974,55.56,480000,35509400.0,247,-266803.47468264,1941,0.0055,-22311.884765625,13514,75.64910125732422
-22.324657440185547,122474,23.35,490000,70502168.0,246,113847.52953727997,1985,0.0055,-27694.080078125,13977,146.48370361328125
38.26918029785156,124974,34.11,500000,73318016.0,246,74361.39118528999,2029,0.0055,3095.873291015625,14212,259.6328430175781
4.176956653594971,127474,20.1,510000,27715290.0,245,133378.85714600998,2073,0.0055,-45978.0390625,14692,52.158817291259766
9.604432106018066,129974,28.14,520000,46322100.0,245,67568.27413385,2117,0.0055,-31660.74609375,15070,192.35208129882812
60.06958770751953,132474,62.16,530000,53138792.0,245,-114846.83101102,2160,0.0055,-14036.412109375,15288,494.3914794921875
3.7715260982513428,134974,20.03,540000,15081028.0,245,133372.07672894,2204,0.0055,-58736.4609375,15755,43.426692962646484
10.05475902557373,137474,20.46,550000,10771554.0,244,133374.30287699,2247,0.0055,-55171.6328125,16110,68.29365539550781
1.4832926988601685,139974,19.0,560000,11743648.0,244,133427.19194388,2291,0.0055,-60972.08984375,16616,35.47643280029297
-31.491098403930664,142474,40.06,570000,109037096.0,244,-197014.42664535998,2334,0.0055,-8639.998046875,16931,410.3313293457031
50.34858322143555,144974,49.11,580000,62862088.0,243,20697.51154106,2378,0.0055,-29111.49609375,17217,354.42803955078125
2.7635300159454346,147474,18.17,590000,15620803.0,243,133330.15243706,2421,0.0055,-57574.1796875,17727,41.760066986083984
5.232232570648193,149974,27.62,600000,22410958.0,243,124475.78318315999,2465,0.0055,-58482.8046875,18222,48.9361572265625
26.9243221282959,152474,58.16,610000,41054912.0,243,-211997.98034436,2508,0.0055,-28577.9453125,18551,330.9649353027344
20.67144775390625,154974,17.94,620000,25156676.0,242,125838.21175002,2552,0.0055,-51897.30859375,18923,95.30353546142578
2.943807601928711,157474,23.8,630000,60389944.0,242,132961.70502373,2595,0.0055,-60778.421875,19391,42.38387680053711
32.950225830078125,159974,99.74,640000,3488919552.0,242,-1468251.9243153902,2639,0.0055,336694.875,19487,8877.04296875
8.170051574707031,162474,87.86,650000,13351515136.0,242,-997914.5460076199,2682,0.0055,525398.1875,19600,9666.54296875
80.19590759277344,164974,22.7,660000,1617210624.0,242,-259292.93656516998,2726,0.0055,409231.6875,19828,1404.589599609375
26.257022857666016,167474,6.16,670000,272203520.0,241,-97494.04721848003,2769,0.0055,250104.78125,20476,75.10392761230469
1.2411352396011353,169974,33.34,680000,49524476.0,241,-146502.57218314998,2813,0.0055,128543.5234375,21371,17.110300064086914
-32.059959411621094,172474,115.1,690000,48794260.0,241,-171441.81633849,2856,0.0055,92456.78125,21437,141.87176513671875
73.61174011230469,174974,13.06,700000,175098096.0,241,-102663.68620378998,2899,0.0055,195314.109375,21799,663.0509643554688
18.6429386138916,177474,52.39,710000,54969668.0,241,-165053.01091898998,2943,0.0055,92105.21875,22141,56.50493240356445
-8.687902450561523,179974,47.0,720000,63375596.0,241,-83868.38544429999,2986,0.0055,58130.34375,22297,28.248878479003906
-73.00531005859375,182474,121.34,730000,1200281088.0,240,-511606.17931469006,3030,0.0055,115417.5703125,22368,1753.389404296875
28.124265670776367,184974,82.15,740000,57315008.0,240,-192657.95885469002,3073,0.0055,65013.17578125,22474,101.9473876953125
5.182925701141357,187474,157.62,750000,18504012.0,240,-319234.2787418,3116,0.0055,41991.94921875,22490,69.72372436523438
-0.23519361019134521,189974,247.4,760000,18875984.0,240,-329671.0710785,3159,0.0055,39460.71875,22502,53.40069580078125
-45.161258697509766,192474,335.17,770000,10780340.0,240,-337397.91237319,3202,0.0055,14663.955078125,22512,56.25654983520508
60.28913879394531,194974,42.78,780000,10189249536.0,240,-451012.06093755,3246,0.0055,437144.5625,22628,4349.326171875
97.69119262695312,197474,84.42,790000,2289470464.0,240,-1067385.40236777,3289,0.0055,478967.28125,22753,2981.26513671875
3.4996771812438965,199974,57.59,800000,484370496.0,240,-306487.3565419599,3332,0.0055,221712.25,22934,189.24952697753906
6.469536781311035,202474,150.51,810000,91400168.0,239,-362121.03739017004,3375,0.0055,81524.4921875,22951,39.1425895690918
-62.673851013183594,204974,253.88,820000,564325760.0,239,-380913.11666170997,3419,0.0055,74699.96875,22994,103.84620666503906
24.201763153076172,207474,99.1,830000,93798080.0,239,-910823.25437486,3462,0.0055,63544.453125,23087,360.9622802734375
26.659868240356445,209974,119.07,840000,46745320.0,239,-1047125.86156867,3506,0.0055,39309.390625,23147,91.70335388183594
-80.37678527832031,212474,205.57,850000,980119744.0,239,-1367722.6616627998,3549,0.0055,225448.65625,23186,2127.664794921875
