train/learning_rate,train/value_loss,train/clip_range,time/fps,time/time_elapsed,time/total_timesteps,train/explained_variance,train/std,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.0017,19163044991.2,0.2,959,500,480000,-2.384185791015625e-07,1.2345081567764282,-0.0015730862989585149,-19.53157944828272,0.00135512,0.000439453125,26.83,-395834.4752453899,580,9756104704.0
0.0017,18616087412.8,0.2,960,510,490000,1.1920928955078125e-07,1.239141583442688,-0.0022492313886687044,-19.577569533884525,0.0024008448,0.00203857421875,38.44,-539358.17135424,590,8976708608.0
0.0017,18307513088.8,0.2,954,524,500000,-1.1920928955078125e-07,1.2502065896987915,-0.0020036190584505676,-19.67788582891226,0.001968185,0.00130615234375,30.62,-442986.55363707995,610,8457283072.0
0.0017,18073259668.8,0.2,955,533,510000,-1.1920928955078125e-07,1.254876971244812,-0.002860208616039017,-19.729131887853146,0.0030422772,0.00301513671875,30.76,-440922.75445983,620,8619387904.0
0.0017,18872598186.4,0.2,957,543,520000,0.0,1.2607225179672241,-0.0030996882127510617,-19.779438127577304,0.0026569264,0.002685546875,34.8,-493437.8464112601,630,9805741056.0
0.0017,18783469876.0,0.2,958,552,530000,1.1920928955078125e-07,1.2664488554000854,-0.0025080403092943016,-19.834427581727503,0.0023364606,0.00224609375,33.82,-474115.10786354,640,9227351040.0
0.0017,18552941551.2,0.2,959,562,540000,-1.1920928955078125e-07,1.2722444534301758,-0.002381805147342675,-19.88880809098482,0.002046205,0.0014892578125,26.19,-380834.93736041,650,9383481344.0
0.0017,18165763573.6,0.2,954,576,550000,0.0,1.2823129892349243,-0.0024445475984975927,-19.984113173186778,0.002081098,0.00166015625,32.53,-460868.3898279501,670,8597790720.0
0.0017,18088353659.2,0.2,955,586,560000,2.384185791015625e-07,1.2880688905715942,-0.0022295706604381848,-20.03722852766514,0.0018530468,0.00067138671875,28.34,-420221.45915894,680,9729538048.0
0.0017,18832076017.6,0.2,956,595,570000,-1.1920928955078125e-07,1.2931443452835083,-0.002193234282458434,-20.087574245035647,0.0025634049,0.0029052734375,30.95,-448971.89284377004,690,8838829056.0
0.0017,17822743702.4,0.2,957,605,580000,0.0,1.2986587285995483,-0.002196371891477611,-20.136429055035116,0.002120143,0.0015380859375,27.2,-392488.6090564199,700,8733127680.0
0.0017,17606681594.4,0.2,952,619,590000,1.7881393432617188e-07,1.3089442253112793,-0.0023093374520612997,-20.23511711806059,0.0019509996,0.0012939453125,24.8,-371973.81848364,720,8244965888.0
0.0017,17011521955.2,0.2,953,629,600000,-2.384185791015625e-07,1.313364863395691,-0.001513998162772623,-20.276444080471993,0.0012006038,0.00020751953125,26.63,-387486.88013689005,730,8277471744.0
0.0017,17909310152.0,0.2,954,639,610000,0.0,1.31871497631073,-0.0017839396702584054,-20.32138897329569,0.0016786363,0.00074462890625,31.67,-454803.84009764,740,9514748928.0
0.0017,17708820276.0,0.2,954,649,620000,1.1920928955078125e-07,1.323575496673584,-0.0022670490639029595,-20.36810005158186,0.0022230977,0.00169677734375,30.22,-434281.1483328699,750,8892952576.0
0.0017,17877332840.8,0.2,954,659,630000,2.384185791015625e-07,1.3288764953613281,-0.0029844687494005482,-20.414480540156365,0.0032019562,0.0056396484375,27.27,-397516.07696293993,760,9242507264.0
0.0017,17521505988.8,0.2,949,673,640000,-1.1920928955078125e-07,1.3405814170837402,-0.0028756548525052496,-20.5199890807271,0.00259842,0.00264892578125,30.91,-449068.52192902996,780,8885622784.0
0.0017,17933911057.6,0.2,950,683,650000,0.0,1.3463441133499146,-0.0020378648609039375,-20.569033589959144,0.0018205482,0.001220703125,26.52,-393011.62924475997,790,9721423872.0
0.0017,17638115349.6,0.2,952,693,660000,0.0,1.3510767221450806,-0.001613061308489705,-20.61583516150713,0.0017067129,0.00115966796875,29.13,-422166.7961662201,800,9144325120.0
0.0017,17400016576.8,0.2,953,702,670000,2.384185791015625e-07,1.3568137884140015,-0.0033495394525743906,-20.66238065212965,0.0031366118,0.007861328125,30.68,-445022.62797063,810,9797457920.0
0.0017,16769289557.6,0.2,948,716,680000,0.0,1.3694101572036743,-0.0021188422693739994,-20.77094980329275,0.0019844389,0.000927734375,25.61,-373980.52109233,830,8236267520.0
0.0017,16625104367.2,0.2,949,726,690000,0.0,1.3751449584960938,-0.001780172596227203,-20.82367933988571,0.0015652307,0.0009765625,24.33,-362646.4869591499,840,7741078016.0
0.0017,16591566656.8,0.2,950,736,700000,-3.5762786865234375e-07,1.380237102508545,-0.003136926137995033,-20.871118535101413,0.0032892204,0.00740966796875,23.79,-346541.3659585501,850,8287748608.0
0.0017,16283771920.8,0.2,952,745,710000,0.0,1.3862022161483765,-0.0024713500188227044,-20.918790508806705,0.0026030364,0.00498046875,18.51,-292302.32728753006,860,8579561472.0
0.0017,17003934416.8,0.2,953,755,720000,0.0,1.391653060913086,-0.002386615086106758,-20.968087366223337,0.0022923462,0.0022705078125,27.93,-406142.44412079995,870,7916758016.0
0.0017,16543648176.0,0.2,948,769,730000,1.1920928955078125e-07,1.4031943082809448,-0.002406499203789281,-21.06707967966795,0.0019451777,0.00146484375,26.35,-383410.3371539899,890,8350142976.0
0.0017,16021669013.6,0.2,949,779,740000,0.0,1.4083819389343262,-0.002347352024298743,-21.11238735616207,0.0026650652,0.00416259765625,24.11,-356321.10343769006,900,8215348224.0
0.0017,15699814843.2,0.2,950,788,750000,0.0,1.4140080213546753,-0.002679558067029575,-21.158390171825886,0.002361253,0.003369140625,22.48,-334562.30022873,910,8568827904.0
0.0017,15727838218.4,0.2,951,798,760000,0.0,1.422059416770935,-0.0025424110137464593,-21.216533502936365,0.0019089688,0.00335693359375,25.74,-374648.38943541003,920,7518705152.0
0.0017,16057019735.2,0.2,952,808,770000,-1.1920928955078125e-07,1.4289294481277466,-0.0026832313013983367,-21.27945477515459,0.0022299984,0.0020751953125,25.79,-373223.40422054,930,8063111680.0
0.0017,15573986313.6,0.2,948,822,780000,0.0,1.4421311616897583,-0.001870682532171486,-21.39120033532381,0.0018846493,0.00123291015625,21.08,-319102.4799361,950,8367295488.0
0.0017,15663861794.4,0.2,949,832,790000,-1.1920928955078125e-07,1.4491223096847534,-0.0023309358071855967,-21.447223684191705,0.0024375117,0.00340576171875,21.9,-331188.28033732,960,8244494336.0
0.0017,15977179484.8,0.2,950,841,800000,2.384185791015625e-07,1.4547301530838013,-0.0032486160926055163,-21.499820713698863,0.0032383178,0.0067138671875,24.36,-359674.62863070995,970,8311442944.0
0.0017,15860619709.6,0.2,951,851,810000,0.0,1.4598655700683594,-0.0027614985228865407,-21.543656775355338,0.002916297,0.0043701171875,23.86,-346661.54847833,980,8587939328.0
0.0017,15415986216.0,0.2,947,865,820000,0.0,1.4723018407821655,-0.002579771520686336,-21.642701469361782,0.002579177,0.00411376953125,22.18,-329224.0747495599,1000,7634013184.0
0.0017,15269874609.6,0.2,948,875,830000,-1.1920928955078125e-07,1.4787522554397583,-0.002072063250489009,-21.69212739020586,0.0019946848,0.002001953125,26.29,-383401.49314131995,1010,7509955072.0
0.0017,15853616602.4,0.2,948,885,840000,-1.1920928955078125e-07,1.4844568967819214,-0.0023928898291615043,-21.741617424786092,0.002093272,0.00108642578125,27.37,-390034.99523213,1020,7663843328.0
0.0017,15419540749.6,0.2,949,894,850000,0.0,1.490095615386963,-0.00173132647487364,-21.787798254191877,0.0017868793,0.00146484375,18.42,-285889.22507779003,1030,7803652096.0
0.0017,15259879980.8,0.2,950,904,860000,0.0,1.4973076581954956,-0.0019637605327261554,-21.83919838219881,0.0019228056,0.000927734375,23.15,-343918.79787024995,1040,7801340416.0
0.0017,14750118811.2,0.2,946,919,870000,0.0,1.5095723867416382,-0.0017681045586869005,-21.943835213780403,0.0025205351,0.00526123046875,18.03,-282725.94667946995,1060,7489769472.0
0.0017,14578841870.4,0.2,947,929,880000,0.0,1.5172642469406128,-0.002418570956797339,-21.996259513497353,0.002434772,0.00269775390625,21.94,-326753.71727338,1070,7197993472.0
0.0017,14827440989.6,0.2,948,938,890000,5.960464477539063e-08,1.5233789682388306,-0.002132458082814992,-22.050785060226918,0.0021605832,0.00406494140625,23.18,-337712.68511260004,1080,7756809216.0
0.0017,14739220331.2,0.2,948,948,900000,-1.1920928955078125e-07,1.5309804677963257,-0.0021680073897186957,-22.104914501309395,0.0022519273,0.0054443359375,22.0,-327037.06105902,1090,7758194688.0
0.0017,14113889412.8,0.2,945,962,910000,0.0,1.5427842140197754,-0.001919081168671255,-22.20261442512274,0.0021042638,0.0018798828125,17.97,-283812.09370768,1110,7238674432.0
0.0017,14761098899.2,0.2,945,973,920000,0.0,1.548850178718567,-0.001863647536811186,-22.249828347563742,0.0019436071,0.00181884765625,24.03,-353865.96562552993,1120,7361505792.0
0.0017,14727905031.2,0.2,945,983,930000,1.7881393432617188e-07,1.5559254884719849,-0.0014783168990106788,-22.300449900329113,0.0016325498,0.0014892578125,21.03,-311921.402194,1130,7289709568.0
0.0017,14206897761.6,0.2,945,993,940000,0.0,1.5623952150344849,-0.0019491994415147928,-22.35229021906853,0.0017762338,0.00181884765625,18.39,-290241.8741832,1140,7778851328.0
0.0017,14117961805.6,0.2,946,1003,950000,0.0,1.5692119598388672,-0.0021441086984850697,-22.402938841283323,0.0021225188,0.0040771484375,22.5,-337996.40425525,1150,8144235008.0
0.0017,14175171416.0,0.2,943,1017,960000,-1.1920928955078125e-07,1.5822407007217407,-0.001536795316133066,-22.50154286623001,0.0012850016,0.00062255859375,19.55,-295133.48643715,1170,7156318208.0
0.0017,14554673452.8,0.2,944,1027,970000,0.0,1.5892571210861206,-0.0017414407633623342,-22.554186883568764,0.0016892768,0.0025390625,22.35,-337898.76048003003,1180,7407894528.0
0.0017,14852098077.6,0.2,944,1037,980000,-1.1920928955078125e-07,1.5960183143615723,-0.0020681612776570547,-22.606652408838272,0.002348176,0.00482177734375,18.77,-295042.27727954,1190,7849830912.0
0.0017,14156868340.0,0.2,945,1046,990000,-1.1920928955078125e-07,1.6028715372085571,-0.0019936394670367007,-22.656994211673737,0.0015369174,0.0010498046875,19.54,-299163.71863742,1200,7463264256.0
0.0017,14336407622.4,0.2,942,1060,1000000,-2.384185791015625e-07,1.617636799812317,-0.0014174012027979189,-22.764499232172966,0.0013394789,0.0008056640625,20.88,-313034.73776791,1220,7257980928.0
