time/fps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/episodes,train/learning_rate,eval/mean_reward,eval/mean_ep_length
261,53,1720,0.7772822380065918,-0.5609392523765564,197.31666666666666,13864,215.25192260742188,-6848.545894250001,1049.212158203125,60,0.001,,
262,54,1771,0.7689694166183472,-0.532589316368103,202.015625,14272,207.8562774658203,-6915.6684084687495,1811.979248046875,64,0.001,,
265,57,1899,0.7472015619277954,-0.9517211318016052,203.52941176470588,15296,214.66014099121094,-6750.323993926469,976.6543579101562,68,0.001,,
268,60,2007,0.726180911064148,-0.7253106832504272,201.54166666666666,16160,226.3213653564453,-6535.677916000001,3061.4521484375,72,0.001,,
271,64,2192,0.6909651756286621,-1.0979197025299072,215.27631578947367,17640,247.38027954101562,-6592.019992605263,2833.197265625,76,0.001,,
273,67,2312,0.667634129524231,-1.1174871921539307,212.9125,18600,267.7874450683594,-6411.141422787501,1182.654541015625,80,0.001,,
276,71,2461,0.6409163475036621,-1.267091155052185,217.5,19792,257.3475341796875,-6349.642309702382,661.8997802734375,84,0.001,,
276,72,2487,0.6364753246307373,-1.059917688369751,217.5,20000,213.52264404296875,-6349.642309702382,834.8720092773438,84,0.001,,
,,,,,,20000,,,,,,-28150.218401600003,1000.0
245,83,2542,0.6267639398574829,-1.267032265663147,223.8409090909091,20440,268.430419921875,-6352.797172659091,883.4024658203125,88,0.001,,
247,84,2602,0.6167873740196228,-1.1153326034545898,219.81521739130434,20920,286.8407287597656,-6204.609470173915,1666.4776611328125,92,0.001,,
249,87,2704,0.600749671459198,-1.2246840000152588,216.91666666666666,21736,270.8900146484375,-6104.9751307083325,2720.66552734375,96,0.001,,
252,90,2856,0.5800619721412659,-1.2524291276931763,216.97,22952,291.72235107421875,-5999.29500045,621.7736206054688,100,0.001,,
256,98,3147,0.5451974868774414,-1.426371455192566,230.2,25280,340.4290771484375,-6057.076925190002,2804.07080078125,104,0.001,,
258,102,3285,0.5297881960868835,-1.4893043041229248,235.97,26384,316.6307373046875,-5904.788722540001,732.6281127929688,108,0.001,,
