train/explained_variance,time/time_elapsed,train/policy_loss,rollout/ep_rew_mean,time/fps,train/n_updates,train/entropy_loss,train/value_loss,train/std,rollout/ep_len_mean,time/total_timesteps,train/learning_rate
-1.5020370483398438e-05,5,-497464.5625,-330297.12072611996,1942,124,-12.78004264831543,2480608256.0,1.0010688304901123,67.45,10000,0.0001
-6.9141387939453125e-06,10,-120073.859375,-284491.28719053,1967,249,-12.781365394592285,160120544.0,1.0012049674987793,62.75,20000,0.0001
1.0132789611816406e-06,15,-304792.6875,-280672.19111809996,1973,374,-12.779046058654785,1107863424.0,1.0009899139404297,65.71,30000,0.0001
2.980232238769531e-07,20,-256941.203125,-237831.31576103,1958,499,-12.778039932250977,950713152.0,1.000892162322998,54.36,40000,0.0001
1.3709068298339844e-06,52,-160375.15625,-241311.49290198003,949,624,-12.78172492980957,209576288.0,1.0012863874435425,58.73,50000,0.0001
-7.152557373046875e-07,59,-304106.4375,-248586.28082044,1011,749,-12.775590896606445,935193280.0,1.0005383491516113,58.31,60000,0.0001
-9.5367431640625e-07,64,-203573.046875,-213375.61328649003,1088,874,-12.773487091064453,634984832.0,1.0003814697265625,49.12,70000,0.0001
0.0,69,-305770.0,-189723.89438608,1154,999,-12.773436546325684,935772352.0,1.0002676248550415,40.74,80000,0.0001
-1.1920928955078125e-07,74,-195168.59375,-197131.9238009,1211,1124,-12.771515846252441,620332480.0,1.0001473426818848,43.25,90000,0.0001
0.0,79,-448000.09375,-223614.23186962,1258,1249,-12.769769668579102,2223714304.0,0.9999368190765381,53.78,100000,0.0001
-1.1920928955078125e-07,84,-197933.625,-213763.95791055,1303,1374,-12.769598960876465,479701760.0,0.9998708367347717,54.05,110000,0.0001
0.0,89,-162709.84375,-210866.14295358,1344,1499,-12.766955375671387,217818784.0,0.9995982050895691,51.6,120000,0.0001
0.0,94,-450933.4375,-193763.23699134003,1380,1624,-12.767988204956055,1983432448.0,0.99974524974823,47.58,130000,0.0001
0.0,99,-316305.8125,-225457.50833688996,1408,1749,-12.770356178283691,1235397888.0,1.0000061988830566,60.24,140000,0.0001
5.960464477539063e-08,104,-206601.484375,-205527.0815656,1429,1874,-12.766509056091309,645390528.0,0.9996114373207092,53.3,150000,0.0001
1.1920928955078125e-07,132,-273518.75,-207690.94673497,1206,1999,-12.76651668548584,1108711040.0,0.9995453953742981,56.75,160000,0.0001
0.0,137,-112507.5234375,-181717.42610156,1232,2124,-12.764275550842285,117784240.0,0.9993151426315308,46.19,170000,0.0001
0.0,143,-352610.28125,-178472.4406464,1257,2249,-12.76334285736084,1515407872.0,0.9992434978485107,45.65,180000,0.0001
1.1920928955078125e-07,148,-321135.9375,-189986.20151937997,1280,2374,-12.759198188781738,1236989952.0,0.9987742304801941,53.12,190000,0.0001
0.0,153,-190657.609375,-169803.16962217996,1302,2499,-12.76706600189209,1823247744.0,0.9996994733810425,48.87,200000,0.0001
-1.1920928955078125e-07,158,-394392.5625,-185116.97107907,1323,2624,-12.764965057373047,1762390016.0,0.9994117021560669,46.56,210000,0.0001
0.0,164,-296073.9375,-200947.26543637,1341,2749,-12.762937545776367,1526043776.0,0.9992082118988037,60.49,220000,0.0001
-1.1920928955078125e-07,169,-281640.8125,-179423.5282468,1354,2874,-12.760493278503418,1206720256.0,0.9989434480667114,50.06,230000,0.0001
0.0,174,-281247.5,-167551.99180912002,1371,2999,-12.762218475341797,895478976.0,0.9990580081939697,46.94,240000,0.0001
5.960464477539063e-08,180,-385289.59375,-190156.47580123003,1385,3124,-12.757109642028809,1729064192.0,0.998571515083313,54.04,250000,0.0001
0.0,185,-317973.125,-166833.2219702,1399,3249,-12.754576683044434,1295973760.0,0.9982565641403198,47.87,260000,0.0001
-1.1920928955078125e-07,191,-311580.71875,-164872.38031,1412,3374,-12.754255294799805,1571232384.0,0.9982745051383972,43.99,270000,0.0001
5.960464477539063e-08,196,-187805.921875,-171235.9427324,1427,3499,-12.75627326965332,629487232.0,0.9984896779060364,47.19,280000,0.0001
0.0,201,-132224.96875,-177836.23174332,1437,3624,-12.75666618347168,812348160.0,0.9985358119010925,51.15,290000,0.0001
-1.1920928955078125e-07,206,-375654.0625,-171127.63525273002,1451,3749,-12.75197696685791,1808044800.0,0.9979840517044067,51.08,300000,0.0001
-1.1920928955078125e-07,211,-256536.96875,-166452.9428239,1462,3874,-12.745683670043945,1182287104.0,0.9972842335700989,46.28,310000,0.0001
0.0,217,-352220.09375,-145620.21670169997,1474,3999,-12.742413520812988,1865972096.0,0.9969411492347717,37.65,320000,0.0001
-2.384185791015625e-07,236,-87673.609375,-166166.11023914,1395,4124,-12.744518280029297,212970560.0,0.9971638917922974,49.62,330000,0.0001
0.0,241,-370680.3125,-163692.55706664,1405,4249,-12.744316101074219,1795511040.0,0.9971452355384827,48.77,340000,0.0001
0.0,247,-287453.90625,-157685.57015753002,1415,4374,-12.745306015014648,1046876288.0,0.9972547888755798,49.97,350000,0.0001
0.0,252,-277319.65625,-152072.32996235997,1425,4499,-12.745587348937988,1121227008.0,0.9973235726356506,47.58,360000,0.0001
0.0,257,-140900.53125,-172472.05320602,1435,4624,-12.741150856018066,327717344.0,0.9968218207359314,56.63,370000,0.0001
0.0,263,-190392.875,-155331.56937866998,1444,4749,-12.74436092376709,768680256.0,0.9971427917480469,53.39,380000,0.0001
0.0,279,-174823.953125,-163434.58770365,1393,4874,-12.742895126342773,784853312.0,0.9969790577888489,46.88,390000,0.0001
0.0,313,-202220.6875,-145876.43452308,1276,4999,-12.735942840576172,747336000.0,0.9962440133094788,46.19,400000,0.0001
0.0,321,-339725.09375,-144873.43561229997,1273,5124,-12.733702659606934,1656994048.0,0.9959656596183777,44.55,410000,0.0001
