train/ent_coef,time/fps,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,train/n_updates
2.4958837032318115,80,124,0.001,129.89333333333335,10000,3940.32177734375,75,-706556.2575921199,11683709.0,-11.772998809814453,2474
5.3975653648376465,79,251,0.001,100.6,20000,6812.88525390625,172,-126941.14058402002,22546700.0,-13.626954078674316,4974
10.211090087890625,79,377,0.001,139.28,30000,8230.302734375,245,-138260.41384930004,22028374.0,-14.2271728515625,7474
17.624296188354492,79,503,0.001,168.26,40000,2893.3701171875,299,-98191.11056905998,19795816.0,-10.545299530029297,9974
26.726707458496094,79,630,0.001,207.49,50000,879.8548583984375,335,-77076.62136825999,50994224.0,-6.164095878601074,12474
35.68854522705078,79,756,0.001,256.34,60000,668.107421875,361,-65861.81346821,27731614.0,-3.987377882003784,14974
39.9358024597168,79,883,0.001,329.65,70000,-1365.5146484375,388,-64225.6315941,8255247.0,-0.6895856261253357,17474
38.422088623046875,79,1009,0.001,369.32,80000,-3188.75927734375,412,-44720.959340530004,8218043.0,0.7865886092185974,19974
33.40652084350586,79,1136,0.001,403.76,90000,-8013.9609375,435,-25485.957657019993,11097096.0,0.06068524718284607,22474
31.44733428955078,79,1262,0.001,425.96,100000,-10776.263671875,457,-8189.767500539997,19417184.0,0.15936844050884247,24974
30.15130043029785,79,1389,0.001,385.56,110000,-10888.9521484375,488,30652.82271293,7738776.5,-0.6665138006210327,27474
29.82969093322754,79,1515,0.001,306.33,120000,-13376.107421875,537,63072.154008829995,30612034.0,1.297520399093628,29974
28.230314254760742,79,1642,0.001,216.07,130000,-20147.568359375,588,81251.03128056001,5071364.0,-0.1658863127231598,32474
33.41114044189453,79,1769,0.001,186.38,140000,-26579.11328125,644,61717.98506521,10029381.0,-0.5056191086769104,34974
31.94568634033203,79,1896,0.001,176.36,150000,-33099.5625,701,56497.73067175001,13027357.0,0.701311469078064,37474
32.789066314697266,79,2023,0.001,139.82,160000,-37005.9296875,785,53032.253916220005,10419532.0,0.8693149089813232,39974
30.445207595825195,79,2150,0.001,148.06,170000,-41380.85546875,845,85897.11476812999,12892332.0,-0.4767764210700989,42474
28.5234375,79,2277,0.001,83.35,180000,-48022.2734375,966,107160.54630021002,18144616.0,-0.4705201983451843,44974
31.593666076660156,79,2404,0.001,90.45,190000,-52879.44921875,1084,118732.00756389,35191788.0,1.811257243156433,47474
27.78236961364746,79,2531,0.001,109.8,200000,-56142.8671875,1157,107911.32568110999,9049843.0,0.8847752809524536,49974
28.94379234313965,78,2658,0.001,80.66,210000,-59835.08203125,1270,122179.28239453,14965959.0,0.2827607989311218,52474
28.511743545532227,78,2785,0.001,83.98,220000,-61264.9296875,1388,127830.05433784999,12789680.0,-0.4176768958568573,54974
27.462871551513672,78,2912,0.001,97.21,230000,-65430.29296875,1490,122600.68322395,13720600.0,0.33588314056396484,57474
25.57151222229004,78,3039,0.001,93.91,240000,-67709.6796875,1600,129769.03990033001,6740059.0,-0.6552040576934814,59974
25.93332862854004,78,3166,0.001,165.6,250000,-72597.125,1642,91399.35210907999,5050180.5,0.5032942295074463,62474
