rollout/ep_len_mean,train/entropy_loss,train/std,train/n_updates,train/value_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,time/fps,train/policy_loss,time/time_elapsed
37.51,-21.30222511291504,1.00125253200531,10999,16407674880.0,880000,-900153.8266738399,0.0001,-1.1920928955078125e-07,1645,-2594644.75,534
40.7,-21.298507690429688,1.001022458076477,11124,16295171072.0,890000,-966965.3126885501,0.0001,-1.1920928955078125e-07,1645,-2566470.0,541
35.36,-21.30691909790039,1.0015578269958496,11249,15480460288.0,900000,-856835.2380778599,0.0001,-1.1920928955078125e-07,1644,-2516249.25,547
33.85,-21.31100082397461,1.0018543004989624,11374,15950795776.0,910000,-819892.2288484601,0.0001,0.0,1644,-2511102.5,553
35.36,-21.310056686401367,1.001767635345459,11499,18049726464.0,920000,-848607.1249276199,0.0001,-1.1920928955078125e-07,1644,-2763383.25,559
35.76,-21.310239791870117,1.0018079280853271,11624,15965497344.0,930000,-859204.11002921,0.0001,-1.1920928955078125e-07,1644,-2540743.25,565
34.02,-21.307228088378906,1.0015884637832642,11749,12526228480.0,940000,-819820.54456987,0.0001,-2.384185791015625e-07,1644,-2272052.5,571
37.71,-21.309242248535156,1.0017120838165283,11874,18004404224.0,950000,-901127.1749255802,0.0001,-1.1920928955078125e-07,1644,-2776569.25,577
37.07,-21.31069564819336,1.0018361806869507,11999,17841729536.0,960000,-882771.08097414,0.0001,-1.1920928955078125e-07,1644,-2709811.25,583
35.78,-21.322994232177734,1.0026360750198364,12124,16355262464.0,970000,-864557.2915079402,0.0001,-1.1920928955078125e-07,1644,-2592427.5,589
37.49,-21.322389602661133,1.002659559249878,12249,14042960896.0,980000,-899936.8547555101,0.0001,-1.1920928955078125e-07,1644,-2316639.5,596
33.82,-21.33023452758789,1.0031499862670898,12374,16704522240.0,990000,-814449.8340759699,0.0001,0.0,1643,-2607402.5,602
37.57,-21.327932357788086,1.0029646158218384,12499,13360411648.0,1000000,-902013.2157109701,0.0001,-2.384185791015625e-07,1643,-2411756.75,608
