train/loss,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/approx_kl,rollout/ep_rew_mean,train/clip_fraction,train/value_loss,train/std,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_range,train/n_updates
3626330880.0,9,10000,11.32,1005,0.0067395223,-121143.88384733001,0.0532470703125,7078148942.4,1.0059164762496948,-12.79835258051753,-0.005929187639412703,0.0017,-1.1920928955078125e-07,0.2,10
3450418944.0,19,20000,13.12,1013,0.0063725347,-126592.52138861001,0.04146728515625,6868913800.8,1.0125479698181152,-12.854626619815827,-0.0047830397250436365,0.0017,0.0,0.2,20
3403842560.0,29,30000,13.63,1015,0.004100117,-121104.26498576997,0.01451416015625,6460862861.6,1.0202240943908691,-12.918464115262031,-0.002322386482228467,0.0017,-1.1920928955078125e-07,0.2,30
3196902400.0,39,40000,12.79,1009,0.0057418253,-121289.16982122,0.03695068359375,6384238415.2,1.0264004468917847,-12.979656203091144,-0.004138459550995321,0.0017,0.0,0.2,40
3095685376.0,54,50000,12.98,910,0.005235556,-123960.08393537,0.0279052734375,6316547744.0,1.0410099029541016,-13.098221425712108,-0.004039512772942544,0.0017,5.960464477539063e-08,0.2,60
2939051776.0,65,60000,14.6,922,0.005294402,-130963.43784247998,0.02662353515625,6440398499.6,1.0472710132598877,-13.160866144299508,-0.0034254923313710604,0.0017,0.0,0.2,70
3227857152.0,75,70000,12.35,929,0.0056080073,-116530.82379474999,0.03406982421875,6265213212.4,1.0536631345748901,-13.214894857257605,-0.004320071180472951,0.0017,0.0,0.2,80
3104482816.0,85,80000,14.22,935,0.0051029767,-108555.69040352001,0.02425537109375,6518846906.4,1.0600135326385498,-13.269782546907663,-0.003146438914427563,0.0017,5.960464477539063e-08,0.2,90
3230710272.0,95,90000,13.16,939,0.005783447,-116169.37132623002,0.03048095703125,6068432976.4,1.0668981075286865,-13.32503863349557,-0.0035382264401960127,0.0017,0.0,0.2,100
3754333696.0,111,100000,12.92,893,0.0053206785,-113431.58020739003,0.02664794921875,6255220816.8,1.0824010372161865,-13.45326511412859,-0.002946098665415775,0.0017,-1.1920928955078125e-07,0.2,120
2983148288.0,124,110000,12.69,887,0.0056481035,-103710.30017309001,0.037255859375,6063743470.0,1.0902531147003174,-13.516506954282523,-0.004236431424760667,0.0017,0.0,0.2,130
2980900864.0,134,120000,13.79,889,0.004850356,-107013.96972235,0.026513671875,5779484507.2,1.096921443939209,-13.576347372680903,-0.0033376963105183678,0.0017,0.0,0.2,140
2998108672.0,145,130000,12.95,891,0.004317185,-106503.64498479001,0.01766357421875,6033544952.4,1.106105923652649,-13.64185863956809,-0.002595569600634917,0.0017,0.0,0.2,150
2972456960.0,161,140000,12.66,865,0.0050755255,-97302.24511734002,0.0264892578125,5469819227.2,1.1250158548355103,-13.793762943893672,-0.003264912127997377,0.0017,0.0,0.2,170
2994976768.0,172,150000,13.86,868,0.005906022,-104217.22831291,0.042431640625,5916905053.6,1.133195161819458,-13.863364882022143,-0.0046309867864692935,0.0017,0.0,0.2,180
2899154176.0,184,160000,12.3,869,0.005628934,-96203.79715272,0.03814697265625,5869709575.6,1.1421723365783691,-13.931354314833879,-0.004100445505173411,0.0017,0.0,0.2,190
3188169728.0,195,170000,13.54,871,0.005763908,-100721.44477375998,0.0348388671875,5628112639.8,1.1507620811462402,-14.001533024013042,-0.0035776007989625214,0.0017,-1.1920928955078125e-07,0.2,200
2606547712.0,206,180000,12.52,873,0.0045228307,-89487.39606233001,0.02490234375,5322002438.0,1.159833312034607,-14.070926263928413,-0.0031910116711515004,0.0017,0.0,0.2,210
2531958528.0,222,190000,14.14,853,0.004805143,-79824.54427598999,0.02994384765625,5602355449.8,1.1787176132202148,-14.21544102281332,-0.003458009873247647,0.0017,5.960464477539063e-08,0.2,230
2736379904.0,233,200000,13.7,855,0.005461539,-84635.5110252,0.039794921875,5709200840.6,1.1897691488265991,-14.294464026391505,-0.005105721210566116,0.0017,0.0,0.2,240
3237531392.0,245,210000,14.07,856,0.0052938233,-72633.47055123,0.034814453125,5588559447.6,1.2000306844711304,-14.37552535161376,-0.003871919837547466,0.0017,5.960464477539063e-08,0.2,250
2683122432.0,256,220000,11.99,857,0.0038942518,-73784.61617269,0.01246337890625,5322100430.0,1.211432695388794,-14.456131468713284,-0.0018340994087338914,0.0017,0.0,0.2,260
3035564544.0,272,230000,14.31,844,0.0041963235,-67299.40451008,0.02044677734375,5753169287.4,1.2348980903625488,-14.625700858235358,-0.002486957651854027,0.0017,-1.1920928955078125e-07,0.2,280
2665800448.0,283,240000,13.62,845,0.0051733768,-80296.65221444,0.03515625,5356021280.4,1.2471840381622314,-14.716960091143847,-0.004122710697265575,0.0017,-1.1920928955078125e-07,0.2,290
3085203712.0,296,250000,12.12,843,0.0054375418,-76616.84223313,0.03345947265625,5543076063.0,1.2629191875457764,-14.818660397082567,-0.0038064654581830837,0.0017,0.0,0.2,300
2325149440.0,308,260000,14.16,843,0.0046043266,-68773.49366412999,0.02789306640625,5390565497.6,1.2754930257797241,-14.918523820489645,-0.002979074486211175,0.0017,0.0,0.2,310
2449571072.0,319,270000,14.01,844,0.005363317,-63734.35428203,0.03563232421875,4977168031.0,1.2907655239105225,-15.019408909976482,-0.003951246564247413,0.0017,0.0,0.2,320
2368396288.0,336,280000,13.81,833,0.009675055,-65225.827460789995,0.0811767578125,4910959029.8,1.3223239183425903,-15.224252092093229,-0.004805154244604637,0.0017,0.0,0.2,340
3407819264.0,347,290000,13.52,835,0.005499611,-49573.945509220015,0.04312744140625,6011495265.0,1.335390329360962,-15.331119407713413,-0.004011506121241837,0.0017,0.0,0.2,350
2558862336.0,358,300000,13.74,837,0.088594235,-46526.75901823,0.2439208984375,4898146544.0,1.3697078227996826,-15.472627811878919,0.025924208615106182,0.0017,0.0,0.2,360
