train/entropy_loss,train/learning_rate,time/total_timesteps,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/n_updates,train/approx_kl,train/explained_variance,time/time_elapsed,train/clip_fraction,train/loss,train/clip_range,train/value_loss,rollout/ep_rew_mean
-21.29987423121929,0.0017,10000,751,51.98,-0.0025283420878622564,1.0021072626113892,10,0.0028961478,-2.384185791015625e-07,13,0.00242919921875,34142971904.0,0.2,75276594336.0,-1274407.29337081
-21.328895819187164,0.0017,20000,770,67.93,-0.0017305655268501142,1.003868579864502,20,0.0017522576,0.0,25,0.00029296875,37455581184.0,0.2,77435563667.2,-1667990.3200476295
-21.357169532775877,0.0017,30000,833,48.42,-0.0012702078513029847,1.0059003829956055,30,0.0013672484,0.0,35,0.00010986328125,37518417920.0,0.2,78850696819.2,-1202008.4687626697
-21.38879002034664,0.0017,40000,871,50.14,-0.0022782135973102415,1.0080972909927368,40,0.0024442289,0.0,45,0.00128173828125,35636432896.0,0.2,76386666208.0,-1242813.3350463598
-21.453747406601906,0.0017,50000,807,62.91,-0.0016279136692901376,1.0124976634979248,60,0.001630022,0.0,61,0.00035400390625,36391485440.0,0.2,79667591139.2,-1542485.2346974697
-21.485643653571607,0.0017,60000,792,55.49,-0.0014293124091636854,1.0145529508590698,70,0.0012453622,1.1920928955078125e-07,75,2.44140625e-05,37937958912.0,0.2,77589815376.0,-1371395.62913229
-21.51633124500513,0.0017,70000,798,51.24,-0.0009376452762808185,1.0166536569595337,80,0.0008825563,0.0,87,6.103515625e-05,40330903552.0,0.2,76952620806.4,-1259869.7348136802
-21.54873168170452,0.0017,80000,816,48.11,-0.0014675932532554725,1.0189381837844849,90,0.0014442167,0.0,98,0.0002197265625,36046000128.0,0.2,75209043369.6,-1180928.3855848
-21.582137356698514,0.0017,90000,830,52.07,-0.0008899642861251777,1.0211859941482544,100,0.0008982943,0.0,108,4.8828125e-05,39071789056.0,0.2,75123654172.8,-1282337.8668455302
-21.649437288939954,0.0017,100000,804,55.41,-0.001569522985846561,1.025651216506958,120,0.0016062681,1.7881393432617188e-07,124,0.0002197265625,37458477056.0,0.2,79621015222.4,-1352219.6004499502
-21.678598119318487,0.0017,110000,808,47.81,-0.002022246150772844,1.0276470184326172,130,0.0021254672,-1.1920928955078125e-07,135,0.00074462890625,40442101760.0,0.2,76052517721.6,-1182692.9799175
-21.71051713824272,0.0017,120000,820,45.99,-0.0014709004646647373,1.0300266742706299,140,0.00140363,1.1920928955078125e-07,146,0.0001220703125,39527534592.0,0.2,72174984252.8,-1140887.59314345
-21.745188468694685,0.0017,130000,831,47.69,-0.0017755714454324334,1.032413363456726,150,0.0018423547,-2.384185791015625e-07,156,0.0004638671875,42318770176.0,0.2,76015342345.6,-1173284.37975893
-21.814968265593052,0.0017,140000,818,53.47,-0.0011095853529695886,1.0371750593185425,170,0.001091636,-1.1920928955078125e-07,170,3.662109375e-05,37376344064.0,0.2,74245973904.0,-1309290.12891118
-21.848520861566065,0.0017,150000,827,38.26,-0.0010462321846716805,1.0395063161849976,180,0.00091475795,0.0,181,2.44140625e-05,36176547840.0,0.2,72744902387.2,-947546.3093113198
