rollout/ep_len_mean,train/explained_variance,rollout/ep_rew_mean,train/n_updates,time/fps,train/policy_gradient_loss,train/std,time/total_timesteps,train/value_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/clip_fraction,time/time_elapsed
80.03,-1.1920928955078125e-06,-324774.78700282,10,530,-0.005161994140689785,1.0111122131347656,10000,3056134739.9,0.0017,-8.549621932953595,0.0055712834,1335352704.0,0.2,0.03924560546875,18
70.7,0.0,-289528.36819453,20,599,-0.0034142062891987734,1.0191255807876587,20000,2964385309.9,0.0017,-8.605497692525386,0.0048783626,1130010624.0,0.2,0.028857421875,33
79.0,0.0,-294272.62901306,30,625,-0.0016847518496433621,1.02657949924469,30000,2780858661.5,0.0017,-8.65043639615178,0.003019428,1361189248.0,0.2,0.00877685546875,47
76.17,-1.1920928955078125e-07,-278568.25969945,40,602,-0.0026114214675544644,1.0343542098999023,40000,2560616629.0,0.0017,-8.695811647176743,0.0043706726,1300555008.0,0.2,0.0239501953125,66
70.31,0.0,-253866.70498397,60,527,-0.0019685672088598947,1.05424165725708,50000,2612245787.6,0.0017,-8.799480886757374,0.003186314,1428957440.0,0.2,0.012353515625,94
74.76,0.0,-270441.75921448995,70,527,-0.0024776317482974263,1.0646510124206543,60000,2503072479.8,0.0017,-8.861155387759208,0.0040635075,1149868800.0,0.2,0.01787109375,113
69.89,0.0,-255630.13162776,80,530,-0.003394424369071203,1.0715771913528442,70000,2648054804.7,0.0017,-8.910656397044658,0.004425982,1169623168.0,0.2,0.0288330078125,132
65.7,0.0,-235665.70311568,90,531,-0.004104645112238359,1.083382487297058,80000,2487942419.0,0.0017,-8.963726881146432,0.0049351994,1109761536.0,0.2,0.03358154296875,150
58.82,0.0,-223328.70858059,100,533,-0.0013591718658062745,1.0973068475723267,90000,2412927465.7,0.0017,-9.033733248710632,0.0031226708,1375997184.0,0.2,0.01024169921875,168
72.05,0.0,-250399.21696602996,120,507,-0.0023887690182164078,1.1170507669448853,100000,2375247249.8,0.0017,-9.15012867078185,0.0041979784,1167533568.0,0.2,0.01517333984375,197
69.13,-1.1920928955078125e-07,-240266.26096984,130,528,-0.0019734955507374253,1.1293405294418335,110000,2422832645.6,0.0017,-9.21152414754033,0.0038852459,1310846208.0,0.2,0.0169677734375,208
66.96,-1.1920928955078125e-07,-234155.44726237003,140,534,-0.0017828272811129865,1.142221212387085,120000,2302570990.5,0.0017,-9.277547131478787,0.0032526269,1066275264.0,0.2,0.0105712890625,224
61.63,0.0,-212270.71121340003,150,535,-0.003137211255943839,1.156669020652771,130000,2228471847.7,0.0017,-9.349721814692021,0.0043285014,1049508736.0,0.2,0.0244140625,242
72.79,0.0,-249683.49829751998,170,515,-0.0033361907102516853,1.1780509948730469,140000,2293258560.3,0.0017,-9.468141002207995,0.0050416347,1165592960.0,0.2,0.03018798828125,271
61.49,5.960464477539063e-08,-211940.66147110995,180,515,-0.0017324494367130683,1.1900486946105957,150000,2161630731.5,0.0017,-9.527227551490068,0.0037776935,1235166464.0,0.2,0.01361083984375,290
62.19,5.960464477539063e-08,-201847.54847627998,190,517,-0.002690909091870708,1.2057055234909058,160000,2231549760.0,0.0017,-9.596115563809871,0.0050568404,1085991936.0,0.2,0.0194580078125,309
68.07,0.0,-233590.49815685998,200,518,-0.002846751926881552,1.2179068326950073,170000,2115251752.4,0.0017,-9.664309025555848,0.0050255843,1097770368.0,0.2,0.02540283203125,327
62.21,0.0,-203593.19056141,210,519,-0.0006560927366081159,1.230898380279541,180000,2148519811.6,0.0017,-9.724711652100087,0.002760997,1050230464.0,0.2,0.0065673828125,346
