rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/return_std,train/delta_std,train/iterations,train/step_size,train/learning_rate
1000.0,1,-29936273.224244498,10000,5790,,,,,
670.3333333333334,3,-19958437.552195337,20000,5781,,,,,
703.0,5,-20912400.433263198,30000,5780,,,,,
695.4615384615385,6,-20724445.789029304,40000,5779,,,,,
1000.0,8,-29761515.662305497,50000,5776,14888675.0,0.05,0,1.6791286416850681e-10,0.02
673.8333333333334,10,-20014647.553187832,60000,5778,,,,,
782.5555555555555,12,-23270725.557967886,70000,5782,,,,,
822.0909090909091,13,-24461570.22297591,80000,5784,,,,,
860.2142857142857,15,-25624327.99823779,90000,5783,,,,,
1000.0,17,-30148561.601047,100000,5782,11897700.0,0.05,1,2.1012463990999208e-10,0.02
1000.0,19,-29991673.78457425,110000,5782,,,,,
1000.0,20,-29986241.866775498,120000,5783,,,,,
901.6,22,-26982883.254575502,130000,5782,,,,,
848.9230769230769,24,-25374769.362447925,140000,5782,,,,,
1000.0,25,-29881685.299249,150000,5781,12012131.0,0.05,2,2.0812293555216854e-10,0.02
753.75,27,-22502751.57926875,160000,5782,,,,,
752.5,29,-22451358.478514627,170000,5784,,,,,
731.0909090909091,31,-21808162.65088418,180000,5784,,,,,
788.7142857142857,32,-23443887.795403283,190000,5786,,,,,
10.0,34,-98332.03688649999,200000,5786,11912385.0,0.05,3,2.0986561100055923e-10,0.02
604.0,36,-18016256.2998878,210000,5787,,,,,
629.875,38,-18751492.838187624,220000,5786,,,,,
730.8181818181819,39,-21770369.30352036,230000,5787,,,,,
717.5714285714286,41,-21374473.174031284,240000,5788,,,,,
1000.0,43,-29774543.753272,250000,5788,13294961.0,0.05,4,1.8804116597159748e-10,0.02
752.75,44,-22426259.923694,260000,5789,,,,,
753.0,46,-22430257.87365725,270000,5790,,,,,
802.4,48,-23897599.1361828,280000,5790,,,,,
848.0,50,-25310700.72378192,290000,5790,,,,,
868.2666666666667,51,-25906882.855439328,300000,5792,,,,,
