time/fps,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/clip_range,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/explained_variance,train/approx_kl,time/time_elapsed,train/loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss
852,0.0003,10000,15.36,0.2,52483999737.6,0.9999731779098511,0.0,10,1.1920928955078125e-07,0.0006054838,11,21830217728.0,-425181.04242561007,-0.0018288971339643467,-21.283886347711086
854,0.0003,20000,13.59,0.2,53576443990.4,0.9999697804450989,0.0,20,0.0,0.00054226734,23,27745153024.0,-378148.0936747199,-0.0017625475084059872,-21.28365249633789
852,0.0003,30000,15.83,0.2,53090447776.0,1.0000452995300293,0.0,30,0.0,0.0008621056,35,24414674944.0,-434846.97992639994,-0.002679031115985708,-21.284173542261122
853,0.0003,40000,14.6,0.2,51694970582.4,1.0000051259994507,0.0,40,0.0,0.00042019787,46,26216230912.0,-407088.35354251997,-0.0013414768423899658,-21.284438429772855
790,0.0003,50000,12.74,0.2,50065973331.2,0.9999939203262329,0.0,60,0.0,0.00063783233,63,24513224704.0,-357547.38050045,-0.0019688100263010712,-21.28396767526865
799,0.0003,60000,13.06,0.2,48645998340.8,1.0000518560409546,0.0,70,0.0,0.00074832677,75,23236648960.0,-370285.65019117,-0.002288477289948787,-21.28443590849638
805,0.0003,70000,12.88,0.2,48632237913.6,1.0000652074813843,0.0,80,0.0,0.00057444617,86,24252985344.0,-357712.56170786003,-0.0017463011319705402,-21.28495684415102
810,0.0003,80000,14.31,0.2,45199292424.0,1.0000685453414917,0.0,90,-1.1920928955078125e-07,0.00076702825,98,21240619008.0,-385471.54974819,-0.0022257590224398884,-21.285091100633146
814,0.0003,90000,11.57,0.2,45791584456.0,1.000067114830017,0.0,100,0.0,0.00072165485,110,23602583552.0,-318368.81767226,-0.0021447682120196987,-21.285099348425867
784,0.0003,100000,11.06,0.2,46881053540.8,1.0002119541168213,0.0,120,0.0,0.0004884382,127,24657784832.0,-317198.10429375997,-0.001495533720481035,-21.286904318630697
789,0.0003,110000,11.87,0.2,45083728912.0,1.0001575946807861,0.0,130,1.1920928955078125e-07,0.00041453444,139,21849706496.0,-332726.28030673,-0.0012628261993995692,-21.286853133141996
792,0.0003,120000,12.54,0.2,44648951284.8,1.0001598596572876,0.0,140,-1.1920928955078125e-07,0.000526541,151,21063329792.0,-348533.5095790601,-0.0015726081997854634,-21.286426222324373
