rollout/ep_len_mean,train/value_loss,train/policy_objective,train/n_updates,time/time_elapsed,time/fps,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/is_line_search_success,time/total_timesteps,rollout/ep_rew_mean,train/std
32.4,8323171344.0,0.08786366879940033,1,8,1197,0.001,0.00611516647040844,9.59634780883789e-06,1.0,10000,-218359.14865298997,0.9968568682670593
26.02,6923686279.2,0.06299294531345367,2,16,1224,0.001,0.003821049816906452,0.0,1.0,20000,-169989.78080636,0.9899736642837524
24.07,6611043146.4,0.0644717738032341,3,24,1231,0.001,0.0040432424284517765,1.1920928955078125e-07,1.0,30000,-148741.42129888,0.9907371997833252
23.18,6138183266.4,0.05842086672782898,4,32,1231,0.001,0.004483636934310198,0.0,1.0,40000,-143593.04624753,0.9856942892074585
20.73,5661646083.2,0.05742805823683739,6,41,1192,0.001,0.004166044294834137,-1.1920928955078125e-07,1.0,50000,-133477.68295663,0.9796461462974548
23.26,5470891180.8,0.062145572155714035,7,50,1198,0.001,0.005010206717997789,0.0,1.0,60000,-136738.90323406,0.9747062921524048
22.57,5363482430.4,0.07268302142620087,8,58,1200,0.001,0.005318576004356146,-1.1920928955078125e-07,1.0,70000,-132712.03789587002,0.970144510269165
25.15,5122606237.6,0.06778976321220398,9,66,1203,0.001,0.004941574297845364,0.0,1.0,80000,-139223.64120430005,0.9739102721214294
22.86,5151213806.4,0.0633140355348587,10,74,1205,0.001,0.004664252977818251,-1.1920928955078125e-07,1.0,90000,-131294.89470459998,0.9657072424888611
19.99,4699181056.0,0.0771932601928711,12,84,1188,0.001,0.005175800062716007,-1.1920928955078125e-07,1.0,100000,-116287.22577047998,0.9595779776573181
25.07,4755883475.6,0.06076287105679512,13,92,1191,0.001,0.004994551185518503,0.0,1.0,110000,-129841.03701704001,0.9475479125976562
24.51,4478463316.8,0.07269733399152756,14,100,1194,0.001,0.005635068751871586,-1.1920928955078125e-07,1.0,120000,-126347.02785686002,0.9457685947418213
26.48,4387388807.6,0.06889493763446808,15,108,1196,0.001,0.005409987177699804,1.1920928955078125e-07,1.0,130000,-128355.75875305998,0.9324266910552979
26.19,4225303197.6,0.07219168543815613,17,118,1184,0.001,0.005869419313967228,2.384185791015625e-07,1.0,140000,-122112.46493868,0.9257391691207886
27.56,4268960000.4,0.06447615474462509,18,126,1186,0.001,0.006359684746712446,-2.384185791015625e-07,1.0,150000,-131009.99259314,0.9252559542655945
25.73,4169432934.8,0.06818371266126633,19,134,1188,0.001,0.0055080740712583065,-2.384185791015625e-07,1.0,160000,-119932.60140755998,0.9177832007408142
26.74,4065064420.4,0.07161121815443039,20,142,1191,0.001,0.006324925925582647,0.0,1.0,170000,-118072.65956645999,0.9124444723129272
33.79,3984472214.4,0.06755382567644119,21,150,1193,0.001,0.006468797568231821,0.0,1.0,180000,-135278.45431109998,0.9073038101196289
33.06,3730316983.6,0.07320812344551086,23,160,1186,0.001,0.006069671828299761,0.0,1.0,190000,-131739.96927742,0.9039489030838013
28.75,3915572842.0,0.0782136470079422,24,168,1188,0.001,0.00670264009386301,-1.1920928955078125e-07,1.0,200000,-121771.72245110999,0.9006646275520325
37.21,3828597214.8,0.08218906819820404,25,176,1190,0.001,0.0064761885441839695,0.0,1.0,210000,-144150.19149093,0.8977940678596497
35.74,3612673536.8,0.08184883743524551,26,184,1192,0.001,0.006207146681845188,0.0,1.0,220000,-131189.51186248,0.8950622081756592
38.85,3408130916.8,0.07416070997714996,28,193,1185,0.001,0.005777507089078426,5.960464477539063e-08,1.0,230000,-129820.33280329999,0.88733971118927
42.45,3340530186.0,0.08220329880714417,29,202,1187,0.001,0.005841292906552553,0.0,1.0,240000,-138388.30278976,0.8806268572807312
44.63,3068235832.8,0.07727034389972687,30,210,1188,0.001,0.006426509935408831,0.0,1.0,250000,-144922.77304369,0.8744825124740601
42.17,3430993693.2,0.08205731213092804,31,218,1190,0.001,0.006606623064726591,5.960464477539063e-08,1.0,260000,-125608.43569057001,0.8709859848022461
38.36,2958984597.6,0.08475285023450851,32,226,1191,0.001,0.006559555418789387,5.960464477539063e-08,1.0,270000,-121008.36625383001,0.8697114586830139
45.36,2800828020.6,0.086678147315979,34,236,1184,0.001,0.007175344042479992,5.960464477539063e-08,1.0,280000,-127250.68732063999,0.8591402173042297
55.96,2797341927.2,0.08170823007822037,35,244,1185,0.001,0.0067029548808932304,-1.1920928955078125e-07,1.0,290000,-136625.16054072,0.8593627214431763
53.42,2524787739.8,0.09023590385913849,36,252,1186,0.001,0.006784285418689251,0.0,1.0,300000,-121046.38802319,0.8579879999160767
51.07,2659580392.8,0.08435221016407013,37,261,1186,0.001,0.007067895960062742,0.0,1.0,310000,-98323.95031804999,0.855595052242279
51.28,2375463135.0,0.08392992615699768,39,270,1181,0.001,0.006867982912808657,5.960464477539063e-08,1.0,320000,-85277.90643812,0.8425533175468445
53.66,2293204047.0,0.08216600120067596,40,279,1182,0.001,0.006814567372202873,5.960464477539063e-08,1.0,330000,-81959.73734431998,0.8329773545265198
55.86,2316553468.4,0.08281512558460236,41,287,1183,0.001,0.006750349421054125,0.0,1.0,340000,-67013.21694056,0.831455647945404
51.47,2047832896.0,0.0819903314113617,42,295,1184,0.001,0.006899206433445215,0.0,1.0,350000,-46346.62216684,0.8303136825561523
