rollout/ep_len_mean,train/value_loss,train/policy_objective,train/n_updates,time/time_elapsed,time/fps,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/is_line_search_success,time/total_timesteps,rollout/ep_rew_mean,train/std
52.95,2027720012.2,0.08330453932285309,43,303,1184,0.001,0.006863658782094717,5.960464477539063e-08,1.0,360000,-42322.25104057,0.8285788297653198
49.15,2064121908.2,0.08475130051374435,45,313,1180,0.001,0.007218530867248774,0.0,1.0,370000,-29019.49266253,0.8273055553436279
43.01,2177416397.4,0.09052380174398422,46,321,1180,0.001,0.007008670829236507,0.0,1.0,380000,-24234.64480206,0.8246591091156006
45.77,2265034518.0,0.08368400484323502,47,330,1180,0.001,0.0068127186968922615,0.0,1.0,390000,-13117.886462979997,0.8216883540153503
39.63,1917511223.2,0.08705680817365646,48,338,1181,0.001,0.006871283985674381,0.0,1.0,400000,33306.274207320006,0.8191736936569214
42.25,1905259614.6,0.07831969857215881,50,348,1176,0.001,0.00815005972981453,0.0,1.0,410000,31731.77128575,0.8087613582611084
39.44,1974056656.2,0.08002088218927383,51,356,1176,0.001,0.007794414181262255,0.0,1.0,420000,55097.51397249,0.8050538301467896
34.46,2092094932.0,0.07241149246692657,52,365,1176,0.001,0.008360940031707287,0.0,1.0,430000,53230.21661429,0.8036004900932312
35.81,2312076519.6,0.06708681583404541,53,373,1176,0.001,0.00831723865121603,-1.1920928955078125e-07,1.0,440000,75761.86690188,0.7999122738838196
36.88,2189863179.4,0.07651926577091217,54,382,1176,0.001,0.008383627980947495,5.960464477539063e-08,1.0,450000,66026.23436061,0.799516499042511
28.61,2626923344.0,0.07091333717107773,56,392,1172,0.001,0.008247528225183487,0.0,1.0,460000,82464.56658236,0.7947817444801331
28.86,2760176921.2,0.07071637362241745,57,401,1171,0.001,0.008541841991245747,0.0,1.0,470000,88757.67263442,0.7938661575317383
27.51,2787817499.6,0.07536966353654861,58,409,1171,0.001,0.00833065900951624,1.1920928955078125e-07,1.0,480000,105818.16776607,0.7907124161720276
23.28,2905485562.8,0.06821565330028534,59,418,1170,0.001,0.00846191681921482,1.1920928955078125e-07,1.0,490000,103528.37293025,0.7887613773345947
22.89,3534624406.8,0.05962960049510002,61,428,1166,0.001,0.008196664974093437,-1.1920928955078125e-07,1.0,500000,109313.32097412001,0.7822113037109375
19.79,3700145864.0,0.07503737509250641,62,437,1166,0.001,0.008478835225105286,0.0,1.0,510000,109504.63232342001,0.7773228883743286
20.07,4153120698.8,0.0736851841211319,63,445,1165,0.001,0.00817093439400196,5.960464477539063e-08,1.0,520000,119324.34368324999,0.7734383940696716
19.15,4213170708.4,0.0682089626789093,64,454,1165,0.001,0.008311026729643345,0.0,1.0,530000,118892.95940570999,0.7706071734428406
18.73,4422152234.4,0.06345304101705551,65,463,1165,0.001,0.009089172817766666,-1.1920928955078125e-07,1.0,540000,117991.51291167,0.7675001621246338
17.3,4996025453.6,0.06552477926015854,67,473,1160,0.001,0.008790374733507633,5.960464477539063e-08,1.0,550000,118843.22899157,0.7606166005134583
16.98,5275745072.0,0.051115501672029495,68,482,1160,0.001,0.008699596859514713,1.7881393432617188e-07,1.0,560000,120326.56536965999,0.7582060098648071
16.65,5106445256.0,0.06490952521562576,69,491,1159,0.001,0.008841169066727161,0.0,1.0,570000,120918.25735130001,0.75355464220047
15.69,5377535928.0,0.07226920127868652,70,500,1159,0.001,0.009029519744217396,1.1920928955078125e-07,1.0,580000,125319.74616877001,0.74985671043396
15.42,5832933627.2,0.07213733345270157,72,510,1155,0.001,0.008860839530825615,0.0,1.0,590000,128464.14841091,0.742554783821106
15.28,5972566804.8,0.06867597252130508,73,519,1154,0.001,0.00798398070037365,2.384185791015625e-07,1.0,600000,127574.98690789,0.7391685843467712
13.83,5987884314.4,0.06280434876680374,74,528,1154,0.001,0.009125013835728168,1.1920928955078125e-07,1.0,610000,123906.72863924998,0.7370220422744751
14.0,6280278166.4,0.06635646522045135,75,537,1153,0.001,0.008650852367281914,-1.1920928955078125e-07,1.0,620000,130051.98503011,0.7351391315460205
13.58,6355844588.0,0.04812106862664223,76,546,1152,0.001,0.009138837456703186,0.0,1.0,630000,127551.48543841999,0.7303560376167297
13.4,6627533138.4,0.056667521595954895,78,556,1149,0.001,0.008821052499115467,0.0,1.0,640000,129276.81518508,0.7264525294303894
13.92,6456988071.2,0.05847819522023201,79,565,1149,0.001,0.009511484764516354,0.0,1.0,650000,131159.0,0.7231830358505249
13.04,6664433548.8,0.057810228317976,80,574,1148,0.001,0.009427609853446484,5.960464477539063e-08,1.0,660000,131207.16410634998,0.721900224685669
13.26,6890658267.2,0.05971372500061989,81,583,1148,0.001,0.00867526512593031,0.0,1.0,670000,129188.12034802999,0.7183759808540344
13.15,6961975617.6,0.04660564661026001,83,593,1145,0.001,0.009136596694588661,0.0,1.0,680000,130081.98071697,0.7154665589332581
12.68,7082818969.6,0.051516421139240265,84,602,1145,0.001,0.00891947839409113,0.0,1.0,690000,131026.4,0.7118865251541138
12.91,7150988461.6,0.05999352037906647,85,611,1144,0.001,0.00897782202810049,-1.1920928955078125e-07,1.0,700000,132018.47969669,0.7070572972297668
12.53,7000923339.2,0.05206194519996643,86,620,1144,0.001,0.009014259092509747,5.960464477539063e-08,1.0,710000,131338.25976595999,0.7051065564155579
12.59,7104610972.8,0.054172076284885406,87,629,1143,0.001,0.009693440049886703,-1.1920928955078125e-07,1.0,720000,132842.41716065002,0.7027761936187744
12.21,7233917140.0,0.05425778776407242,89,639,1141,0.001,0.008999595418572426,-1.1920928955078125e-07,1.0,730000,130070.32566840001,0.6994615197181702
11.91,7329069454.4,0.050849344581365585,90,648,1140,0.001,0.00917111523449421,0.0,1.0,740000,131772.1,0.6965059638023376
11.9,7354502331.2,0.06051139160990715,91,657,1140,0.001,0.008752991445362568,0.0,1.0,750000,132179.8,0.692211925983429
11.87,7465298980.0,0.05783891677856445,92,666,1140,0.001,0.009553725831210613,5.960464477539063e-08,1.0,760000,131669.41978462,0.6895813345909119
11.86,7409188204.0,0.056964315474033356,93,675,1140,0.001,0.009439715184271336,0.0,1.0,770000,132876.4,0.6879511475563049
11.54,7509696088.8,0.054822128266096115,95,685,1137,0.001,0.009457689709961414,0.0,1.0,780000,132093.11885451002,0.6834884881973267
11.65,7471094476.0,0.05130784586071968,96,694,1137,0.001,0.00923894438892603,0.0,1.0,790000,132590.32112512,0.6826799511909485
11.76,7509362456.8,0.04909321293234825,97,703,1137,0.001,0.009157947264611721,0.0,1.0,800000,132893.8455796,0.6820351481437683
11.5,7468033020.0,0.045807525515556335,98,712,1136,0.001,0.0063995616510510445,0.0,1.0,810000,133001.6,0.6808848977088928
11.52,7531168124.0,0.05666108801960945,100,723,1133,0.001,0.00912048202008009,0.0,1.0,820000,133197.9,0.6788905262947083
11.53,7608636928.0,0.044474728405475616,101,732,1133,0.001,0.009634152054786682,0.0,1.0,830000,130879.01032506001,0.678794801235199
11.59,7514871052.8,0.047771744430065155,102,741,1133,0.001,0.009426681324839592,5.960464477539063e-08,1.0,840000,132996.11264202002,0.6768838763237
11.49,7451020785.6,0.05292719230055809,103,749,1133,0.001,0.009153292514383793,5.960464477539063e-08,1.0,850000,132491.96112445998,0.6766393780708313
11.37,7571320145.6,0.055817198008298874,104,758,1133,0.001,0.009246301837265491,1.1920928955078125e-07,1.0,860000,133109.76164132,0.675134003162384
11.65,7543528121.6,0.042043864727020264,106,769,1130,0.001,0.006428236607462168,-1.1920928955078125e-07,1.0,870000,130928.29574682,0.6740995645523071
11.55,7523264504.0,0.04510970786213875,107,778,1130,0.001,0.00951031781733036,0.0,1.0,880000,132883.8,0.6727721095085144
11.48,7567490963.2,0.04538048058748245,108,787,1130,0.001,0.009719827212393284,0.0,1.0,890000,132602.54275485,0.6706187725067139
11.8,7388280009.6,0.05681455880403519,109,796,1130,0.001,0.009827825240790844,0.0,1.0,900000,130783.11026527,0.6698368191719055
11.48,7520888964.8,0.05156476050615311,111,806,1128,0.001,0.009619846008718014,0.0,1.0,910000,133108.57972483,0.6670633554458618
11.44,7577613407.2,0.035302139818668365,112,815,1127,0.001,0.009818700142204762,0.0,1.0,920000,133109.1,0.6663489937782288
11.32,7606046674.4,0.052712202072143555,113,824,1127,0.001,0.009639518335461617,1.1920928955078125e-07,1.0,930000,132719.18554113002,0.6652212738990784
11.75,7512466236.0,0.05415218323469162,114,833,1127,0.001,0.009862693026661873,5.960464477539063e-08,1.0,940000,130067.61276102999,0.6635250449180603
11.5,7545228220.8,0.050801873207092285,115,842,1127,0.001,0.00933225266635418,0.0,1.0,950000,133104.3,0.6623193621635437
11.43,7634569339.2,0.04639357328414917,117,853,1125,0.001,0.009155726060271263,0.0,1.0,960000,133108.60656636,0.6601237654685974
11.32,7524960480.0,0.034513235092163086,118,862,1125,0.001,0.0073755355551838875,0.0,1.0,970000,132806.95652364,0.6594852209091187
11.33,7539615383.2,0.03937289118766785,119,871,1124,0.001,0.008636322803795338,0.0,1.0,980000,132908.89943343998,0.6586167812347412
11.51,7543383878.4,0.051754504442214966,120,880,1124,0.001,0.009710753336548805,0.0,1.0,990000,132994.55577,0.6584545969963074
11.39,7517691297.6,0.04887829348444939,122,890,1122,0.001,0.009215889498591423,-1.1920928955078125e-07,1.0,1000000,133210.7,0.6566854119300842
