time/total_timesteps,train/n_updates,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef_loss,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef
450000,112474,33030.0,15394947.0,5.0,-42888.2890625,235,-9.85822582244873,1912,86092,0.001,47.49565124511719
460000,114974,32827.7,15108358.0,5.01,-44712.203125,235,4.535595417022705,1957,88087,0.001,42.34891891479492
470000,117474,33030.0,6914829.0,5.0,-46233.21875,234,3.3580079078674316,2002,90087,0.001,34.43811798095703
480000,119974,33030.0,23131092.0,5.0,-47502.04296875,234,4.835699558258057,2047,92087,0.001,32.18856430053711
490000,122474,33030.0,6650143.0,5.0,-51247.5546875,234,0.9675191640853882,2092,94087,0.001,31.994056701660156
500000,124974,33030.0,7350846.5,5.0,-53667.4609375,233,-2.1558144092559814,2137,96087,0.001,27.157724380493164
510000,127474,33030.0,20848434.0,5.0,-53654.1796875,233,1.7938848733901978,2182,98087,0.001,28.30962562561035
520000,129974,33030.0,5283728.0,5.0,-51189.92578125,233,1.9677705764770508,2227,100087,0.001,24.84464454650879
530000,132474,33030.0,4181806.25,5.0,-49862.7421875,233,-1.150574803352356,2272,102087,0.001,25.317644119262695
540000,134974,33030.0,11782818.0,5.0,-50041.609375,233,-0.28492504358291626,2316,104087,0.001,24.69546127319336
550000,137474,33030.0,3658567.5,5.0,-56357.6484375,232,2.1225619316101074,2361,106087,0.001,21.270994186401367
560000,139974,33030.0,11801667.0,5.0,-54834.0546875,232,0.3426578640937805,2405,108087,0.001,23.07021141052246
570000,142474,33030.0,1483493.5,5.0,-54250.9921875,232,-1.4775886535644531,2450,110087,0.001,21.825029373168945
580000,144974,33030.0,4385178.5,5.0,-53867.12109375,232,2.5130186080932617,2495,112086,0.001,22.07413673400879
590000,147474,33029.1,6110887.0,5.0,-52426.25,232,-2.4189114570617676,2540,114083,0.001,23.71525764465332
600000,149974,33030.0,6258991.0,5.0,-53433.515625,232,0.20550742745399475,2584,116074,0.001,21.47312355041504
610000,152474,33030.0,2247161.0,5.0,-54833.46875,231,-1.544556736946106,2629,118073,0.001,22.271703720092773
620000,154974,33030.0,1317475.5,5.0,-52498.8828125,231,0.6553393006324768,2674,120070,0.001,20.26283073425293
630000,157474,33030.0,7782527.0,5.0,-49400.12890625,231,1.6249167919158936,2718,122070,0.001,21.269428253173828
640000,159974,33030.0,1225535.5,5.0,-53200.90625,231,1.4846042394638062,2762,124068,0.001,19.70208168029785
650000,162474,33030.0,7923930.0,5.0,-49753.0078125,231,0.9703410863876343,2806,126068,0.001,19.71664047241211
660000,164974,33030.0,7646028.0,5.0,-50121.84765625,231,-6.226807594299316,2851,128065,0.001,18.76003074645996
670000,167474,33030.0,5548813.0,5.0,-55654.87109375,231,6.3300275802612305,2895,130063,0.001,22.27406120300293
680000,169974,33030.0,3147691.5,5.0,-50214.1796875,231,-4.77652645111084,2940,132062,0.001,20.919700622558594
690000,172474,33030.0,4455091.5,5.0,-51904.8984375,231,-0.5624638795852661,2984,134062,0.001,18.950977325439453
700000,174974,33029.1,1797376.625,5.0,-55340.1171875,231,-1.2895992994308472,3028,136062,0.001,20.67755699157715
710000,177474,33030.0,44774232.0,5.0,-51372.41796875,231,-2.101015567779541,3073,138060,0.001,18.50128173828125
720000,179974,32929.1,2810354.25,5.0,-54403.140625,230,1.3279340267181396,3117,140058,0.001,21.46774673461914
730000,182474,33027.3,2324313.0,5.0,-53493.765625,230,0.6333818435668945,3162,142056,0.001,20.918798446655273
740000,184974,33030.0,1798488.75,5.0,-54205.2421875,230,2.7217535972595215,3206,144065,0.001,20.55052947998047
750000,187474,33029.1,8600767.0,5.0,-48624.10546875,230,-3.830307960510254,3251,146063,0.001,18.91362953186035
760000,189974,33029.1,3974295.0,5.0,-55871.515625,230,5.055900573730469,3295,148061,0.001,18.95635223388672
770000,192474,33030.0,4824748.5,5.0,-51287.3515625,230,-2.5083200931549072,3340,150060,0.001,17.197599411010742
780000,194974,33030.0,3788037.75,5.0,-52984.0625,230,4.498394966125488,3385,152060,0.001,17.474119186401367
790000,197474,33030.0,745271.5625,5.0,-54573.765625,230,-4.1223859786987305,3429,154059,0.001,17.649728775024414
800000,199974,33030.0,5823547.5,5.0,-54871.9609375,230,5.232429504394531,3474,156059,0.001,16.874000549316406
810000,202474,33030.0,1956539.875,5.0,-51563.14453125,230,1.1648998260498047,3518,158059,0.001,15.937618255615234
820000,204974,33030.0,10835718.0,5.0,-55061.1796875,230,2.551901340484619,3563,160058,0.001,15.121175765991211
830000,207474,33029.1,3021107.25,5.0,-53098.7421875,230,2.110670566558838,3608,162052,0.001,17.701557159423828
840000,209974,33030.0,2162608.5,5.0,-52678.390625,229,3.7437634468078613,3652,164049,0.001,17.9044132232666
850000,212474,33030.0,2836355.25,5.0,-54627.03125,229,1.8470196723937988,3697,166045,0.001,16.087596893310547
860000,214974,33030.0,1875918.375,5.0,-51115.484375,229,-3.7516298294067383,3741,168045,0.001,15.759193420410156
870000,217474,33030.0,1713970.25,5.0,-52357.0234375,229,2.60856556892395,3786,170045,0.001,15.810131072998047
880000,219974,33030.0,1135346.875,5.0,-53588.82421875,229,-0.5182229280471802,3830,172045,0.001,15.781710624694824
890000,222474,33028.99262333,901739.0,5.0,-52946.25,229,-5.018077850341797,3875,174045,0.001,16.075334548950195
900000,224974,33030.0,9931769.0,5.0,-53284.6015625,229,-2.8708102703094482,3919,176045,0.001,14.61816692352295
910000,227474,33030.0,3807805.5,5.0,-52954.97265625,229,0.592892587184906,3964,178041,0.001,14.2601900100708
920000,229974,33026.4,3620375.5,5.0,-56879.01953125,229,3.483067035675049,4008,180041,0.001,14.96457290649414
930000,232474,33030.0,2069230.75,5.0,-53897.78125,229,-4.555787086486816,4053,182041,0.001,15.209747314453125
940000,234974,33030.0,867188.75,5.0,-55759.0625,229,5.627799034118652,4098,184041,0.001,14.447319984436035
950000,237474,33030.0,2089389.25,5.0,-55658.0234375,229,2.290792226791382,4142,186041,0.001,14.227132797241211
960000,239974,33030.0,13683156.0,5.0,-53408.765625,229,-0.5637854933738708,4187,188041,0.001,14.937421798706055
970000,242474,32221.3,1766088.75,5.03,-56321.9765625,229,-0.5034282207489014,4232,190038,0.001,14.431111335754395
980000,244974,32927.3,4447543.0,5.0,-51509.1640625,229,0.12939530611038208,4276,192038,0.001,13.127636909484863
990000,247474,33030.0,3587794.0,5.0,-56007.91015625,229,4.464371204376221,4320,194036,0.001,14.108152389526367
1000000,249974,33028.2,1601955.25,5.0,-53065.30859375,229,-3.7493534088134766,4365,196028,0.001,15.340516090393066
