time/total_timesteps,train/n_updates,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef_loss,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef
10000,2474,-1388869.9391147299,493174752.0,31.3,-1723.670654296875,232,-77.19474792480469,43,199,0.001,2.648751735687256
20000,4974,-210502.42994631,190474000.0,11.66,11417.791015625,237,-161.86187744140625,84,1132,0.001,6.537255764007568
30000,7474,19253.815948379997,174537632.0,5.68,17429.966796875,238,-134.5497283935547,125,2458,0.001,13.28443717956543
40000,9974,29987.31913486,98990504.0,5.15,17702.509765625,238,-122.23489379882812,167,4308,0.001,23.547378540039062
50000,12474,32423.1,97012304.0,5.03,14200.05078125,238,-98.7503662109375,209,6213,0.001,39.53976821899414
60000,14974,32827.7,72379296.0,5.01,11042.5439453125,239,-81.36001586914062,250,8201,0.001,65.32097625732422
70000,17474,32016.49048172,65347200.0,5.05,-2385.142822265625,239,-63.96540069580078,292,10171,0.001,105.42913818359375
80000,19974,32423.1,65462776.0,5.03,-3913.15673828125,239,-41.37432861328125,334,12152,0.001,161.9170684814453
90000,22474,33029.1,59169596.0,5.0,-764.322265625,239,-20.670551300048828,376,14145,0.001,222.79762268066406
100000,24974,29882.94108798,38434520.0,4.96,-13272.1982421875,239,-5.585944175720215,418,16148,0.001,270.3375549316406
110000,27474,33030.0,54576928.0,5.0,-15250.953125,238,0.027809500694274902,460,18154,0.001,286.1688232421875
120000,29974,32929.1,19785284.0,5.0,-7843.5478515625,238,-0.348477840423584,502,20152,0.001,276.6703186035156
130000,32474,32726.8,28141604.0,5.01,-20954.83984375,238,-0.5017305612564087,544,22149,0.001,248.8096923828125
140000,34974,32525.0,110204648.0,5.01,-16597.33203125,238,-2.2142293453216553,586,24147,0.001,213.50144958496094
150000,37474,33030.0,23907616.0,5.0,-30157.970703125,238,-0.7742953300476074,629,26145,0.001,175.61036682128906
160000,39974,33030.0,49422056.0,5.0,-23871.54296875,238,1.326472282409668,671,28143,0.001,159.9202880859375
170000,42474,32625.9,20149270.0,5.01,-27519.078125,238,-1.246431827545166,713,30140,0.001,137.8548583984375
180000,44974,33030.0,26893544.0,5.0,-34185.921875,238,3.719419240951538,755,32140,0.001,121.79985046386719
190000,47474,32625.9,22305584.0,5.01,-33790.78515625,238,2.9704182147979736,798,34139,0.001,110.7541732788086
200000,49974,33030.0,23700200.0,5.0,-42868.6328125,237,-0.25465476512908936,840,36139,0.001,98.80009460449219
210000,52474,33030.0,11215507.0,5.0,-41572.5859375,237,2.624718189239502,882,38138,0.001,89.36772918701172
220000,54974,32929.1,14909800.0,5.0,-35547.1484375,237,3.233189582824707,924,40137,0.001,86.5277328491211
230000,57474,33030.0,20851716.0,5.0,-41306.765625,237,3.4773764610290527,966,42137,0.001,74.44513702392578
240000,59974,32929.1,26737662.0,5.0,-41075.8125,237,3.1658449172973633,1008,44137,0.001,71.4454116821289
250000,62474,32726.8,45683544.0,5.01,-40139.265625,237,-2.258820056915283,1050,46137,0.001,70.20295715332031
260000,64974,33030.0,15742835.0,5.0,-41544.7265625,237,-5.438864707946777,1093,48137,0.001,62.07904052734375
270000,67474,33030.0,32997088.0,5.0,-45344.421875,237,7.072896957397461,1135,50137,0.001,60.08589553833008
280000,69974,33030.0,12915011.0,5.0,-47875.4296875,237,-2.699498176574707,1177,52136,0.001,55.91087341308594
290000,72474,33030.0,6124622.5,5.0,-49911.49609375,237,0.8182680606842041,1220,54134,0.001,51.98868179321289
300000,74974,33030.0,23873530.0,5.0,-53736.37109375,237,-0.8914808034896851,1262,56134,0.001,48.85584259033203
310000,77474,33030.0,45222492.0,5.0,-48509.14453125,237,4.662487506866455,1304,58134,0.001,49.83713150024414
320000,79974,33030.0,19947796.0,5.0,-50055.4296875,237,-0.1545434594154358,1347,60131,0.001,47.07121658325195
330000,82474,33030.0,8562053.0,5.0,-56024.08984375,237,-0.13796579837799072,1389,62131,0.001,44.83209991455078
340000,84974,33030.0,8248463.0,5.0,-50955.94921875,237,0.3533611297607422,1431,64131,0.001,43.5793571472168
350000,87474,33030.0,75017608.0,5.0,-49181.171875,237,1.419882893562317,1473,66131,0.001,42.97355270385742
360000,89974,33030.0,7829092.0,5.0,-48773.75,237,1.5518412590026855,1516,68130,0.001,37.659934997558594
370000,92474,33030.0,6623165.0,5.0,-52264.921875,237,-0.8184415102005005,1558,70130,0.001,43.2342414855957
380000,94974,33030.0,80085824.0,5.0,-52959.6015625,237,-4.410368919372559,1600,72130,0.001,47.12275695800781
390000,97474,33030.0,11325101.0,5.0,-52087.79296875,237,-0.9445518255233765,1643,74128,0.001,38.25116729736328
400000,99974,33030.0,7931966.5,5.0,-50805.3359375,237,-1.9499375820159912,1685,76128,0.001,35.607601165771484
410000,102474,31007.79483744,31811068.0,5.08,-37199.5078125,236,-1.0585867166519165,1731,78127,0.001,48.14882278442383
420000,104974,33030.0,42053064.0,5.0,-45644.0546875,236,3.9584341049194336,1776,80123,0.001,49.22066879272461
430000,107474,33030.0,6697777.0,5.0,-48588.2890625,236,-9.516286849975586,1822,82122,0.001,41.98282241821289
440000,109974,32625.4,14690466.0,5.02,-47870.328125,235,9.097618103027344,1867,84094,0.001,60.50361251831055
