train/critic_loss,train/learning_rate,train/ent_coef,time/episodes,train/actor_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/ent_coef_loss,time/total_timesteps
32454392.0,0.0055,58.028350830078125,71,41660.6953125,134.25352112676057,326,30,-2108117.406953478,2474,-58.14060974121094,10000
19776642.0,0.0055,77.17485046386719,182,20863.14453125,86.02,324,61,-140718.11220528,4974,3.2910776138305664,20000
28753648.0,0.0055,62.558204650878906,220,10309.484375,147.01,323,92,-128321.02382686999,7474,6.201066970825195,30000
15188745.0,0.0055,39.88981246948242,249,7625.537109375,230.66,323,123,-165953.66933040996,9974,8.968242645263672,40000
12087266.0,0.0055,21.346282958984375,284,2655.81982421875,287.28,323,154,-241997.94321755003,12474,-1.9850342273712158,50000
14192126.0,0.0055,45.93009567260742,349,13752.8173828125,201.03,323,185,-470139.1004870199,14974,14.945476531982422,60000
58516436.0,0.0055,27.616918563842773,386,5544.77978515625,197.97,323,216,-443289.28295597003,17474,-1.9985820055007935,70000
38192244.0,0.0055,32.4675407409668,447,-81.06936645507812,217.12,323,247,-248200.17687829,19974,1.6265238523483276,80000
92724832.0,0.0055,40.550411224365234,496,-191.12673950195312,191.15,323,278,-245709.23018414996,22474,2.5532748699188232,90000
24339384.0,0.0055,34.433956146240234,522,-440.1271057128906,234.88,324,308,-275825.91659023,24974,-0.1768369972705841,100000
14048606.0,0.0055,72.49947357177734,552,-3256.101318359375,280.94,326,337,-319811.59357761004,27474,5.523310661315918,110000
39779200.0,0.0055,32.9002571105957,571,3809.688720703125,323.3,326,367,-495953.17436033,29974,-6.163252830505371,120000
35291944.0,0.0055,158.56369018554688,595,9250.83203125,403.43,326,397,-751840.8042471398,32474,38.866790771484375,130000
17333648.0,0.0055,24.993688583374023,604,-1141.015869140625,446.93,326,428,-728969.22927872,34974,-6.444741249084473,140000
13375072.0,0.0055,26.458654403686523,628,-2710.82421875,460.62,326,459,-702100.1433747602,37474,5.919654846191406,150000
9090751.0,0.0055,58.59040451049805,646,40117.63671875,499.31,328,487,-1183748.98959322,39974,-49.30536651611328,160000
30926408.0,0.0055,56.93064880371094,678,18932.2421875,465.41,329,516,-1296365.62840206,42474,1.7659735679626465,170000
17389784.0,0.0055,122.90320587158203,722,26020.013671875,331.14,329,546,-1393780.14466264,44974,7.800706386566162,180000
9842484.0,0.0055,20.918041229248047,738,3295.68017578125,331.14,329,576,-1302784.32265914,47474,-3.4124791622161865,190000
69121360.0,0.0055,20.332082748413086,753,4467.61767578125,364.08,329,606,-588944.5747098001,49974,-0.6931725740432739,200000
11337165.0,0.0055,78.49835968017578,778,-52025.4921875,397.36,329,637,-617078.30305636,52474,12.964442253112793,210000
3260650.0,0.0055,14.450936317443848,790,3892.016845703125,459.64,329,668,-794273.9470161201,54974,0.14122724533081055,220000
5787388.0,0.0055,12.999075889587402,806,11298.65625,520.71,329,697,-907277.8925677899,57474,0.9311565160751343,230000
4514501.0,0.0055,17.258235931396484,820,1585.8404541015625,595.14,328,730,-866593.75342807,59974,-0.760589599609375,240000
2611368.25,0.0055,10.930581092834473,834,146.189208984375,623.66,327,763,-871240.21444164,62474,-0.6736994981765747,250000
1979944.5,0.0055,10.982336044311523,848,1968.88037109375,620.08,326,796,-946843.74461778,64974,-3.9959096908569336,260000
4430602.0,0.0055,57.70716094970703,894,29811.498046875,460.78,325,829,-965661.62716864,67474,27.757780075073242,270000
24228736.0,0.0055,20.0621337890625,907,22055.10546875,493.49,326,858,-679335.3938634,69974,-0.1479969024658203,280000
12774535.0,0.0055,31.04730796813965,924,4863.365234375,470.11,326,889,-722393.8541704498,72474,-5.945088863372803,290000
12850587.0,0.0055,82.51020050048828,942,4818.01708984375,455.86,325,922,-931555.6951680301,74974,7.5573015213012695,300000
12518578.0,0.0055,34.80488967895508,996,39272.18359375,385.13,324,955,-1149891.2308818402,77474,20.748790740966797,310000
10274112.0,0.0055,33.13784408569336,1030,16615.3046875,261.89,323,988,-963920.1756556402,79974,-2.544708728790283,320000
67765776.0,0.0055,64.62054443359375,1041,30476.162109375,283.99,323,1021,-855672.70920839,82474,23.990806579589844,330000
4414094.0,0.0055,25.595312118530273,1060,12055.1279296875,338.62,322,1054,-709340.7743830701,84974,-5.015135765075684,340000
82588296.0,0.0055,97.77787780761719,1078,335257.53125,445.57,321,1087,-711340.98335777,87474,-399.01220703125,350000
11850268672.0,0.0055,17808.42578125,1103,667974.125,489.94,321,1120,-1910431.2301070602,89974,132.02200317382812,360000
2938326016.0,0.0055,2514.07666015625,1133,395698.6875,468.92,321,1149,-2508013.05094459,92474,98.50617980957031,370000
432943744.0,0.0055,293.48431396484375,1161,256720.5,402.2,322,1179,-3011977.082479069,94974,15.333605766296387,380000
56339336.0,0.0055,51.29185485839844,1182,122377.015625,377.55,321,1211,-3224813.01314391,97474,21.060394287109375,390000
96481808.0,0.0055,16.8157901763916,1194,39243.1015625,427.94,321,1244,-2089441.47209728,99974,-0.024668574333190918,400000
38788936.0,0.0055,53.896217346191406,1215,66603.34375,478.54,320,1281,-1929826.39276567,102474,5.926441192626953,410000
33981600.0,0.0055,13.076057434082031,1230,53828.2734375,517.26,319,1316,-1683268.3691084299,104974,1.856742262840271,420000
21082138.0,0.0055,9.138011932373047,1245,39970.67578125,528.91,319,1347,-1136289.47369255,107474,7.700581073760986,430000
17133146.0,0.0055,212.7270050048828,1266,52949.57421875,554.98,318,1381,-1256794.04491901,109974,32.112735748291016,440000
3336251648.0,0.0055,1371.166015625,1293,576865.25,518.21,317,1418,-1752074.61774226,112474,-130.50802612304688,450000
33448198668288.0,0.0055,275146.1875,1332,7959360.5,405.55,317,1450,-3159459.07999477,114974,-222.753662109375,460000
309230141440.0,0.0055,118328.40625,1408,1880135.0,171.78,317,1482,-2010453.74334702,117474,106.06768798828125,470000
22449688576.0,0.0055,11533.775390625,1471,1825108.625,146.07,316,1517,-822411.68951306,119974,127.71903991699219,480000
32502237184.0,0.0055,386.401611328125,1520,1500416.25,166.16,315,1554,-1490548.5547455503,122474,71.06498718261719,490000
20387614720.0,0.0055,8268.3896484375,1568,1475580.25,213.61,314,1591,-3236941.33801078,124974,-241.09457397460938,500000
1900437307392.0,0.0055,108921.8359375,1587,5026929.0,243.7,313,1628,-4491459.350578621,127474,13.970039367675781,510000
109430980608.0,0.0055,16518.439453125,1762,2838428.0,46.67,312,1665,-397288.49672442,129974,80.69479370117188,520000
15104493568.0,0.0055,2391.231689453125,2002,2280079.5,35.74,311,1702,-394964.9090415,132474,2.1837735176086426,530000
23401824256.0,0.0055,385.2052917480469,2132,1952002.5,70.69,310,1739,-1157514.5868241102,134974,38.0911865234375,540000
49198051328.0,0.0055,13232.7216796875,2329,2032735.5,30.96,309,1776,-351278.77786428,137474,-97.1995849609375,550000
299851120640.0,0.0055,54652.41015625,2396,2841883.0,102.67,308,1813,-1339397.52519944,139974,27.367874145507812,560000
111530606592.0,0.0055,8186.896484375,2805,2546203.0,32.4,308,1850,-362435.21611354,142474,28.650245666503906,570000
38584508416.0,0.0055,1891.798583984375,3121,2010153.875,30.84,307,1887,-376597.73682372004,144974,60.5676383972168,580000
9669767168.0,0.0055,47.73786926269531,3622,1110979.5,20.05,306,1924,-382360.8,147474,3.8949689865112305,590000
5962841088.0,0.0055,399.4592590332031,4161,882096.1875,6.41,305,1961,-115805.4,149974,27.485118865966797,600000
1387647616.0,0.0055,212.72325134277344,5122,654826.25,5.51,305,1998,-108412.7,152474,21.969989776611328,610000
2214751744.0,0.0055,1507.555908203125,6511,503083.8125,24.8,304,2035,-615935.2174186,154974,-24.506267547607422,620000
45326041088.0,0.0055,7911.54296875,6708,3604011.25,64.67,303,2072,-991073.7976557899,157474,-70.82688903808594,630000
4216844800.0,0.0055,711.9219970703125,6896,614937.3125,55.19,303,2110,-1011760.7034237799,159974,52.374732971191406,640000
624929280.0,0.0055,79.48480987548828,7696,506754.8125,10.51,302,2147,-122501.3,162474,28.90009307861328,650000
309747840.0,0.0055,77.00465393066406,8488,317795.21875,18.66,302,2184,-327875.33440374,164974,-113.23550415039062,660000
