rollout/ep_len_mean,train/n_updates,time/episodes,time/fps,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,train/actor_loss,time/time_elapsed,train/critic_loss
3.46,2474,1632,138,0.0064,10000,-142758.19759619999,116.43506622314453,4.154024600982666,227483.1875,71,4961.35205078125
3.05,4974,4603,136,0.0064,20000,-133480.39977793,99.1989974975586,1.8080458641052246,210027.78125,146,4762.17626953125
3.0,7474,7933,135,0.0064,30000,-129938.65261848997,51.53196716308594,0.3093715310096741,191906.90625,220,3559.18359375
3.03,9974,11264,135,0.0064,40000,-127457.06524400001,48.19585418701172,-2.6880414485931396,170342.28125,294,2199.927978515625
3.03,12474,14579,135,0.0064,50000,-126487.37310561001,53.715965270996094,-5.423861980438232,145474.015625,369,1629.1522216796875
3.1,14974,17817,134,0.0064,60000,-127733.02495558001,53.43143844604492,0.30372411012649536,144884.640625,445,1643.452880859375
3.17,17474,20943,134,0.0064,70000,-129364.23712946002,50.700462341308594,0.3199599087238312,137154.203125,521,1462.4849853515625
3.03,19974,24125,134,0.0064,80000,-125349.05533732999,39.654781341552734,0.4180879592895508,108006.75,596,1019.6859741210938
3.01,22474,27444,133,0.0064,90000,-125039.88554048,37.64955520629883,1.8925788402557373,107937.4765625,672,599.7388305664062
3.0,24974,30770,133,0.0064,100000,-124743.38295851,36.611907958984375,-2.016047954559326,108135.53125,749,622.7451171875
3.0,27474,34100,133,0.0064,110000,-124707.18089869001,35.21685028076172,1.1995166540145874,107921.5390625,826,558.531494140625
3.01,29974,37432,132,0.0064,120000,-124820.96024987,35.20457458496094,3.295149326324463,108131.0078125,903,509.2134094238281
3.01,32474,40764,132,0.0064,130000,-124905.28953613002,33.65890884399414,1.1741344928741455,106765.03125,980,398.6516418457031
3.0,34974,44094,132,0.0064,140000,-124651.60860633005,26.75679588317871,-3.5076823234558105,107435.9375,1057,255.95970153808594
