train/n_updates,train/kl_divergence_loss,rollout/ep_rew_mean,train/policy_objective,time/fps,train/learning_rate,rollout/ep_len_mean,train/is_line_search_success,train/std,time/time_elapsed,train/value_loss,time/total_timesteps,train/explained_variance
1,0.005679029040038586,-304656.23625166,0.06367708742618561,1618,0.001,77.78,1.0,1.0004593133926392,6,4239331135.2,10000,6.556510925292969e-07
2,0.004999324679374695,-223206.68540384003,0.05762932449579239,1611,0.001,65.42,1.0,0.9950073957443237,12,3269881309.2,20000,-1.1920928955078125e-07
3,0.004456778522580862,-170873.43640833997,0.03862588852643967,1602,0.001,58.56,1.0,0.9934791922569275,18,2693420669.4,30000,1.1920928955078125e-07
4,0.004533728118985891,-203730.79154135997,0.042559798806905746,1596,0.001,71.79,1.0,0.9831668138504028,25,2490790885.8,40000,1.1920928955078125e-07
6,0.004498483147472143,-165085.37164730002,0.05241590365767479,1524,0.001,61.82,1.0,0.969212532043457,32,2183907648.2,50000,-1.1920928955078125e-07
7,0.00453175138682127,-158655.94270098,0.051171112805604935,1533,0.001,60.5,1.0,0.9669377207756042,39,2157460310.4,60000,0.0
8,0.004871204029768705,-166755.33047393,0.05231475830078125,1540,0.001,68.04,1.0,0.961005449295044,45,2152955498.4,70000,1.7881393432617188e-07
9,0.004878221079707146,-147532.60788553,0.05155925825238228,1546,0.001,60.16,1.0,0.9498770833015442,51,2175380800.8,80000,-1.1920928955078125e-07
10,0.005549844354391098,-165278.96763695998,0.054849300533533096,1550,0.001,70.25,1.0,0.951593279838562,58,1899749419.4,90000,0.0
12,0.0048315441235899925,-150741.71986408,0.050871796905994415,1519,0.001,61.32,1.0,0.9502849578857422,65,1895868610.0,100000,0.0
13,0.005308834370225668,-136378.80378645996,0.05260537937283516,1524,0.001,58.64,1.0,0.9472901225090027,72,1851695693.4,110000,0.0
14,0.005137896165251732,-141791.42642224,0.0488944873213768,1528,0.001,67.22,1.0,0.9429156184196472,78,1762587319.4,120000,0.0
15,0.0053887446410954,-147917.60606578,0.058700352907180786,1531,0.001,72.19,1.0,0.937423586845398,84,1719683786.4,130000,1.1920928955078125e-07
17,0.005499564576894045,-156609.74048174,0.05726794898509979,1511,0.001,88.87,1.0,0.928534746170044,92,1371555967.7,140000,-1.1920928955078125e-07
18,0.005418699700385332,-154366.99340221,0.059082988649606705,1515,0.001,91.68,1.0,0.9171791076660156,98,1293900617.7,150000,-1.1920928955078125e-07
19,0.005698464810848236,-151010.91726147,0.05749524384737015,1520,0.001,99.74,1.0,0.9116856455802917,105,1223985666.8,160000,0.0
20,0.006117982789874077,-133913.94641536998,0.059393689036369324,1523,0.001,95.02,1.0,0.906606912612915,111,1194280164.1,170000,0.0
21,0.0055151041597127914,-158464.45000771,0.05449943244457245,1527,0.001,120.57,1.0,0.8905252814292908,117,1068676798.0,180000,0.0
23,0.006538385525345802,-157088.61299363,0.06020394712686539,1515,0.001,138.27,1.0,0.8819382786750793,125,823293009.3,190000,0.0
24,0.006402917206287384,-174248.92786727997,0.05582049861550331,1521,0.001,170.28,1.0,0.8789128661155701,131,652535332.45,200000,0.0
25,0.006804853677749634,-187022.17434036,0.06401196122169495,1525,0.001,209.52,1.0,0.8670544624328613,137,553917519.625,210000,0.0
