train/n_updates,train/kl_divergence_loss,rollout/ep_rew_mean,train/policy_objective,time/fps,train/learning_rate,rollout/ep_len_mean,train/is_line_search_success,train/std,time/time_elapsed,train/value_loss,time/total_timesteps,train/explained_variance
26,0.0082022026181221,-190613.23031726002,0.05388164520263672,1529,0.001,242.84,1.0,0.8665200471878052,143,469474049.525,220000,1.1920928955078125e-07
28,0.006342498119920492,-201881.53827132002,0.06249886006116867,1518,0.001,300.62,1.0,0.8512290120124817,151,276114288.275,230000,0.0
29,0.005673549138009548,-204683.76862212003,0.052853282541036606,1521,0.001,352.27,1.0,0.8450749516487122,157,201512030.4625,240000,0.0
30,0.007452039048075676,-204179.90486416005,0.06428145617246628,1525,0.001,421.42,1.0,0.8325715661048889,163,153528105.5625,250000,0.0
31,0.007233515381813049,-201929.72424327998,0.060701318085193634,1528,0.001,492.51,1.0,0.8239960074424744,170,81665837.2453125,260000,0.0
32,0.008520225062966347,-187788.66664412,0.055893391370773315,1531,0.001,566.42,1.0,0.8140243887901306,176,32471784.0671875,270000,0.0
34,0.006019607186317444,-170058.79165128001,0.047592561691999435,1522,0.001,621.46,1.0,0.8069596290588379,183,19299133.738671876,280000,0.0
35,0.007879959419369698,-151392.58397918,0.06184232234954834,1525,0.001,689.03,1.0,0.8035187721252441,190,4611255.20234375,290000,1.1920928955078125e-07
36,0.0073416586965322495,-136929.76102163,0.048775073140859604,1527,0.001,751.93,1.0,0.7935148477554321,196,15795525.754882812,300000,-1.1920928955078125e-07
37,0.007734703365713358,-115297.94911830999,0.06425587832927704,1529,0.001,802.06,1.0,0.7977960705757141,202,3911305.678027344,310000,-1.1920928955078125e-07
39,0.007731853052973747,-98514.81433563,0.049293700605630875,1520,0.001,865.64,1.0,0.7931190133094788,210,27614009.210351564,320000,0.0
40,0.007938412018120289,-82859.41474481,0.044399745762348175,1522,0.001,885.03,1.0,0.7921819090843201,216,25167031.01738281,330000,5.960464477539063e-08
41,0.008900613524019718,-68096.74747357999,0.06418294459581375,1525,0.001,931.63,1.0,0.7936288714408875,222,1606437.5599609376,340000,0.0
42,0.008147201500833035,-56677.084509379994,0.055563461035490036,1527,0.001,955.82,1.0,0.7965800166130066,229,2970127.953222656,350000,0.0
43,0.006393056828528643,-52111.6180896,0.05033877119421959,1529,0.001,946.83,1.0,0.7943175435066223,235,26569663.545703124,360000,0.0
45,0.008567225188016891,-48704.26379416001,0.05278861150145531,1521,0.001,951.86,1.0,0.7823636531829834,243,3607332.36171875,370000,0.0
46,0.00728971092030406,-45527.19701676,0.038170333951711655,1523,0.001,958.91,1.0,0.783291757106781,249,12208665.776953125,380000,0.0
47,0.007340418174862862,-44177.93062138001,0.05259540304541588,1525,0.001,950.36,1.0,0.7845185995101929,255,1476232.0629882812,390000,5.960464477539063e-08
48,0.009010696783661842,-43388.67171332001,0.028824690729379654,1527,0.001,952.76,1.0,0.7867960333824158,261,20499271.425976563,400000,0.0
50,0.007273868657648563,-41284.242496210005,0.0621790736913681,1522,0.001,954.52,1.0,0.7906783223152161,269,3463099.976171875,410000,2.384185791015625e-07
51,0.007315975148230791,-39715.92541472,0.06406398117542267,1524,0.001,959.72,1.0,0.7874100804328918,275,2400806.7357421876,420000,0.0
52,0.007235528901219368,-38851.82708839,0.04249130189418793,1526,0.001,956.98,1.0,0.7859258651733398,281,13631331.395117188,430000,0.0
53,0.007486432790756226,-39712.7869261,0.07705359160900116,1528,0.001,956.98,1.0,0.7839794158935547,287,2116691.8235351564,440000,-1.1920928955078125e-07
54,0.0071331835351884365,-37216.572155949994,0.0820622593164444,1529,0.001,960.75,1.0,0.7851852178573608,294,2027161.13828125,450000,-1.1920928955078125e-07
56,0.008438208140432835,-36747.53875183,0.08871692419052124,1523,0.001,957.58,1.0,0.7850925326347351,301,2950826.4915039064,460000,0.0
57,0.0073719024658203125,-35680.583471339996,0.0794965922832489,1525,0.001,959.41,1.0,0.7858938574790955,308,9035264.977734376,470000,1.1920928955078125e-07
58,0.0085091358050704,-36772.566254850004,0.05760427564382553,1526,0.001,959.41,1.0,0.7904574275016785,314,3047768.7284667967,480000,-1.1920928955078125e-07
59,0.007267446257174015,-35819.38054638,0.03688843175768852,1527,0.001,975.54,1.0,0.7822353839874268,320,2397960.589550781,490000,0.0
61,0.007988648489117622,-35138.59267913,0.04839682579040527,1521,0.001,975.64,1.0,0.7796885371208191,328,13191999.966308594,500000,5.960464477539063e-08
62,0.007386891171336174,-33983.26530589001,0.08283862471580505,1523,0.001,975.64,1.0,0.7785050868988037,334,2277633.0409667967,510000,0.0
63,0.007224487140774727,-33180.65806679,0.04481269046664238,1524,0.001,985.46,1.0,0.7763527035713196,341,2890260.5279785157,520000,0.0
64,0.008341529406607151,-31944.250626700003,0.07693423330783844,1525,0.001,985.46,1.0,0.7770528793334961,347,2440669.666455078,530000,1.1920928955078125e-07
65,0.008168377913534641,-32680.645736970004,0.0770241916179657,1526,0.001,985.46,1.0,0.7774248719215393,353,6005461.947460937,540000,5.960464477539063e-08
67,0.008789004758000374,-33401.95487008,0.09927269071340561,1521,0.001,985.46,1.0,0.7789521813392639,361,3755859.3853027346,550000,5.960464477539063e-08
68,0.009044691920280457,-32378.704914289996,0.09196674823760986,1522,0.001,995.38,1.0,0.7777684926986694,367,1979964.0740234375,560000,5.960464477539063e-08
69,0.006949934642761946,-32080.21361563,0.12620466947555542,1523,0.001,995.38,1.0,0.7749933004379272,374,2252324.969042969,570000,0.0
70,0.008049060590565205,-31455.321413479996,0.064325250685215,1524,0.001,995.38,1.0,0.770156979560852,380,2381797.435839844,580000,0.0
72,0.008220975287258625,-31325.65604226,0.11233608424663544,1519,0.001,995.38,1.0,0.7690708041191101,388,2208885.4440429686,590000,0.0
73,0.007661224342882633,-29502.926907859997,0.0806848481297493,1520,0.001,987.88,1.0,0.7794846296310425,394,21310163.603222657,600000,0.0
74,0.0077972859144210815,-32529.933975680004,0.06978120654821396,1521,0.001,987.88,1.0,0.7750891447067261,400,7439684.309179688,610000,0.0
75,0.00776333175599575,-32954.21571668,0.0897597223520279,1521,0.001,987.88,1.0,0.7732622623443604,407,1701798.426245117,620000,0.0
76,0.006293481215834618,-33077.31895614001,0.04544119909405708,1521,0.001,987.88,1.0,0.7692950963973999,413,2253595.6353027346,630000,-1.1920928955078125e-07
78,0.008141043595969677,-32161.92009635,0.04716774448752403,1517,0.001,987.88,1.0,0.7659043073654175,421,2228509.1701660156,640000,0.0
79,0.006732053589075804,-31833.341782630003,0.08386813849210739,1517,0.001,987.88,1.0,0.7696431279182434,428,2026540.7979736328,650000,0.0
80,0.008048714138567448,-32429.218965269996,0.09874570369720459,1517,0.001,987.88,1.0,0.7628336548805237,434,2529309.2810546877,660000,0.0
81,0.00739834550768137,-33003.171684969995,0.07230046391487122,1517,0.001,987.88,1.0,0.7613537907600403,441,2403069.8671875,670000,0.0
83,0.008243818767368793,-32477.312610570003,0.14205355942249298,1513,0.001,987.88,1.0,0.7649300694465637,449,1950430.8835205077,680000,5.960464477539063e-08
84,0.007117928937077522,-33959.80022081,0.04361194372177124,1513,0.001,968.53,1.0,0.7640702724456787,455,19942768.876660157,690000,1.1920928955078125e-07
85,0.007840652950108051,-35617.30574099001,0.0543459877371788,1514,0.001,941.69,1.0,0.7616294622421265,462,34918863.712646484,700000,-1.1920928955078125e-07
86,0.008234329521656036,-35999.93447634,0.10282842069864273,1514,0.001,941.69,1.0,0.7605578899383545,468,2041280.5080322265,710000,5.960464477539063e-08
87,0.007830845192074776,-37042.486914559995,0.08426301926374435,1514,0.001,912.2,1.0,0.7584182024002075,475,2297630.9734375,720000,0.0
89,0.008824191056191921,-33681.79973702,0.057638924568891525,1510,0.001,819.03,1.0,0.7547266483306885,483,98213986.28515625,730000,0.0
90,0.007516170386224985,-36828.29896322,0.10105767101049423,1511,0.001,733.5,1.0,0.7495982646942139,489,2524572.6876953123,740000,0.0
91,0.007834753021597862,-36495.22757693999,0.06883743405342102,1511,0.001,686.95,1.0,0.7477084994316101,496,103880266.20351562,750000,0.0
92,0.007484137080609798,-32333.852564269997,0.059187326580286026,1512,0.001,688.04,1.0,0.751213014125824,502,24341420.51738281,760000,0.0
93,0.008664070628583431,-27674.231918589998,0.05770930275321007,1512,0.001,647.28,1.0,0.7506327033042908,509,33557844.48666992,770000,0.0
95,0.009316843003034592,-27775.132125780005,0.03518330305814743,1508,0.001,640.08,1.0,0.7537011504173279,517,15440144.6828125,780000,0.0
96,0.008016372099518776,-29347.585620230002,0.042454808950424194,1509,0.001,680.69,1.0,0.7538098692893982,523,31103662.260742188,790000,0.0
97,0.007463804446160793,-32344.506912350003,0.08575384318828583,1509,0.001,719.48,1.0,0.7561972141265869,529,2166035.334765625,800000,0.0
98,0.009585323743522167,-33692.454490410004,0.06779337674379349,1510,0.001,733.87,1.0,0.7532660961151123,536,1830858.4092529297,810000,0.0
100,0.008079980500042439,-31790.496882909993,0.10438860952854156,1507,0.001,789.9,1.0,0.7516084313392639,544,1946882.2750488282,820000,0.0
101,0.006385556422173977,-30048.344065090005,0.034680794924497604,1507,0.001,850.87,1.0,0.7487030029296875,550,11834719.3111084,830000,0.0
102,0.007977478206157684,-35939.56644733,0.04805692285299301,1508,0.001,866.5,1.0,0.7496515512466431,556,11557638.731445312,840000,0.0
103,0.008695174008607864,-38733.58302338,0.16068683564662933,1508,0.001,874.12,1.0,0.7496448159217834,563,1843775.1887939454,850000,0.0
104,0.008352857083082199,-40752.3533701,0.041989486664533615,1509,0.001,935.54,1.0,0.7501471042633057,569,12334003.352856446,860000,0.0
106,0.007350267842411995,-41978.27183184,0.10404683649539948,1506,0.001,970.89,1.0,0.749657392501831,577,1542235.0077148438,870000,0.0
107,0.00958425272256136,-42439.33480683,0.07312202453613281,1507,0.001,980.09,1.0,0.749526858329773,583,1574014.9767822265,880000,0.0
108,0.006721567828208208,-38920.15056484,0.05647798255085945,1507,0.001,989.91,1.0,0.7497497797012329,590,1722963.562109375,890000,1.1920928955078125e-07
109,0.00899646058678627,-37735.1990656,0.15914715826511383,1508,0.001,989.91,1.0,0.7493648529052734,596,2205026.9845947265,900000,0.0
111,0.008513074368238449,-37632.395043309996,0.07259899377822876,1505,0.001,989.91,1.0,0.7468565106391907,604,2412394.77175293,910000,0.0
112,0.007130041718482971,-38210.52582669,0.03593909740447998,1505,0.001,984.77,1.0,0.7478107810020447,610,12288984.253564453,920000,0.0
113,0.007283979095518589,-37229.98684843,0.07630540430545807,1506,0.001,990.61,1.0,0.7495442628860474,617,1713372.573852539,930000,0.0
114,0.007709104102104902,-34621.832986400004,0.06574749201536179,1506,0.001,981.02,1.0,0.7512168288230896,623,2056430.7170654298,940000,0.0
115,0.007922488264739513,-33479.614411020004,0.0464966855943203,1507,0.001,985.27,1.0,0.7528740763664246,630,10761622.840161134,950000,0.0
117,0.007349086459726095,-34605.29708781999,0.04294713959097862,1504,0.001,975.48,1.0,0.7501817345619202,638,16680523.116821289,960000,0.0
118,0.007698092143982649,-35769.67527258999,0.04171482101082802,1504,0.001,975.48,1.0,0.7475420832633972,644,2482956.07980957,970000,0.0
119,0.008551269769668579,-36439.94934952,0.046308066695928574,1505,0.001,955.65,1.0,0.7480036616325378,651,14754295.07109375,980000,-1.1920928955078125e-07
120,0.007513843476772308,-39694.097113,0.06699610501527786,1505,0.001,935.36,1.0,0.7466595768928528,657,3253616.778125,990000,0.0
122,0.008467468433082104,-40207.7848262,0.062080953270196915,1503,0.001,935.36,1.0,0.7494011521339417,665,3328703.2662963867,1000000,0.0
