train/value_loss,rollout/ep_len_mean,train/std,train/approx_kl,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_range,time/fps,time/total_timesteps
2943001590.3,95.89,1.010414481163025,0.005692945,-376383.82880379,10,0.0017,0.02974853515625,-1.9073486328125e-06,-12.82054450288415,-0.007052099307838944,10,1450288256.0,0.2,997,10000
2780831622.1,68.23,1.0222561359405518,0.004094851,-271527.92701662006,20,0.0017,0.01507568359375,2.384185791015625e-07,-12.919720594584941,-0.004732820068420551,20,1155119104.0,0.2,996,20000
2681671857.8,76.75,1.0314499139785767,0.0055773794,-283439.56265907997,30,0.0017,0.03551025390625,-1.1920928955078125e-07,-13.013093629479409,-0.0056431743876601105,30,1329442304.0,0.2,996,30000
2546699019.3,84.22,1.042636752128601,0.0036927839,-280155.99975377996,40,0.0017,0.01143798828125,0.0,-13.10096238926053,-0.003521627165537211,40,1353341056.0,0.2,996,40000
2335422464.6,73.3,1.0664479732513428,0.004157766,-254615.09303463998,55,0.0017,0.01688232421875,0.0,-13.307693951576947,-0.0036587828950359834,60,1054502336.0,0.2,908,50000
2269762632.1,72.69,1.0793215036392212,0.0038514445,-248051.65919862,65,0.0017,0.01473388671875,1.1920928955078125e-07,-13.407555095851421,-0.003311031965313305,70,911505088.0,0.2,921,60000
2295935219.4,66.87,1.088072657585144,0.00574805,-233052.89916882,75,0.0017,0.03087158203125,0.0,-13.497090636193752,-0.005199736707618285,80,1046759040.0,0.2,931,70000
2250181983.2,78.36,1.1004924774169922,0.0046337117,-276166.22540786007,85,0.0017,0.01845703125,-1.1920928955078125e-07,-13.58468717560172,-0.003789430419783457,90,1000707136.0,0.2,939,80000
2339267141.2,61.25,1.1112971305847168,0.004763943,-212885.55698353,95,0.0017,0.02109375,0.0,-13.678821099549532,-0.004001836818315496,100,1230316928.0,0.2,944,90000
2123366909.6,64.84,1.1353468894958496,0.0047243647,-223826.20439770006,110,0.0017,0.0233154296875,1.1920928955078125e-07,-13.868971137702465,-0.00368021132726426,120,878017088.0,0.2,905,100000
2144276043.5,67.46,1.1505802869796753,0.004854381,-230518.19636485004,120,0.0017,0.01781005859375,-2.384185791015625e-07,-13.976636979728937,-0.004173937043378828,130,816254784.0,0.2,909,110000
