time/episodes,time/fps,train/ent_coef_loss,rollout/ep_rew_mean,train/n_updates,train/actor_loss,time/total_timesteps,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,train/learning_rate
269,175,-53.200199127197266,-1401949.26109782,2474,-1403.244384765625,10000,2.502394914627075,191359040.0,40.16,56,0.001
976,174,-92.8148193359375,-198718.64077885,4974,7925.0751953125,20000,6.003232479095459,96003176.0,17.03,114,0.001
2104,169,-80.00626373291016,41545.112920420004,7474,16319.62109375,30000,11.349005699157715,97882144.0,7.71,176,0.001
3449,168,-79.09282684326172,59635.3,9974,9308.314453125,40000,20.756685256958008,89731032.0,7.06,237,0.001
4881,166,-67.642333984375,62859.6147604,12474,113.8245849609375,50000,35.96804428100586,74303656.0,7.01,299,0.001
6352,167,-47.762245178222656,65813.29146021,14974,345.78314208984375,60000,58.756980895996094,110248368.0,6.65,359,0.001
7919,166,-31.992107391357422,71082.2,17474,-23471.359375,70000,90.5342025756836,71788336.0,6.02,419,0.001
9583,165,-19.77973175048828,73196.5,19974,-29804.3671875,80000,129.23788452148438,62394756.0,6.0,483,0.001
11251,164,-7.022366523742676,73202.8,22474,-30564.6484375,90000,160.06625366210938,27550524.0,6.0,548,0.001
12915,164,1.145029902458191,73309.1,24974,-33682.90234375,100000,170.8340606689453,25149310.0,6.0,608,0.001
14579,164,4.336185455322266,72998.3,27474,-42480.25390625,110000,160.18887329101562,23051658.0,6.0,668,0.001
16244,165,-3.8631951808929443,72800.48559528,29974,-41296.6796875,120000,140.08145141601562,23746966.0,6.01,724,0.001
17910,166,2.3603575229644775,73206.4,32474,-47408.96484375,130000,122.1420669555664,24226990.0,6.0,780,0.001
19576,166,-0.9535960555076599,73308.2,34974,-44782.859375,140000,105.27412414550781,89179728.0,6.0,839,0.001
21243,167,1.5614466667175293,73103.7,37474,-59639.92578125,150000,93.37770080566406,17915508.0,6.0,895,0.001
22909,167,-1.5380141735076904,73101.0,39974,-51443.4609375,160000,83.03224182128906,10901666.0,6.0,952,0.001
24575,168,0.5165096521377563,73194.7,42474,-56693.15625,170000,82.45635986328125,14632146.0,6.0,1010,0.001
26241,168,-2.1417922973632812,73310.0,44974,-58869.640625,180000,71.9168701171875,46335844.0,6.0,1067,0.001
27907,167,-3.7060353755950928,73302.8,47474,-61187.4921875,190000,63.15130615234375,65275848.0,6.0,1131,0.001
29574,167,-0.7815719842910767,73306.4,49974,-65390.24609375,200000,62.690162658691406,23820992.0,6.0,1196,0.001
31240,167,0.12921904027462006,73304.6,52474,-63391.453125,210000,56.89599609375,8139873.0,6.0,1254,0.001
32904,167,0.5568554997444153,73301.0,54974,-62536.9609375,220000,54.36981201171875,12418866.0,6.0,1314,0.001
34570,166,-1.6253890991210938,73300.1,57474,-67681.765625,230000,53.16417694091797,6021248.0,6.0,1377,0.001
36236,166,-0.21143412590026855,73304.6,59974,-65656.984375,240000,49.12984085083008,12066732.0,6.0,1438,0.001
37903,166,0.6989607810974121,73306.4,62474,-68853.0546875,250000,48.49821090698242,4913662.0,6.0,1501,0.001
39570,166,-1.1681880950927734,73301.0,64974,-65087.3046875,260000,45.22187423706055,15572553.0,6.0,1566,0.001
41235,165,2.0845608711242676,73207.3,67474,-70899.46875,270000,45.08885192871094,9757786.0,6.0,1628,0.001
42898,166,0.0548548698425293,73105.5,69974,-64997.578125,280000,44.902828216552734,6148539.5,6.0,1685,0.001
44566,166,-1.3169853687286377,73295.6,72474,-71474.984375,290000,42.771358489990234,14942104.0,6.0,1744,0.001
46226,166,3.4242734909057617,73304.6,74974,-72820.890625,300000,39.571876525878906,10109636.0,6.0,1807,0.001
47892,165,0.6129252314567566,73088.5,77474,-71693.75,310000,38.24528503417969,5441782.0,6.02,1868,0.001
49558,166,2.8545944690704346,73301.9,79974,-74342.7890625,320000,37.33198547363281,5388383.5,6.0,1926,0.001
51222,165,1.8701331615447998,73303.7,82474,-73472.8359375,330000,34.540626525878906,6923839.0,6.0,1989,0.001
52889,165,1.6475133895874023,73098.8,84974,-74358.21875,340000,34.296897888183594,11038160.0,6.01,2054,0.001
54555,165,0.6498866081237793,73304.6,87474,-74817.421875,350000,35.206092834472656,6218214.0,6.0,2117,0.001
56221,165,-1.0034844875335693,73002.8,89974,-70532.28125,360000,35.487159729003906,5861432.0,6.0,2176,0.001
57886,165,6.571621894836426,73307.3,92474,-72626.5625,370000,32.54894256591797,6714209.0,6.0,2232,0.001
59553,165,1.778052568435669,73300.1,94974,-73699.75,380000,30.99788475036621,5765962.0,6.0,2292,0.001
61219,165,5.079731464385986,73001.48703460999,97474,-72524.734375,390000,31.322895050048828,8961324.0,6.03,2352,0.001
62884,165,0.7043696641921997,72698.42633389,99974,-74267.4375,400000,28.61480712890625,4557986.0,6.06,2414,0.001
64552,165,-0.5122857689857483,73007.3,102474,-72569.1875,410000,28.65094757080078,2297073.5,6.0,2479,0.001
66216,165,-1.0874724388122559,72291.4,104974,-74223.2734375,420000,28.24638557434082,3190247.0,6.06,2544,0.001
67866,164,-0.8850200176239014,72696.72039099,107474,-74137.875,430000,28.07232666015625,3881574.0,6.06,2609,0.001
69533,164,0.44430553913116455,73292.0,109974,-72541.25,440000,30.26421546936035,15098872.0,6.0,2676,0.001
71198,163,-4.205571174621582,73303.7,112474,-75200.6171875,450000,26.80829429626465,2929674.75,6.0,2746,0.001
72866,163,1.7835619449615479,73303.7,114974,-74180.2890625,460000,29.19182777404785,2652367.0,6.0,2809,0.001
74531,163,0.8434306383132935,73306.4,117474,-74395.078125,470000,25.216638565063477,3878481.5,6.0,2877,0.001
76186,162,2.654576301574707,72701.11061426,119974,-74258.4609375,480000,27.05843734741211,6521281.5,6.06,2950,0.001
77851,162,-2.426842212677002,73308.2,122474,-72120.40625,490000,23.203853607177734,5231627.0,6.0,3023,0.001
79518,161,1.675130844116211,73303.7,124974,-74688.03125,500000,22.932584762573242,2279231.0,6.0,3095,0.001
81185,161,0.46490275859832764,73310.0,127474,-74663.171875,510000,21.7158203125,27875284.0,6.0,3159,0.001
82845,161,2.976592540740967,71373.30065872,129974,-75040.078125,520000,23.298307418823242,27001190.0,6.15,3229,0.001
84513,160,-0.2399539351463318,73304.6,132474,-71622.90625,530000,20.99631118774414,1519746.75,6.0,3302,0.001
86179,160,-1.0095908641815186,73307.3,134974,-71280.5703125,540000,23.08478546142578,4945269.5,6.0,3368,0.001
87845,160,1.559551477432251,73308.2,137474,-74276.921875,550000,20.424074172973633,5270365.0,6.0,3430,0.001
89512,160,-0.08018779754638672,73308.2,139974,-76260.8125,560000,21.249309539794922,5313283.0,6.0,3492,0.001
91173,160,-2.9699857234954834,73307.3,142474,-75520.5625,570000,17.655187606811523,2480164.0,6.0,3556,0.001
92839,159,-1.1310579776763916,73298.3,144974,-73953.5859375,580000,20.032838821411133,5595395.0,6.0,3627,0.001
94503,159,1.4664775133132935,73292.0,147474,-74646.5625,590000,18.91356086730957,1647239.25,6.0,3696,0.001
96170,159,0.6316022276878357,73309.1,149974,-74621.7109375,600000,19.392362594604492,2581292.5,6.0,3758,0.001
97836,159,0.46059978008270264,73308.2,152474,-79155.359375,610000,19.54074478149414,2630781.0,6.0,3821,0.001
99503,159,4.269843101501465,73307.3,154974,-76857.9375,620000,18.565397262573242,3418422.5,6.0,3890,0.001
101168,159,2.715017318725586,73200.1,157474,-75102.5078125,630000,17.562015533447266,3246504.5,6.0,3962,0.001
102834,158,1.1052749156951904,73306.4,159974,-76456.296875,640000,18.455577850341797,686805.125,6.0,4030,0.001
104497,158,-3.654961347579956,73097.4,162474,-74871.984375,650000,18.9146785736084,2206444.25,6.0,4095,0.001
106165,158,-2.805943012237549,73298.3,164974,-73756.7109375,660000,16.533578872680664,1279244.25,6.0,4158,0.001
107830,158,-1.90614652633667,73309.1,167474,-74120.703125,670000,16.64177131652832,4238098.0,6.0,4222,0.001
109497,158,-0.9628480076789856,73309.1,169974,-75828.9765625,680000,17.568004608154297,1862507.25,6.0,4290,0.001
111164,158,-0.9060106873512268,73305.5,172474,-72166.71875,690000,16.84578514099121,2416827.5,6.0,4356,0.001
112830,158,1.998063325881958,73308.2,174974,-76407.265625,700000,15.609742164611816,1240549.0,6.0,4423,0.001
114495,158,-3.070429801940918,73306.4,177474,-73202.25,710000,17.195039749145508,6006435.0,6.0,4489,0.001
116161,157,2.3926191329956055,73309.1,179974,-73970.328125,720000,16.96029281616211,1868787.375,6.0,4557,0.001
117828,157,4.4615888595581055,73309.1,182474,-76623.515625,730000,15.786588668823242,3781407.0,6.0,4627,0.001
119490,157,-0.5732476115226746,73307.3,184974,-74706.75,740000,16.96515464782715,2062623.625,6.0,4690,0.001
121156,157,-4.84800910949707,73302.8,187474,-71120.046875,750000,15.447154998779297,1378943.75,6.0,4755,0.001
122823,157,1.6729494333267212,73296.5,189974,-76785.4296875,760000,16.070409774780273,2017626.25,6.0,4821,0.001
124489,157,-4.06927490234375,73308.2,192474,-72818.40625,770000,15.467365264892578,1335612.75,6.0,4883,0.001
126155,157,-6.549376964569092,73303.7,194974,-78315.0,780000,16.353593826293945,2682222.5,6.0,4945,0.001
127818,157,-7.480433464050293,73307.3,197474,-77264.71875,790000,17.02515983581543,1072617.125,6.0,5009,0.001
129484,157,0.9787896871566772,73301.9,199974,-74183.109375,800000,16.152740478515625,1367324.375,6.0,5075,0.001
131150,157,2.4776055812835693,73308.2,202474,-74834.34375,810000,15.48637580871582,1013725.0,6.0,5141,0.001
132818,157,-0.14217227697372437,73295.6,204974,-77472.84375,820000,18.496654510498047,644228.75,6.0,5206,0.001
134484,157,2.8730087280273438,73305.5,207474,-76574.140625,830000,16.884700775146484,5690497.0,6.0,5276,0.001
136150,157,-1.1999759674072266,73310.0,209974,-77364.84375,840000,15.138371467590332,13255451.0,6.0,5342,0.001
137817,157,-3.504168748855591,73301.0,212474,-74054.96875,850000,13.889973640441895,4631725.0,6.0,5405,0.001
139482,157,-4.015730857849121,73300.1,214974,-71229.9140625,860000,14.77334976196289,8880209.0,6.0,5475,0.001
141149,156,-1.1829026937484741,73301.9,217474,-75637.171875,870000,13.49169635772705,1919191.25,6.0,5544,0.001
142809,156,2.432053565979004,72276.3,219974,-76139.3984375,880000,15.507062911987305,816226.0,6.1,5613,0.001
144475,156,-0.869316816329956,73310.0,222474,-77915.8515625,890000,15.056024551391602,1412248.125,6.0,5679,0.001
146142,156,-0.5516307950019836,73309.1,224974,-76265.359375,900000,15.851530075073242,6206602.0,6.0,5745,0.001
147808,156,-0.4528751075267792,73306.4,227474,-75084.734375,910000,15.481698989868164,598393.875,6.0,5811,0.001
149471,156,4.6330180168151855,73310.0,229974,-78080.328125,920000,18.27240753173828,958006.0,6.0,5874,0.001
151139,156,-0.4379492998123169,73310.0,232474,-77485.453125,930000,14.316315650939941,2253086.0,6.0,5939,0.001
152798,156,3.9717235565185547,73293.8,234974,-77292.25,940000,13.89608383178711,1820394.5,6.0,6003,0.001
154464,156,-1.7826968431472778,73299.2,237474,-78635.0859375,950000,13.429458618164062,970434.5,6.0,6077,0.001
156130,156,2.35758638381958,73294.7,239974,-76672.875,960000,15.108473777770996,76278352.0,6.0,6147,0.001
157788,156,-1.6005998849868774,73303.7,242474,-78244.5625,970000,13.213146209716797,1565078.5,6.0,6215,0.001
159453,155,0.6745226383209229,73307.3,244974,-76186.171875,980000,16.30828094482422,4565438.0,6.0,6288,0.001
161119,155,-2.110481023788452,73199.2,247474,-77964.046875,990000,12.340276718139648,1339868.5,6.0,6353,0.001
162786,155,-0.2756953239440918,73305.5,249974,-75608.9765625,1000000,15.131014823913574,2887542.25,6.0,6418,0.001
