rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/step_size,rollout/return_std,train/learning_rate,train/iterations,train/delta_std
1000.0,229,-19680493.93079489,900000,3926,,,,,
1000.0,231,-19742079.618451003,910000,3926,,,,,
1000.0,234,-19770454.672957998,920000,3926,,,,,
1000.0,237,-19893300.0,930000,3922,1.3140180055160045e-09,171230.53125,0.0018,14,0.05
1000.0,239,-19800387.426537666,940000,3921,,,,,
1000.0,242,-18131142.273089502,950000,3921,,,,,
1000.0,244,-18572094.079334,960000,3921,,,,,
1000.0,247,-18905345.551396362,970000,3921,,,,,
929.5714285714286,249,-17598223.385147426,980000,3921,,,,,
1000.0,252,-19783525.453837,990000,3921,4.230499978108426e-11,5318520.0,0.0018,15,0.05
1000.0,254,-19130777.02859333,1000000,3921,,,,,
1000.0,257,-19489614.704393167,1010000,3921,,,,,
1000.0,260,-19524131.8636375,1020000,3920,,,,,
1000.0,262,-19612965.91396682,1030000,3920,,,,,
1000.0,265,-19652656.62311,1040000,3919,,,,,
