time/fps,time/total_timesteps,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,rollout/ep_rew_mean,train/std,train/loss,train/learning_rate,time/time_elapsed,train/clip_range,rollout/ep_len_mean,train/n_updates,train/clip_fraction
865,10000,-1.3113021850585938e-06,-0.00045839203939976867,-21.283980675041676,9.761484e-05,45990112972.8,-1398062.37951259,0.9999891519546509,21158901760.0,0.0003,11,0.2,95.59,10,0.0
879,20000,-1.1920928955078125e-07,-0.0005161016326383106,-21.284106753766537,0.000111115936,46869418409.6,-1691689.5051422399,1.0000141859054565,23326582784.0,0.0003,22,0.2,116.6,20,0.0
885,30000,-1.1920928955078125e-07,-0.0004990560068108607,-21.284764224290846,9.1376794e-05,47646251321.6,-1527577.3067261397,1.0000766515731812,23984896000.0,0.0003,33,0.2,104.38,30,0.0
889,40000,0.0,-0.0004584351968333067,-21.284766171872615,8.824981e-05,47462080864.0,-1610730.8876250398,1.0000169277191162,24603633664.0,0.0003,44,0.2,111.75,40,0.0
822,50000,1.1920928955078125e-07,-0.0008999967350973748,-21.284537306427957,0.0002052011,45750047801.6,-1533454.81464518,1.0000202655792236,23449804800.0,0.0003,60,0.2,105.39,60,0.0
834,60000,0.0,-0.00044615380002142044,-21.28383196145296,9.273366e-05,45897398329.6,-1613503.7278942803,0.9999457001686096,23868948480.0,0.0003,71,0.2,112.79,70,0.0
842,70000,1.1920928955078125e-07,-0.0007222218267997959,-21.283335039019583,0.00016726361,44526957638.4,-1401413.04990212,0.9999591708183289,24097155072.0,0.0003,83,0.2,97.0,80,0.0
849,80000,0.0,-0.0004851714787946548,-21.283489145338535,9.9710116e-05,46435577881.6,-1552314.45290288,0.9999618530273438,23379111936.0,0.0003,94,0.2,108.13,90,0.0
854,90000,0.0,-0.00036093763692406354,-21.28348260074854,6.789148e-05,45170138764.8,-1497012.26382073,0.999960720539093,22191730688.0,0.0003,105,0.2,104.77,100,0.0
825,100000,5.960464477539063e-08,-0.0006540595660226245,-21.283671982586384,0.0001313329,46860307446.4,-1615209.43750373,0.9999682307243347,23000651776.0,0.0003,121,0.2,112.2,120,0.0
830,110000,-1.1920928955078125e-07,-0.0005000470091545139,-21.28295891582966,0.0001049071,44522847609.6,-1341223.6040116,0.9998829960823059,25361608704.0,0.0003,132,0.2,93.09,130,0.0
835,120000,5.960464477539063e-08,-0.0005463960340421181,-21.28290233463049,0.00010069273,44803277068.8,-1333121.8187231899,0.9999589323997498,23418302464.0,0.0003,143,0.2,92.44,140,0.0
840,130000,-1.1920928955078125e-07,-0.0004176995781790538,-21.28373681753874,7.9667625e-05,44372372883.2,-1295690.0252590303,0.9999960660934448,21258938368.0,0.0003,154,0.2,90.68,150,0.0
820,140000,-1.1920928955078125e-07,-0.0003725900589415687,-21.28327356725931,5.8960562e-05,46604887331.2,-1633533.8695232198,0.9999490976333618,22082086912.0,0.0003,170,0.2,114.48,170,0.0
825,150000,0.0,-0.000674269817318418,-21.28315908461809,0.00014556808,43397947712.0,-1302870.6190312603,0.9999274611473083,20013774848.0,0.0003,181,0.2,90.68,180,0.0
829,160000,5.960464477539063e-08,-0.0004772591973960516,-21.283183626830578,8.2679944e-05,44680458032.0,-1402882.2500855299,0.9999521374702454,22567254016.0,0.0003,192,0.2,98.09,190,0.0
833,170000,0.0,-0.0004943313839248731,-21.28387270271778,9.561114e-05,43219863750.4,-1302212.59699891,1.000022530555725,22742667264.0,0.0003,203,0.2,88.9,200,0.0
