train/is_line_search_success,train/policy_objective,time/total_timesteps,rollout/ep_len_mean,time/fps,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/explained_variance,train/kl_divergence_loss,train/std,train/learning_rate
1.0,0.037635378539562225,700000,4.26,1230,85,-128094.67045454003,568,10193317420.8,-1.1920928955078125e-07,0.006073752883821726,0.7087937593460083,0.0013
1.0,0.049514926970005035,710000,4.36,1231,86,-129068.61802481001,576,10432650686.4,0.0,0.005686864722520113,0.707630455493927,0.0013
1.0,0.032670408487319946,720000,4.23,1231,87,-127913.24593528999,584,10118553118.4,0.0,0.007133545354008675,0.7071573734283447,0.0013
1.0,0.08283297717571259,730000,4.27,1228,89,-128266.93448442001,594,10732685912.0,0.0,0.006395481992512941,0.7058703303337097,0.0013
1.0,0.03772680088877678,740000,4.07,1228,90,-126381.55567421002,602,10029664974.4,0.0,0.007359576877206564,0.7051942944526672,0.0013
1.0,0.015468655154109001,750000,4.19,1228,91,-127733.28204586002,610,9962444123.2,-1.1920928955078125e-07,0.006343029905110598,0.7038995623588562,0.0013
1.0,0.040131714195013046,760000,4.27,1229,92,-128197.80057994001,618,10055348649.6,0.0,0.007418019697070122,0.701930820941925,0.0013
1.0,0.03487631306052208,770000,4.14,1228,93,-127145.09010025,626,9996685129.6,0.0,0.006761184893548489,0.7004433274269104,0.0013
1.0,0.04746560752391815,780000,4.12,1226,95,-126709.54213151001,635,9925948504.0,0.0,0.007944504730403423,0.69709312915802,0.0013
1.0,0.044620390981435776,790000,4.19,1226,96,-127378.91295161,643,9936125216.0,5.960464477539063e-08,0.007737995125353336,0.6941428780555725,0.0013
1.0,0.0519510917365551,800000,4.06,1226,97,-126225.02244361003,652,9856653340.8,0.0,0.009364189580082893,0.6946656703948975,0.0013
1.0,0.029793400317430496,810000,4.15,1226,98,-126953.50125511998,660,9842463425.6,-1.1920928955078125e-07,0.006635607220232487,0.695795476436615,0.0013
1.0,0.03659910336136818,820000,4.23,1224,100,-127423.74289851001,669,9801898046.4,0.0,0.006184550933539867,0.6945886015892029,0.0013
1.0,0.0325470045208931,830000,4.29,1224,101,-128146.43767915998,677,9824220728.0,5.960464477539063e-08,0.0070780119858682156,0.6912673711776733,0.0013
1.0,0.03754666820168495,840000,4.11,1224,102,-126394.88344887,685,9797485132.8,-1.1920928955078125e-07,0.007031196262687445,0.6914137005805969,0.0013
1.0,0.031662411987781525,850000,4.09,1224,103,-126258.34117518,694,9792980777.6,0.0,0.0077999066561460495,0.6898935437202454,0.0013
1.0,0.031210869550704956,860000,4.12,1224,104,-126462.80032153001,702,9766414918.4,0.0,0.00603919941931963,0.6893609166145325,0.0013
1.0,0.061006736010313034,870000,4.21,1222,106,-127662.55494376004,711,10073813038.4,1.1920928955078125e-07,0.005391782149672508,0.6878179311752319,0.0013
1.0,0.048407018184661865,880000,4.04,1222,107,-125783.49391364,719,9799232313.6,-1.1920928955078125e-07,0.007026074454188347,0.6873831152915955,0.0013
1.0,0.029217300936579704,890000,4.06,1222,108,-125903.73595910998,727,9726344937.6,0.0,0.006105244159698486,0.6875255703926086,0.0013
1.0,0.032604869455099106,900000,4.05,1222,109,-125735.32203523001,736,9675143811.2,0.0,0.006730603985488415,0.6866117119789124,0.0013
1.0,0.022953419014811516,910000,4.15,1220,111,-126528.35723268999,745,9678609558.4,0.0,0.009271487593650818,0.6861767172813416,0.0013
1.0,0.032858170568943024,920000,4.03,1220,112,-125699.95954691998,753,9672531844.8,0.0,0.008958832360804081,0.6856949329376221,0.0013
1.0,0.02897423692047596,930000,4.08,1220,113,-126049.87356862001,761,9629325304.0,0.0,0.006403736304491758,0.6852588057518005,0.0013
1.0,0.03807241842150688,940000,4.36,1220,114,-129283.24082983998,770,9618155758.4,0.0,0.0067900908179581165,0.6854305863380432,0.0013
1.0,0.04168243333697319,950000,4.11,1220,115,-126305.46705099,778,9710483150.4,-1.1920928955078125e-07,0.006267709657549858,0.6847840547561646,0.0013
1.0,0.02766565792262554,960000,4.09,1218,117,-126035.01471584002,787,9579912579.2,0.0,0.00785804633051157,0.681459367275238,0.0013
1.0,0.04306703060865402,970000,4.15,1218,118,-126570.99921976001,795,9570743206.4,0.0,0.009021792560815811,0.6797509789466858,0.0013
1.0,0.03167884424328804,980000,4.17,1218,119,-126921.94703674997,804,9575162918.4,0.0,0.008274615742266178,0.6789113879203796,0.0013
1.0,0.018744125962257385,990000,4.11,1218,120,-126087.45816283999,812,9555998368.0,-1.1920928955078125e-07,0.009349273517727852,0.6786999106407166,0.0013
1.0,0.030497796833515167,1000000,4.1,1217,122,-125992.15262255998,821,9547942598.4,-1.1920928955078125e-07,0.008982672356069088,0.6758348345756531,0.0013
