train/is_line_search_success,train/policy_objective,time/total_timesteps,rollout/ep_len_mean,time/fps,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/explained_variance,train/kl_divergence_loss,train/std,train/learning_rate
1.0,0.07755418121814728,10000,40.24,1346,1,-650890.6039680099,7,43098048172.8,3.5762786865234375e-07,0.005356833338737488,0.9986265897750854,0.0013
1.0,0.07072398066520691,20000,36.35,1358,2,-581533.1315107399,14,40121022803.2,-2.384185791015625e-07,0.004995561670511961,0.9941257238388062,0.0013
1.0,0.06357815861701965,30000,26.85,1357,3,-433368.94024822005,22,36877854534.4,0.0,0.00418447982519865,0.9894302487373352,0.0013
1.0,0.05696495249867439,40000,26.13,1355,4,-407864.73117673,29,33408482998.4,0.0,0.003847613697871566,0.99195796251297,0.0013
1.0,0.06640789657831192,50000,23.21,1310,6,-362421.92300730007,38,29370519206.4,0.0,0.0045201461762189865,0.9670611619949341,0.0013
1.0,0.07753624767065048,60000,18.08,1315,7,-296007.5703107,45,27717070905.6,0.0,0.004552227444946766,0.9616870880126953,0.0013
1.0,0.07176690548658371,70000,19.28,1318,8,-312963.73630984,53,25577764032.0,0.0,0.004488724283874035,0.954342246055603,0.0013
1.0,0.07226435840129852,80000,14.77,1320,9,-250718.51930261997,60,23575409756.8,1.7881393432617188e-07,0.004904070869088173,0.9403383731842041,0.0013
1.0,0.07140140235424042,90000,12.94,1319,10,-232759.82887106002,68,21569607817.6,2.384185791015625e-07,0.005238528363406658,0.9315976500511169,0.0013
1.0,0.07991354167461395,100000,14.03,1300,12,-241691.19541774,76,19615477830.4,0.0,0.004621149506419897,0.9235986471176147,0.0013
1.0,0.07581857591867447,110000,11.34,1302,13,-207998.81425894002,84,19560749632.0,0.0,0.004494702909141779,0.9210315942764282,0.0013
1.0,0.0732795000076294,120000,13.16,1304,14,-230396.84872766995,91,18161656398.4,1.1920928955078125e-07,0.005111622624099255,0.9102770686149597,0.0013
1.0,0.08050671964883804,130000,9.48,1304,15,-185926.74611862,99,17418629140.8,1.1920928955078125e-07,0.005672394298017025,0.9010558724403381,0.0013
1.0,0.07229992747306824,140000,9.2,1291,17,-182315.62965022997,108,15666174888.0,-2.384185791015625e-07,0.004773742984980345,0.8957414627075195,0.0013
1.0,0.07395128160715103,150000,8.41,1293,18,-173998.95004774004,116,14810424196.8,-1.1920928955078125e-07,0.006051209755241871,0.8882364630699158,0.0013
1.0,0.07671177387237549,160000,8.87,1294,19,-177551.68296083,123,15357059104.0,0.0,0.006478818599134684,0.8864086270332336,0.0013
1.0,0.0749642550945282,170000,7.37,1295,20,-161138.17760785,131,14644165243.2,5.960464477539063e-08,0.00548062939196825,0.8794958591461182,0.0013
1.0,0.07970479130744934,180000,7.34,1296,21,-162339.12755921998,138,13848808803.2,5.960464477539063e-08,0.0063476404175162315,0.8712269067764282,0.0013
1.0,0.06614057719707489,190000,7.26,1286,23,-160375.09698804998,147,12624931321.6,-2.384185791015625e-07,0.005827215500175953,0.8482548594474792,0.0013
1.0,0.05840591341257095,200000,6.24,1287,24,-148848.63928736,155,12287455208.0,0.0,0.0072219776920974255,0.8405755162239075,0.0013
1.0,0.07705939561128616,210000,6.47,1287,25,-151389.90963046,163,12013463283.2,0.0,0.008027045987546444,0.832717776298523,0.0013
1.0,0.05765535309910774,220000,6.57,1286,26,-153982.95274187,170,12234958764.8,-1.1920928955078125e-07,0.00519354734569788,0.8284973502159119,0.0013
1.0,0.07211942225694656,230000,5.91,1277,28,-144187.94650425998,180,11890566796.8,0.0,0.0051050069741904736,0.8206244707107544,0.0013
1.0,0.04697621986269951,240000,5.79,1278,29,-145358.1301059,187,11843202620.8,0.0,0.006422830279916525,0.8194847106933594,0.0013
1.0,0.050784118473529816,250000,5.83,1278,30,-144893.14625560996,195,11913172769.6,0.0,0.006125407759100199,0.8163406252861023,0.0013
1.0,0.05956275761127472,260000,5.87,1278,31,-144688.8968611,203,11862501756.8,0.0,0.008413351140916348,0.8120468258857727,0.0013
1.0,0.048733316361904144,270000,5.91,1278,32,-144950.2621391,211,12577672204.8,0.0,0.00609058840200305,0.8093599081039429,0.0013
1.0,0.05695459991693497,280000,5.98,1270,34,-145859.8164766,220,11532512372.8,1.1920928955078125e-07,0.00684078224003315,0.8023266196250916,0.0013
1.0,0.060312993824481964,290000,5.23,1271,35,-137955.04287491,228,11419187838.4,0.0,0.008096029981970787,0.7975835204124451,0.0013
1.0,0.054934222251176834,300000,5.4,1270,36,-139352.46977230997,236,11153838931.2,0.0,0.007722659036517143,0.7934338450431824,0.0013
1.0,0.051734551787376404,310000,4.97,1270,37,-135085.05988041,244,11052882395.2,-1.1920928955078125e-07,0.0074722315184772015,0.7884572148323059,0.0013
1.0,0.0494244359433651,320000,4.69,1263,39,-132408.18241987,253,10972822408.0,0.0,0.008130895905196667,0.7780933380126953,0.0013
1.0,0.03853676840662956,330000,4.98,1263,40,-135018.06988803,261,11252317680.0,0.0,0.00676347641274333,0.7744007110595703,0.0013
1.0,0.06106248497962952,340000,4.64,1263,41,-132029.67995798998,269,11471055808.0,0.0,0.006954309996217489,0.7725871801376343,0.0013
1.0,0.038592614233493805,350000,4.52,1263,42,-130959.21381135998,277,11082214075.2,1.1920928955078125e-07,0.00657879700884223,0.7695655226707458,0.0013
1.0,0.043917831033468246,360000,4.81,1262,43,-133635.58954121004,285,10752734118.4,1.1920928955078125e-07,0.009442133828997612,0.7673470377922058,0.0013
1.0,0.03360091149806976,370000,4.32,1256,45,-129061.77168361,294,10984345057.6,0.0,0.005720709450542927,0.7620238661766052,0.0013
1.0,0.05298334360122681,380000,4.37,1256,46,-129957.31153177997,302,10953002628.8,0.0,0.004699605517089367,0.7599717974662781,0.0013
1.0,0.03344940394163132,390000,4.31,1256,47,-128961.52724576999,310,10606161307.2,-1.1920928955078125e-07,0.009297216311097145,0.7568777799606323,0.0013
1.0,0.030094297602772713,400000,4.36,1256,48,-129334.87137472998,318,10612392816.0,0.0,0.008970950730144978,0.7523958086967468,0.0013
1.0,0.0419715940952301,410000,4.82,1251,50,-134904.91290042,327,10828206425.6,1.7881393432617188e-07,0.00978426355868578,0.7438946962356567,0.0013
1.0,0.04446559399366379,420000,4.11,1251,51,-127101.59871132001,335,10747444640.0,0.0,0.0066781542263925076,0.7424455285072327,0.0013
1.0,0.027876317501068115,430000,4.62,1251,52,-134625.94017202,343,10759721748.8,1.7881393432617188e-07,0.007674229331314564,0.7402923107147217,0.0013
1.0,0.04374006763100624,440000,4.15,1250,53,-127572.34715821002,351,12429693044.8,0.0,0.0065482486970722675,0.7407909035682678,0.0013
1.0,0.059253279119729996,450000,4.23,1250,54,-128685.78809485999,359,11949239940.8,0.0,0.007438178174197674,0.7403917908668518,0.0013
1.0,0.047223061323165894,460000,4.31,1246,56,-129460.06365061998,369,10978957331.2,5.960464477539063e-08,0.006210653111338615,0.7381861209869385,0.0013
1.0,0.02292235568165779,470000,4.36,1246,57,-129701.33644157999,377,10676287844.8,0.0,0.00876577291637659,0.7375203371047974,0.0013
1.0,0.04173605889081955,480000,4.16,1246,58,-128101.41304031,385,10692123840.0,0.0,0.004983928985893726,0.7368472218513489,0.0013
1.0,0.05988451465964317,490000,4.49,1246,59,-132291.43610649998,393,11023617377.6,2.384185791015625e-07,0.00943420547991991,0.7377529144287109,0.0013
1.0,0.07076287269592285,500000,4.35,1242,61,-129673.54816087002,402,10735403395.2,0.0,0.009148556739091873,0.7337175607681274,0.0013
1.0,0.03190715238451958,510000,4.55,1242,62,-131932.13186179,410,10635211228.8,0.0,0.005850657820701599,0.7317517399787903,0.0013
1.0,0.06251563131809235,520000,4.12,1241,63,-127587.259826,418,10965709632.0,0.0,0.00728497514501214,0.731883704662323,0.0013
1.0,0.07058253884315491,530000,4.17,1241,64,-127743.91752531001,426,10759955342.4,1.7881393432617188e-07,0.006496196147054434,0.7319525480270386,0.0013
1.0,0.008153079077601433,540000,4.24,1241,65,-128522.54008687,434,10586353107.2,0.0,0.001785880420356989,0.7313418984413147,0.0013
1.0,0.031112585216760635,550000,4.24,1238,67,-128475.18506545,444,10353926380.8,-1.1920928955078125e-07,0.00999787449836731,0.7260372638702393,0.0013
1.0,0.011473412625491619,560000,4.1,1238,68,-127126.88449111,452,11263088000.0,-1.1920928955078125e-07,0.007475873921066523,0.7252548336982727,0.0013
1.0,0.05844481289386749,570000,4.18,1238,69,-127791.58718738,460,10794584753.6,-2.384185791015625e-07,0.00746284332126379,0.7261388301849365,0.0013
1.0,0.06361759454011917,580000,4.38,1238,70,-129454.41858821003,468,10697068428.8,0.0,0.0067640249617397785,0.7237396240234375,0.0013
1.0,0.058786407113075256,590000,4.11,1235,72,-127359.77920693,477,10694463716.8,1.1920928955078125e-07,0.007926790975034237,0.7208567261695862,0.0013
1.0,0.0672512948513031,600000,4.2,1235,73,-127820.43918940998,485,10869267857.6,-1.1920928955078125e-07,0.006211595609784126,0.7202069163322449,0.0013
1.0,0.037633344531059265,610000,4.13,1235,74,-127330.47341314,493,10241848067.2,-1.1920928955078125e-07,0.00941852293908596,0.7163890600204468,0.0013
1.0,0.05008125305175781,620000,4.07,1235,75,-126925.16227178,501,10363503859.2,1.1920928955078125e-07,0.006166083738207817,0.7148661017417908,0.0013
1.0,0.06679785251617432,630000,4.15,1235,76,-127371.28694170999,509,11041399216.0,0.0,0.008692951872944832,0.7138821482658386,0.0013
1.0,0.05880792438983917,640000,4.19,1232,78,-127783.42255533,519,10497002132.8,1.1920928955078125e-07,0.0069671436212956905,0.7104741334915161,0.0013
1.0,0.04979874566197395,650000,4.19,1232,79,-127656.62869082,527,10201219396.8,0.0,0.009380494244396687,0.708149254322052,0.0013
1.0,0.05513164773583412,660000,4.15,1232,80,-127266.34003254998,535,10385303096.0,0.0,0.007373717147856951,0.7077972888946533,0.0013
1.0,0.03217794746160507,670000,4.24,1233,81,-127972.16424356,543,10136451116.8,0.0,0.006116666365414858,0.7080984711647034,0.0013
1.0,0.08721420913934708,680000,4.23,1230,83,-127787.41945896,552,12668098920.0,-1.1920928955078125e-07,0.004954390227794647,0.7092349529266357,0.0013
1.0,0.04501711204648018,690000,4.11,1230,84,-126744.27584741998,560,10518936174.4,-1.1920928955078125e-07,0.006129545159637928,0.7090739011764526,0.0013
