rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/episodes,train/ent_coef,time/fps,rollout/ep_rew_mean,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/actor_loss
3.0,2431,0.001,179370,13.639328956604004,254,-116614.14278034001,154974,-0.558167040348053,620000,3159560.5,108877.640625
3.0,2471,0.001,182705,12.404191970825195,254,-116600.87571780998,157474,0.8364804983139038,630000,2764644.5,109186.96875
3.0,2512,0.001,186037,12.046196937561035,254,-116604.93162157999,159974,-1.1760923862457275,640000,4267650.5,108365.765625
3.0,2553,0.001,189370,12.791290283203125,254,-116633.99146672999,162474,-0.56232088804245,650000,3992736.25,109067.1328125
3.0,2593,0.001,192705,11.63444709777832,254,-116593.57233488002,164974,-3.9041779041290283,660000,2539330.5,109979.4375
3.0,2634,0.001,196037,11.237628936767578,254,-116594.74798460004,167474,-1.3240678310394287,670000,3907646.5,108548.0625
3.0,2674,0.001,199370,10.99012279510498,254,-116621.60906407003,169974,-2.050227403640747,680000,9452074.0,104741.25
3.0,2715,0.001,202705,11.52430248260498,254,-116620.35983422001,172474,-6.118039131164551,690000,3260116.25,108761.53125
3.0,2755,0.001,206037,10.822456359863281,254,-116615.70709206002,174974,2.229940176010132,700000,5430908.5,103705.875
3.0,2795,0.001,209370,11.767720222473145,253,-116594.80334465,177474,-3.0358054637908936,710000,4024559.25,108904.7265625
3.01,2836,0.001,212702,10.544500350952148,253,-116694.28982688002,179974,-2.9417309761047363,720000,5122525.0,101518.671875
3.0,2876,0.001,216034,10.481514930725098,253,-116609.55801044998,182474,0.5812982320785522,730000,1881127.5,108679.8125
3.0,2917,0.001,219367,12.19086742401123,253,-116626.75477928002,184974,-2.7744834423065186,740000,2624504.5,108393.0625
3.0,2957,0.001,222701,11.11281681060791,253,-116609.94718476004,187474,1.0406105518341064,750000,17051376.0,102340.609375
3.0,2997,0.001,226034,10.11255931854248,253,-116598.68819682,189974,-0.5543796420097351,760000,5377502.0,107625.296875
3.0,3037,0.001,229367,10.403922080993652,253,-116601.23678756,192474,-0.13917064666748047,770000,1605319.75,107216.9609375
3.0,3078,0.001,232699,10.73959732055664,253,-116590.05262634001,194974,-1.8404829502105713,780000,3091450.75,108763.234375
3.0,3118,0.001,236033,11.011430740356445,253,-116611.86970531002,197474,-3.5950541496276855,790000,3665421.5,108887.2421875
3.0,3158,0.001,239363,11.338150024414062,253,-116586.47148847999,199974,1.7968944311141968,800000,3303267.5,104894.4140625
3.0,3199,0.001,242696,10.25349235534668,253,-116621.32002479004,202474,-2.0092287063598633,810000,2562727.5,102715.2890625
3.0,3239,0.001,246030,10.383746147155762,253,-116592.15331905999,204974,-1.7319989204406738,820000,2472368.5,107912.140625
3.0,3279,0.001,249351,10.92547607421875,253,-116596.85621872,207474,2.608196258544922,830000,2092934.375,107792.2734375
3.0,3319,0.001,252687,12.902568817138672,253,-116603.47084173001,209974,-2.0518298149108887,840000,2520046.25,103518.109375
3.0,3359,0.001,256016,10.075108528137207,253,-116596.30163362,212474,-0.6496867537498474,850000,2649023.25,109257.59375
3.0,3399,0.001,259348,10.821097373962402,252,-116605.52867166,214974,-0.39671969413757324,860000,2335809.0,109133.390625
3.0,3439,0.001,262680,10.360932350158691,252,-116600.18932051,217474,-1.5766491889953613,870000,12992814.0,107818.484375
3.0,3480,0.001,266014,9.687529563903809,252,-116598.60306868,219974,1.1198073625564575,880000,3542320.75,106678.53125
3.0,3520,0.001,269348,10.95991325378418,252,-116600.55178581999,222474,3.5146079063415527,890000,3286623.0,107429.828125
3.0,3560,0.001,272676,12.005763053894043,252,-116586.05724099999,224974,-0.34088629484176636,900000,2036516.625,109947.265625
3.0,3600,0.001,276009,10.202930450439453,252,-116587.30310973001,227474,0.2594020962715149,910000,4587756.0,106856.59375
3.0,3641,0.001,279341,11.13431453704834,252,-116605.56412068999,229974,3.3475279808044434,920000,4818150.5,108614.265625
3.0,3681,0.001,282673,10.714635848999023,252,-116597.07458034004,232474,-3.1218044757843018,930000,4150629.0,107225.1171875
3.0,3721,0.001,286006,10.275311470031738,252,-116603.5013147,234974,5.448862552642822,940000,3273604.25,107610.5234375
3.0,3762,0.001,289338,9.61814022064209,252,-116721.15036159,237474,1.2761461734771729,950000,710310.125,107684.59375
3.0,3803,0.001,292673,10.065794944763184,252,-116672.26350693998,239974,4.586338043212891,960000,2713064.0,108490.640625
3.0,3843,0.001,296005,11.811453819274902,252,-116626.76342290001,242474,-0.02730366587638855,970000,1608235.125,108455.5390625
3.01,3883,0.001,299338,10.239015579223633,252,-116725.59794285,244974,-1.266334056854248,980000,2408972.0,106588.5546875
3.0,3924,0.001,302670,8.548874855041504,252,-116593.66331037002,247474,-0.5272840261459351,990000,3575562.5,106699.3046875
3.0,3964,0.001,306003,7.887590408325195,252,-116585.20856536,249974,-2.783167839050293,1000000,1206659.0,107712.5859375
