time/time_elapsed,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/ent_coef,train/learning_rate
1638,2136821.5,-4.403434753417969,280000,75382.0859375,35330,69974,7.28,170,-196072.60034362998,280.5892333984375,0.0003
1696,2346162.75,0.27443498373031616,290000,113872.3515625,36607,72474,6.65,170,-180507.0445224,358.3365478515625,0.0003
1757,1983029.375,-6.395380020141602,300000,135421.953125,38083,74974,5.92,170,-167808.22834884998,454.4936828613281,0.0003
1822,1741789.0,-7.665130615234375,310000,110557.5078125,39687,77474,6.79,170,-231658.80400062996,518.2042846679688,0.0003
1886,1375216.875,-1.424041509628296,320000,112397.421875,41462,79974,5.23,169,-160243.46518596,547.7223510742188,0.0003
1950,1350010.5,-3.3203892707824707,330000,101343.359375,43318,82474,5.0,169,-154884.42837264,505.3892517089844,0.0003
2018,1222219.75,-1.4526011943817139,340000,114714.890625,45107,84974,5.11,168,-157441.71176973,442.873046875,0.0003
2085,1142468.125,2.471489906311035,350000,116522.1875,46545,87474,7.65,167,-268572.79955374,387.3028869628906,0.0003
2149,1191612.875,4.325699329376221,360000,123493.171875,46809,89974,48.24,167,-2282143.9912649407,352.8448181152344,0.0003
2213,1527282.75,3.069479465484619,370000,149024.234375,47125,92474,52.46,167,-2488248.77573278,362.72943115234375,0.0003
2279,1835468.125,-4.28619909286499,380000,172910.171875,47528,94974,11.47,166,-358889.24466647,355.0215759277344,0.0003
2345,2089722.625,-0.621823787689209,390000,164083.0,48102,97474,7.64,166,-252977.04290937996,398.0602111816406,0.0003
2413,2426839.5,-1.610884428024292,400000,179918.71875,49601,99974,6.36,165,-202932.14717989997,493.0852966308594,0.0003
2484,2480245.0,6.388620853424072,410000,171513.6875,51186,102474,5.37,165,-162394.5059889,626.7432250976562,0.0003
2554,2559836.25,6.063960075378418,420000,166513.109375,52208,104974,15.46,164,-644029.82753442,674.354736328125,0.0003
2622,2645071.0,-6.908714294433594,430000,188882.625,52874,107474,9.79,163,-322951.22252276,668.4017944335938,0.0003
2688,2884300.5,-0.6916320323944092,440000,201251.890625,54294,109974,5.63,163,-174173.22531588003,702.6304321289062,0.0003
2753,3134646.5,-0.049137771129608154,450000,208012.328125,55140,112474,4.93,163,-153464.02462495,770.6383666992188,0.0003
2816,3117802.5,-2.678760528564453,460000,244122.4375,56179,114974,6.86,163,-233657.72389827002,782.3390502929688,0.0003
