Logging to training_random_logs/4_robots/logs/PPO_set8
Using cpu device
Training started on Wed Jan 28 10:41:05 2026
Experiment configuration: {'algorithm': 'PPO', 'set': 8, 'verbose': 1, 'steps': 1000000, 'num_robots': 4, 'num_envs': 4, 'seed': 33, 'log_steps': 10000, 'resume': False, 'device': 'cpu'}
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 46.1        |
|    ep_rew_mean          | -6.8e+05    |
| time/                   |             |
|    fps                  | 1066        |
|    time_elapsed         | 9           |
|    total_timesteps      | 10000       |
| train/                  |             |
|    approx_kl            | 0.005159731 |
|    clip_fraction        | 0.0203      |
|    clip_range           | 0.2         |
|    entropy_loss         | -17         |
|    explained_variance   | -2.38e-07   |
|    learning_rate        | 0.0017      |
|    loss                 | 1.31e+10    |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00496    |
|    std                  | 1           |
|    value_loss           | 2.68e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.5         |
|    ep_rew_mean          | -7.76e+05    |
| time/                   |              |
|    fps                  | 1066         |
|    time_elapsed         | 18           |
|    total_timesteps      | 20000        |
| train/                  |              |
|    approx_kl            | 0.0037517496 |
|    clip_fraction        | 0.00575      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.1        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0017       |
|    loss                 | 1.38e+10     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00302     |
|    std                  | 1.01         |
|    value_loss           | 2.72e+10     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 42.5       |
|    ep_rew_mean          | -6.36e+05  |
| time/                   |            |
|    fps                  | 1050       |
|    time_elapsed         | 28         |
|    total_timesteps      | 30000      |
| train/                  |            |
|    approx_kl            | 0.00305911 |
|    clip_fraction        | 0.00366    |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.1      |
|    explained_variance   | -2.38e-07  |
|    learning_rate        | 0.0017     |
|    loss                 | 1.39e+10   |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.00239   |
|    std                  | 1.01       |
|    value_loss           | 2.81e+10   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.8        |
|    ep_rew_mean          | -7.36e+05   |
| time/                   |             |
|    fps                  | 1040        |
|    time_elapsed         | 38          |
|    total_timesteps      | 40000       |
| train/                  |             |
|    approx_kl            | 0.004136339 |
|    clip_fraction        | 0.0088      |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.2       |
|    explained_variance   | -2.38e-07   |
|    learning_rate        | 0.0017      |
|    loss                 | 1.42e+10    |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00339    |
|    std                  | 1.01        |
|    value_loss           | 2.63e+10    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.7         |
|    ep_rew_mean          | -7.8e+05     |
| time/                   |              |
|    fps                  | 959          |
|    time_elapsed         | 52           |
|    total_timesteps      | 50000        |
| train/                  |              |
|    approx_kl            | 0.0023335882 |
|    clip_fraction        | 0.00131      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.2        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.27e+10     |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00203     |
|    std                  | 1.02         |
|    value_loss           | 2.7e+10      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50.1         |
|    ep_rew_mean          | -7.33e+05    |
| time/                   |              |
|    fps                  | 975          |
|    time_elapsed         | 61           |
|    total_timesteps      | 60000        |
| train/                  |              |
|    approx_kl            | 0.0034587767 |
|    clip_fraction        | 0.00427      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.3        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.26e+10     |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00261     |
|    std                  | 1.02         |
|    value_loss           | 2.71e+10     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 45.8         |
|    ep_rew_mean          | -6.58e+05    |
| time/                   |              |
|    fps                  | 988          |
|    time_elapsed         | 70           |
|    total_timesteps      | 70000        |
| train/                  |              |
|    approx_kl            | 0.0029665397 |
|    clip_fraction        | 0.00262      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.3        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.32e+10     |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00211     |
|    std                  | 1.03         |
|    value_loss           | 2.55e+10     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50.8        |
|    ep_rew_mean          | -7.33e+05   |
| time/                   |             |
|    fps                  | 998         |
|    time_elapsed         | 80          |
|    total_timesteps      | 80000       |
| train/                  |             |
|    approx_kl            | 0.002018198 |
|    clip_fraction        | 0.00111     |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.4       |
|    explained_variance   | 2.38e-07    |
|    learning_rate        | 0.0017      |
|    loss                 | 1.23e+10    |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00175    |
|    std                  | 1.03        |
|    value_loss           | 2.5e+10     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 47.3         |
|    ep_rew_mean          | -6.79e+05    |
| time/                   |              |
|    fps                  | 1006         |
|    time_elapsed         | 89           |
|    total_timesteps      | 90000        |
| train/                  |              |
|    approx_kl            | 0.0035734265 |
|    clip_fraction        | 0.00465      |
|    clip_range           | 0.2          |
|    entropy_loss         | -17.4        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0017       |
|    loss                 | 1.32e+10     |
|    n_updates            | 100          |
