rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/delta_std,train/step_size,rollout/return_std,train/iterations,train/learning_rate
506.0,520000,-15093107.908726001,152,3416,0.05,1.88226781383527e-10,13281851.0,8,0.02
802.4,530000,-24063075.1634904,155,3417,,,,,
858.8571428571429,540000,-25760009.402493145,157,3418,,,,,
901.2,550000,-26971351.5890415,160,3418,,,,,
847.9230769230769,560000,-25390045.110863462,163,3419,,,,,
,570000,,166,3419,0.05,2.4513349683452645e-10,10198525.0,9,0.02
1000.0,580000,-30143544.294858,169,3420,,,,,
630.125,590000,-18777098.09105675,172,3421,,,,,
641.3636363636364,600000,-19093300.405794546,175,3421,,,,,
,610000,,178,3421,0.05,1.6880224995574622e-10,14810229.0,10,0.02
670.6666666666666,620000,-19990943.966593668,181,3421,,,,,
835.3333333333334,630000,-24878412.10332933,184,3421,,,,,
876.5,640000,-26111947.530573502,187,3420,,,,,
910.1818181818181,650000,-27126617.593170818,190,3420,,,,,
924.0,660000,-27576484.117298383,192,3420,,,,,
,670000,,195,3421,0.05,3.3575595081991594e-10,7445884.5,11,0.02
671.0,680000,-19979884.448881667,198,3421,,,,,
717.1428571428571,690000,-21403639.35102629,201,3421,,,,,
780.0,700000,-23278149.48388867,204,3422,,,,,
835.0,710000,-24937387.764317002,207,3421,,,,,
858.5714285714286,720000,-25653619.37957829,210,3421,,,,,
505.0,730000,-15122460.0,213,3421,0.05,2.4597954229044205e-10,10163447.0,12,0.02
752.5,740000,-22604262.5,216,3422,,,,,
754.375,750000,-22505237.9180025,219,3422,,,,,
803.5,760000,-23954756.5344697,222,3422,,,,,
737.2,770000,-21976253.63258713,224,3422,,,,,
1000.0,780000,-30088110.0,227,3422,0.05,1.8823363701070406e-10,13281367.0,13,0.02
576.5714285714286,790000,-17283758.57142857,230,3422,,,,,
604.4,800000,-18074250.541418098,233,3422,,,,,
695.6923076923077,810000,-20828797.48617523,236,3423,,,,,
,820000,,239,3423,0.05,1.7535542462532305e-10,14256758.0,14,0.02
1000.0,830000,-30051810.0,242,3423,,,,,
834.8333333333334,840000,-25066847.599458665,245,3424,,,,,
780.3333333333334,850000,-23366169.72401311,248,3419,,,,,
835.25,860000,-24955525.1648885,251,3419,,,,,
,870000,,254,3420,0.05,1.9079007818056937e-10,13103406.0,15,0.02
753.5,880000,-22580090.0,257,3420,,,,,
835.6666666666666,890000,-25049130.0,260,3421,,,,,
890.4444444444445,900000,-26655483.333333332,263,3421,,,,,
835.1666666666666,910000,-24984015.32267425,265,3421,,,,,
868.1333333333333,920000,-25934704.7052422,268,3421,,,,,
1000.0,930000,-30078020.0,271,3421,0.05,2.4578059032442923e-10,10171674.0,16,0.02
802.4,940000,-23930180.9844336,274,3422,,,,,
858.8571428571429,950000,-25630371.91375843,277,3422,,,,,
901.2,960000,-26860542.8591264,280,3422,,,,,
917.6666666666666,970000,-27399304.049272,283,3423,,,,,
,980000,,286,3423,0.05,2.4640212092919e-10,10146016.0,17,0.02
1000.0,990000,-30103245.0,289,3418,,,,,
835.0,1000000,-25074921.215382665,292,3419,,,,,
876.25,1010000,-26244402.85930462,295,3419,,,,,
910.0,1020000,-27249544.622772727,298,3420,,,,,
923.8461538461538,1030000,-27654805.059291694,301,3420,,,,,
