train/ent_coef,train/critic_loss,time/episodes,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/actor_loss
47.225059509277344,138053632.0,186,268,10000,-1282650.64021647,2474,37,55.54,0.0055,-388.08331298828125,-4573.98828125
130.0830535888672,53425632.0,390,266,20000,-269487.23594651005,4974,74,33.42,0.0055,15.834531784057617,89388.390625
80.7696762084961,76257472.0,601,266,30000,-111403.84487739,7474,112,55.86,0.0055,16.304237365722656,67112.921875
57.611454010009766,137238720.0,757,265,40000,-195949.07261528997,9974,150,69.1,0.0055,-18.62279510498047,61619.64453125
36.15856170654297,66057192.0,906,265,50000,-226454.59668453998,12474,188,67.15,0.0055,7.288768768310547,32263.84375
21.586652755737305,27670000.0,1022,265,60000,-147938.0291051,14974,225,83.23,0.0055,-1.105675458908081,7069.19873046875
32.793304443359375,63118024.0,1166,265,70000,-236660.19808642994,17474,263,74.95,0.0055,-1.2038633823394775,710.380615234375
38.734500885009766,37408352.0,1298,265,80000,-650218.43355281,19974,301,77.85,0.0055,5.121011257171631,12084.8564453125
46.35883712768555,46441352.0,1444,265,90000,-210090.49525412003,22474,338,61.2,0.0055,-0.06760317087173462,8754.669921875
65.2308349609375,57553832.0,1611,265,100000,-343685.53077533,24974,376,58.09,0.0055,-6.285591125488281,11441.7314453125
45.56167984008789,80742760.0,1772,265,110000,-209821.88410969998,27474,413,64.27,0.0055,0.8662053346633911,6043.6669921875
58.418758392333984,79663584.0,1873,265,120000,-622276.9767390001,29974,451,94.62,0.0055,11.745235443115234,14243.095703125
48.20391845703125,95774872.0,2055,265,130000,-194838.91090286002,32474,489,54.26,0.0055,-12.428565979003906,4319.40966796875
47.487056732177734,42252792.0,2172,265,140000,-266603.71861122,34974,526,86.11,0.0055,1.9866591691970825,10590.939453125
41.400672912597656,128358248.0,2290,265,150000,-325581.86051822,37474,564,85.36,0.0055,-10.071906089782715,14387.0302734375
72.65874481201172,56367108.0,2359,265,160000,-317099.57600324997,39974,601,123.86,0.0055,11.819646835327148,20118.14453125
104.27760314941406,65475736.0,2470,265,170000,-300366.27988253,42474,639,87.84,0.0055,17.40964126586914,19402.68359375
140.6044921875,62375952.0,2546,265,180000,-897123.2536762198,44974,677,119.22,0.0055,-93.215576171875,855.629150390625
32.67817687988281,19075630.0,2628,265,190000,-915548.3041981399,47474,714,131.49,0.0055,9.745244026184082,23011.90234375
37.02857971191406,26529816.0,2683,265,200000,-216333.18984875,49974,752,166.34,0.0055,-4.377437591552734,13373.125
48.89878845214844,22737596.0,2731,265,210000,-179721.99609782,52474,789,192.73,0.0055,-27.824298858642578,11621.8828125
22.41352081298828,14936848.0,2821,265,220000,-569724.3589705001,54974,827,108.73,0.0055,-0.15645742416381836,8885.994140625
42.53187942504883,67350384.0,2879,265,230000,-267481.00768348994,57474,865,162.45,0.0055,17.27438735961914,6148.7255859375
108.76654052734375,20873682.0,2936,265,240000,-702786.58706466,59974,902,145.92,0.0055,31.9717960357666,23109.466796875
36.76752471923828,35390720.0,2989,265,250000,-598266.94492935,62474,940,176.2,0.0055,6.65196418762207,1488.793212890625
711.75732421875,709541760.0,3056,265,260000,-497328.43190956005,64974,977,161.06,0.0055,-393.31756591796875,-188543.1875
57.735897064208984,43944840.0,3213,265,270000,-696427.62732363,67474,1015,84.99,0.0055,25.899547576904297,30076.421875
31.485429763793945,28915078.0,3246,265,280000,-502605.64334966,69974,1053,149.17,0.0055,-5.418428421020508,5833.8056640625
163.31732177734375,55641716.0,3343,265,290000,-491202.19880659005,72474,1090,129.73,0.0055,73.54681396484375,38519.35546875
26.091903686523438,37899124.0,3394,265,300000,-220943.64932730998,74974,1128,118.54,0.0055,-3.3442184925079346,488.7657470703125
28.5224609375,59760380.0,3423,265,310000,-133367.99481003,77474,1165,203.75,0.0055,4.438261032104492,-1408.8687744140625
42.956024169921875,89346624.0,3482,265,320000,-247487.0181645,79974,1203,233.21,0.0055,20.60541534423828,-6681.79052734375
468.06683349609375,148259712.0,3578,266,330000,-647789.76422043,82474,1240,115.88,0.0055,-43.36796188354492,73697.8828125
76.35233306884766,39941864.0,3720,266,340000,-510843.13916084,84974,1277,66.04,0.0055,53.65141296386719,47509.8671875
28.386371612548828,50088248.0,3787,266,350000,-130274.93423164003,87474,1314,97.73,0.0055,-2.0562517642974854,24087.357421875
72.7122573852539,51214272.0,3814,266,360000,-219389.34026276998,89974,1352,205.7,0.0055,-6.472353935241699,15280.7451171875
44.93076705932617,21970004.0,3853,266,370000,-259090.2160473,92474,1389,228.97,0.0055,0.9249759912490845,-6908.2197265625
59.38584518432617,54362216.0,3970,266,380000,-1112512.6596254497,94974,1427,96.5,0.0055,36.603485107421875,43065.5703125
18.83378791809082,15109582.0,4014,266,390000,-230462.25172762998,97474,1464,145.1,0.0055,-8.714369773864746,12127.26171875
63.92613220214844,33608040.0,4115,266,400000,-112058.84327775001,99974,1501,93.04,0.0055,19.09166717529297,18289.6796875
43.55222702026367,106997984.0,4196,265,410000,-311493.55748152005,102474,1542,124.04,0.0055,24.73015594482422,8443.734375
17.39649772644043,45871192.0,4242,265,420000,-190235.69907817998,104974,1583,142.01,0.0055,-2.806060314178467,2232.42333984375
78.12411499023438,15933511.0,4314,264,430000,-504774.56479226,107474,1624,175.13,0.0055,25.247705459594727,13199.18359375
31.664060592651367,71283048.0,4372,264,440000,-286727.88590617,109974,1665,128.12,0.0055,3.2645814418792725,-5451.91259765625
28.730417251586914,46052888.0,4418,263,450000,-218738.61351093,112474,1706,189.98,0.0055,-2.1204910278320312,-6974.2587890625
47.79277420043945,28362806.0,4464,263,460000,-499140.2027936899,114974,1747,223.53,0.0055,-3.3749265670776367,-7216.6904296875
