train/ent_coef_loss,time/fps,train/actor_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,rollout/ep_rew_mean,train/ent_coef,train/n_updates,time/time_elapsed,train/critic_loss,time/total_timesteps
-0.538145899772644,151,27899.533203125,103.13541666666667,96,0.0064,-626901.4251894895,53.56834030151367,2474,66,3062.166748046875,10000
-0.7542290687561035,150,21197.095703125,141.89,140,0.0064,-259086.6522537,30.53411865234375,4974,132,2372.099853515625,20000
0.24608419835567474,150,12713.3388671875,241.97,151,0.0064,-208681.70463668997,21.77479362487793,7474,199,1641.88525390625,30000
-0.5837880373001099,150,7999.5546875,321.53,177,0.0064,-172972.88668879,16.791580200195312,9974,266,956.8776245117188,40000
0.09461906552314758,149,4667.0927734375,389.83,188,0.0064,-138215.64004628998,9.416709899902344,12474,333,594.9196166992188,50000
-1.211207628250122,149,3277.759521484375,482.08,199,0.0064,-124995.7917676,6.1298909187316895,14974,400,600.1809692382812,60000
-0.45348790287971497,149,2260.7119140625,573.62,211,0.0064,-112600.97573216999,3.8692026138305664,17474,468,391.4109802246094,70000
0.27191630005836487,149,965.7088623046875,657.63,223,0.0064,-108268.18160279,1.5525826215744019,19974,535,195.3223419189453,80000
-0.001879565417766571,149,793.371337890625,741.44,236,0.0064,-81017.88777681,0.80292147397995,22474,603,130.92092895507812,90000
-0.04924736171960831,148,599.8228149414062,698.29,249,0.0064,-87012.24938015,1.1082029342651367,24974,671,152.6053009033203,100000
0.18893000483512878,148,574.7137451171875,738.12,261,0.0064,-89379.79919126998,1.2987807989120483,27474,739,169.39569091796875,110000
0.25478747487068176,148,593.7888793945312,797.26,269,0.0064,-90453.58112535,1.1559845209121704,29974,806,363.4937744140625,120000
0.24890834093093872,148,227.34605407714844,866.62,281,0.0064,-80872.09388865,1.7953044176101685,32474,874,159.84495544433594,130000
-0.3438393175601959,148,437.0830993652344,870.2,290,0.0064,-86249.28343172999,1.3030476570129395,34974,942,163.01010131835938,140000
0.005158005282282829,148,591.6209106445312,879.77,301,0.0064,-87697.82086294,0.9362705945968628,37474,1010,177.7587432861328,150000
0.14046524465084076,148,484.0098876953125,893.61,311,0.0064,-91277.01392006001,0.9210033416748047,39974,1077,111.98882293701172,160000
