train/n_updates,time/time_elapsed,train/critic_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/total_timesteps,train/learning_rate,train/ent_coef,time/episodes
2474,62,7021.810546875,160,325597.34375,-3158879.70282382,83.84,-6.23381233215332,10000,0.0003,1.6466847658157349,139
4974,125,5792.91943359375,159,751239.4375,-6060164.362906099,157.98,-22.34406280517578,20000,0.0003,3.7190134525299072,166
7474,189,8287.55859375,158,1077129.125,-8465044.13440861,223.75,-16.24135398864746,30000,0.0003,6.93552303314209,210
9974,252,5677.5947265625,158,1348002.375,-11169382.651258552,300.44,-9.057467460632324,40000,0.0003,9.935506820678711,237
12474,316,11938.9833984375,158,1612213.0,-8272978.617516231,229.88,-1.967463493347168,50000,0.0003,12.243677139282227,305
14974,379,9978.0302734375,158,1796248.5,-3469525.29107551,102.22,-4.228809356689453,60000,0.0003,19.21115493774414,389
17474,442,11584.5888671875,158,1980242.125,-5962575.64987384,170.17,-1.1900677680969238,70000,0.0003,22.108097076416016,424
19974,506,8664.4482421875,158,2156157.25,-8575997.383794859,244.65,1.7743861675262451,80000,0.0003,23.228439331054688,443
22474,569,12619.009765625,158,2293923.5,-9989728.574950231,287.86,0.45201700925827026,90000,0.0003,25.955106735229492,482
24974,634,12841.755859375,157,2436881.5,-13191269.72295269,376.67,-2.3635640144348145,100000,0.0003,25.072006225585938,493
27474,697,8630.4482421875,157,2557686.75,-15492704.18348288,438.94,-3.9542086124420166,110000,0.0003,29.777421951293945,502
29974,761,17909.423828125,157,2667993.25,-18398268.3435431,522.42,-0.648971676826477,120000,0.0003,33.9992790222168,513
32474,825,22924.4296875,157,2730249.75,-966177.57473434,26.08,-0.9493316411972046,130000,0.0003,52.85419845581055,772
34974,889,14701.4921875,157,2747831.0,-568728.39367364,16.21,-5.833690166473389,140000,0.0003,101.1225814819336,1192
37474,953,23982.22265625,157,2736661.0,-2571729.73912444,66.02,2.776878595352173,150000,0.0003,121.71497344970703,1480
39974,1017,20341.591796875,157,2723956.5,-3165475.93838829,81.45,-0.6575182676315308,160000,0.0003,105.31739807128906,1602
42474,1080,31741.373046875,157,2711565.0,-1758745.00405062,46.14,3.0968005657196045,170000,0.0003,118.12741088867188,2033
44974,1144,36992.77734375,157,2765386.0,-5518621.2623486295,158.28,-2.585191249847412,180000,0.0003,61.175025939941406,2065
47474,1207,30451.158203125,157,2747161.5,-7258201.93425122,228.94,-1.204978108406067,190000,0.0003,113.14024353027344,2113
49974,1271,37894.4765625,157,2660278.25,-4498607.331658901,124.95,2.4593920707702637,200000,0.0003,110.12418365478516,2210
52474,1335,6552.9970703125,157,2668301.5,-6287359.230115001,169.26,1.678274393081665,210000,0.0003,64.50521850585938,2243
54974,1399,15582.6904296875,157,2705349.25,-9688009.99258324,272.11,0.1094646155834198,220000,0.0003,55.882301330566406,2263
57474,1463,10566.5126953125,157,2720969.25,-7944349.564177419,243.73,2.243243455886841,230000,0.0003,57.28069305419922,2335
59974,1527,21326.166015625,157,2754287.5,-2496968.98918208,87.15,-2.100234031677246,240000,0.0003,78.2176742553711,2446
62474,1591,20953.73828125,157,2724144.5,-3990457.7102506803,148.16,-1.025650143623352,250000,0.0003,85.28224182128906,2499
64974,1656,25909.099609375,156,2718044.5,-795375.4581035499,36.0,0.6207554936408997,260000,0.0003,81.80500030517578,2771
67474,1721,20641.236328125,156,2699313.5,-2333152.07034713,96.7,3.212036609649658,270000,0.0003,69.44561004638672,2858
