train/entropy_loss,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,rollout/ep_len_mean,train/learning_rate,train/std,time/fps,time/total_timesteps,train/value_loss,train/clip_fraction,train/n_updates
-12.813506516814233,-380231.04006662004,9,0.0,-0.006498672040652309,0.004587745,0.2,1758596480.0,84.74,0.0017,1.0089287757873535,1028,10000,3604096772.8,0.0250244140625,10
-12.886899032443761,-324122.15201475,19,1.1920928955078125e-07,-0.005489768037296017,0.0047263294,0.2,1400630784.0,78.32,0.0017,1.0165644884109497,1029,20000,3129221965.1,0.022314453125,20
-12.96003038957715,-292939.57280794997,29,-1.1920928955078125e-07,-0.005289439306216082,0.0049040513,0.2,1329133056.0,70.52,0.0017,1.025278925895691,1030,30000,2997941757.5,0.02706298828125,30
-13.030018712580205,-268703.25834296,38,0.0,-0.005013634416900459,0.0046949536,0.2,1643795072.0,67.63,0.0017,1.0325113534927368,1026,40000,2977941250.5,0.01494140625,40
-13.183463431149722,-259395.05040116998,53,-1.1920928955078125e-07,-0.003462735467655875,0.0038512133,0.2,1061770304.0,64.9,0.0017,1.0509569644927979,930,50000,2744053560.8,0.00948486328125,60
-13.26192811280489,-224893.02950671,63,0.0,-0.003262890427686216,0.0043468513,0.2,1312223488.0,57.33,0.0017,1.0607821941375732,942,60000,2652256241.0,0.0162353515625,70
-13.343489072471858,-219352.53614177997,73,0.0,-0.004170089045328495,0.0045363214,0.2,1400080000.0,55.34,0.0017,1.0700576305389404,951,70000,2677496890.6,0.01689453125,80
-13.420421949774028,-222251.17975035,83,1.1920928955078125e-07,-0.004272004615904735,0.00462733,0.2,1303929216.0,52.5,0.0017,1.079251766204834,957,80000,2709011156.7,0.0166748046875,90
-13.50064112842083,-204819.83511929997,93,0.0,-0.004188132492345176,0.0045533953,0.2,1281231232.0,53.27,0.0017,1.0893961191177368,962,90000,2829695688.4,0.01795654296875,100
-13.664277686178684,-203660.00020663,108,0.0,-0.003378973496819526,0.0035558157,0.2,1232423424.0,54.29,0.0017,1.11006498336792,919,100000,2452041441.9,0.0087158203125,120
-13.755737792700529,-212945.53066872005,119,0.0,-0.004011899850138434,0.0046761334,0.2,1141199360.0,56.28,0.0017,1.121126651763916,924,110000,2509080615.6,0.017529296875,130
-13.844680258631707,-192582.15702258996,129,1.1920928955078125e-07,-0.0037519996854825876,0.004072364,0.2,1066897408.0,48.2,0.0017,1.1320242881774902,924,120000,2387362247.7,0.01474609375,140
-13.9238124884665,-182098.09761149998,140,-1.1920928955078125e-07,-0.0036770366907148853,0.0042953994,0.2,1548252672.0,47.85,0.0017,1.1410969495773315,926,130000,2607764789.1,0.016162109375,150
-14.131147889047861,-192917.97522110003,155,0.0,-0.004653409441561962,0.0048166183,0.2,1031736448.0,54.73,0.0017,1.1707431077957153,900,140000,2269521954.8,0.017919921875,170
-14.232981327176095,-190713.0855881,166,0.0,-0.0031539085275653633,0.003856084,0.2,1354660608.0,54.17,0.0017,1.1819748878479004,901,150000,2078055609.25,0.012646484375,180
-14.317495903372764,-177657.72227265,177,0.0,-0.0043063901723144225,0.004890305,0.2,1128471168.0,48.64,0.0017,1.1931204795837402,903,160000,2219914765.1,0.02083740234375,190
-14.409484869241714,-193741.30661142,187,1.7881393432617188e-07,-0.005496236677572597,0.005036465,0.2,1332406656.0,57.3,0.0017,1.2061864137649536,904,170000,2330561816.5,0.0260986328125,200
-14.508048713207245,-184857.06855789,198,0.0,-0.0036297700702561998,0.00392048,0.2,856446528.0,54.42,0.0017,1.2197939157485962,906,180000,2067990720.7,0.01072998046875,210
-14.707463190704583,-183290.00724118002,214,0.0,-0.004461002254356572,0.0053237714,0.2,987436096.0,54.39,0.0017,1.2473816871643066,887,190000,2076478050.2,0.02320556640625,230
-14.805845389515161,-187836.33061847,224,1.1920928955078125e-07,-0.0038071503395258333,0.0054967236,0.2,1447757568.0,58.68,0.0017,1.2603623867034912,890,200000,1999983162.1,0.0262939453125,240
-14.911612844467163,-199536.30687451,235,-1.1920928955078125e-07,-0.004438327028947242,0.0045345062,0.2,975118464.0,58.67,0.0017,1.2771950960159302,892,210000,2136445757.8,0.01905517578125,250
-15.026481139659882,-170162.88460172995,246,0.0,-0.004330562027098495,0.005339195,0.2,1019432896.0,49.72,0.0017,1.2929309606552124,892,220000,2002919351.5,0.02303466796875,260
-15.254538063704967,-182494.95726559003,262,1.1920928955078125e-07,-0.004185609689011471,0.0044085,0.2,947079744.0,55.16,0.0017,1.3271527290344238,877,230000,1875492193.95,0.017431640625,280
-15.376929822564126,-168980.10685600003,272,0.0,-0.00268050534032227,0.0035063638,0.2,1023937856.0,48.88,0.0017,1.3451207876205444,880,240000,2026031291.4,0.011767578125,290
-15.493938586115837,-181325.41236846,282,0.0,-0.0040398755754722515,0.004810744,0.2,848304576.0,51.75,0.0017,1.3622075319290161,883,250000,1985429935.8,0.01859130859375,300
-15.608691895008088,-169837.05845382,293,1.1920928955078125e-07,-0.003005113562903716,0.0041404045,0.2,843018688.0,53.71,0.0017,1.3802353143692017,885,260000,1994590341.3,0.01597900390625,310
-15.73295358195901,-184743.74077786002,303,0.0,-0.005184941648258246,0.0054798946,0.2,923611136.0,53.8,0.0017,1.3991622924804688,888,270000,1854550258.95,0.02872314453125,320
-15.947452536970378,-155232.67534933003,319,0.0,-0.004982568732884829,0.0056602927,0.2,1090637568.0,46.26,0.0017,1.433992624282837,875,280000,1992859400.6,0.02857666015625,340
-16.060914489626885,-165526.72740138,330,0.0,-0.0034741051262244583,0.004206444,0.2,1031600768.0,52.71,0.0017,1.4502447843551636,878,290000,1899112153.9,0.0142333984375,350
-16.17425726801157,-164697.8969385,341,0.0,-0.004675777804368409,0.005540857,0.2,796316352.0,52.37,0.0017,1.4701310396194458,879,300000,1847603190.75,0.02952880859375,360
-16.292989510297776,-164531.02366252002,351,0.0,-0.0036912056913934064,0.003877306,0.2,822507264.0,47.52,0.0017,1.4889683723449707,881,310000,1903842363.15,0.0142578125,370
