train/is_line_search_success,train/explained_variance,time/fps,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/policy_objective,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/kl_divergence_loss,train/std
1.0,2.86102294921875e-06,1521,49.42,6605672853.6,0.001,0.07070371508598328,-275674.6104139201,6,10000,1,0.0053759072907269,1.0050941705703735
1.0,0.0,1522,42.39,5556800105.6,0.001,0.05463273450732231,-208548.12508051994,13,20000,2,0.004316858481615782,1.0004609823226929
1.0,0.0,1524,34.79,4760463539.2,0.001,0.051391080021858215,-170456.73866932996,19,30000,3,0.00507486192509532,0.9965858459472656
1.0,0.0,1523,41.06,4744435943.6,0.001,0.060073062777519226,-179205.24657761995,26,40000,4,0.005005158483982086,0.9997445940971375
1.0,0.0,1460,36.86,4261575912.4,0.001,0.053114406764507294,-169754.80062036996,34,50000,6,0.004687782842665911,0.9880898594856262
1.0,0.0,1466,35.97,4225584156.8,0.001,0.05259616672992706,-159472.91107873002,40,60000,7,0.005241562146693468,0.9803091883659363
1.0,1.1920928955078125e-07,1470,34.3,3957679691.2,0.001,0.0599738247692585,-147179.21190779997,47,70000,8,0.005047611892223358,0.9725053310394287
1.0,-2.384185791015625e-07,1470,30.75,4003518646.0,0.001,0.05312307924032211,-140534.76295330998,54,80000,9,0.004663002211600542,0.9659611582756042
1.0,0.0,1469,35.13,3928534734.4,0.001,0.05712711438536644,-150926.36106750998,61,90000,10,0.004604960326105356,0.9618611931800842
1.0,0.0,1443,35.42,3635592560.0,0.001,0.07059358060359955,-141272.04486373,69,100000,12,0.005449111107736826,0.9572022557258606
1.0,-1.1920928955078125e-07,1443,37.41,3407575507.2,0.001,0.0625714510679245,-144627.54181285,76,110000,13,0.005184826906770468,0.9557610154151917
1.0,0.0,1445,37.52,3296631428.0,0.001,0.06329693645238876,-142297.21905542002,83,120000,14,0.004888057243078947,0.9560264945030212
1.0,0.0,1448,42.41,3240513773.2,0.001,0.05671129375696182,-149952.17901065998,89,130000,15,0.00510941119864583,0.9464700222015381
1.0,0.0,1430,43.3,3139884813.6,0.001,0.06153654307126999,-148255.84897657,97,140000,17,0.004905726294964552,0.9377878308296204
1.0,0.0,1432,34.14,3077595136.4,0.001,0.05992703139781952,-133344.56533754998,104,150000,18,0.005610043182969093,0.9373626112937927
1.0,0.0,1433,46.77,2950810480.8,0.001,0.06244499236345291,-146391.65119461,111,160000,19,0.005522033199667931,0.9306023716926575
1.0,0.0,1434,46.43,2885858302.2,0.001,0.07053913176059723,-141749.14241104,118,170000,20,0.0053021772764623165,0.9299396872520447
1.0,-1.1920928955078125e-07,1435,42.51,2683440463.8,0.001,0.0630805641412735,-135390.30326942,125,180000,21,0.005012301728129387,0.9258551001548767
1.0,-2.384185791015625e-07,1423,47.36,2528034116.0,0.001,0.06625707447528839,-139386.266122,133,190000,23,0.006173221860080957,0.9167377352714539
1.0,1.1920928955078125e-07,1425,49.4,2356690482.2,0.001,0.07210484892129898,-139476.91127321997,140,200000,24,0.005983089562505484,0.9170176982879639
1.0,-1.1920928955078125e-07,1427,49.09,2439975109.0,0.001,0.06733196973800659,-133160.30877761001,147,210000,25,0.006452936213463545,0.9154184460639954
1.0,0.0,1427,51.59,2413700641.6,0.001,0.07139762490987778,-137110.7471849,154,220000,26,0.0070272344164550304,0.9120347499847412
1.0,-1.1920928955078125e-07,1417,54.72,2215439846.8,0.001,0.06982625275850296,-134371.15523716004,162,230000,28,0.006679154932498932,0.9097416996955872
1.0,0.0,1417,44.86,2456689025.8,0.001,0.0706632062792778,-130910.99107175999,169,240000,29,0.0062830690294504166,0.9064738154411316
1.0,0.0,1419,51.7,2296060911.6,0.001,0.0774761512875557,-136860.78341383,176,250000,30,0.007021888624876738,0.9003800749778748
1.0,5.960464477539063e-08,1420,58.43,2234634168.2,0.001,0.06324338167905807,-147398.07002307998,182,260000,31,0.006863205228000879,0.8902373909950256
1.0,0.0,1421,60.33,2178567325.6,0.001,0.06958933919668198,-133405.7424193,189,270000,32,0.006649890448898077,0.8870048522949219
1.0,-1.1920928955078125e-07,1412,60.05,1869866464.2,0.001,0.07023455947637558,-129999.7743874,198,280000,34,0.006574282422661781,0.8739111423492432
1.0,0.0,1413,60.56,1821283792.0,0.001,0.06972352415323257,-129841.06053819001,205,290000,35,0.006199158262461424,0.8664851784706116
1.0,0.0,1413,67.19,1760144999.0,0.001,0.07288868725299835,-135024.24186737998,212,300000,36,0.006284916307777166,0.8638139367103577
1.0,-1.1920928955078125e-07,1414,75.23,1770973333.6,0.001,0.07668399065732956,-134786.26985949,219,310000,37,0.006722855847328901,0.8578265309333801
1.0,0.0,1407,76.83,1602826221.2,0.001,0.07282605767250061,-140028.68036668998,227,320000,39,0.00705030607059598,0.8531837463378906
1.0,0.0,1408,77.78,1529938437.5,0.001,0.07460764795541763,-136847.70688720004,234,330000,40,0.006766191218048334,0.8534204363822937
1.0,0.0,1409,78.39,1400876847.8,0.001,0.07059706747531891,-132831.32969169,241,340000,41,0.007518928498029709,0.8530963063240051
1.0,1.7881393432617188e-07,1409,88.21,1504376758.3,0.001,0.08005427569150925,-149522.13919127,248,350000,42,0.008461394347250462,0.8497897982597351
1.0,-1.1920928955078125e-07,1410,95.78,1405314579.0,0.001,0.07413363456726074,-150297.06118981997,255,360000,43,0.007429711986333132,0.8462874293327332
1.0,0.0,1403,92.51,1337717969.3,0.001,0.06890504062175751,-143236.3520926,263,370000,45,0.008406219072639942,0.8465169072151184
1.0,0.0,1405,108.56,1172870311.0,0.001,0.06734434515237808,-148201.40267037,270,380000,46,0.00875117164105177,0.8444928526878357
