train/is_line_search_success,train/explained_variance,time/fps,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/policy_objective,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/kl_divergence_loss,train/std
1.0,0.0,1406,139.44,1029879068.3,0.001,0.06817232072353363,-192842.01939742002,277,390000,47,0.008014374412596226,0.8394431471824646
1.0,0.0,1407,150.78,924241320.7,0.001,0.07088213413953781,-179515.96503499002,284,400000,48,0.0076525271870195866,0.8364920616149902
1.0,0.0,1402,190.65,642056374.85,0.001,0.06711189448833466,-205042.82807575003,292,410000,50,0.007653275970369577,0.8309995532035828
1.0,0.0,1403,204.46,647865818.6,0.001,0.07550857961177826,-198994.09824683997,299,420000,51,0.008190331049263477,0.8315207362174988
1.0,-1.1920928955078125e-07,1404,232.24,476616961.175,0.001,0.07325736433267593,-193473.92371160001,306,430000,52,0.008039634674787521,0.829850435256958
1.0,0.0,1405,224.07,527447824.65,0.001,0.0628524124622345,-167093.32945033,313,440000,53,0.008118445985019207,0.8263490796089172
1.0,-1.1920928955078125e-07,1406,206.66,616996732.95,0.001,0.06448449194431305,-150931.40527677,319,450000,54,0.007618410047143698,0.8245250582695007
1.0,-1.1920928955078125e-07,1402,229.97,409562376.175,0.001,0.07021840661764145,-161507.26594063,328,460000,56,0.00813203863799572,0.8180966973304749
1.0,5.960464477539063e-08,1403,287.02,321436937.0125,0.001,0.06705968827009201,-171506.79216442,334,470000,57,0.008505121804773808,0.8125513195991516
1.0,0.0,1404,299.53,375537703.225,0.001,0.06684239953756332,-166334.20599162998,341,480000,58,0.008365160785615444,0.8065486550331116
1.0,0.0,1405,325.36,390938338.85,0.001,0.058510951697826385,-170036.4486078,348,490000,59,0.008305058814585209,0.8034501075744629
1.0,-1.1920928955078125e-07,1401,309.91,329873890.05,0.001,0.06051535904407501,-144977.09508533,356,500000,61,0.008366551250219345,0.7994379997253418
1.0,5.960464477539063e-08,1402,347.71,221072325.4625,0.001,0.05814807862043381,-157265.48599149,363,510000,62,0.008983205072581768,0.8010034561157227
1.0,-1.1920928955078125e-07,1404,382.77,223576107.06875,0.001,0.06227860227227211,-157687.13295824,370,520000,63,0.008594843558967113,0.7963200211524963
1.0,0.0,1405,389.0,211151438.0125,0.001,0.062080029398202896,-128985.68076445999,377,530000,64,0.009146750904619694,0.7942957878112793
1.0,0.0,1405,335.58,266102065.99375,0.001,0.07126439362764359,-145436.59218938,384,540000,65,0.009002305567264557,0.7919664978981018
1.0,0.0,1402,232.3,646461366.35,0.001,0.08992097526788712,-128389.46972551997,392,550000,67,0.008863753639161587,0.7924304008483887
1.0,0.0,1402,224.34,388428840.1875,0.001,0.06788565218448639,-88488.67181726999,399,560000,68,0.008144610561430454,0.7913861870765686
1.0,0.0,1404,244.59,431464169.475,0.001,0.05863635614514351,-69629.66320031001,405,570000,69,0.00892906915396452,0.7915480136871338
1.0,0.0,1405,297.13,238318738.84375,0.001,0.05985581502318382,-61433.410871969994,412,580000,70,0.00918510090559721,0.7911974787712097
1.0,0.0,1402,337.66,148979268.146875,0.001,0.059533845633268356,-76308.48612698,420,590000,72,0.008588715456426144,0.7891234755516052
1.0,0.0,1403,395.21,195638224.24375,0.001,0.05715060979127884,-94039.66448046,427,600000,73,0.008652793243527412,0.7886911034584045
1.0,0.0,1404,430.33,288256054.8,0.001,0.058362506330013275,-105202.79391748998,434,610000,74,0.009024425409734249,0.7872077822685242
1.0,0.0,1405,468.67,92919142.7171875,0.001,0.06616510450839996,-110616.28484658999,441,620000,75,0.009000315330922604,0.7862090468406677
1.0,0.0,1405,490.77,154163438.778125,0.001,0.070081926882267,-110645.70425243997,448,630000,76,0.009266236796975136,0.7844660878181458
1.0,0.0,1402,473.34,197472448.828125,0.001,0.059378731995821,-87192.46553086002,456,640000,78,0.008862125687301159,0.7822503447532654
1.0,0.0,1403,450.84,314862925.45,0.001,0.05939440056681633,-62627.57579414001,463,650000,79,0.00908378604799509,0.7810712456703186
1.0,-1.1920928955078125e-07,1404,389.9,499999148.25,0.001,0.05918353050947189,-62747.98858464001,469,660000,80,0.009034867398440838,0.777873694896698
1.0,0.0,1404,368.6,234787531.08125,0.001,0.05856889858841896,-56499.22284878999,477,670000,81,0.008872750215232372,0.7760452628135681
1.0,0.0,1401,326.74,406112271.0375,0.001,0.05600467696785927,-47353.86501953,485,680000,83,0.008927158080041409,0.771495521068573
1.0,0.0,1401,291.25,427111539.2625,0.001,0.054661452770233154,-41742.886109579995,492,690000,84,0.00843456294387579,0.772223174571991
1.0,0.0,1402,297.77,356036003.4,0.001,0.04541277512907982,-44471.43377028,498,700000,85,0.006482175085693598,0.7713847160339355
1.0,0.0,1403,297.44,290925951.315625,0.001,0.05703982710838318,-44742.85224629,505,710000,86,0.009018706157803535,0.7698469161987305
1.0,0.0,1403,269.28,481855921.4875,0.001,0.05802240967750549,-12951.78672124,512,720000,87,0.009068659506738186,0.7717477679252625
1.0,0.0,1400,253.06,350197970.35,0.001,0.05334024876356125,-10226.118881799997,521,730000,89,0.009199748747050762,0.7722805142402649
1.0,-1.1920928955078125e-07,1401,282.51,325241707.4,0.001,0.05033262073993683,-5685.415031150002,528,740000,90,0.006481435149908066,0.7724433541297913
1.0,0.0,1401,308.53,265804246.78125,0.001,0.064813032746315,-1589.9991748799987,535,750000,91,0.008728730492293835,0.7730124592781067
1.0,0.0,1402,321.83,125071009.503125,0.001,0.06378616392612457,-5856.520376250003,541,760000,92,0.009221315383911133,0.7732000946998596
1.0,0.0,1403,362.17,265631838.325,0.001,0.06268883496522903,-22833.75935922,548,770000,93,0.009108397178351879,0.771489679813385
1.0,0.0,1400,366.06,237646174.34375,0.001,0.06028773635625839,-38252.80629225,556,780000,95,0.00901784747838974,0.7693595886230469
1.0,0.0,1400,301.37,424252818.95,0.001,0.055499158799648285,-34304.63933228,563,790000,96,0.009024262428283691,0.7690370082855225
1.0,0.0,1401,245.58,430707988.2375,0.001,0.06976907700300217,-21078.53346073,570,800000,97,0.00919422134757042,0.7684802412986755
1.0,0.0,1401,233.55,357338991.40625,0.001,0.06255052983760834,-21465.650320319994,577,810000,98,0.009578219614923,0.765174388885498
1.0,0.0,1399,257.33,513498593.15,0.001,0.05684935674071312,-29627.48367684,586,820000,100,0.008716106414794922,0.7651130557060242
1.0,0.0,1399,297.88,265111947.7625,0.001,0.05120759829878807,-35226.08551486,592,830000,101,0.008749963715672493,0.7641612887382507
1.0,0.0,1400,329.85,275962947.425,0.001,0.05062061920762062,-31413.94468874,599,840000,102,0.006800023373216391,0.7657217383384705
1.0,0.0,1400,345.6,268413138.78125,0.001,0.06867575645446777,-15544.234277229998,606,850000,103,0.00867586862295866,0.7647787928581238
1.0,0.0,1400,309.99,338908798.5375,0.001,0.04672709107398987,-32098.24474685,613,860000,104,0.009048483334481716,0.762747049331665
1.0,0.0,1398,231.51,558515704.775,0.001,0.04874603450298309,-3011.3317020599993,622,870000,106,0.006424215156584978,0.7616538405418396
1.0,0.0,1398,203.77,437686503.3875,0.001,0.06412253528833389,27777.751790409995,629,880000,107,0.008864003233611584,0.7596448063850403
1.0,0.0,1399,170.24,494914246.675,0.001,0.0600433424115181,31231.191912209997,636,890000,108,0.008965130895376205,0.7602073550224304
1.0,0.0,1399,173.1,665686190.35,0.001,0.07568594068288803,23623.76948192,643,900000,109,0.008849863894283772,0.7603764533996582
1.0,0.0,1396,208.52,492624191.6,0.001,0.0557909794151783,26899.959584969998,651,910000,111,0.008942808024585247,0.7573447823524475
1.0,1.1920928955078125e-07,1396,222.98,353000096.05,0.001,0.06085368990898132,20181.07664302,658,920000,112,0.009011405520141125,0.7585039138793945
1.0,0.0,1397,238.51,350599036.1125,0.001,0.06029851362109184,10696.8860384,665,930000,113,0.009155887179076672,0.7568976283073425
1.0,0.0,1397,225.47,455294491.275,0.001,0.06983037292957306,9566.43463533,672,940000,114,0.009189917705953121,0.7561719417572021
1.0,5.960464477539063e-08,1398,210.34,401945922.6625,0.001,0.06624538451433182,5179.081718920001,679,950000,115,0.00865788571536541,0.7565211653709412
1.0,0.0,1395,167.64,613373642.3,0.001,0.06824582070112228,25494.12673119,687,960000,117,0.009083547629415989,0.753330647945404
1.0,0.0,1396,151.47,811622843.2,0.001,0.06263947486877441,612.2029289500028,694,970000,118,0.00909494049847126,0.7556118369102478
1.0,-1.1920928955078125e-07,1396,166.11,447709324.0,0.001,0.06410299241542816,22307.891121420005,701,980000,119,0.009327604435384274,0.7531933188438416
1.0,0.0,1397,177.87,470887349.2,0.001,0.06639066338539124,38516.65315091,708,990000,120,0.009074474684894085,0.7520589828491211
1.0,0.0,1394,152.09,470531359.05,0.001,0.05768822878599167,38887.35280347,716,1000000,122,0.008667211048305035,0.7495701909065247
