train/actor_loss,train/ent_coef,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,time/episodes,train/learning_rate,rollout/ep_len_mean,train/critic_loss
98418.6171875,36.89803695678711,-0.5419773459434509,2474,-500875.82505427004,65,152,10000,194,0.0064,42.33,3426.166748046875
88796.3125,57.876365661621094,-0.43402862548828125,4974,-133653.56713533,132,151,20000,566,0.0064,24.58,3609.042724609375
84134.4375,45.716224670410156,-0.5093883275985718,7474,-564525.16639859,198,150,30000,709,0.0064,66.4,2804.207763671875
78625.34375,57.00304412841797,0.8626376986503601,9974,-253913.62471409005,265,150,40000,861,0.0064,68.55,2835.630859375
65366.6953125,61.83073806762695,0.7916590571403503,12474,-324671.35881749005,332,150,50000,967,0.0064,91.75,2975.438720703125
64313.82421875,74.30661010742188,-2.136481285095215,14974,-429938.5598339,399,150,60000,1018,0.0064,124.27,2879.17822265625
55557.71484375,117.531005859375,1.7655487060546875,17474,-483986.09791392996,466,150,70000,1035,0.0064,221.17,2926.505126953125
41965.171875,127.78240966796875,-3.9740726947784424,19974,-460395.87760182,532,150,80000,1044,0.0064,290.13,2497.123291015625
32355.5390625,116.90727996826172,-0.387073278427124,22474,-461873.50744684995,599,150,90000,1055,0.0064,391.19,2230.906005859375
21487.099609375,82.18746185302734,-3.1367177963256836,24974,-462005.14094593993,666,149,100000,1068,0.0064,472.17,1985.4517822265625
14581.828125,48.69367218017578,1.1442735195159912,27474,-434230.02353030996,733,149,110000,1091,0.0064,556.56,1474.1715087890625
8267.08203125,23.86186408996582,0.29490476846694946,29974,-393819.25828600995,800,149,120000,1101,0.0064,642.6,740.7859497070312
5704.79296875,16.255455017089844,1.6752837896347046,32474,-312489.21689338,867,149,130000,1115,0.0064,703.02,481.7579345703125
4176.435546875,8.335990905761719,-0.7382658123970032,34974,-187171.82806479002,934,149,140000,1146,0.0064,607.79,370.20623779296875
2876.80517578125,8.269519805908203,1.287826657295227,37474,-122517.92404966001,1001,149,150000,1175,0.0064,489.89,657.6475219726562
2947.64990234375,9.099064826965332,0.5405985116958618,39974,-64269.365972529995,1069,149,160000,1307,0.0064,72.87,515.5960693359375
2558.31494140625,12.811354637145996,-2.3637351989746094,42474,-61771.075388550016,1136,149,170000,1326,0.0064,166.11,524.449462890625
2274.356689453125,6.178005218505859,-1.3291605710983276,44974,-59669.969691130005,1204,149,180000,1357,0.0064,253.98,433.9988708496094
1696.08447265625,5.174580097198486,0.40462788939476013,47474,-3306.4559603999996,1271,149,190000,1389,0.0064,307.21,668.2456665039062
1036.4571533203125,3.865429162979126,-0.8102574348449707,49974,-2454.6728158299984,1339,149,200000,1408,0.0064,377.98,454.6927490234375
1394.39794921875,4.1128010749816895,2.27341365814209,52474,43249.18725512,1408,149,210000,1460,0.0064,291.72,691.167724609375
