train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,time/fps,train/ent_coef_loss,time/time_elapsed,train/ent_coef,train/learning_rate,train/actor_loss
3630.346923828125,58.04,10000,145,-267883.8242566,2474,141,3.6306686401367188,70,59.046077728271484,0.0064,55182.16015625
4115.8095703125,55.07,20000,343,-120949.99706559003,4974,139,2.5235443115234375,143,36.05863571166992,0.0064,35910.1484375
3501.112060546875,100.91,30000,410,-120653.44015277,7474,138,-3.256499767303467,216,29.39773178100586,0.0064,30241.203125
2246.3779296875,173.09,40000,446,-123142.85143632001,9974,138,-1.3161604404449463,288,18.25179672241211,0.0064,14917.4638671875
1363.332275390625,275.9,50000,462,-123869.88364500001,12474,138,-4.024256229400635,360,9.455831527709961,0.0064,8946.197265625
1269.8099365234375,344.48,60000,504,-101243.57783347,14974,138,-4.800903797149658,432,6.910195827484131,0.0064,5984.07763671875
553.9590454101562,360.98,70000,518,-97070.90074586999,17474,138,-0.8784404993057251,504,3.4127492904663086,0.0064,3720.56396484375
201.30401611328125,168.91,80000,610,-91520.15560777,19974,138,0.025192558765411377,576,1.612102746963501,0.0064,845.1358032226562
376.0240173339844,87.6,90000,729,-98367.58378545001,22474,138,-0.08302336931228638,649,2.3383731842041016,0.0064,540.65478515625
465.4303283691406,121.13,100000,774,-105942.10858526999,24974,138,0.17248883843421936,721,2.920884370803833,0.0064,-1654.6007080078125
427.55084228515625,166.82,110000,866,-117835.7279146,27474,138,-1.2694973945617676,793,3.2461795806884766,0.0064,-1381.613525390625
613.3284301757812,167.04,120000,880,-154984.47479287998,29974,138,-5.020518779754639,865,3.2619400024414062,0.0064,-334.988037109375
981.3871459960938,226.29,130000,903,-157298.42982829,32474,138,-1.2944304943084717,937,2.206857919692993,0.0064,345.0611572265625
664.4756469726562,321.05,140000,922,-152922.57864764,34974,138,1.2853856086730957,1009,2.663817882537842,0.0064,288.0360107421875
266.15313720703125,406.73,150000,946,-151244.62447268,37474,138,-2.3282933235168457,1081,2.1013481616973877,0.0064,702.661865234375
249.75253295898438,289.89,160000,1009,-122144.35731934002,39974,138,0.1679428666830063,1153,1.5138933658599854,0.0064,545.267822265625
372.00946044921875,214.16,170000,1041,-139677.55468159998,42474,138,-1.0710288286209106,1226,1.5873178243637085,0.0064,628.50244140625
359.1167907714844,210.97,180000,1085,-108182.9564122,44974,138,0.1040373370051384,1298,0.9558554887771606,0.0064,452.5004577636719
174.3555450439453,181.34,190000,1148,-93019.62338004999,47474,138,0.5773891806602478,1371,1.2290253639221191,0.0064,669.5410766601562
414.9311828613281,240.18,200000,1170,-97188.70630426,49974,138,-0.9825952053070068,1446,1.3169394731521606,0.0064,462.170166015625
494.23895263671875,257.3,210000,1211,-104598.21391623,52474,138,0.519653856754303,1520,1.2465773820877075,0.0064,618.2088623046875
160.7870635986328,344.37,220000,1226,-98712.1934361,54974,137,0.19304496049880981,1595,0.9479387402534485,0.0064,306.0298156738281
106.99532318115234,394.83,230000,1245,-89521.52907574002,57474,137,0.15111970901489258,1670,0.7239681482315063,0.0064,349.06451416015625
442.4110412597656,407.67,240000,1270,-91393.70560509,59974,137,-0.9017349481582642,1746,0.6501517295837402,0.0064,587.3629150390625
658.670166015625,424.56,250000,1305,-76602.79358724,62474,137,-0.307075172662735,1823,0.6615794897079468,0.0064,821.6513061523438
310.6854553222656,310.68,260000,1346,-46934.51427022001,64974,136,-3.798534631729126,1900,1.3226796388626099,0.0064,473.7480163574219
569.9051513671875,240.0,270000,1392,-14164.71566424,67474,136,0.02136581391096115,1978,1.0158075094223022,0.0064,772.4126586914062
303.81927490234375,218.16,280000,1427,-54276.907185389995,69974,136,0.07861869037151337,2058,1.020134687423706,0.0064,547.1402587890625
167.98626708984375,268.3,290000,1465,-87502.16055201,72474,135,-0.0030027455650269985,2137,0.9820367693901062,0.0064,737.4087524414062
627.4312744140625,236.3,300000,1508,-93797.83052968,74974,135,-5.374789237976074,2217,5.728160381317139,0.0064,-377.5451354980469
777.4977416992188,301.75,310000,1526,-124432.99547774,77474,134,-0.286342978477478,2297,3.1320903301239014,0.0064,-499.831787109375
226.5000457763672,333.45,320000,1553,-106355.47130812999,79974,134,0.21838340163230896,2378,1.783386468887329,0.0064,-194.73597717285156
236.78790283203125,309.0,330000,1605,-72765.31410909,82474,134,0.6479661464691162,2459,1.6044474840164185,0.0064,393.96038818359375
386.7665100097656,175.53,340000,1665,5330.889737449999,84974,133,-0.42926937341690063,2541,1.1503140926361084,0.0064,159.0970458984375
214.65301513671875,217.44,350000,1680,-18992.501406720003,87474,133,0.13131387531757355,2624,1.4017845392227173,0.0064,360.3462219238281
242.64825439453125,289.32,360000,1704,-39100.570845300004,89974,133,0.30716264247894287,2706,1.2679147720336914,0.0064,471.7928771972656
310.2295227050781,368.06,370000,1736,-79381.78472206999,92474,132,0.002239750698208809,2789,1.0083534717559814,0.0064,77.05314636230469
240.83421325683594,437.72,380000,1757,-99082.75376802002,94974,132,0.6813173294067383,2871,1.4365277290344238,0.0064,82.97289276123047
