train/entropy_loss,train/n_updates,train/loss,train/clip_fraction,train/clip_range,rollout/ep_rew_mean,time/fps,train/approx_kl,train/value_loss,train/std,train/policy_gradient_loss,rollout/ep_len_mean,train/learning_rate,train/explained_variance,time/total_timesteps,time/time_elapsed
-12.76993870139122,10,1651308032.0,0.0007568359375,0.2,-452667.8443386027,1501,0.0018698636,3359621894.8,0.9998656511306763,-0.0035185552507755345,131.95890410958904,0.0003,1.7881393432617188e-07,10000,6
-12.767659493535756,20,1343102976.0,0.0,0.2,-506124.08743640006,1498,0.00038185593,3071024293.7,0.9995203018188477,-0.001524932586835348,151.58,0.0003,-2.384185791015625e-07,20000,13
-12.765473096817733,30,1388793216.0,0.0,0.2,-588039.4523176299,1497,0.0010953648,2973601499.3,0.9993653893470764,-0.002413542215981579,180.49,0.0003,1.1920928955078125e-07,30000,20
-12.765075048804283,40,1744991360.0,0.0,0.2,-536203.2034340401,1496,0.00046678912,2979055890.4,0.9994234442710876,-0.0015711659176304237,173.22,0.0003,1.1920928955078125e-07,40000,26
-12.763491962105036,60,1345683584.0,0.0,0.2,-510558.21650453995,1363,0.00027019036,2803780647.6,0.9990932941436768,-0.0012780238041159464,168.05,0.0003,-1.1920928955078125e-07,50000,36
-12.76328627690673,70,1343586816.0,1.220703125e-05,0.2,-501618.62567000004,1382,0.0009154627,2702698952.4,0.9993199110031128,-0.002053217135835439,167.93,0.0003,-1.1920928955078125e-07,60000,43
-12.764428289979696,80,1076529664.0,1.220703125e-05,0.2,-491744.72710709006,1398,0.00096602493,2346296687.8,0.999348521232605,-0.0020147327565609883,170.47,0.0003,1.1920928955078125e-07,70000,50
-12.764991283416748,90,1500145920.0,0.0,0.2,-434888.84802742006,1408,0.00065793004,2639539836.5,0.9994537830352783,-0.0017081303425584339,142.32,0.0003,0.0,80000,56
-12.763400167226791,100,1594348672.0,3.662109375e-05,0.2,-492322.56380308,1417,0.0010753801,2638711482.6,0.9989855289459229,-0.002136487519965158,169.85,0.0003,5.960464477539063e-08,90000,63
-12.759315034747123,120,954822272.0,0.0,0.2,-473279.21913325996,1361,0.00045863434,2268399034.8,0.9985535144805908,-0.0014572351408787653,169.06,0.0003,0.0,100000,73
-12.756631205230951,130,1233760768.0,0.0,0.2,-515517.78450445004,1372,0.0008545929,2180113969.9,0.9983874559402466,-0.0020313548686317516,189.44,0.0003,0.0,110000,80
-12.754856105148793,140,1266788608.0,0.0,0.2,-534249.2149960499,1382,0.0006268888,2115880097.2,0.9981415867805481,-0.0015420362522490904,201.77,0.0003,-1.1920928955078125e-07,120000,86
-12.75138530060649,150,1112668800.0,0.0,0.2,-497417.65035666013,1390,0.00042788556,2255207651.2,0.997630774974823,-0.0014891638588778733,183.78,0.0003,1.1920928955078125e-07,130000,93
-12.74652744308114,170,1155739648.0,1.220703125e-05,0.2,-412181.62214799994,1350,0.00075102085,2171270025.7,0.997313380241394,-0.0014975992742165545,150.3,0.0003,5.960464477539063e-08,140000,103
-12.745560929179192,180,1098559232.0,0.0,0.2,-413208.77253887994,1359,0.0007995772,2074767633.8,0.9971657991409302,-0.001429109805758344,156.63,0.0003,0.0,150000,110
-12.743320666253567,190,993775680.0,0.0,0.2,-445388.41295327997,1366,0.00063158665,1816813013.7,0.9968411922454834,-0.0014759660400159192,179.22,0.0003,-1.1920928955078125e-07,160000,117
-12.740920910984277,200,1296132352.0,0.0,0.2,-373881.26319503004,1373,0.00057500834,2057787309.8,0.9966242909431458,-0.001433555632502248,146.48,0.0003,0.0,170000,123
-12.73605386763811,210,1010776832.0,0.0,0.2,-428209.16026935005,1379,0.00056456786,1867117217.0,0.9957485198974609,-0.0015105078333363053,170.91,0.0003,-1.1920928955078125e-07,180000,130
-12.734237257391214,230,1095385088.0,0.0,0.2,-469499.30900843,1353,0.00075372326,1938601577.1,0.9958884119987488,-0.001727538151317276,187.53,0.0003,0.0,190000,140
-12.73304861932993,240,1101172480.0,1.220703125e-05,0.2,-423944.99808998004,1359,0.000849927,1987848854.0,0.9958301186561584,-0.0017546008686622372,171.57,0.0003,0.0,200000,147
-12.73256271034479,250,827074688.0,0.0,0.2,-373803.19545425,1365,0.00081453746,1917479879.9,0.995783269405365,-0.001371950529392052,146.96,0.0003,0.0,210000,153
-12.728962597250938,260,893302144.0,0.0,0.2,-380611.71003252995,1369,0.0005135126,1916214377.7,0.9949954152107239,-0.0013001008055653074,151.14,0.0003,0.0,220000,160
-12.727142526209354,280,724036544.0,0.0,0.2,-358786.29277759,1348,0.0010596418,1832218135.5,0.99498051404953,-0.0017244010017748224,147.72,0.0003,-1.1920928955078125e-07,230000,170
-12.72237192466855,290,877571456.0,0.0,0.2,-358897.96249563,1353,0.00083223113,1849556059.75,0.9943861365318298,-0.0015776425610965817,148.04,0.0003,0.0,240000,177
-12.718317832797766,300,851603008.0,2.44140625e-05,0.2,-373427.8955319801,1359,0.001392511,1775076941.1,0.9940776824951172,-0.0019684348066220992,155.71,0.0003,1.1920928955078125e-07,250000,183
-12.717021282017232,310,958444864.0,1.220703125e-05,0.2,-348706.4663271101,1363,0.00096747524,1742684822.8,0.9941208958625793,-0.0016061735033872538,151.88,0.0003,5.960464477539063e-08,260000,190
-12.714800791442395,320,893182848.0,0.0003662109375,0.2,-370195.87751872995,1368,0.0019037216,1704771867.4,0.9935842156410217,-0.00254097267970792,162.97,0.0003,0.0,270000,197
-12.708116789907217,340,659464064.0,2.44140625e-05,0.2,-404874.49814002006,1351,0.0012479573,1596747304.2,0.9929263591766357,-0.00204288897157312,179.52,0.0003,0.0,280000,207
-12.704326926916838,350,682031488.0,0.0,0.2,-384904.60200261005,1355,0.0009798113,1636927142.55,0.9924445748329163,-0.0017513434127977233,172.48,0.0003,1.7881393432617188e-07,290000,213
-12.700784129649401,360,903579712.0,0.0,0.2,-300492.98246672,1359,0.00073427265,1617654913.15,0.9921557307243347,-0.0013926286528658238,132.04,0.0003,0.0,300000,220
-12.69964951723814,370,775210944.0,0.00015869140625,0.2,-289426.37455268,1363,0.0013609927,1618419183.65,0.9922119975090027,-0.0019978393020210206,123.85,0.0003,0.0,310000,227
